account,uID,institution,province,provinceID,weiboURL,oID,pageID,followingNum,followerNum,bowenNum
健康中国,,,,,https://weibo.com/jiankangzhongguo?is_all=1,2834480301,1001062834480301,383,2135790,8130
四川卫生计生,,,,,https://weibo.com/u/3754192351?is_all=1,3754192351,1001063754192351,116,27625,2748
中国气象局,,,,,https://weibo.com/u/2117508734?is_all=1,2117508734,1001062117508734,995,2629701,33417
四川气象,,,,,https://weibo.com/scqx?is_all=1,2164230524,1001062164230524,243,314818,25074
阿坝气象,,,,,https://weibo.com/u/5617870770?is_all=1,5617870770,1001065617870770,1996,3206,3325
中国地震台网速报,,,,,https://weibo.com/ceic?is_all=1,1904228041,1001061904228041,331,6375520,17064
四川省地震局,,,,,https://weibo.com/u/3323927000?is_all=1,3323927000,1001063323927000,375,170267,7742
阿坝防震减灾,,,,,https://weibo.com/u/3624236921?is_all=1,3624236921,1001063624236921,46,21200,186
九寨沟县旅游文化产业发展中心,,,,,https://weibo.com/jzglycy?is_all=1,1613763097,1001061613763097,94,97351,316
马尔康旅游,,,,,https://weibo.com/meklyj?is_all=1,2805867860,1001062805867860,100,521,852
阿坝县旅游发展局,,,,,https://weibo.com/u/5861654087?is_all=1,5861654087,1001065861654087,65,736,88
若尔盖县旅游发展局,,,,,https://weibo.com/u/5628232454?is_all=1,5628232454,1001065628232454,27,55,91
国家电网,,,,,https://weibo.com/sgcc?is_all=1,1730306175,1006061730306175,1031,120377,1608
国网四川电力,,,,,https://weibo.com/u/5820817140?is_all=1,5820817140,1006065820817140,188,1846,1665
四川水利,,,,,https://weibo.com/scslt?is_all=1,3422308042,1001063422308042,88,25294,335
公安部交通安全微发布,,,,,https://weibo.com/u/2501519087?is_all=1,2501519087,1001062501519087,313,5028168,14494
四川交通,,,,,https://weibo.com/scjtys?is_all=1,1935074473,1001061935074473,91,636116,9759
阿坝公安交警,,,,,https://weibo.com/abjj122?is_all=1,2049916523,1001062049916523,160,222142,1056
马尔康交警,,,,,https://weibo.com/u/3943782088?is_all=1,3943782088,1001063943782088,52,7114,23
汶川交通,,,,,https://weibo.com/u/5134603510?is_all=1,5134603510,1001065134603510,5,15,5
理县交警大队,,,,,https://weibo.com/u/3483589013?is_all=1,3483589013,1001063483589013,58,219,97
中国政府网,,,,,https://weibo.com/zhengfu?is_all=1,5000609535,1001065000609535,95,16581726,19142
四川发布,,,,,https://weibo.com/sichuantianfu?is_all=1,1905843503,1001061905843503,340,5315886,44641
阿坝微博,,,,,https://weibo.com/vabazhou?is_all=1,2104296815,1001062104296815,799,109234,19719
九寨沟管理局,,,,,https://weibo.com/jiuzhaigou?is_all=1,1803921393,1001061803921393,424,1622759,13242
微九寨,,,,,https://weibo.com/u/5230214761?is_all=1,5230214761,1001065230214761,45,9990,1448
马尔康,,,,,https://weibo.com/abmek?is_all=1,2765167274,1001062765167274,83,83761,2448
小金发布,,,,,https://weibo.com/xiaojingov?is_all=1,1269061822,1001061269061822,193,4697,1383
阿坝县微,,,,,https://weibo.com/u/1705592775?is_all=1,1705592775,1001061705592775,137,36942,2008
若尔盖发布,,,,,https://weibo.com/ruoergaigov?is_all=1,2509710504,1001062509710504,608,1761,1272
红原微博,,,,,https://weibo.com/u/2305236323?is_all=1,2305236323,1001062305236323,803,32554,11037
