序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,你第一次坐飞机是去的哪里？（小编：广州） ​​​​#国庆旅游天气# ​​​​,否,,2017-09-30 23:38,31,274,53,微博 weibo.com,https://weibo.com/2117508734/Fogg2w7CD
1,#国庆旅游天气# 最省钱最舒服的国庆计划就是它了 ​​​​,否,,2017-09-30 21:46,13,21,79,iPhone 6s Plus,https://weibo.com/2117508734/FofwTzqQS
2,#秋收秋种#【江南水乡“秋风起 菱角香” 】九月下旬，浙江省湖州市吴兴区东林镇星火村马林漾200亩菱角进入成熟期。村民们纷纷划着菱桶开始采摘，成为水乡一道特有的美丽风景。新华社记者 徐昱 摄 ​​​​,否,,2017-09-30 16:42,13,21,59,微博 weibo.com,https://weibo.com/2117508734/FodxbvAEb
3,#秋收秋收# 秋收秋种与气象服务的那些事儿  ​​​​,否,,2017-09-30 16:19,5,2,16,微博 weibo.com,https://weibo.com/2117508734/FodnQC2sa
4,#2017汛期#【汉江上游持续降雨丹江口水库开闸泄洪】新华社武汉9月28日电 近日汉江流域持续降雨造成陕西安康、湖北十堰等地汛情明显，来水持续增加，导致我国南水北调中线水源地丹江口水库水位迅速增长。记者从丹江口水利枢纽管理局获悉，根据长江防汛抗旱总指挥部指令，丹江口水库今年以来第二次开闸泄洪。长江水文网实时监测数据显示，28日8时，丹江口水库入库流量为17200立方米每秒，出库流量为5920立方米每秒，水库水位达到164.10米。尽管水库已经加大泄洪放水，从数据来看，丹江口水库水位仍将缓慢增长。据了解，2005年8月，丹江口大坝在水位超过汛限水位2.66米的情况下，曾同时开启7个泄洪闸进行泄洪。记者同时从湖北十堰市水库管理处值班室获悉，近日因持续降雨，十堰城区水库泄洪仍在继续，城区五座水库泄洪总量超过600万立方。据了解，因持续降雨，十堰城区部分水库达到汛限水位。目前，丹江口水库下游沿线各级防汛指挥机构已加强防汛宣传及洪水警示工作，加强低洼地区和沿河洲人员安全转移。交通航运管理部门督促沿江船舶密切关注汉江水情变化，做好防汛安全管理工作。,否,,2017-09-30 15:19,5,3,10,微博 weibo.com,https://weibo.com/2117508734/FocZuF5yl
5,,是,#地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @震长 @人民日报 @央视新闻 ） ​​​​,2017-09-30 14:44,11,6,16,Weico.Android,https://weibo.com/2117508734/FocLDo5Rm
6,#气象中国#【澳门特区政府新任局级官员到中国气象局参观交流】9月28日下午，澳门特区政府新任局级公务员国情研修班学员到中国气象局参观交流。学员到国家预警信息发布中心、国家气象中心、国家卫星气象中心、气象影视中心等单位，参观气象预报预测等业务平台，了解国家突发公共事件预警信息发布平台建设和天气预报业务与服务、气象卫星发展及应用、公共气象服务、气象影视服务等情况。学员还与中国气象局相关职能司及直属单位负责人座谈，围绕气象应急管理、气象防灾减灾政策、气象灾害预警预报和信息发布、气象工作体制机制建设等进行交流，双方就台风防御，信息共享、预警信息发布、气象台站建设与保护等进行深入探讨。,否,,2017-09-30 13:59,1,评论,14,微博 weibo.com,https://weibo.com/2117508734/Foct1uBda
7,全国天气也是名目繁多，大家开心哦！,是,#一起过国庆#每年十一长假都要把这些翻出来看看，提醒自己不出门旅游可不是因为穷 ​​​​,2017-09-30 13:29,7,5,33,微博 weibo.com,https://weibo.com/2117508734/Foch3uL1u
8,你的假日何时开启？戳图保存国庆假日天气 ↓节日快乐啊！ #国庆旅游天气# ​​​​,否,,2017-09-30 12:32,2,15,31,Weico.Android,https://weibo.com/2117508734/FobTYqBaI
9,#秋收秋种#【金秋收获忙】金秋时节，河北省各地秋粮进入大面积收获期，田间呈现出一派繁忙景象。新华社记者 朱旭东 摄 ​​​​,否,,2017-09-30 10:42,3,10,25,微博 weibo.com,https://weibo.com/2117508734/Fobb40ZYV
10,#中秋赏月# 【今年中秋，十五的月亮十七圆，你想和谁一起赏月？[满月]】据预测，今年中秋月十五的月亮十七圆，月亮最圆时出现在10月6日2时40分。由于地月距离逐日缩短，中秋期间中国各地不仅可观赏到最圆的中秋月，而且目睹到月亮的视直径比往年更大。赶紧@ TA，一起赏月啦！ ​​​​,否,,2017-09-30 10:21,10,7,23,微博 weibo.com,https://weibo.com/2117508734/Fob2Ghps6
11,#气象中国#【澳门特区政府新任局级官员到中国气象局参观交流】 9月28日下午，澳门特区政府新任局级公务员国情研修班学员到中国气象局参观交流。　　学员到国家预警信息发布中心、国家气象中心、国家卫星气象中心、气象影视中心等单位，参观气象预报预测等业务平台，了解国家突发公共事件预警信息发布平台建设和天气预报业务与服务、气象卫星发展及应用、公共气象服务、气象影视服务等情况。　　学员还与中国气象局相关职能司及直属单位负责人座谈，围绕气象应急管理、气象防灾减灾政策、气象灾害预警预报和信息发布、气象工作体制机制建设等进行交流，双方就台风防御，信息共享、预警信息发布、气象台站建设与保护等进行深入探讨。,否,,2017-09-30 09:30,1,4,16,微博 weibo.com,https://weibo.com/2117508734/FoaHQleVY
12,#中秋赏月#【周知！今年中秋十五的月亮十七圆】据广州市五羊天象馆28日预测，今年中秋月十五的月亮十七圆，月亮最圆时出现在O10月6日2时40分 。那么问题来了，「月圆」和「农历」之间到底有什么联系？这就要从天文原理，以及「农历」的历史说起了，戳视频↓L柴知道的秒拍视频,否,,2017-09-30 09:28,12,4,22,Weico.Android,https://weibo.com/2117508734/FoaH9tlOW
13,#国庆旅游天气# 国庆长假第一股冷空气将至~~北方大风降温，长江流域有暴雨自驾游的亲，要特别注意~~有些省份国庆雨水真的有些多啊 ​​​​,否,,2017-09-30 09:00,13,18,21,微博 weibo.com,https://weibo.com/2117508734/FoavFmuaD
14,#国庆旅游天气#【故宫北城墙对公众开放 能俯瞰整个紫禁城 】记者从故宫博物院了解到，为了迎接即将到来的国庆假期，故宫又有“新动作”。继2015年故宫东南城墙和角楼面向公众开放之后，故宫北城墙今起也面向游客开放了。修葺参观步道、开放城墙，供游客登高望远，是故宫博物院提升服务质量的新举措。两年前，为迎国庆，故宫开放了多个区域，其中就包括东华门城楼及午门至东华门的一段城墙。那也是故宫首次面向游客开放参观紫禁城的1/6段城墙。观众登上东华门的城墙，可以远眺美景，再由东南角楼向西直达午门的雁翅楼展厅。而西北城墙与东北城墙则位于神武门两侧。据故宫博物院副院长任万平介绍，故宫西北角楼和东北角楼之间的北城墙参观栈道，目前已全部铺设完成，长度约400米。“观众可以站在北城墙上远眺北海和景山，也能俯瞰整个紫禁城的景致，非常美。”另外，十一假日期间，观众还能直接沿栈道来到神武门二层展厅，参观昨天刚刚开幕的“茜茜公主与匈牙利：17至19世纪的匈牙利贵族生活展”。任万平表示，故宫的城墙一直在陆续对公众开放。两年前，东南城墙开放参观；今天开始，西北城墙开放参观；不久后，东北城墙也将对观众开放。“这样，故宫的四面城墙就有三面陆续开放了。”（北京晚报记者 孙乐琪）,否,,2017-09-30 08:50,6,10,40,微博 weibo.com,https://weibo.com/2117508734/FoarHun4D
15,#国庆旅游天气# 【浓缩版国庆全国天气预报】 国庆天气预报实在有点长啊，现在小编来给大家浓缩一下。1、1-2日陕西、四川、重庆、江苏、上海、安徽等8省市将出现大到暴雨，局地大暴雨；2、北方将遭遇两股冷空气袭击，东北降温有点明显；3、6日至8日，受另一股冷空气影响，北方地区还将有一次降雨、降温过程，但是雨不大。4、江南华南秋老虎走不了炎热持续。5、 5-7日华北黄淮有雾霾。,否,,2017-09-30 08:27,52,35,43,微博 weibo.com,https://weibo.com/2117508734/FoaiydjzC
