序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【住在高层的你安全吗？】楼高一尺，危高一丈，请您花一分钟的时间，了解高层建筑消防知识。L秒拍视频 ​​​​,否,,2017-09-30 22:19,205,13,42,iPhone,https://weibo.com/3549916270/FofK4mUc1
1,【火灾报警早损失小】“谢谢”是这世界上最暖心的一句话，如果你学会快速扑救初起火灾，你收获的将不只是感谢！2017公益广告《黄金3分钟》告诉您，火灾发生后的黄金3分钟是灭火的最佳时机，如果采取科学方式及时扑救，可以把损失降到最低！看了视频您就懂了↓L宜昌消防的秒拍视频 ​​​​,否,,2017-09-30 20:24,130,9,29,iPhone,https://weibo.com/3549916270/FoeZssmzp
2,【暖！学生腿脚受伤 近六旬门卫每天背着她上下学】近日，遵义朝阳小学每天都上演温馨一幕。六年级学生李亚宁三个星期前不慎摔伤了腿导致骨折。为让学生按时到达教室，年近六旬的门卫，每天都背着她上下五层教学楼。上学背上楼，放学背下楼，感动全校师生。L中国新闻网的秒拍视频 ​​​​,否,,2017-09-30 18:51,46,6,53,iPhone,https://weibo.com/3549916270/FoenD9GmW
3,【车主忘拔钥匙 男童误启动车辆坠河受伤】9月28日，广西河池市东兰县一位粗心的车主停车时忘记拔钥匙，而且挂着一档。结果车上一名2岁的男童误操作启动了车辆，车辆坠入河中，造成男童额头受了轻伤，好在并无大碍。目前事故还在进一步调查当中。L第一时间的微博视频 ​​​​,否,,2017-09-30 17:59,39,15,33,iPhone,https://weibo.com/3549916270/Foe2qb4Kk
4,【揪心！婴儿脚被卡大哭 妈妈喂奶安抚】9月28日，大连沙河口区接到报警，一名婴儿在儿童乐园里，被儿童车夹脚。消防员迅速赶到，用液压钳夹断车架，孩子脱困，家长务必看好孩子！L一手video的秒拍视频 ​​​​,否,,2017-09-30 17:21,81,117,410,iPhone,https://weibo.com/3549916270/FodN2BSU1
5,【冒充军人强卖劣质皮鞋 一37人团伙专挑外来务工人员下手】近日，杭州萧山警方陆续接到报案称，有一群穿着迷彩服的人强迫路人买他们皮鞋，如不买就被威胁恐吓甚至被打，其中一位受害者程先生更是被迫花了1700元钱买了52双鞋。警方查明，嫌疑人主要的目标是男性外来务工人员，出售的皮鞋则是10元钱进的货，质量很差。这个37人作案团伙最终被警方在杭州一酒店内全部抓获。目前，所有成员因涉嫌冒充军人招摇撞骗罪，已被警方依法刑事拘留。L看看新闻Knews的秒拍视频,否,,2017-09-30 16:59,34,19,15,iPhone,https://weibo.com/3549916270/FodEpazxO
6,【充电器插头到底拔不拔？】充电器插头不拔会引起爆炸？边打电话边充电有危险？电脑插头不拔三天要费一度电？实验发现空载状态下充电器仍在少量耗电，但不同充电器差异较大。按标准规定生产的充电器相对安全，但劣质充电器电流量超过3毫安，可能引起爆炸！L央视新闻的秒拍视频 ​​​​,否,,2017-09-30 16:28,96,11,23,iPhone,https://weibo.com/3549916270/FodrP5Diy
7,#四川地震#【四川绵阳市江油市附近发生5.4级左右地震】中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近发生5.4级左右地震。 地震来了，如何第一时间科学避震？在家里、学校、公共场所怎样紧急避震？遇到次生灾害怎么办？转发，关键时刻能保命！L人民网的秒拍视频 ​​​​,否,,2017-09-30 16:08,80,14,69,iPhone,https://weibo.com/3549916270/FodjtCX8A
8,【男子想逃单 被困空中 消防员成功救援】9月29日，贵州盘州一名男子在某酒店消费后想逃单，便想沿着通信线路滑到对面的大厦，不料被困半空中。男子身旁有两根高压电线，十分危险。接警到场后，消防员将其救下。L一手video的秒拍视频 ​​​​,否,,2017-09-30 14:54,135,356,283,iPhone,https://weibo.com/3549916270/FocPJbTG5
9,【手机这样充电不正确】许多人手不离机，手机没电时身旁如有充电器的话，拿起来就开始充电，可是充电器接口一样，一旦输出电流不同，后果将很危险！提示：手机充电切勿混用不同型号的充电器；不使用来路不明的充电器。L中国消防的秒拍视频 ​​​​,否,,2017-09-30 14:11,103,9,15,iPhone,https://weibo.com/3549916270/Focy2n9He
