序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【灾难过后——双节前夕探访九寨沟地震灾区】“8·8”九寨沟7级地震过去快两个月了，九寨沟景区恢复如何？灾区的人们生产生活状况如何？国庆、中秋节前夕，记者再次探访九寨沟地震灾区。O网页链接 ​​​​,否,,2017-09-30 14:36,1,评论,5,360安全浏览器,https://weibo.com/1803921393/FocInAZ7C
1,发布了头条文章：《央视《还看今朝・四川篇》聚焦九寨沟 震后恢复重建如火如荼》 °央视《还看今朝・四川篇》聚焦九寨沟 震后恢... ​​​​,否,,2017-09-27 17:04,转发,评论,18,微博 weibo.com,https://weibo.com/1803921393/FnLoHcr1A
2,发布了头条文章：《奋力夺取灾后恢复重建胜利 确保灾区与全国全省同步全面建成小康社会》 °奋力夺取灾后恢复重建胜利 确保灾区与全国全... ​​​​,否,,2017-09-24 10:56,转发,评论,4,微博 weibo.com,https://weibo.com/1803921393/FngI17DIY
3,发布了头条文章：《高山上的来客——震后九寨沟景区成功营救一只斑羚》 °高山上的来客——震后九寨沟景区成功营救一只斑... ​​​​,否,,2017-09-15 17:05,2,评论,36,微博 weibo.com,https://weibo.com/1803921393/FlWh85FSL
4,发布了头条文章：《九寨沟逐步恢复往昔的宁静和美丽》 °九寨沟逐步恢复往昔的宁静和美丽 ​​​​,否,,2017-09-15 17:02,7,评论,43,微博 weibo.com,https://weibo.com/1803921393/FlWgedrif
5,发布了头条文章：《着眼长远谋发展、齐心协力抓落实——九寨沟县召开“8·8”地震灾后恢》 °着眼长远谋发展、齐心协力抓落实——九寨沟县召... ​​​​,否,,2017-09-09 17:30,转发,评论,4,微博 weibo.com,https://weibo.com/1803921393/Fl1Sk80SN
6,9月7日，四川省委组织部党建办副主任程文茂、州委常委组织部部长卿刚、九寨沟县委常委组织部长张锐、九寨沟管理局党委书记徐荣林一行赴荷叶社区检查指导党建工作 。 °省委组织部赴荷叶社区指检查导党建工作 ​​​​,否,,2017-09-07 16:29,转发,评论,2,微博 weibo.com,https://weibo.com/1803921393/FkICtuE9V
7,发布了头条文章：《党旗飘扬下的九寨精神—扎如社区抗震救灾工作取得阶段性胜利》 °党旗飘扬下的九寨精神—扎如社区抗震救灾工作... ​​​​,否,,2017-09-05 18:33,2,评论,4,微博 weibo.com,https://weibo.com/1803921393/FkqzUDYyl
8,截至9月4日，拆除临时安置点救灾安置帐篷篷157顶，回收床109张，返家入住、投亲靠友452人。 °组织有序、推进有力、统筹有效——荷叶社区开始... ​​​​,否,,2017-09-04 17:30,1,评论,8,微博 weibo.com,https://weibo.com/1803921393/FkgJOps2d
9,​“作为一名医者，能为家乡的群众做点力所能及的事，这我的光荣”银全这样说。 °医者仁心：为村民义务针灸的中医银全 ​​​​,否,,2017-09-02 15:42,3,评论,14,微博 weibo.com,https://weibo.com/1803921393/FjXaYsMwn
10,在树正寨，村寨工作组成员和村民携手在寨中排查隐患，将受灾房屋维修加固；将存在安全隐患的土墙、石墙进行整理；将房前屋后的瓦砾、石块、土渣进行清理；对村寨道路进行清障。相信九寨明天会更好！！！ °重塑美丽家园：九寨沟景区村寨积极进行整理 ​​​​,否,,2017-09-01 17:18,3,评论,19,微博 weibo.com,https://weibo.com/1803921393/FjOntCA4v
11,发布了头条文章：《荷叶寨抗震救灾先进事迹--共产党员陈红兵》 °荷叶寨抗震救灾先进事迹--共产党员陈红兵 ​​​​,否,,2017-08-30 16:49,转发,评论,16,微博 weibo.com,https://weibo.com/1803921393/FjvkN78sI
12,国土资源厅召开九寨沟地震恢复重建地质灾害防治专题座谈会       为进一步做好九寨沟7.0级地震地质灾害防治专题研究和九寨沟7.0级地震灾后恢复重建地质灾害防治专项实施方案编制等工作，省厅近日召开专题座谈会，研究相关工作推进事宜。省发改委、省测绘局相关处（室）负责人及成都理工大学、中科院山地所等单位的相关专家、学者和技术骨干受邀参加本次会议。　        会议通报了“8.8”九寨沟地震受灾地区地质灾害排查情况及防治形势，介绍了九寨沟7.0级地震地质灾害防治专题研究和九寨沟7.0级地震灾后恢复重建地质灾害防治专项实施方案编制基本情况。与会专家、学者和代表围绕九寨沟7.0级地震地质灾害防治专题研究和九寨沟7.0级地震灾后恢复重建地质灾害防治专项实施方案编制工作踊跃发言，并针对地震灾区地质灾害“发现难”、“监测难”、“治理难”和“能力提升难”的特点出谋划策，进一步强调了科技支撑在地质灾害防治工作中的重要作用。　        厅地质环境处负责同志主持会议、省地环总站负责同志参加会议。                                    ---国土资源厅,否,,2017-08-30 11:39,2,评论,8,微博 weibo.com,https://weibo.com/1803921393/Fjtj2wF0z
13,比起轰轰烈烈抗震抢险工作来说，后勤工作是一场看不见硝烟的战斗。“兵马未动，粮草先行”是对后勤工作真实的写照。 °后勤保障工作：一场看不见硝烟的战斗 ​​​​,否,,2017-08-29 15:03,转发,评论,5,微博 weibo.com,https://weibo.com/1803921393/Fjldu7rIg
14,《地灾排查的坚强卫士，保一方平安》  °地灾排查的坚强卫士，保一方平安 ​​​​,否,,2017-08-28 18:07,1,评论,7,微博 weibo.com,https://weibo.com/1803921393/FjcZAlXGo
15,发布了头条文章：《用图片讲故事的工作者们》 °用图片讲故事的工作者们 ​​​​,否,,2017-08-27 16:15,转发,评论,16,微博 weibo.com,https://weibo.com/1803921393/Fj2PlF7fS
16,发布了头条文章：《统筹推进受灾群众回迁安置工作，为灾后恢复重建打好基础》 °统筹推进受灾群众回迁安置工作，为灾后恢复重... ​​​​,否,,2017-08-27 16:13,1,评论,8,微博 weibo.com,https://weibo.com/1803921393/Fj2OF9Xm9
17,【长海保护站守卫者；克木和班友生】克木和班友生是则查洼沟管理处的非在编职工，主要从事环卫工作，同时兼护林防火和地灾巡查工作。2017年8月8日21时19分，九寨沟县突发7.0级地震，在长海保护站值夜班的克木和班友生迅速跑出保护站，到对面停车场观察周边情况。O网页链接 ​​​​,否,,2017-08-26 19:28,转发,评论,15,360安全浏览器,https://weibo.com/1803921393/FiUFd1ifh
18,【“8·8”地震规划建设处抗震救灾纪实】2017年8月8日21时19分，九寨沟县发生7.0级地震。灾情发生后，规划建设处反应迅速，第一时间保证沟口应急供电，确保临时指挥部指挥有序开展。至此，建设处40人全员进入抗震救灾紧急工作中，为景区地灾勘察和居民、员工水电保障提供了坚实基础。O网页链接,否,,2017-08-25 15:39,转发,评论,13,360安全浏览器,https://weibo.com/1803921393/FiJJQsjze
19,发布了头条文章：《重拾信心团结一致 奋力建设美好家园》 °重拾信心团结一致 奋力建设美好家园 ​​​​,否,,2017-08-24 16:11,3,评论,24,微博 weibo.com,https://weibo.com/1803921393/FiAwB6CpP
20,发布了头条文章：《九寨沟管理局小车班抗震救灾点滴》 °九寨沟管理局小车班抗震救灾点滴 ​​​​,否,,2017-08-24 16:09,1,评论,4,微博 weibo.com,https://weibo.com/1803921393/FiAvqo5wy
21,九寨沟县7.0级地震灾情专报(8月23日)       九寨沟管理局8月23日主要开展以下工作：       一、社区工作       卫生防疫：阿坝州人民医院到社区、安置区进行医疗巡诊，检查指导发热、腹泻病员情况；红原县疾控中心到安置点进行水质检测和卫生安全检查；九寨沟县、理县卫生监督执法大队监督员到安置点检查指导卫生防疫工作；九寨沟县食药监局到安置点检查食品安全卫生；继续对安置区、生活区进行防疫消毒工作；树正安置点临时医疗点接诊21人；安置点、村寨生活区共清捡垃圾171袋。       生活服务：四川省人民医院、成都市第四人民医院到安置区进行心理辅导、宣传工作；对村寨房屋进行入户水电排查，维修饮用水管道；巡护则查洼到长海的公路；协助做好安置点群众的一日三餐及防鼠、防虫、消毒预防等工作；组织力量开展24小时安全巡逻、消防安全检查、隐患点排查、监测等工作。       群众工作：征求景区三个社区16岁至59岁失业人员求职意愿；核实社区受灾群众补助人员名单。       宣传教育：九寨沟县人民法院继续开展法制宣传活动，发放法律法规宣传资料并进行法制宣讲。       物资管理：继续做好救灾物资登记、保管、发放和库存救灾物资清查复核及仓储管理工作。       二、物资保障       8月23日，发放矿泉水1件，米270斤，蔬菜150斤，牛肉150斤。       三、监测预警       水文监测：继续对沟内9个水文监测点进行24小时监测，监测点水位无明显变化。       地灾排查：收集景区震前震后主要湖泊两侧山体对比照片；协助清华大学建筑学院开展道路交通灾情调查；填报灾后规划表格。       四、退票情况       8月23日办理退票82张。截至目前办理现金、网络预定票5865张、26996张，累计办理退票共计32861张。                                                     --九寨沟管理局,否,,2017-08-24 12:29,1,评论,4,微博 weibo.com,https://weibo.com/1803921393/Fiz4pd923
