序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#我和祖国合张影# 生日快乐，我的国！#长假我在岗# ，人安路也畅！（图片：百色、海口、满洲里）@央视新闻 ​​​​,否,,2017-09-30 20:33,149,26,70,三星Galaxy NOTE III,https://weibo.com/2501519087/Fof2XBJm2
1,#驾照考试科目一#把您的答案留下来吧 ​​​​,否,,2017-09-30 20:00,60,50,21,微管家,https://weibo.com/2501519087/FoePy7Sgm
2,#视频连连看#【自驾游 您和车都准备好了吗】明天就是国庆节啦，您有自驾游的计划吗？出游平安才是第一位的，所以在出发前一定要对车辆进行一次全面彻底的检查和维护，以确保车辆处于良好状态，保证顺利完成一次旅程。都有哪些地方是检查的关键呢？小动画告诉您。 L天津交警的秒拍视频 ​​​​,否,,2017-09-30 19:30,237,21,24,微管家,https://weibo.com/2501519087/FoeDnpYF7
3,【“双胞胎”车牌的主人 交警喊你（你们）来接受处罚】8月27日，郑州一停车场内两辆轿车悬挂同一车牌，车型外观也一模一样，停靠位置也很近，中间只隔着3辆车。不知道这两辆车是“李逵”和“李鬼”？还是同一车主一牌挂两车？目前，两辆车还在停车场内，车主也尚未现身。蜀黍提醒：根据刑法、道交法等相关规定，伪造、变造或者使用伪造、变造的机动车号牌，由公安机关交通管理部门予以收缴，扣留该机动车，处15日以下拘留，并处2000元以上5000元以下罚款；构成犯罪的，依法追究刑事责任。 L车也双胞胎?同车牌同车型同停车场,否,,2017-09-30 16:39,215,34,16,分享按钮,https://weibo.com/2501519087/Fodwiz1Rb
4,"【警嫂抱儿子看""爸爸去哪了""】9月27日，广东湛江。交警庞天文正执勤，忽然发现妻子抱着两月大儿子走来，原来妻子带宝宝来看看爸爸在哪儿，这温馨一幕被路人拍下。近期湛江交警强化交通安全管理和事故防范，加班加点成常态，对早出晚归的庞天文来说，抱儿子这样简单的动作都略显奢侈。他说，这个惊喜一辈子都忘不掉。（@央视新闻  ）",否,,2017-09-30 16:04,127,17,53,三星Galaxy NOTE III,https://weibo.com/2501519087/FodhQB13V
5,#覆车之戒#骑车同样要精力集中，玩手机的后果，挺严重的，引以为戒。 L公安部交通安全微发布的秒拍视频 ​​​​,否,,2017-09-30 16:03,370,43,21,微管家,https://weibo.com/2501519087/Fodhn5yzb
6,#一路平安# 今天下午广东迎来出行高峰，为加强巡逻管控，广东省公安厅交警总队组织央视、南方日报等媒体乘警务飞机实时报道，及时发布出行指引。 L公安部交通安全微发布的秒拍视频 ​​​​,否,,2017-09-30 15:41,194,23,16,三星Galaxy NOTE III,https://weibo.com/2501519087/Fod8xf3e3
7,#平安365#2011年2月26日，在福银高速公路下桃源隧道口，发生了一起5车相撞的交通事故，监控视频还原了这惊险一刻…… L公安部交通安全微发布的秒拍视频 ​​​​,否,,2017-09-30 15:02,949,130,52,微管家,https://weibo.com/2501519087/FocSAwEuD
8,#交警正能量#【黄山：交警为失主寻回一万元“打工辛苦钱”】“29日上午，黄山市歙县城西中队交警执勤时，听到有人在路口呼喊，赶忙上去询问后得知，章女士从公交下车时粗心将背包落在车上，包里装着一万多元钱。章女士急得不知所措！“来，快跟我上车”交警驱车五公里赶上女士背包所在的班线公交，为其寻回失物。蜀黍提醒：国庆节假日期间，出行人流量多，请大家看管好贵重物品，上下车时包裹要随身携带！如遇困难请及时寻求警察帮助！@黄山公安交警在线,否,,2017-09-30 10:45,194,16,46,微博 weibo.com,https://weibo.com/2501519087/Fobch348u
9,#斑马线上的安全#【文明出行，一路有你！】文明的进步，源于文明的意识。6月份以来，在山西临汾，交通文明的行为越来越多。曾经的岁月，种种交通违法行为与乱象既常见也让人无奈，到现在，越来越多的人开始关注交通、关注文明出行，不少志愿者风雨无阻，每到周末都会带着家人一起参与到倡导文明出行的活动中来。文明出行已逐渐成为一种习惯。@山西临汾交警,否,,2017-09-30 10:22,321,35,29,微博 weibo.com,https://weibo.com/2501519087/Fob2WxD2p
10,#一路平安#【自驾出行 八个注意事项】明天就是国庆节啦，迫不及待要自驾出游了吗？别着急，出发前好好看一下这些提示，防患于未然，才能玩的开心安全。 ​​​​,否,,2017-09-30 10:03,825,76,53,微管家,https://weibo.com/2501519087/FoaVh3uGS
11,【他的醉驾“纪录” 恐怕无人能破了……】今年8月9日晚19时，河南泌阳县。一名浑身酒气、已无清楚表达能力的严重醉酒男子被送至交警大队。其呼气检测结果为440mg/100ml，随后交警立即对其进行血液检测并采取醒酒措施，结果高达468.77mg/100ml，是醉驾标准5.86倍！经调查，该男子中午一个人喝了一瓶老村长、两瓶二锅头（225ml装），之后驾驶三轮摩托回家，半路醉意上涌，便在路边停下睡起来。目前他已被刑事拘留，案件还在进一步审理中。（@河南交警 ） L公安部交通安全微发布的秒拍视频,否,,2017-09-30 09:30,317,64,33,微博 weibo.com,https://weibo.com/2501519087/FoaHPrd1v
12,#一线微观#【驾照注销后补考7次没过 无证上路被查】江某于2015年以后因未及时换证，A2驾驶证被车管所注销，之后补考了7次科目一都没有通过，便放弃了，8月26日，他在驾车前往婺源高铁站时，被@江西高速交警直属三支队二大队 交警查处，由于他驾驶证处于注销状态，属无证驾驶违法行为，高速交警对他进行了依法处理。提示驾驶人要关注自己的驾驶证期限，到期要及时检验换证。 L公安部交通安全微发布的秒拍视频,否,,2017-09-30 09:02,1137,111,50,微管家,https://weibo.com/2501519087/FoawsoX1N
13,【萌娃说交通再上央视 国庆两档节目看萌娃开翔百变出击】还记得那个嘴皮很溜，小脸胖嘟嘟的萌娃周开翔吗？交通萌娃周开翔，趣说交通萌人心，传播安全正能量！国庆期间，上央视看萌娃说交通。O10月6日18：30，CCTV-3《国庆七天乐》 。O10月9日21：00，CCTV-3《非常6+1》[微笑]@安... ​​​​,否,,2017-09-30 08:18,216,20,24,华为P9手机摄影再突破,https://weibo.com/2501519087/FoaeIiucX
14,#安全提示每日一图#出发前 别忘再提个醒 ​​​​,否,,2017-09-30 08:00,313,20,16,微管家,https://weibo.com/2501519087/Foa7ivln6
15,#实用小百科#【国庆假期带宝宝出游实用指南】今年国庆、中秋双节相遇，8天长假，你有带宝宝出门旅行的计划吗？出游时需要带上哪些必备物品？乘坐飞机、高铁时需要注意些什么？…戳图学习↓↓和宝宝一起过个快乐的长假！ ​​​​（@人民日报） ​​​​,否,,2017-09-30 07:02,317,18,17,微管家,https://weibo.com/2501519087/Fo9JKthFu
16,#执法直播台# 双节同庆，平安归家。严查不系安全带等危险、违法行为，确保国庆中秋平安出行，O9月30日09:00攀枝花交警 ，O9月30日15:00雨城交警 ，为您直播！@四川交警  ​ ​​​​,否,,2017-09-29 23:25,107,11,26,三星Galaxy NOTE III,https://weibo.com/2501519087/Fo6KjsWz5
17,深夜，交警蜀黍在干啥？↓↓↓这是河南，其实也是全国。一切为了#一路平安#,是,"#迎接十九大·忠诚保平安##文明交通·安全伴您行#【河南高速交警夜查保平安（四）】9月29日,河南高速交警以“两客一危”车辆为重点，重点加强对长途班线客车、过境客运车辆的检查力度，依托缉查布控系统、定点测速和区间测速系统织密“高速天网”，开展电子巡查，严查违反“十不准”客运车辆和重点交通违 ​​​​...展开全文c",2017-09-29 23:16,85,12,12,三星Galaxy NOTE III,https://weibo.com/2501519087/Fo6GWzxB1
