序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【公安部坚决拥护中央对孙政才严重违纪案处理决定】9月29日，中共中央决定给予孙政才开除党籍、开除公职处分，将其涉嫌犯罪问题及线索移送司法机关依法处理。郭声琨30日主持召开部党委扩大会议，传达学习中央决定。大家一致表示，坚决拥护党中央决定，坚决贯彻党中央精神，坚决维护以习近平同志为核心的党中央权威和集中统一领导。O网页链接,否,,2017-09-30 23:03,62,41,151,小米,https://weibo.com/2328516855/Fog1P6dDd
1,#习主席带领我们强军#【半截皮带的故事令习近平动容】L人民日报的秒拍视频 ​ ​​​​,否,,2017-09-30 22:59,38,12,85,小米,https://weibo.com/2328516855/Fog0w4D2X
2,你不是一个人！//@一个粽子的人生:国歌是我除了儿歌之外的唯一一个能把歌词全部背下而且唱起来不跑调的歌！,是,【广电总局：电台电视台应在重要法定节日播放国歌】据广电总局昨天发布通知 ，在国庆节、国际劳动节等重要国家法定节日，中央台以及省、自治区、直辖市的广播电台、电视台应当于北京时间上午10点整在其主频率、主频道播放国歌，并且前后节目应当与播放国歌相协调，维护国歌尊严。 ​​​​,2017-09-30 22:05,62,67,254,小米,https://weibo.com/2328516855/FofEx0wFo
3,【平板支撑，每天一分钟全身瘦】各种平板支撑练腹肌，以下4个支撑类动作！每个1分钟，两边的是每边各30秒，每次循环3组，组歇1分钟，七天出效果！L健身老师课的秒拍视频 ​​​​,否,,2017-09-30 21:43,229,43,182,微博 weibo.com,https://weibo.com/2328516855/FofvmpQxf
4,【长期熬夜，22岁小伙患上脑动脉瘤 差点猝死！】因长期熬夜上夜班，泰州22岁的小王突然晕倒，经检查，竟是脑动脉瘤破裂了！目前小王已做完手术，他回忆，晕倒前身体毫无异样，只是感觉有点累。医生介绍，脑动脉瘤早期无症状，但就像是大脑里的一颗定时炸弹，随时都有可能爆炸，甚至容易猝死！L江苏新闻的秒拍视频,否,,2017-09-30 21:04,96,63,88,微博 weibo.com,https://weibo.com/2328516855/Foffx6pJm
5,【52岁民警百米冲刺抓获25岁嫌犯】在视频中飞奔的追捕场面，竟是一名52岁的老民警，而被擒获的嫌疑人，仅25岁。想象一下嫌疑人内心的阴影面积……@警民直通车-浦东 #迎接十九大忠诚保平安# L警民直通车-浦东的秒拍视频 ​​​​,否,,2017-09-30 20:32,88,84,275,微博 weibo.com,https://weibo.com/2328516855/Fof2xCt09
6,【广电总局：电台电视台应在重要法定节日播放国歌】据广电总局昨天发布通知 ，在国庆节、国际劳动节等重要国家法定节日，中央台以及省、自治区、直辖市的广播电台、电视台应当于北京时间上午10点整在其主频率、主频道播放国歌，并且前后节目应当与播放国歌相协调，维护国歌尊严。 ​​​​,否,,2017-09-30 20:01,288,273,570,微博 weibo.com,https://weibo.com/2328516855/FoePXxn05
7,【燃！暖！飞越19国跨越几万里！受困同胞，祖国派飞机接你们回家】近日，加勒比海地区遭受飓风厄玛袭击。按照中国民航局任务要求，东航2架A330-300宽体飞机分别于29日晚上22:18和23:19从上海浦东机场起飞，将飞越19个国家领空，往返3.4万公里，将被困同胞紧急接回国。O飞越19国跨越几万里！受困同胞，祖国派飞机接... ​​​​,否,,2017-09-30 19:32,106,46,282,微博 weibo.com,https://weibo.com/2328516855/FoeEbjRhf
8,一分钟学会小猫咪简笔画，萌翻了，建议先马再看！！！学会了拿去哄小盆友吧~ L桃子部落的秒拍视频 ​​​​,否,,2017-09-30 19:01,241,21,223,微博 weibo.com,https://weibo.com/2328516855/FoerBxx47
9,一只狗狗如果能活15年，它将花7.5年等你回家！ L经典搞笑短片的秒拍视频 ​​​​,否,,2017-09-30 18:30,109,102,224,微博 weibo.com,https://weibo.com/2328516855/Foef1uc1x
10,【值得收藏！国庆假期带宝宝出游实用指南】近日，宁波一妈妈担心孩子哭闹影响他人，为乘客发放耳塞和糖果的行为得到网友点赞。今年国庆、中秋双节相遇，8天长假，你有带宝宝出门旅行的计划吗？出游时需要带上哪些必备物品？乘坐飞机、高铁需要注意些什么？…戳图学习↓↓和宝宝一起过个快乐的长假！ ​​​​,否,,2017-09-30 17:58,86,14,33,微博 weibo.com,https://weibo.com/2328516855/Foe22e4aU
11,#迎接十九大忠诚保平安#【守初心 为祖国】团圆之日，我站岗，因为守土有责；欢乐之时，我巡逻，因为守土负责；危机时刻，冲上前，因为守土尽责。祖国，就是我的家。@临泉公安在线 L临泉公安在线的秒拍视频 ​​​​,否,,2017-09-30 17:29,60,21,89,微博 weibo.com,https://weibo.com/2328516855/FodQgoP3b
12,他总说，自己是警察。因为是警察，所以在没有希望的时候，要留个小火种，在快熄灭的时候又点燃。 （作者：司马 来源：有束光）#迎接十九大忠诚保平安# ​​​​,否,,2017-09-30 16:59,91,39,329,微博 weibo.com,https://weibo.com/2328516855/FodE5psxI
13,不会被说抢孩子吧？//@警民直通车-上海: 一看要被带上警车，其他男孩一般都很兴奋，结果咱们这位熊孩子瞬间就崩溃了……  ¡查看图片,是,#我在岗位上# 【走，爷叔带你去找妈妈！】如何安慰走失儿童，警察爷叔有一套：没有什么是一根棒棒糖不能解决的，如果不行，就再来一块巧克力！@警民直通车-上海 @上海长宁 L警民直通车_长宁的秒拍视频 ​​​​,2017-09-30 16:51,41,28,89,微博 weibo.com,https://weibo.com/2328516855/FodB96NMp
14,【很多烈士，甚至没有留下名字】据不完全统计，自革命战争年代以来，约有2000万名烈士英勇牺牲。由于战争年代条件有限，许多先烈没有留下姓名。目前，全国有名可考、并收入各级《烈士英名录》的仅有193万余人。他们，在歌乐山，在雨花台…他们，也在我们心底。转发，致敬！,是,#烈士纪念日#【如果你也铭记，今天发条微博，向所有先烈致敬！】“惟有张扬先烈风骨，才能挺起民族的精神躯干；惟有传承先烈遗志，才有国家更加光明的未来。” 转发、缅怀、传递，为所有的荣光与信念，奋斗与牺牲，致敬英烈！ ​​​​,2017-09-30 16:28,153,33,299,小米,https://weibo.com/2328516855/FodrKkRwl
15,【在亚洲行骗一圈的德国巨腿已到中国 请姑娘们注意】有一名患有严重脂肪肿瘤症的德国男子，已经在亚洲地区开展了很长一段时间的“乞丐旅行”，尽管已经遭到十多个国家的驱逐，依然乐此不疲。而他的最新一站目的地，竟然是中国北京。据最新进展，他已到北京，请女生擦亮双眼，千万别可怜这他！@环球时报 @人民日报海外版-海外网,否,,2017-09-30 15:54,420,260,375,微博 weibo.com,https://weibo.com/2328516855/FoddHuJvE
