序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【广元绵阳国省干线公路畅通！青川5.4级地震交通运输情况汇总】#四川青川地震# “9·30”四川青川5.4级地震发生后，在省委省政府的统一安排部署下，四川省交通运输厅高度重视，立即行动，指导市县迅速开展交通抢险救灾工作。具体情况戳图↓↓ ​​​​,否,,2017-09-30 23:54,1,3,3,微博 weibo.com,https://weibo.com/1935074473/Fogmy7omS
1,#四川交通出行# G213线茂县石大关处国庆期间管制通行方案：上午7点至12点允许茂县至松潘方向车辆通行，下午1点至6点允许松潘至茂县方向车辆通行 ​​​​,否,,2017-09-30 22:16,4,5,2,iPhone 6s Plus,https://weibo.com/1935074473/FofIWikeD
2,#四川青川地震#目前绵阳、广元高速公路通行正常，广元市和青川县、绵阳市交通部门已上路查看，暂未接到公路明显受灾报告。我厅已要求密切关注相关区域，做好隐患排查，遇有灾情及时报告。 ​​​​,否,,2017-09-30 15:28,17,13,6,微博 weibo.com,https://weibo.com/1935074473/Fod3surgm
3,【10月出行注意！达万、绵遂等多条高速有施工情况！】#四川交通出行#10月出行注意啦！成德南、达万、巴南等等高速部分路段将施工占道，部分高速因施工将道路封闭，需绕行。为了大家能出行顺利，请在出行前查询路况信息，做好绕行准备，注意安全！ ​​​​,否,,2017-09-30 15:12,2,1,赞,微博 weibo.com,https://weibo.com/1935074473/FocX0qWEF
4,#地震快讯#省政府新闻办权威发布，据四川省地震局测定，09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。 ​​​​,是,#地震快讯#省政府新闻办权威发布，据四川省地震局测定，09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。 ​​​​,2017-09-30 14:36,4,1,赞,微博 weibo.com,https://weibo.com/1935074473/FocI4kKVw
5,#地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 ） ​​​​,是,#地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 ） ​​​​,2017-09-30 14:20,3,1,5,微博 weibo.com,https://weibo.com/1935074473/FocBIebLJ
6,【“达州通”刷卡机亮相 市民有望扫码坐公交】#市州动态#目前，达州市已经安装了200余台“达州通”刷卡机，下个月达州市民便可使用！目前达城有373台公交车，从26日晚到现在，工作人员已安装了200余台“达州通”刷卡机，接下来将对11路、13路、15路等线路公交车进行安装。 ​​​​,否,,2017-09-30 13:38,转发,2,3,微博 weibo.com,https://weibo.com/1935074473/FockFbQ4F
7,【成都交委发布：普通国省干线及旅游公路通行情况】#市州动态#近日，成都市交委发布近期市域普通国省干线公路及重要旅游公路通行情况，为市民“双节”出行提供交通指南。详戳↓↓ ​​​​,否,,2017-09-30 11:15,2,1,1,微博 weibo.com,https://weibo.com/1935074473/FoboKnwIf
8,【成安渝高速今天下午2点全线通车】#市州动态#成安渝高速公路全线将于今日下午2点通车。这就意味着，作为连接成渝两地距离最短、路线最优、建设标准最高的高速公路全线建成通车。新开通的成安渝主线站至成都第二绕城高速公路段长24公里，设置了成都主线收费站、龙泉驿收费站和洛带收费站3个收费站和龙泉驿服务区。,否,,2017-09-30 09:28,6,4,3,微博 weibo.com,https://weibo.com/1935074473/FoaHjfXTX
9,#四川晚安#国庆大假有朋友打算自驾游吗？准备去哪儿？ ​​​​,否,,2017-09-29 22:30,转发,4,4,微博 weibo.com,https://weibo.com/1935074473/Fo6nWuzYS
10,【“十一”黄金周来临 成都各大车站最热客运线路预警】#市州动态#结合往年的“十一”黄金周旅客出行情况，@成都交通运输 对今年客流高峰期进行了分析预测，对成都各车站客流量较大的线路做了统计↓↓ ​​​​,否,,2017-09-29 17:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1935074473/Fo4qaEpeG
11,【巴中市掀起第三轮交通大会战】#市州动态#25日，巴中市交通运输工作现场会在平昌召开。会议要求：要坚定不移实施交通先行战略，以“148”立体交通网络为重点，突出“加密、联网、升级”主攻方向，集中五年时间，完成交通投资685亿，全面构建“6631”综合交通体系，把巴中建成外快内畅、便捷高效的川东北综合交通枢纽。要坚决打好打胜第三轮交通大会战，为建成川陕革命老区振兴发展示范区、走出秦巴山区脱贫攻坚绿色发展新路子提供交通运输支撑。,否,,2017-09-29 15:59,3,2,5,微博 weibo.com,https://weibo.com/1935074473/Fo3PrxFip
12,【我省道路运输三项事项列入全省“多证合一”改革】#交通动态#25日起，全省正式全面实施“多证合一”改革。我省道路运输三项事项列入此次“多证合一”改革，分别为：道路运输企业变更名称、法定代表人、地址（限县域内）备案；道路货运代理经营备案；道路货运配载经营备案。今后，我省道路运输企业（含客运、货运、维修和驾培企业）办理变更企业名称、法定代表人和地址（限县域内）备案，以及广大道路货运代理经营者和货运配载经营者办理开业备案只需到工商部门登记窗口一次性递交相关材料即可，无需再到运管机构进行备案登记。,否,,2017-09-29 14:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1935074473/Fo3fnxhsh
13,【9号线将成为成都地铁首条无人驾驶线路】#市州动态#9号线从设计之初就决定采用无人驾驶模式。无人驾驶与有人驾驶主要在车辆、信号系统等方面有诸多不同。其中信号系统的自动化程度非常高，系统不仅具有“唤醒模块”，到点就会自动启动“上班模式”，而且也有自动休眠模式，知道“到点就下班”。而在“上下班”的前后，系统都会自动进行相应的检查，确保系统的“健康状态”。,否,,2017-09-29 13:26,转发,1,2,微博 weibo.com,https://weibo.com/1935074473/Fo2Pex1Sl
14,【广元市国道212线南山隧道工程开工】#市州动态#国道212线南山隧道工程起于国道212线南环路碑坪子，止于万源20号公路3段，路线全长6.734公里，项目总投资约13.3亿元，预计2020年完工。该项目的建成将打通国道212线广元市城区过境段交通瓶颈，大幅提升城市交通效率，从根本上解决广元市城区南向出口交通问题。,否,,2017-09-29 11:16,转发,评论,1,360安全浏览器,https://weibo.com/1935074473/Fo1YB5VZi
15,【油价今日24时后或上涨 国庆出行可提前加油】#交通分享#新一轮成品油调价窗口将于9月29日24时开启。多家机构预测，国内油价将迎来“二连涨”，或创年内最大涨幅。所以“十一”长假有出行计划的小伙伴们可以在今天下班以后提前加油，节约出行成本！ ​​​​,否,,2017-09-29 10:26,1,2,赞,360安全浏览器,https://weibo.com/1935074473/Fo1Emqxbw
16,【川西高原三年内打通高速公路网】#交通动态#川西高原一直是四川境内的明珠，但常年以来，这两地的交通主要依靠国道，一直未能实现高速通行。情况正在发生变化，入阿坝的汶马高速预计将在2020年通行，而直达甘孜州府康定市的雅康高速，预计最快明年就能通车，天险即将变通途！ ​​​​,否,,2017-09-28 16:00,1,评论,3,微博 weibo.com,https://weibo.com/1935074473/FnUp99XSh
17,【注意！国道G321线泸隆段交通管制】#交通动态#国道G321线泸(州)隆(昌)段(K1827-K1842)路面进行大修，即日起到12月30日将对国道G321线泸(州)隆(昌)公路K1827+000--1842+000段 (起于泸州市龙马潭区石洞镇、经双加场、仁和、止于得胜场口)实施临时交通管制。施工期间对该路段实行间断性交替通行。如施工期间遇特殊情况导致无法正常进行，上述临时交通管制时间顺延。,否,,2017-09-28 14:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1935074473/FnTCrcvl5
18,【丽攀高速“新庄隧道”已恢复双向通行】#交通动态#为保证国庆期间广大群众出行便利，道路畅通，2017年9月27日9时许，G4216蓉丽高速公路丽攀段施工路段“新庄隧道”已恢复双向通行。 ​​​​,否,,2017-09-28 12:00,转发,评论,2,微博 weibo.com,https://weibo.com/1935074473/FnSPIEj9O
19,【省道206线阆中凉水至河溪段国庆节前通车】#交通动态#省道206线阆中凉水至河溪段建设项目，起点为凉水镇护山与仪陇先锋交接处，终点为河溪太平桥与阆中嘉陵江三桥连接线交界处，全长37公里，总投资3.3亿元。目前，已完成投资2.6亿元，全路段已完成油面下层铺筑，8座桥梁已建成。 ​​​​,否,,2017-09-28 10:00,5,评论,6,微博 weibo.com,https://weibo.com/1935074473/FnS31o5Ld
20,【四川4条藏区高速公路力争2022年底前建成通车】#交通动态#厅规划处处长许磊：“今后几年，全省藏区交通建设投资还将保持高位态势。构建对外运输大通道，进一步推动高速公路向藏区延伸。雅康、汶马、绵九、康定过境段等4条高速公路力争2022年底前全部建成通车。加快川青、川藏、马尔康至青海久治等高速公路大通道的研究论证和前期工作。”,否,,2017-09-28 09:15,4,2,3,微博 weibo.com,https://weibo.com/1935074473/FnRKL3OSZ
21,#四川早安#心小了，事情就大了；心大了，事情自然就小了。心若向阳，何畏悲伤早安。 ​​​​,否,,2017-09-28 08:00,1,1,3,微博 weibo.com,https://weibo.com/1935074473/FnRgjoIYK
22,#四川晚安#来说一说走雅西高速是怎样一种体验？ ​​​​,否,,2017-09-27 22:30,1,14,9,微博 weibo.com,https://weibo.com/1935074473/FnNwX2EO7
23,【7号线全面开展空载试运行】#市州动态#成都地铁7号线正全面开展空载试运行，相关工作人员已全部就位并按照开通标准对系统功能、设备状态、人员技能、应急处置能力等方面进行全面的验证与检测，确保地铁7号线工程于今年底顺利开通试运营。@成都地铁运营 ​​​​,否,,2017-09-27 17:48,转发,评论,9,微博 weibo.com,https://weibo.com/1935074473/FnLGN6BOm
24,#交通分享#我省在高速公路建设中严格落实环保要求，强化生态环境保护。图为成都绕城高速接待寺立交桥梁↓↓ ​​​​,否,,2017-09-27 17:30,转发,2,4,微博 weibo.com,https://weibo.com/1935074473/FnLzbeCd9
25,#交通分享#2020年前，广安市将推广应用新能源汽车1万辆，全市将逐步形成市、县、乡、村四级互联互补的充换电配套服务体系。图为广安市民在用直流充电桩为新能源汽车充电↓↓ ​​​​,否,,2017-09-27 15:30,转发,评论,2,微博 weibo.com,https://weibo.com/1935074473/FnKMtjjiD
26,【国庆中秋期间 危化车辆全省高速禁行】#交通动态#全省高速公路在10月1日零时至10月8日24时，禁止危险化学品运输车通行。10月7日至8日，每日11时至21时返程高峰期，全省范围内禁止三轴（不含）以上货车（运送鲜活农副产品车除外）进入高速公路。 ​​​​,否,,2017-09-27 13:30,2,评论,2,微博 weibo.com,https://weibo.com/1935074473/FnJZLn325
