序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,守护平安回家路！#四川公安，在你身边#,是,"#游在四川,全域平安# 【放假了，警察蜀黍送我们回家】因连日下雨，347国道达州万源段山体塌方，道路被泥石掩埋。今天下午，为方便大批学生和在外务工人员回家，@万源POLICE 竹峪派出所民警主动护送过往群众，帮助大家安全通过危险路段。@四川公安 @公安部打四黑除四害 ​​​​",2017-09-30 22:40,9,10,36,iPhone,https://weibo.com/3498446914/FofSyiyC3
1,#迎接十九大忠诚保平安#【超燃！四川公安忠诚誓言：我在，平安在！】党的十九大即将召开，四川各级公安机关坚持践行“四句话，十六字”总要求，从严从实从细狠抓保稳定、护安全、促和谐各项工作的贯彻落实，以严之又严、实之又实、细之又细的作风和举措，为党的十九大胜利召开创造安全稳定的社会环境，用热血与忠诚践行“我在平安在”的铮铮誓言。 L四川公安的秒拍视频,否,,2017-09-30 21:05,19,3,18,iPhone,https://weibo.com/3498446914/FofghwN3x
2,"为了您的平安，我们一直都在！#游在四川,全域平安#",是,#游在四川，全域平安#这个节日里，我们一直在路上，守护你的平安！我们准备好了！@四川公安 @宜宾发布 L宜宾公安的秒拍视频 ​​​​,2017-09-30 20:15,7,1,16,iPhone 6 Plus,https://weibo.com/3498446914/FoeVEjMdx
3,9张创意GIF动图，讲述航展安保父子档、夫妻档的动人故事！#平安航展有我守卫#,是,"#平安航展有我守卫# 他们是父子、是夫妻......在守护航展的日子里，他们聚少离多、同责不同岗,此刻，他们在一起！【父子档：儿子，来瓶水！】【夫妻档：亲，等航展结束后我给你做饭！】 【父子档：爸比，我想去看灰机！】 ​​​​",2017-09-30 19:59,10,1,7,iPhone,https://weibo.com/3498446914/FoePwChpj
4,请前线的战友们一定注意安全，提防余震和落石！#四川青川5.4级地震#,是,#四川青川5.4级地震# 9月30日14时14分，青川县发生5.4级地震。地震发生后，@平安青川 交警大队民警在青（川）剑（阁）路马鹿镇辖区开展排险工作，对有落石路段进行清障和设置警示牌。 ​​​​,2017-09-30 18:55,4,3,19,iPhone,https://weibo.com/3498446914/FoephBCGo
5,#警方辟谣# 9月30日14时14分，青川县发生5.4级地震。地震发生后，一张江油市九岭镇机关办公楼大门受损的图片在朋友圈、微信群、QQ群中大量转发。经@江油发布 核实，该图片系“5.12汶川特大地震”中，九岭镇机关办公楼大门的受损情况，与#四川青川5.4级地震# 无关。警方提醒，请勿信谣、不传谣。 ​​​​,否,,2017-09-30 18:22,17,7,26,iPhone,https://weibo.com/3498446914/FoebQFu2Z
6,#四川青川5.4级地震#9月30日14时14分，广元市青川县发生5.4级地震，与青川紧邻的江油市震感明显。地震发生后，@江油公安 @江油公安交警 第一时间调集警力，对临近青川的县道、乡道和山村道路进行隐患排查，对因地震垮塌的道路进行交通管制，协调路政部门对道路进行抢通，全力确保道路交通安全！ ​​​​,否,,2017-09-30 18:02,12,5,21,iPhone,https://weibo.com/3498446914/Foe3LcLBC
7,"【省内多条铁路陆续恢复运行秩序，宝成铁路仍在排查隐患】据@西南铁警 最新消息，除了宝成铁路仍在继续排查隐患外，受#四川青川5.4级地震#影响的其他铁路已经全部开通，列车运行秩序陆续恢复正常。 ​蜀黍提醒，回家路上，注意安全，保管好随身财物！#游在四川,全域平安# ​​​​",否,,2017-09-30 17:42,11,4,20,iPhone,https://weibo.com/3498446914/FodVQ80QX
8,【城际列车上婴儿突发疾病 铁警紧急开辟生命通道】#四川青川5.4级地震# 发生后，成绵乐城际列车C6308次列车上一名婴儿突发状况，呼吸困难。铁路部门通过协调调度铁路临时放行动车，@西南铁警 德阳车站派出所联合火车站，紧急开辟生命通道，为医护人员抢救婴儿争取时间。 ​​​愿孩子平安无事！,否,,2017-09-30 17:20,9,6,33,iPhone,https://weibo.com/3498446914/FodMZlpaU
9,#游在四川，全域平安# 国庆将至，@四川消防 蜀黍们将以决战决胜的姿态，护航人民生命财产安全，为祖国母亲献礼。祝福祖国永远繁荣昌盛、平安祥和。消防蜀黍提醒：欢度佳节勿忘消防安全。 L内江市公安消防支队的秒拍视频 ​​​ ​​​​,否,,2017-09-30 17:00,5,6,9,iPhone 6 Plus,https://weibo.com/3498446914/FodEFrYXH
10,#四川青川5.4级地震# 因受地震影响，省内部份列车出现晚点，多地车站民警开展站车秩序维护！请大家听从民警安排，耐心等候列车恢复正常通行！,是,#四川青川5.4级地震# 青川5.4级地震发生后，成都铁路公安局迅速组织民警疏散受惊群众，协助客运部门维持车站，列车秩序。同时，宝成、绵成乐等沿线派出所民警赶赴现场，对扣停在区间和站内的列车开展治安巡查。 ​​​​,2017-09-30 16:19,14,4,13,iPhone,https://weibo.com/3498446914/Fodo2sj70
11,@四川交警 权威发布青川5.4级地震和实时路况！#四川青川5.4级地震#,是,9月30日14时14分在广元市青川县发生5.4级地震后，青川交警大队立即派出全部警力上路执勤，一方面疏导城市交通，另一方面各交警中队排查辖区道路是否有塌陷，落石等情况，目前，青川县城交通秩序良好，未接到有人员伤亡的警情。 ​​​​,2017-09-30 15:50,8,2,15,iPhone,https://weibo.com/3498446914/FodcoxpTK
12,辛苦了！#平安航展有我守卫# #游在四川，全域平安#,是,#平安航展有我守卫#航展第二天，下雨喽一大早蜀黍就来到各个路口疏导交通，展区内蜀黍也开始忙碌。 ​​​​,2017-09-30 15:43,2,评论,15,iPhone,https://weibo.com/3498446914/Fod9yc2dK
13,#地震快讯# 据中国地震台网正式测定，9月30日14时14分在四川广元市青川县发生5.4级地震，震源深度13千米，震中位于北纬32.27度，东经105.00度。青川的朋友你们都好吧？ ​​​​,否,,2017-09-30 14:31,8,27,19,iPhone,https://weibo.com/3498446914/FocGokYNE
14,#地震快讯#据中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。 ​​​​,否,,2017-09-30 14:21,15,28,22,iPhone,https://weibo.com/3498446914/FocBZmr3C
15,#地震预警# 据@成都高新减灾研究所 ：成都提前48秒收到14:14 四川青川 5.1级左右地震的预警信息，预估烈度1.9度。最终地震参数以7-10分钟后中国地震台网发布的正式数据为准。用户可下载“地震预警”(ICL)手机软件接收地震预警。 ​​​​,否,,2017-09-30 14:15,5,19,14,地震预警,https://weibo.com/3498446914/Foczy4egR
16,”大宝剑”，好帅的样子,是,【市区惊现背着“大宝剑”的警察，这不是cosplay……】一支整齐划一的摩托车骑警队穿梭在市区的大街小巷，@攀枝花-平安东区 骑警身着黑色特警服，身背“大宝剑”，但这不是cosplay，而是警察蜀黍们配备的新装备：一套便携式出警装备，比传统八大件装备更加灵活，便于抓捕时奔跑、运动。@四川公安 ​​ ​​​​...展开全文c,2017-09-30 13:12,6,6,29,iPhone 6 Plus,https://weibo.com/3498446914/Focah2Tu3
17,一段视频解开警娃们的迷之困惑。#迎接十九大忠诚保平安#,是,#献礼十九大#这是五通桥区公安分局基层民警的真实故事，故事的主人公小桐（化名）是基层民警的儿子，在他的眼中爸爸非常忙碌，都不能照顾他和妈妈，但他却觉得骄傲，因为爸爸能守护平安、保护人民群众，爸爸爱国爱民的情怀深深地感染着他，小桐励志长大以后也要做一名人民警察，守护平安，保护群众，传 ​​​​...展开全文c,2017-09-30 12:36,5,评论,7,iPhone 6 Plus,https://weibo.com/3498446914/FobVF6vuX
18,转发致敬！,是,【#烈士纪念日#向公安英烈致敬！】川警院发展历程中出现的144名英烈，在他们背后都有一段被全体警院人铭记的英勇。他们用鲜血和生命书写了对党、国家和人民的忠诚。金色盾牌热血铸就，烈士精神照耀神州！此刻，不论你身在何方，请向所有英勇捐躯的川警院先烈们，致敬！ ​​​​,2017-09-30 12:26,6,3,20,iPhone 6 Plus,https://weibo.com/3498446914/FobRl2lck
19,为辅警兄弟点赞！#四川公安，在你身边#,是,【女子跳江，巡逻路过辅警听呼救跳水救人】9月28日，广元滨江大道一侧，一女子坠江，巡逻经过此处的广元交警一大队辅警华磊听到群众呼救后，迅速赶到现场跳入江中，成功将该女子救起。后其老公称是因家庭矛盾导致。目前，女子已脱离生命危险。L女子跳江，过路辅警听呼救也跳下水 ​​​ ​​​​,2017-09-30 10:42,9,3,24,iPhone,https://weibo.com/3498446914/FobbrlXok
20,【#烈士纪念日#向公安英烈致敬！】新中国成立以来，四川省共有1090名民警英勇牺牲，其中因公牺牲653人、被批准为烈士437人、700余名民警因公致残、8200余名民警光荣负伤。他们用鲜血和生命书写了对党、国家和人民的忠诚。金色盾牌热血铸就，烈士精神照耀神州！ ​​​​,否,,2017-09-30 09:53,50,10,43,iPhone,https://weibo.com/3498446914/FoaRedGIE
21,头条文章：成都特警的一天 °成都特警的一天 ​​​​,否,,2017-09-30 09:46,1,5,34,iPhone 6s,https://weibo.com/3498446914/FoaOkv3T0
22,【转发，铭记“血染的黎明”】自革命战争年代以来，2000多万烈士为国捐躯。而最让人叹惋的，是那些倒在黎明之前的英雄。尊崇英烈的民族，才是有血性、有希望的民族。以鲜血染红旗帜、以生命点亮共和国黎明的人，值得我们永远铭记。O网页链接  L公安部打四黑除四害的秒拍视频 ​​​ ​​​​,否,,2017-09-30 08:54,7,1,18,iPhone 6 Plus,https://weibo.com/3498446914/FoatAvRRl
23,金色盾牌热血铸就！,是,【#烈士纪念日#向公安英烈致敬！】新中国成立以来，全国有1.5万名公安民警(含公安现役官兵)因公牺牲，其中3300多人被评为烈士；2010至2016年，2929名公安民警因公牺牲，今年1至7月221名公安民警因公牺牲。他们用鲜血和生命书写了对党、国家和人民的忠诚。金色盾牌热血铸就，烈士精神照耀神州！ ​​​​,2017-09-30 08:54,9,1,17,iPhone 6 Plus,https://weibo.com/3498446914/Foats1Jxl
24,#平安航展有我守卫#,是,#平安航展有我守卫# 【绵竹公安执守广汉三星堆国际飞行音乐节】白天的四川国际航展，晚上的国际飞行音乐节， 看乐队演出、享面具狂欢，还有千架无人机编队表演，现场好嗨好多人，安全尤为重要！为了保障现场的秩序和安全，驰援的绵竹警察蜀黍们一丝不苟投入现场的安保工作！ ​​​​,2017-09-30 08:42,3,评论,12,iPhone,https://weibo.com/3498446914/FoaoE9NYj
25,蜀黍：我能怎么办，我也很无奈啊。,是,我要报警，有人当着警察蜀黍的面秀恩爱 ​​​​,2017-09-30 07:48,4,6,20,iPhone 6 Plus,https://weibo.com/3498446914/Foa2NkA00
26,航展实时路况#平安航展有我守卫#,是,#平安航展有我守卫# 截止17：30分路况信息：1、今日中飞院展区活动已结束，周边道路进入返城高峰期，车辆通行缓慢，请过往车辆有序通行。2、因三星堆国际音乐节即将开幕，三星堆快速通道向新路口进入高峰期，来往车辆通行缓慢，请过往车辆有序通行。 2广汉·三水镇 ​​​​,2017-09-29 17:42,8,1,10,iPhone,https://weibo.com/3498446914/Fo4vbauIW
27,#平安航展有我守卫# 德阳公安四大神器，专治无人机扰飞！有人需要技术支持吗？ ​​​​,否,,2017-09-29 17:22,29,20,65,iPhone,https://weibo.com/3498446914/Fo4mWykyD
28,【德阳航展，除了飞机还火了一枚警察蜀黍】29日，2017四川国际航空航天展览会开幕式上，除了各式各样的飞机吸引眼球外，现场负责安保的特警蜀黍也成为人们合影的目标！其中，德阳市公安局特警支队特战大队尖刀中队民警马俊文，成为最受欢迎的对象！#平安航展有我守卫##迎接十九大忠诚保平安# ​​​​,否,,2017-09-29 12:17,26,23,62,iPhone,https://weibo.com/3498446914/Fo2nmenfK
29,来，警察蜀黍带你看灰机～#平安航展有我守卫#（来自L一直播:四川公安正在直播）APP下载地址：O网页链接  2德阳 ​​​​,否,,2017-09-29 10:51,6,24,12,一直播,https://weibo.com/3498446914/Fo1Op6fb8
30,来，蜀黍带你看灰机～#平安航展有我守卫#（来自L一直播:四川公安正在直播）APP下载地址：O网页链接  2德阳 ​​​​,否,,2017-09-29 10:33,11,14,5,一直播,https://weibo.com/3498446914/Fo1H90xL1
31,警汪：好紧张，第一次上直播，该怎么做才能像经常直播一样？急，在线等～ ​​​#平安航展有我守卫##迎接十九大忠诚保平安# ​​​​,否,,2017-09-29 10:11,12,21,38,iPhone,https://weibo.com/3498446914/Fo1y6rsTM
32,来！警察蜀黍带你看灰机～#平安航展有我守卫#（来自L一直播:四川公安正在直播）APP下载地址：O网页链接  2德阳 ​​​​,否,,2017-09-29 09:30,19,36,7,一直播,https://weibo.com/3498446914/Fo1hx40dp
33,来，猜猜蜀黍在干嘛？#平安航展有我守卫# ​​​​,否,,2017-09-29 08:21,87,113,42,iPhone,https://weibo.com/3498446914/Fo0PGrhki
34,亲们，早啊！帅气的蜀黍和警汪已经上岗，而……#平安航展有我守卫# ​​​​,否,,2017-09-29 07:16,56,59,230,iPhone,https://weibo.com/3498446914/Fo0pdAIgJ
35,护航展，保平安，@广汉公安 与你相伴！#平安航展有我守卫# L四川公安的秒拍视频 ​​​​,否,,2017-09-28 22:39,10,1,21,iPhone,https://weibo.com/3498446914/FnX1lhvQf
36,#平安航展有我守卫#【O明天9点30分，叔叔带你看灰机[飞机] 】9月29日，2017四川国际航空航天展览会将在德阳广汉拉开帷幕。世界顶尖飞行队齐聚德阳，@四川公安 带您观赏精彩飞行盛宴。小伙伴们约起来～[噢耶] ​​​ ​​​​,否,,2017-09-28 21:39,6,10,24,iPhone 6,https://weibo.com/3498446914/FnWCR8nua
37,没有爸爸的国庆节！#迎接十九大忠诚保平安#,是,做警察，最亏欠的还是自己的家人。看了@府南派出所  同事孩子的日记，瞬间泪奔@平安成都  @四川公安  @中国警察网  @公安部打四黑除四害 ​​​​,2017-09-28 20:03,10,5,25,iPhone,https://weibo.com/3498446914/FnW06qrby
38,#平安航展有我守卫#【2017四川国际航空航天展览会等你来[噢耶]】9月29日，2017四川国际航空航天展览会将在德阳广汉拉开帷幕。29日、30日为飞行表演专业观展日，10月1日-3日为观众观展日。为期5天的首届四川航展以“共舞蓝天融合发展”为主题，将全面呈现全球航空航天成果，全力打造国内一流航展品牌。@德阳公安 全程护航，打造平安盛会！,否,,2017-09-28 17:17,22,9,19,iPhone,https://weibo.com/3498446914/FnUUDtbGy
39,战友，一路走好！,是,【送战友】28日凌晨1时47分，重庆铁路公安处禁毒支队副支队长何世林同志在侦办一起毒品案件时突发脑溢血，不幸离世，倒在了安保第一线！年仅46岁！就在生命里最好的时光，他离开了年迈的母亲、妻女、战友和为之奋斗的公安事业！此刻，点燃，送战友一程！ ​​​ ​​​​,2017-09-28 11:34,17,15,73,iPhone,https://weibo.com/3498446914/FnSFkuxh9
40,【7小时！金店被盗案告破！】9月27日上午9时许，@南部公安 接到报警：县城一金店被盗。经现勘判断案发时间应该在凌晨时分，警方迅速在重点可疑区域展开拉网式盘查，在重要的路口、交通要道定点蹲守，密织天罗地网。16时许，距接到报案仅7小时，2名犯罪嫌疑人落网，被盗金银首饰全部追回。 ​​​​,否,,2017-09-28 00:50,17,4,29,iPhone 6 Plus,https://weibo.com/3498446914/FnOrUuC6s
41,#还看今朝#【川警眼中的四川人】“天府之国”的惬意，熊猫的呆萌，吃货的天堂…这是四川，但四川远不止于此。这五年，四川人民战胜了两次大地震，478万人口脱离贫困…省公安厅机场公安民警赵静婉、四川公安消防搜救犬训导员赵琦与其他川人一道，讲述四川精气神，展现川人乐观、泼辣、实干性格。 L四川公安的微博视频,否,,2017-09-27 17:18,34,9,33,360安全浏览器,https://weibo.com/3498446914/FnLuohIHR
42,好危险，蜘蛛侠蜀黍注意安全。,是,【警员化身蜘蛛侠，救援跌落雨棚老大娘】近日，接群众报警：我市南宝山天罡小区有一大娘从家中4楼阳台跌落至2楼雨棚，情况危急！派出所到达现场后，出警人员立即带上救生工具，沿3楼防护栏慢慢靠近大娘，并和4楼警员一起通过绳索将大娘从2楼雨棚转移至安全地带！后经医生检查，大娘身体无大碍！ ​​​​...展开全文c,2017-09-27 16:44,5,2,11,iPhone 6 Plus,https://weibo.com/3498446914/FnLgJ5iD2
