序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#四川晚安#一个开心的晚安假期快乐 ​​​​,否,,2017-09-30 23:00,1,2,16,微博 weibo.com,https://weibo.com/1905843503/Fog0Cl3te
1,【艺体类考生注意！国庆节后开始报名】#四川教育#准备艺考的同学看过来！国庆长假结束，欲报考普通高校艺术体育类（含运动训练、武术与民族传统体育）专业的考生就要准备报名了！10月10日至14日12∶00期间，考生可登录各市州招考办指定网址开始进行文化考试网上报名。 ​​​​,否,,2017-09-30 22:20,5,评论,8,微博 weibo.com,https://weibo.com/1905843503/FofKndUHX
2,【今明省内汽车票销售过八成 乘客需带身份证乘车】#四川服务#明天就是国庆中秋双节黄金周啦！截至下午三点，四川汽车票务网提供的今明两天省内汽车票销售已过8成。川叔提示：自4月1日起全省实行实名检票后，乘车旅客须携带本人身份证或其他身份证明，半票儿童需携带户口薄才能乘车。 ​​​​,否,,2017-09-30 21:40,2,3,6,微博 weibo.com,https://weibo.com/1905843503/Fofu96Q3J
3,【四川人注意！国庆期间成都8家医院停诊信息来了】#四川服务# 四川发布客户端记者从多家医院官网获悉，国庆大假期间，部分医院门诊停诊，大家国庆期间有就诊安排的一定注意了！O四川人注意！国庆期间成都8家医院停诊信息来了 ​​​​,否,,2017-09-30 21:30,2,3,7,微博 weibo.com,https://weibo.com/1905843503/Fofq5jDV9
4,【重磅！四川大学要在眉山建分校！合作的项目个个不简单】#连线市州# 9月29日，四川大学-眉山市战略合作框架协议在成都举行。这标志着眉山深化产学研结合，在国际范围内整合川大校友会资源，进一步提升开放水平，打造科技转化和创新高地迈出了实质步伐。O重磅！四川大学要在眉山建分校！合作的项目个... ​​​​,否,,2017-09-30 21:06,2,6,15,微博 weibo.com,https://weibo.com/1905843503/FofgwCDgm
5,"【好消息！长假期间全国空气不错】#四川服务#长假将至，雾霾会来""添乱""吗？环保部表示，这个国庆长假期间，预计全国大部分地区空气质量总体较好，但受假期往返交通流量大幅增加影响，机动车尾气造成的污染物排放将显著上升，部分城市可能出现空气质量转差的情况。（新华视点） ​​​​",否,,2017-09-30 21:00,2,1,5,微博 weibo.com,https://weibo.com/1905843503/FofdUkNFU
6,【今日成都机场旅客吞吐量预计达14.6万人次】#四川服务#明天，“加长版”的黄金周8天假期将开启。据统计，今天成都机场共安排航班946架次，比去年同日增加了7个班次；旅客吞吐量预计达14.6万人次，其中出港旅客7.2万人次，进港旅客7.4万人次，总体客流较为平稳。（四川新闻网）这里面有你吗？ ​​​​,否,,2017-09-30 19:40,2,1,8,微博 weibo.com,https://weibo.com/1905843503/FoeHqy6rL
7,【10月6日-8日 成都公安办证中心提供延时服务】#连线市州#为方便平日工作繁忙的小伙伴，成都市公安办证中心国庆假期将提供延时服务。其中，9月30日18:00-10月5日20:00，因人口数据库升级，全省治安户政窗口暂停户政业务办理。10月6日-8日，每日9:00-17:00将提供延时服务，可办理全部户籍业务。 ​​​​,否,,2017-09-30 19:00,4,1,2,微博 weibo.com,https://weibo.com/1905843503/FoerctmnW
8,【成都首批纯电动双层巴士投用 国庆连着Wi-Fi到黄龙溪】#连线市州#今天，承载着无数老成都人记忆的双层巴士正式回归了！这批双层巴士是纯电动的新能源汽车，票价5元一人当天免费换乘，上车买票支持手机付款，配有讲解员介绍站点，车内还配有Wi-Fi和免费矿泉水，可免费上网 ​​​​,否,,2017-09-30 18:30,23,5,75,微博 weibo.com,https://weibo.com/1905843503/Foef1qrOs
9,【我为四川美景打CALL②丨大熊猫、蒙顶茶、世外美景…来雅安你不可错过这些！】#每日一景#雅安是动植物的王国和基因库，是世界上第一只大熊猫的科学发现地，还是世界茶文化的发源地。汉姜古城、喇叭河、硗碛藏寨、东拉山大峡谷、蒙顶山、碧峰峡……到雅安，这些美景不能错过↓↓ ​​​​,否,,2017-09-30 17:50,1,2,22,微博 weibo.com,https://weibo.com/1905843503/FodYMFvok
