序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,逛景点逛的不就是个人山人海吗？密集恐惧症慎点（图片来源于网络） ​​​​,2017-09-30 21:34,转发,1,6,360安全浏览器,https://weibo.com/2164230524/FofrVobcq
1,#四川省主要城市48小时天气预报# ​​​​,否,,2017-09-30 17:17,转发,评论,3,微博 weibo.com,https://weibo.com/2164230524/FodLFcEWh
2,#四川省晚间天气预报# 未来24小时：广元、巴中、达州、南充、广安5市有小雨，部分地方有中到大雨，局部地方有暴雨，盆地其余地方以多云间阴天的天气为主，有分散的阵雨或小雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨.... （详细预报戳↓图） ​​​​,否,,2017-09-30 17:14,2,1,2,微博 weibo.com,https://weibo.com/2164230524/FodKsrv53
3,四川气象头条号首次上问答～来戳链接，国庆+中秋四川天气早知道！出行不担心，四川气象为你答疑解惑～O网页链接 ​​​​,否,,2017-09-30 16:00,转发,评论,1,微博 weibo.com,https://weibo.com/2164230524/Fodg8dTgN
4,多趟列车被紧急扣留....,是,【广元#青川5.4级地震#后 成都铁路局紧急暂扣多趟列车】9月30日下午14点14分四川青川附近发生里氏5.4级地震，四川省内多地震感明显。14点30分，记者从成都铁路局获悉，地震发生后，成都铁路局紧急扣停了运行在宝成铁路成都至广元段、绵成乐铁路成都东至江油段的所有列车，目前成渝客专全线扣停、成渝高 ​​​​...¡查看图片展开全文c,2017-09-30 14:50,转发,4,3,微博搜索,https://weibo.com/2164230524/FocO3uBlZ
5,早就告诉大家了在四川睡觉不能裸睡....,是,#四川青川5.4级地震#当地网友发来的照片 ​​​​,2017-09-30 14:49,1,6,16,微博 weibo.com,https://weibo.com/2164230524/FocNjEHAL
6,#14时气温实况# 还没有从刚才地震的惊吓中回过神来.... ​​​​,否,,2017-09-30 14:30,2,8,10,微博 weibo.com,https://weibo.com/2164230524/FocFQlf8K
7,川川吓得不行了.... 你们呢？,是,#地震快讯#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。（ @震长 @人民日报 @央视新闻 ） ​​​​,2017-09-30 14:22,6,38,24,微博 weibo.com,https://weibo.com/2164230524/FocCngptW
8,#四川省早间天气预报#今天白天到晚上：广元、巴中、达州、南充、广安5市有小雨，部分地方有中到大雨，局部地方有暴雨，盆地其余地方以多云间阴天的天气为主，有分散的阵雨或小雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨，其中川西高原北部的局部地方有中雨。24小时内，最高气温：22~26℃；最低气温：18~21℃。,否,,2017-09-30 08:46,1,评论,4,360安全浏览器,https://weibo.com/2164230524/Foaqevtzv
9,#08时气温实况# 温馨提醒：假期将至聚会多，请注意饮食健康，营养均衡，少吃寒凉食物，不要过度饮酒~~ ​​​​,否,,2017-09-30 08:25,转发,评论,2,360安全浏览器,https://weibo.com/2164230524/FoahLqUOo
10,转发微博,是,【你心中的最美赏月地是哪里？】今年中秋，央视新闻再次启动#中国最美赏月地#网络推选。第一阶段自由推选即日开始，在评论中留言或转发此微博推荐城市、景点！我们将根据网友提名和大数据形成投票名单，选出10个地点。中秋之夜，央视新闻多地联动直播，共赏最美月光，想让家乡上榜就快投票吧！ ​​​​,2017-09-29 22:09,转发,评论,1,360安全浏览器,https://weibo.com/2164230524/Fo6fD5Swd
11,,是,这组照片，献给所有迷茫中的学生~ ​​​​,2017-09-29 21:08,1,评论,6,360安全浏览器,https://weibo.com/2164230524/Fo5QH9yUv
12,四川国庆假期无大范围降水 攀西川西雨势较强 - 四川国庆假期无大范围降水 攀西川西雨势较强 °四川国庆假期无大范围降水 攀西川西雨势较强 ​​​​,否,,2017-09-29 17:08,3,1,2,bShare分享,https://weibo.com/2164230524/Fo4hz1cVT
13,#四川省主要城市48小时天气预报# ​​​​,否,,2017-09-29 16:16,3,2,1,微博 weibo.com,https://weibo.com/2164230524/Fo3Ww47Rj
14,#四川省晚间天气预报# 未来24小时：盆地各市多云间阴有分散的阵雨或小雨，达州、广安、泸州3市局部有中雨；川西高原和攀西地区阴天间多云有阵雨或雷雨，攀西地区局部地方有中雨.... （详细预报戳↓图） ​​​​,否,,2017-09-29 16:15,3,1,赞,微博 weibo.com,https://weibo.com/2164230524/Fo3W6nVl9
15,#重要天气消息# 四川气象发布了头条文章：《国庆中秋假期专题天气预报》  °国庆中秋假期专题天气预报 ​​​​,否,,2017-09-29 15:38,6,1,1,微博 weibo.com,https://weibo.com/2164230524/Fo3H5g4yD
16,#14时气温实况# 小攀攀一枝独秀.... ​​​​,否,,2017-09-29 14:26,1,4,1,微博 weibo.com,https://weibo.com/2164230524/Fo3dMlydX
17,首届“公众最喜爱的气象节目评选”正式启动啦！请大家支持06号四川气象节目和06号气象节目主播刘建国！ O活动介绍 ​​​​,否,,2017-09-29 10:48,转发,评论,1,微博 weibo.com,https://weibo.com/2164230524/Fo1N0dpOe
18,世界上最好的运动，是走路！,是,#急急侠话科普#【世界上最好的运动，是走路！】每天开车上下班，有电梯就不爬楼梯，有座位就不愿站着…世界卫生组织数据显示，全球四分之一的成年人身体活动不足。预防慢性病必须要“动起来”！步行被称为世界上最好的运动，低碳环保，强身健体。今天，世界步行日，戳图学习科学走路法↓↓转给久坐不动 ​​​​...展开全文c,2017-09-29 10:27,1,评论,赞,微博 weibo.com,https://weibo.com/2164230524/Fo1EJshbJ
19,欢迎大家踊跃投票。请大家支持06号四川气象！,是,"#有奖征集天气视频# 首届“公众最喜爱的气象节目评选”正式启动啦！还以为是你熟悉的天气预报？它们多了你不熟悉的新“配方”！快来选出你最喜爱的天气预报节目和主播,让他们知道你们的爱！活动将设“公众最喜爱的天气预报节目”和“公众最喜爱的气象主播”2个奖项，由公众投票最多的评选者获得，荣誉 ​​​​...展开全文c",2017-09-29 10:14,5,1,1,微博搜索,https://weibo.com/2164230524/Fo1zx94fP
20,#国庆旅游天气# 国庆假期旅游天气前瞻....,是,#国庆旅游天气# 【国庆旅游天气前瞻】想必大家都计划好国庆去哪儿了吧？小象象在这里祝愿大家想去的地方天气特别好，心情特别美，玩得特开心。我们对一些热门的旅游城市进行了一个预测，供大家参考 ​​​​,2017-09-29 10:08,1,评论,1,微博 weibo.com,https://weibo.com/2164230524/Fo1wScW7R
21,涨知识了....,是,【今年中秋十五的月亮十七圆】据广州市五羊天象馆28日预测，今年中秋月十五的月亮十七圆，月亮最圆时出现在10月6日2时40分(望)每月的农历十四，十六，十七，也经常成为月亮最圆的那天——那么问题来了，「月圆」和「农历」这俩之间到底有什么联系？这就要从天文原理，以及「农历」 ​​​​...展开全文c,2017-09-29 09:44,2,评论,2,微博 weibo.com,https://weibo.com/2164230524/Fo1n0zrNF
22,#四川省上午天气预报#今天白天到晚上盆地大部分地方以多云间阴天的天气为主，有阵雨或零星小雨，其中广安及达州南部、泸州的部分地方有中雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨，其中攀西地区的局部有中雨。24小时内，最高气温：22~25℃；最低气温：18~21℃。 ​​​​,否,,2017-09-29 08:18,2,7,2,360安全浏览器,https://weibo.com/2164230524/Fo0Okyvtq
23,#08时气温实况# 好消息：兰渝铁路今日开通运营，成都至兰州的铁路旅行时间为12小时，比过去压缩了9.5小时。 ​​​​,否,,2017-09-29 08:17,转发,评论,3,360安全浏览器,https://weibo.com/2164230524/Fo0NYECjJ
24,,是,#小武分享#【美哭！BBC纪录片“蓝色星球2”回归，每一帧都是大片】9月27日，BBC Earth发布了号称“最美纪录片”的《蓝色星球2》预告片。从滩涂到海底，无边无际的蓝色深渊藏匿着许多秘密。Radiohead与配乐大师Hans Zimmer合作，重新编曲Bloom。BBC将带你进入神秘而魔幻的海底世界！ ​​​​...展开全文c,2017-09-28 21:45,1,评论,1,360安全浏览器,https://weibo.com/2164230524/FnWFlAUv0
25,学习了，原来洗了几十年的错头,是,【拯救你的油头，从避开洗头的10个错误开始】#生活服务#刚洗过不久的头发就隐约泛起油光，洗还是不洗？不洗头简直不敢见人，频繁洗头又陷入了越洗越油的怪圈。调查显示，中国人的头发是全球第二油的你知道吗，错误的洗发护发方法可能让头发越来越糟。洗头的10个错误习惯，你有几个？据 ​​​​...展开全文c,2017-09-28 21:23,转发,评论,1,360安全浏览器,https://weibo.com/2164230524/FnWwqcPSO
26,【看天摄影小技巧】休闲放松的假日里，拍照绝对少不了的，但拍照是要看天来的，这些拍照的小技巧，你知道吗，戳下图。教您一招。 ​​​​,否,,2017-09-28 17:00,转发,评论,2,360安全浏览器,https://weibo.com/2164230524/FnUNG4XAe
27,#四川省主要城市未来48小时天气预报# ​​​​,否,,2017-09-28 16:13,1,评论,1,360安全浏览器,https://weibo.com/2164230524/FnUutdrf9
28,#四川省晚间天气预报#今天晚上到明天白天：盆地各市阴天有分散阵雨或小雨，川西高原和攀西地区阴天间多云有阵雨或雷雨，川西高原北部和攀西地区南部的局部地方有中雨。24小时内，盆地最低气温：16到19度；最高气温：盆地东北部20到23度，盆地其余地方25到28度...具体的预报内容请戳下图。 ​​​​,否,,2017-09-28 15:24,1,2,赞,360安全浏览器,https://weibo.com/2164230524/FnUaKrwlI
29,#14时气温实况#今日阳光又露出了微笑，气温搭着阳光的顺风车，小有爬升，风和日丽，气温舒宜，心情舒畅！ ​​​​,否,,2017-09-28 14:14,转发,评论,赞,360安全浏览器,https://weibo.com/2164230524/FnTI8AwIu
30,不听妈妈言，吃亏在眼前。还是仔细听听吧，除非你愿意吃亏。,是,【你妈让你春捂秋冻别不听这个真的有道理！】春捂秋冻，虽然不至于百病难碰，但能帮助身体更好的适应冬天。不过到底怎么冻，冻多久，冻成什么样子最合适？戳视频↓↓ 教你记住这两个温度！@女子力科学社@视知TV#气象生活# L视知TV的秒拍视频 ​​​​,2017-09-28 09:59,1,评论,赞,360安全浏览器,https://weibo.com/2164230524/FnS2ZhkYF
31,我四川就占了二个，作为四川人，小编很骄傲！,是,【9个赏秋好去处[推荐]】秋天总是丰富而绚烂的：金色草原呼伦贝尔，油画般的阿尔山，色彩斑斓的大兴安岭……天气渐渐凉爽，出游正当时！十长假想好去哪里了吗？戳图↓↓了解，一起计划起来吧！#气象生活# via央视新闻 ​​​​,2017-09-28 09:54,5,3,3,360安全浏览器,https://weibo.com/2164230524/FnS0VCdpT
32,如梦如幻，如仙如醉！,是,【江西庐山现壮观云海 如梦如幻】9月27日，素有“匡庐奇秀甲天下”之美誉的世界名山江西庐山现壮观云海景观，山间云雾缭绕，庐山观云亭、望江亭点缀其间，若隐若现，如梦如幻似仙境~~庐山云雾较多，全年平均有雾日达192天。更奇异的是庐山云雾常年此出彼没和变化莫测via中新网 ​​​​...展开全文c,2017-09-28 09:50,1,评论,1,360安全浏览器,https://weibo.com/2164230524/FnRZkBbPb
33,成都这里还是着夏装呢。,是,【最强冷空气来袭！中国“北极”漠河“又”下雪啦！】9月27日，中国最北边陲—黑龙江漠河迎来了秋后的第二场降雪。鹅毛般的雪花纷纷洒洒从天而降，整个漠河小城完全笼罩在白茫茫的雪幕当中，最低温跌至-1℃！居民们纷纷换上了冬装。南方的小伙伴们，感受到降温了吗？L中国新闻网的微博视频 ​​​​,2017-09-28 09:30,2,1,2,360安全浏览器,https://weibo.com/2164230524/FnRQQ5CW2
