序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【#人民直播#：党和国家领导人向人民英雄敬献花篮】9月30日是烈士纪念日，今天上午，党和国家领导人将同首都各界群众代表一起，在天安门广场向人民英雄敬献花篮。@人民日报 带你直击现场↓↓此刻，一起转发，祭奠先烈；英魂不朽，吾辈自强！  O人民日报的微博直播 . ​​​​,2017-09-30 10:15,转发,评论,1,360安全浏览器,https://weibo.com/3422308042/Fob0nuKkG
1,【尧斯丹副省长督战防汛减灾工作】    9月27日上午，副省长尧斯丹到省防汛指挥中心督战防汛减灾工作，与相关市（州）视频连线，进一步强调部署当前防汛减灾相关工作。    尧斯丹听取了省防汛办、省气象局、省水文局关于“9.26”降雨过程雨水灾情及防汛减灾工作开展情况的汇报。视频连线达州、巴中，详细询问了两地针对当前强降雨防汛减灾工作部署情况。    尧斯丹强调，各地要继续绷紧防汛减灾这根弦，坚决贯彻落实好省委、省政府各项决策部署，坚持会商研判、滚动预测预警，及时开展调度、严格值班值守，提前安排各项防御措施，扎实做好防汛减灾工作。同时，要统筹考虑防洪调度和汛末蓄水，在确保防汛安全的前提下，合理利用汛末雨洪资源，科学有序实施工程蓄水。特别是针对当前强降雨过程，要切实加强对重点部位和薄弱环节的督导检查，确保各项责任、各类措施真正落到实处，全力保障人民群众生命财产安全。,否,,2017-09-30 10:09,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FoaXIFwSL
2,愿万源平安！！！,是,【万源发生泥石流 已转移安置受灾群众209人】27日，达州万源大竹河镇胡家沱、青花镇油房沟村等地先后发生泥石流，部分房屋受损，无人员伤亡情况发生。目前，G347线（原S302）达州万源市大竹镇境内胡家沱段交通中断，其余国、省、县道公路已恢复通行。目前，当地已转移安置受灾群众209人。具体受灾情况 ​​​​...展开全文c,2017-09-28 09:35,1,评论,赞,360安全浏览器,https://weibo.com/3422308042/FnRSZldpN
3,我省1-8月水环境质量报告出炉 水环境质量稳中趋好 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-09-26 09:33,1,评论,赞,百度分享,https://weibo.com/3422308042/Fnz1drNQA
4,我省新增5处饮用水水源保护区 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-09-25 09:37,转发,评论,赞,百度分享,https://weibo.com/3422308042/FnpCrgVF7
5,【省水利厅发布《2016年四川省水资源公报》】2016年，在党中央、国务院的坚强领导下，水利部的悉心指导下，全省水利系统各部门团结一心、攻坚克难、开拓创新，积极推行河长制，落实最严格水资源管理制度，启动水资源消耗总量和强度双控行动，持续推进节水型社会和水生态文明建设，各项工作取得积极进展。2016年全省供用水总量为267.25亿立方米，较2015年增加1.74亿立方米。其中生活用水49.81亿m3，占用水总量的18.6％；工业用水55.83亿m3，占用水总量的20.9％；农业用水155.86亿m3，占用水总量的58.3％；人工生态环境补水5.75亿m3，占用水总量的2.2％。全省万元国内生产总值（当年价）用水量81.7立方米，万元工业增加值（当年价）用水量48.2立方米，农业灌溉水有效利用系数0.462。,否,,2017-09-18 17:00,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FmowKeBTs
6,转发微博,是,【绵阳多措并举确保鲁班水库水清岸绿】近年来，为彻底改变三台县鲁班水库生态环境质量，我市多措并举进行大力整治，使库区水环境日益改善，昔日浑浊的黑水如今变成万顷碧波。当地居民感慨地说，随着水库环境变好，来旅游的人多了，村民的收入也多起来了。O绵阳多措并举确保鲁班水库水清岸绿 ​​​​,2017-09-12 11:39,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FlrRDAUUc
7,转发微博,是,发布了头条文章：《揭秘温江河长们的一天》 °揭秘温江河长们的一天 ​​​​,2017-09-12 11:37,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FlrQsi8x1
8,【水利部公布第十七批国家水利风景区名单 四川3个水利风景区榜上有名】近日，水利部公布了第十七批国家水利风景区名单，四川省3个水利风景区榜上有名，分别是：雅安陇西河上里古镇水利风景区、南江玉湖水利风景区、遂宁观音湖水利风景区。截至目前，全省已成功创建国家水利风景区39个，规划面积达7200多平方公里，数量位居全国第七位、西部第一位；同步加强省级水利风景区建设与管理工作，目前共有省级水利风景区61个，规划面积2300平方公里。我省进一步明确了“以保护利用并重，以保护促发展”的水利风景区发展理念，以“水润天府，自在四川”定位发展形象。出台了《四川省水利风景区（河湖公园）建设发展规划（2016-2025年）》，通过规模和质量同步提升，逐步形成“一核引领，三区协同，四轴辐射，六带支撑”的四川水利风景区发展格局，将进一步发挥水利风景区维护水工程、保护水资源、修复水生态、改善水环境、弘扬水文化的综合作用。,否,,2017-09-12 11:33,5,2,1,360安全浏览器,https://weibo.com/3422308042/FlrP5eGed
9,转发微博,是,发布了头条文章：《水务要闻||水利厅对新津县节水型社会重点县建设开展专项督查》 °水务要闻||水利厅对新津县节水型社会重点县建... ​​​​,2017-09-11 09:21,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FlhwYFMVM
10,"【高颜值景区已上线 四川三处水利风景区晋升国家级】近日，水利部公布了第十七批共计45个国家水利风景区名单，四川省3处水利风景区榜上有名，年度创建数量继续并列全国第一。　　四川3个新批准的国家水利风景区分别是：雅安市陇西河上里古镇水利风景区、巴中市南江县玉湖水利风景区、遂宁市观音湖水利风景区,三处水利风景区总面积超过70平方公里。　　其中，面积最大的是巴中市南江县玉湖水利风景区，为29平方公里。该风景区包括亲水旅游区、风景游览区、都市休闲区、湿地生态区和周边景观区。景区创建中实施了整治入河入库排污口、搬迁安置区内人口等多项治理措施，水质、水生态显著改善，通过举办玉湖抢鱼、玉湖龙舟、庖汤节等活动。仅去年，就吸引游客33万人次、实现旅游收入6800万元、带动就业600余人。　　而雅安市陇西河上里古镇水利风景区则距离雅安市区约19公里，景区以河为轴，沿河点缀着众多溪涧、水库、湿地;古水堰、古桥、十里绿堤、陇西廊桥、黄龙大桥等古今水利工程建筑穿梭其间。　　遂宁市的观音湖地处船山区，湖泊水面面积约1.4万亩，是著名的以水为主题的风景名胜区。　　截至目前，四川已成功创建国家水利风景区39个，规划面积达7200多平方公里，数量位居全国第七位、西部第一位。此外，四川还拥有省级水利风景区61个，规划面积2300平方公里。 （四川在线）",否,,2017-09-08 10:31,2,评论,赞,360安全浏览器,https://weibo.com/3422308042/FkPI2nPas
11,转发微博,是,#雅安环保在行动#【查摆问题不分巨细 扎实整改见到效果】6月20日，到宝兴河流域，就沿河占用河道、河滩情况进行检查和查处。6月28日，到天全河及雅康高速检查水保及弃渣占用河道泄洪处置情况。7月13日，到石棉县检查水保、砂场、取水许可、电站生态流量下泄等情况。7月14日，到汉源县检查水保、防洪等 ​​​​...展开全文c,2017-09-07 10:00,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FkG4QmxqH
12,转发微博,是,【泸州确定河（段）长5451名 实现四级责任体系全覆盖】#醉美泸州# 9月6日，记者从泸州市总河长办获悉，泸州市河长体系基本建立，市、区县、乡镇、村（社区）四级共确定河（段）长5451名，实现了四级责任体系全覆盖，以保护长江上游生态环境，确保实现河道水质与环境持续改善，达到“河畅、水清、岸绿、 ​​​​...展开全文c,2017-09-07 09:58,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FkG3Xm6dn
13,坚持问题导向 全面落实河长制各项工作任务 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-09-07 09:14,转发,评论,赞,百度分享,https://weibo.com/3422308042/FkFM5y3Sr
14,尹力赴成都德阳绵阳开展环境保护等专项督导 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-09-06 09:47,转发,评论,赞,百度分享,https://weibo.com/3422308042/FkwyXhzwe
15,转发微博,是,发布了头条文章：《水务科普||两分钟带你浏览“河长制”最新大数据》 °水务科普||两分钟带你浏览“河长制”最新大数据 ​​​​,2017-09-04 09:26,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FkdzufW1z
16,四川会商9月防汛抗旱趋势 将有5次明显降雨过程 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-09-04 09:25,1,评论,赞,百度分享,https://weibo.com/3422308042/Fkdzcw7z8
17,转发微博,是,#暑期三下乡# 【四川水利职业技术学院赴德格助力脱贫攻坚 贡献青春力量调研小组下村下户进行走访调查】为调查精准扶贫政策的实施情况以及民众对于精准扶贫的认知和接受程度，调研小组前后走访10个村镇50户精准扶贫家庭。此次走访调查中，各村民积极配合，都简述自己对于精准扶贫政策的认知，表达对于精 ​​​​...展开全文c,2017-08-31 09:02,转发,评论,2,360安全浏览器,https://weibo.com/3422308042/FjBHW4bxV
18,转发微博,是,#暑期三下乡#  【四川水利厅对口帮扶暨脱贫攻坚调研座谈会】29日上午在德格县人民政府召开。四川水利职业技术学院赴德格助力脱贫攻坚，贡献青春力量调研小组与德格县领导及相关驻村干部根据县情况就2017年脱贫攻坚问题展开讨论。会议内容围绕“两不愁，三保障，四个好，五个一”“四好村”开展研讨。会 ​​​​...展开全文c,2017-08-31 09:02,转发,评论,1,360安全浏览器,https://weibo.com/3422308042/FjBHKyU4c
19,加油！！！！,是,#雅安城事#【遭暴雨袭击 我市多地受灾 各项抢险救灾工作有序开展】 昨（28）日下午6时，来自市政府应急办消息：8月28日8时至14时，我市境内出现分散性降雨（量级：中到大雨，局部暴雨）。根据监测主要干支流各站水位均未超过警戒水位，大渡河干支流水势稳定。14时后，青衣江干流及各支流水位缓慢回落。 ​​​​...展开全文c,2017-08-29 10:12,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/Fjjjj8j29
20,转发微博,是,【简阳：投入使用全自动清漂船只，一次性清捞漂浮物可达6吨】#连线市州# 针对城区河道水环境治理工作，简阳市投入使用了全自动清漂船只。“该船只属于全自动清漂船只，一次性清捞漂浮物可达6吨，相当于20个人的日清捞量，在连续清捞的情况下日清理能力达50吨，大大提高了工作效率。”据简阳市水务局相 ​​​​...展开全文c,2017-08-29 09:31,1,评论,赞,360安全浏览器,https://weibo.com/3422308042/Fjj2o99WA
21,【省防指启动Ⅳ级防汛应急响应】    8月27日开始，我省遭受新一轮强降雨过程，盆地西部、川西高原中到大雨，其中成都、德阳、绵阳、广元、眉山、乐山、雅安、凉山、阿坝9市（州）降暴雨，部分地方降大暴雨，德阳个别站点降特大暴雨。截至28日14时，共11县40站累计降雨超过100毫米，最大为绵竹市清平乡心桥站320毫米。受降雨影响，涪江干流平武站、青衣江支流宝兴河宝兴站、沱江支流湔江关口站、岷江支流文井江跃子岩站出现超警戒水位，岷江、沱江、涪江、青衣江部分支流也出现明显涨水过程。截至28日14时，各超警江河水位均已退到警戒水位以下。    据成都防办报告，都江堰、彭州等地部分堤防受损，全市成功转移受威胁群众1345人。    根据当前降雨、江河洪水情况及未来降水趋势，省防指于28日13时启动Ⅳ级防汛应急响应。,否,,2017-08-29 09:21,1,评论,赞,360安全浏览器,https://weibo.com/3422308042/FjiYn4C7x
22,转发微博,是,发布了头条文章：《水务动态||省政协副主席张雨东专项督导武侯区黑臭水体治理工作》 °水务动态||省政协副主席张雨东专项督导武侯区... ​​​​,2017-08-28 09:33,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/Fj9CLD2NR
23,转发微博,是,【省政府召开第154次常务会议 原则通过川陕革命老区综合改革试验总体方案】#四川省政府常务会#8月24日，受省委副书记、省长尹力委托，省委常委、常务副省长王宁主持召开省政府第154次常务会议，研究部署全省重点项目中期调整、川陕革命老区综合改革试验、政府性债务风险应急处置等工作。会 ​​​​...展开全文c,2017-08-25 09:40,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FiHog6Ok3
24,转发微博,是,【四川遭受新一轮强降雨过程 部分地方受灾】#四川要闻#据省防汛抗旱指挥部消息，自22日开始，我省遭受新一轮强降雨过程。此轮强降雨导致部分地方受灾。天全县兴业乡峡口村二组23日5时20分发生山体垮塌，致1人死亡（张国英，女，85岁）3人受伤。马边县因灾造成5条公路中断、380户房屋进水，10间房 ​​​​...展开全文c,2017-08-24 08:46,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FixBRa1Ve
25,综合治理科学施策 积极依法整改 保护好绿水青山 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-08-24 08:43,转发,评论,赞,百度分享,https://weibo.com/3422308042/FixAp191s
26,转发微博,是,#温江播报#【温江重拳治水实施办法出台】①实施饮水安全保护工程，协助推进李家岩“第二水源”建设；②强力整治42段黑臭水体；③加强江安河、杨柳河等重点流域水环境治理；④2018年底前，温江集中式水源地全部建成水质预警自动站……近日，温江制定出台了全区重拳治水实施办法，详戳 ​​​​...展开全文c,2017-08-22 15:23,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FihlNml32
27,转发微博,是,#温江播报#【这个外国小伙在温江当上了河长，还收获一票粉丝】这位洋河长中文名叫依多，来温江已七年有余，会讲一口流利的普通话，偶尔还冒一两句四川话。洋河长最开始是西南财经大学的留学生，学习生涯中遇到挚爱，毕业后就定居温江。今年，这位热爱河流的“洋人”成为柳城街道的河长，巡河时还 ​​​​...展开全文c,2017-08-22 15:19,转发,评论,赞,360安全浏览器,https://weibo.com/3422308042/FihkhFtTV
28,四川省全面落实河长制工作领导小组召开第二次会议 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-08-21 09:14,转发,评论,赞,百度分享,https://weibo.com/3422308042/Fi5vu1qTx
29,我省出台沱江流域水污染防治规划 到2020年 全流域劣V类水体基本消除 - 四川省人民政府网站 O网页链接 ​​​​,否,,2017-08-21 09:13,转发,评论,赞,百度分享,https://weibo.com/3422308042/Fi5vopanL
