序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,Everybody！明天就进入豪华长假了，你是怎么安排的呢？休息，旅游，探亲，学习？还是，像小编一样继续工作 ​​​​ 晚安 ​​​​,否,,2017-09-30 22:30,2,5,7,微博 weibo.com,https://weibo.com/3053154652/FofOriuFe
1,【暖心60秒！男童卷车底，众人抬车施救】9月28日，湖南洪江一名7岁学生过马路时被车撞倒卷到车下。周围市民冲上去齐力将车抬起救出被撞小孩，整个过程没超过一分钟！L一手video的秒拍视频 ​​​​,否,,2017-09-30 18:00,10,1,10,微博 weibo.com,https://weibo.com/3053154652/Foe2Qtm5j
2,【高层建筑消防治理系列报道 | 广安支队召开全市高层物业消防培训会】近日，广安支队召开全市高层物业消防培训会，结合近期国内外高层建筑火灾案例强调了高层物业单位落实消防安全工作责任的重要性和必要性。同时，还对高层建筑物业任务清单进行了梳理，从建立防火机制、防火预案角度、建筑外保温材料的选择、消防通道管理、电气火灾防范、消防设施器材的维保等多方面明确了高层物业单位的消防安全责任，并针对高层建筑火灾特点，就火灾现场如何防烟防火、如何自救躲避、争取救援时间和各类灭火器使用的注意事项、高层建筑结构及其内部消防设施等方面进行了细致说明与讲解，让参训人员学到了实用而有效的防火自救知识。通过此次培训，提升了高层建筑物业管理人员的消防安全意识和消防业务水平，增强了参训人员对高层建筑火灾的防范自救能力，为做好全市高层建筑消防安全综合治理和“十九大”消防安保工作夯实了基础。@广安119在线,否,,2017-09-30 17:56,3,1,3,专业版微博,https://weibo.com/3053154652/Foe1AtaNx
3,【烈士纪念日|@甘孜消防 “缅怀先烈、祭奠忠魂”】9月30日上午，甘孜州消防支队20名官兵怀着无比崇敬的心情来到烈士陵园参加康定地区2017年烈士公祭仪式，缅怀为民族独立、人民解放、国家富强、人民幸福而英勇牺牲的革命先烈，向人民英雄致以崇高敬意。 ​​​​,否,,2017-09-30 17:49,4,评论,11,专业版微博,https://weibo.com/3053154652/FodYycRym
4,【那些只有消防员之间会懂的话！你懂吗】你们都知道各行各业都会有自己的交流通关语，简称“黑话”其实，咱们消防队也有？！戳下图↓↓↓认同的请举爪，不认同的欢迎补充！越看不懂越厉害！！@走进中国消防 ​​​​,否,,2017-09-30 17:00,14,3,3,微博 weibo.com,https://weibo.com/3053154652/FodEuuO1x
5,#游在四川 全域平安# 祖国母亲的生日即将到来，作为消防战士，我们将以决战决胜的姿态，护航人民生命财产安全，为祖国母亲献礼。愿她永远繁荣昌盛、平安祥和。消防提醒广大市民，欢度佳节也勿忘消防安全。@中国消防 @内江市公安消防支队  L内江市公安消防支队的秒拍视频 ​​​ ​​​​,否,,2017-09-30 16:34,2,2,7,iPhone 7,https://weibo.com/3053154652/Fodue2scU
6,【青川、江油城区无房屋倒塌】#四川青川5.4级地震# 震中附近的人口密度图：据移动人口大数据分析，震中20公里范围内人口数约4.2万，50公里范围内约62万，100公里范围内约684万。 省民政厅电话联系青川、江油两地地震局，当地震感明显，城区无房倒塌。当地民政部门正在查实具体情况。  ​​​ ​​​​,否,,2017-09-30 16:33,2,2,3,iPhone 7,https://weibo.com/3053154652/FodtN6KDb
7,【高层建筑消防治理系列报道 | 32万网友在线观看@内江市公安消防支队 “高层灭火演练”直播】#高层建筑消防安全#  近日，@内江市公安消防支队 联合网易新闻开展“川南战区高层建筑灭火救援实战演练”网络直播，吸引32万网友在线观看。直播展示官兵迅速集结、紧急铺设水带干线、作战指挥、高层营救被困人员、高层灭火等演练画面。超强的现场感，让关注人数迅速攀升。“什么是消防电梯？”“高层起火怎样逃生”……直播中，支队官兵现场答疑，很好的普及了高层消防安全知识。网友直呼:“这样的直播可以多来一点。”在此次直播中，125名网友为支队官兵献上“玫瑰花”表示敬意，网友留言表示：“消防官兵赴汤蹈火，真的辛苦了”，也有人留言表示“自己家就是高层，看到消防良好的作战设备，心里踏实了很多”，还有消防老兵的精彩留言等。,否,,2017-09-30 16:30,4,评论,3,微博 weibo.com,https://weibo.com/3053154652/FodsjuRAh
8,准备好了吗,是,【全民消防我代言 征集令 来啦！】#遂宁身边事# 这条微博就是为你而来，在大家心中都以为消防代言人只能是科学家、明星、导演等知名人士。而张贴在城市各大角落的海报，只能是各种广告或者明星。可是现在遂宁消防在全市组织“全民消防我代言”大型公益活动。不论您是公众人物还是普通市民，只要有一颗 ​​​​...展开全文c,2017-09-30 16:22,2,评论,1,iPhone 6s Plus,https://weibo.com/3053154652/FodpfuSB4
9,【今年国庆中秋假期你打算自驾吗？一段视频告诉你：开车应急避险9大招！】高速爆胎、转向失控、车辆侧滑、刹车失灵、水箱开锅、车辆自燃、车辆落水……司机遇到紧急情况，如何化险为夷？收藏学习，关键时刻能救命！L交通安全蜀黍的微博视频 ​​​​,否,,2017-09-30 16:00,9,评论,1,微博 weibo.com,https://weibo.com/3053154652/Fodg8vCxh
