序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#四川青川5.4级地震# 9月30日21时40分，大雨。由雷建成副局长带队的现场工作队到达震中附近的石坝乡，与省政府副秘书长严卫东带队的工作组和广元市党政主要负责人交换意见，通报省地震局研判意见，汇报下一步震情监测，烈度调查，灾害评估，科普宣传等工作。（此时雨已经很大了，我们将继续冒雨挺进震中）@中国国际救援队   @中国地震台网速报   @震长   @四川发布   @四川公安,否,,2017-09-30 22:08,6,22,57,Android,https://weibo.com/3323927000/FofFP3bxB
1,#四川青川5.4级地震# 我们还在继续赶路，目前离震中还有十几公里。@中国地震台网速报   @震长   @中国国际救援队   感谢@四川公安   @四川高速  的协助 ​​​​,否,,2017-09-30 20:14,6,33,131,Android,https://weibo.com/3323927000/FoeVgoCmd
2,#四川青川5.4级地震# 余震分布图和震源机制解。@中国地震台网速报   @震长  @中国国际救援队  @四川公安 ​​​​,否,,2017-09-30 20:01,2,5,30,Android,https://weibo.com/3323927000/FoeQeDHZk
3,#四川青川5.4级地震# 四川局副局长雷建成与地震应急保障中心工作人员在路边紧急讨论此次地震相关工作安排。（我们正在赶往震中的路上）@震长  @中国地震台网速报   @中国国际救援队 ​​​​,否,,2017-09-30 19:58,转发,1,32,Android,https://weibo.com/3323927000/FoeP7uKul
4,中国地震局和四川省委省政府高度重视青川5.4级地震抗震救灾工作青川5.4级地震发生后，中国地震局高度重视，通过应急指挥系统，与四川省地震局、广元市防震减灾局视频连线，听取了此次地震有关情况汇报，指导做好抗震救灾工作。四川省委省政府领导就做好此次青川5.4级地震做出明确指示，省委常委、常务副省长王宁主持召开青川5.4级地震应急工作会，安排部署地震应急处置工作，指示省地震局、国土资源厅、省政府应急办、民政厅组成联合工作组，迅速赶赴灾区现场了解灾情，指导地震应急处置工作。　　四川省地震局局长吕弋培主持召开应急指挥部工作会议，传达贯彻中国地震局和四川省委省政府的决策部署，对监测预报、应急处置、信息发布等工作进行了安排落实，同时就加强应急值守、保持信息畅通提出明确要求。　　截止目前，四川省地震局已陆续向震区派出32名现场队员，前往震区开展工作。　　截至9月30日16时00分，青川5.4级地震共记录到余震80次，其中最大为14时26分发生的青川2.6级地震，无3.0以上余震发生。@中国地震台网速报 @,否,,2017-09-30 19:04,4,6,40,专业版微博,https://weibo.com/3323927000/Foet3pRA5
5,#四川青川5.4级地震#四川省地震局积极应对处置青川5.4级地震据中国地震台网测定：2017年9月30日14时14分，在四川省广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13公里。广元市青川县、绵阳市江油市等地震震感强烈，绵阳市、成都市震感较强。　　本次地震震中距青川县城42公里、距平武县城47公里、距剑阁县城49公里、距江油市城区63公里、距梓潼县城72公里，距广元市城区81公里，距成都市201公里。本次地震周边5公里内的村庄有大地里、白岩里、苦草湾、唐家山、上石家、李家院子、院场梁、何家院、木红坪、水冲岩，20公里内的乡镇有马公乡、房石镇、石坝乡、关庄镇、曲河乡、红光乡、苏河乡、茅坝乡等。　　地震发生后，中国地震局和四川省委省政府高度重视，要求切实组织开展好抗震救灾工作，努力减轻地震灾害损失。中国地震局立即通过应急指挥系统与四川省地震局、广元市进行了视频连线，听取了四川省地震局、广元市防震减灾局关于地震有关情况的汇报，指导抢险救灾工作。　　四川省地震局立即启动应急预案，实施3级应急响应，成立地震应急指挥部，召开紧急会议部署应急处置工作，指派当地防震减灾部门深入震区调查了解震情灾情，同时决定派出现场工作队协助当地政府抗震救灾。　　15时20分，由四川地震局副局长雷建成带队的首批20人现场工作队紧急出发，携带现场设备装备，赶赴震区，组织开展震情监视、震情灾情调查评估、地震应急科普等工作，协同当地政府做好抗震救灾工作。　　四川省地震局组织专家对此次青川5.4级地震进行震情紧急分析会商，密切监视震区震情趋势。安排专家接受新闻媒体采访，通报了此次青川5.4级地震目前的震情灾情及应急处置工作情况。　　经电话向当地灾情速报员了解：此次青川5.4级地震造成震中青川县马公乡个别房屋掉瓦、玻璃震裂、滚石掉落，房石镇震感强烈、个别房屋掉瓦；江油市枫顺乡个别房屋出现裂缝、掉瓦，烟囱倒塌等情况；江油市六合乡通信中断，个别房屋出现裂缝，存在落石砸坏车辆。　　据绵阳市防震减灾局报告：平武县水观镇大沟村后山出现岩石塌方，导致1户房屋（3间120平方米）垮塌，但无人员伤亡；凤鹤村垮塌1户圈舍（1间40平方米），其他部分群众住房出现烟囱、瓦垮塌现象，部分山体出现塌方。　　截至目前，尚未收到有人员伤亡的报告，具体灾情正在进一步核实中。　　截至9月30日16时00分，青川5.4级地震共记录到余震58次，其中最大为14时26分发生的青川2.6级地震，无3.0以上余震发生。　　2017年1月1日以来，广元共发生3.0级以上地震7次，其中3.0到3.9级5次，4.0到4.9级1次，5.0到5.9级1次，6.0级以上0次；此次地震是广元市今年以来震级最大的地震。,否,,2017-09-30 19:01,3,9,30,专业版微博,https://weibo.com/3323927000/FoerHb2DQ
6,转发微博,是,#四川青川5.4级地震#当地网友发来的照片 ​​​​,2017-09-30 18:54,2,评论,20,Android,https://weibo.com/3323927000/FoeoXwLlY
7,学习一下！,是,【市民遇地铁地震怎么办？千万别惊慌！八项事项注意牢记】9月30日14时14分，四川绵阳市江油市附近发生5.4级左右地震。灾难一旦发生，生死存亡就在瞬息之间。地铁车站内发生地震等紧急事件时，身为普通乘客的我们，应该如何处置？如何自救？最权威地铁地震逃生手册↓转发，可能多挽救一条生命！ ​​​​,2017-09-30 18:53,2,2,16,360安全浏览器,https://weibo.com/3323927000/Foeosebnk
8,#四川青川5.4级地震#地震安全小常识 L四川省地震局的秒拍视频 ​​​​,否,,2017-09-30 18:51,5,3,18,秒拍网页版,https://weibo.com/3323927000/FoenHxi2N
9,,是,#成铁微发布# 【除宝成铁路外，其他线路陆续恢复运行秩序】最新消息，除了宝成铁路仍在继续排查隐患外，受青川5.4级地震影响的其他铁路已经全部开通，列车运行秩序陆续恢复正常。 ​​​​,2017-09-30 18:28,2,2,15,Android,https://weibo.com/3323927000/Foeeve6Px
