序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中国特高压技术全面落地巴西,是,【央视新闻联播：国家电网在巴西第二个特高压开工】当地时间9月28日，国家电网公司巴西美丽山水电送出特高压直流输电二期项目开工，标志着中国特高压技术全面落地巴西。@国资小新 @央视新闻  @国家电网 L电网头条的秒拍视频 ​​​​,2017-09-29 22:35,18,29,54,iPhone 7 Plus,https://weibo.com/1730306175/Fo6q88lCJ
1,【国家电网公司巴西美丽山水电送出特高压直流输电二期项目开工】当地时间9月28日，国家电网公司巴西美丽山水电送出特高压直流输电二期项目开工仪式在里约换流站建设现场成功举办，标志着中巴两国电力能源领域合作又取得一个里程碑成就。国家电网公司总经理寇伟、巴西矿能部部长费尔南多、巴西里约州州长佩藏、中国驻巴西大使馆公使宋扬出席开工仪式并致辞。美丽山二期项目是巴西第二大水电站——美丽山水电站的送出工程，是公司首个在海外独立投资、建设和运营的特高压直流输电工程，是“特高压+清洁能源”在拉丁美洲的示范工程，将推动“一带一路”倡议在拉美地区的布局和落地。O网页链接 @国资小新,否,,2017-09-29 14:37,21,8,25,360安全浏览器,https://weibo.com/1730306175/Fo3ihuHuG
2,【国家电网公司提前完成新一轮农网改造升级“两年攻坚战”】9月25日，国家电网公司提前三个月完成新一轮农网改造升级“两年攻坚战”。公司完成了经营区内153.5万眼平原地区农田机井通电，实现了平原地区“井井通电”目标；实现了6.6万个小城镇（中心村）电网改造升级全覆盖；完成了7.8万个自然村新通动力电及改造，实现村村通动力电目标，受益人口达1.56亿人。一直以来，国家电网公司坚持服务党和国家工作大局，认真履行政治责任、经济责任和社会责任，大力实施“新农村、新电力、新服务”农电发展战略，持续加大农村电网投入，自1998年国家实施第一期农网改造至2015年，公司累计完成110千伏及以下农网投资1.15万亿元，解决了749.6万无电人口的通电问题，“十二五”末全面实现经营区域“户户通电”，农村供电质量显著提高，少数民族和边疆地区电网得到加强，农村地区电气化水平持续提升......@国资小新 O网页链接,否,,2017-09-28 10:30,25,8,41,360安全浏览器,https://weibo.com/1730306175/FnSfiuUqs
3,【共筑辉煌中国！特高压助力中国梦！】被国际大电网组织誉为世界电力工业发展史上重要里程碑的——中国特高压工程，助力《辉煌中国》闪亮开播！@国资小新 L国家电网的微博视频 ​​​​,否,,2017-09-20 17:53,137,37,65,秒拍网页版,https://weibo.com/1730306175/FmHJi88ab
4,【就在今晚8点！纪录片《辉煌中国》开播】由中共中央宣传部、中央电视台联合制作的六集电视纪录片《辉煌中国》，将于今晚20时在中央电视台综合频道晚间黄金时间播出。全片以创新、协调、绿色、开放、共享的新发展理念为脉络，全面反映党的十八大以来中国经济社会发展取得的巨大成就。国家电网将在第一集登场，展示特高压西电东送圆梦工程，点击视频，精彩宣传片抢先看~@国资小新 L国家电网的微博视频,否,,2017-09-19 17:16,24,12,38,秒拍网页版,https://weibo.com/1730306175/Fmy3K6bNY
5,【王勇出席中央企业创新成就展活动时强调 为建设创新型国家和世界科技强国做出更大贡献】国务委员王勇近日出席中央企业深入实施创新驱动发展战略、全国大众创业万众创新活动周相关活动，他强调，广大中央企业要深入学习贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，全面实施创新驱动发展战略，大力推进大众创业、万众创新，用创新推动结构调整，用创新引领提质增效，用创新服务国计民生，促进经济社会持续健康发展。在展览现场，王勇听取了中央企业科技创新成就和“双创”成果介绍，参观了载人航天、高速铁路、特高压、国产航母等重大科技创新成果......O网页链接 @国资小新,否,,2017-09-18 14:32,11,3,16,微博 weibo.com,https://weibo.com/1730306175/FmnyxfyIW
6,扶贫攻坚战，国家电网在行动！,是,【投入244亿改造电网！这就是援疆扶贫的决心】9月8日，@国家电网 公司援疆工作座谈会在新疆乌鲁木齐举行，进一步推动电网基础平台建设，促进新疆社会稳定和长治久安。2003年以来，国家电网累计投资244亿元实施农网改造升级，解决了5个地区、18个县域电网与主网联系薄弱问题；提前15个月实现国家 ​​​​...展开全文c,2017-09-12 10:21,16,17,28,iPhone 7 Plus,https://weibo.com/1730306175/FlrlS5HwD
7,【三大直流：清洁水电惠华东】从2010年7月～2014年7月，三大特高压直流工程——±800千伏复奉（向家坝—上海）、锦苏（锦屏—苏南）、宾金（溪洛渡—浙江）工程先后投运。三大直流额定输送功率达2160万千瓦，承担着80%以上的四川水电外送任务，输送的电力分别占上海、江苏、浙江三省市最高用电负荷的34%、12%和17%，约占华东地区外受电量的三分之二，有力地保障了华东地区的用电需求……@国资小新 O三大直流：清洁水电惠华东,否,,2017-09-07 10:08,27,18,32,iPhone 7 Plus,https://weibo.com/1730306175/FkG84mVmf
8,看金砖五国在电力数据，就知道金砖五国有多重要！看电力就知道！,是,【金砖五国有多重要？看看电力就知道！】9月4日，金砖国家领导人会晤在厦门国际会议中心开始啦！头条君忍不住去查了金砖五国在电力方面的数据……然后发现，这五国的电力真是了不得！@国资小新 @国家电网 @人民网 @央视新闻 ​​​​,2017-09-05 10:16,24,11,24,iPhone 7 Plus,https://weibo.com/1730306175/Fknkr2Lb4
9,巴西美丽山二期项目是国家电网公司在海外首个独立中标的特高压输电工程，实现了中国特高压输电技术、电工装备、工程总承包和运行管理一体化“走出去”，将带动近50亿元国产电工装备出口，推动特高压输电技术、规范和标准的全球化应用，促进优势产能国际合作和互利共赢。,是,【盛会开幕！快来看这些锻造“金砖”的中国企业！】9月3日-5日，金砖国际领导人会晤在厦门举行！今天，小新带着大家一起看看央企是如何锻造“金砖”的：@中国建筑 改建的主会场“脱胎换骨”；中国华电护航金砖会晤，保电保安全；@国家电网 独有电网技术解决巴西难题；中国石化@易派客 电子商务平台被列 ​​​​...展开全文c,2017-09-04 09:57,10,11,16,360安全浏览器,https://weibo.com/1730306175/FkdLRhVWJ
