序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【情况通报】小金县公安局破获一起故意伤害案，抓获犯罪嫌疑人3名。 ​​​​,否,,2017-09-04 18:55,转发,评论,赞,微博 weibo.com,https://weibo.com/5407796334/Fkhiusqy6
1,发布了头条文章：《机关党支部召开专题教育学习交流会》 °机关党支部召开专题教育学习交流会 ​​​​,否,,2017-08-18 14:23,转发,评论,赞,微博 weibo.com,https://weibo.com/5407796334/FhFfpBVNF
2,【情系灾区爱汇九寨】8月8日，九寨沟发生了7.0级强烈地震，给人民群众的生命财产造成了严重损失。突如其来的灾情深深地牵动着小金公安全体民警的心， 8月15日，小金公安积极参加县政府组织的“8.8”九寨沟地震募捐活动，在局党委的带动下，全局干部职工慷慨解囊，争相捐助，向灾区人民献出一份爱心，送上一片真情。,否,,2017-08-15 20:37,转发,评论,2,专业版微博,https://weibo.com/5407796334/FhfpSevxT
3,【小金公安千里驰援九寨沟】按照州公安局抗震救灾工作部署，8月11日，小金县公安局20名应急抢险民警驰援九寨沟。进入灾区后，全体民警迅速投入到抗震救灾工作中，严守工作纪律，认真履行职责，展现了小金公安良好形象。先后走访灾区群众40余户86人，救灾物资发放现场安保6次，张贴法制宣传资料30份。 ​​​​,否,,2017-08-14 13:11,转发,评论,赞,专业版微博,https://weibo.com/5407796334/Fh34ypR1S
4,【关于“7.26阻碍人民警察依法执行职务案”的情况通报】 ​​​​,否,,2017-07-27 09:37,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/FehYAjDXs
5,【关于“7.11阻碍国家机关工作人员依法执行职务案”的情况通报】 ​​​​,否,,2017-07-14 19:33,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/FcnjWfZjc
6,【关于“7.6故意损毁公私财物案”的情况通报】 ​​​​,否,,2017-07-14 19:31,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/Fcnjmt7Ak
7,【7.7妨害公务案情况通报】 ​​​​,否,,2017-07-13 20:13,4,2,3,iPhone 5s,https://weibo.com/5407796334/Fce9S1294
8,【如果你记得今天，请转！】那一年的今天，1937年7月7日，日本侵略者制造了震惊中外的“七七”卢沟桥事变！全民族抗战爆发！中华儿女用生命和鲜血谱写了一首反抗侵略的壮丽史诗！今日，一起发条微博，祭奠同胞！勿忘历史！转！ ​​​​,否,,2017-07-07 00:16,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/FbbKOgkHS
9,【机关党支部走访结对帮扶贫困户】7月5日，机关党支部先后深入美兴镇结对帮扶贫困户王世杰、岳全伟家中，详细了解他们生活状况和面临的困难，给他们送去米、油等慰问品。 ​​​​,否,,2017-07-06 11:44,转发,评论,1,微博 weibo.com,https://weibo.com/5407796334/Fb6PI0SWZ
10,【对党忠诚、服务人民、执法公正、纪律严明】一曲庄严的旋律，让人荡气回肠；一首嘹亮的放歌，让我们砥砺前行！ ​​​​,否,,2017-07-02 14:13,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/Faw6fobpM
11,#建党96周年#【今天，重温入党誓词】“我志愿加入中国共产党，拥护党的纲领，遵守党的章程，履行党员义务，执行党的决定，严守党的纪律，保守党的秘密，对党忠诚，积极工作，为共产主义奋斗终身，随时准备为党和人民牺牲一切，永不叛党。” 不忘初心，砥砺前行！ ​​​​,否,,2017-07-01 12:45,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/Fam68jDJS
12,【小金公安开展6·26禁毒宣传活动】今天是国际禁毒日，小金公安联合县级有关部门，在和谐广场开展”珍爱生命，拒绝毒品”大型宣传活动。现场通过发放禁毒宣传资料，观看禁毒宣传片，解答群众疑问和签名承诺等形式，为群众普及识毒防毒知识。 ​​​​,否,,2017-06-26 14:08,转发,1,2,iPhone 5s,https://weibo.com/5407796334/F9Bv2fTIq
13,G350线（原S303）阿坝州汶川县卧龙镇三道桥K56+500处，6月24日发生塌方（落石），6月25日现已抢通，实行单边放行。请过往车辆服从现场交警指挥。,是,【路况信息】前往小金注意了，G350线（原S303）阿坝州汶川县卧龙镇三道桥K56+500处，发生塌方（落石），因塌方不断，暂无法预计抢通时间。 ​​​​,2017-06-25 13:36,转发,评论,3,iPhone 5s,https://weibo.com/5407796334/F9rRCmIKs
14,【路况信息】前往小金注意了，G350线（原S303）阿坝州汶川县卧龙镇三道桥K56+500处，发生塌方（落石），因塌方不断，暂无法预计抢通时间。 ​​​​,否,,2017-06-24 19:57,2,4,1,iPhone 5s,https://weibo.com/5407796334/F9kVN855Y
15,不造谣不信谣不传谣，救援情况及进展以官方公布为准！,是,#警方辟谣# 【灾难面前，请大家不要传播此类谣言！】请大家不要再传播此类谣言！据四川省阿坝州茂县县委宣传部官方微博@微茂县 辟谣：政府没有发布过类似声明！请大家关注官方，从官方了解最新的消息！不要被谣言误导！现在救援力量已经在现场！ ​​​​,2017-06-24 10:31,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/F9heiwMyR
16,【小金境内所有国省干线中断道路全部抢通】因近期强降雨影响，我县境内交通受到严重影响，在各相关部门的通力协作下，我县境内所有国省干线中断道路都已抢通。 ​​​​,否,,2017-06-21 18:17,1,1,1,iPhone 5s,https://weibo.com/5407796334/F8RZDqq9p
17,【6月20日18:00，小金县最新路况信息】我县境内国道350巴朗山顶至猛固桥头道路通畅；国道351夹金山顶至达维桥头道路通畅；国道350小金至丹巴界 鸡心雕便道抢通，目前只有小车能通行；S451线金抚路通畅；省道210线抚边高卡交通管制，两河口镇境内无法通行，抚边高卡预计21日抢通。崇德乡道（结新桥头）修复工作已基本完成。,否,,2017-06-20 18:38,1,1,5,iPhone 5s,https://weibo.com/5407796334/F8IHT5ZWo
18,【6月19日小金县最新路况信息】G350(卧龙至小金段)道路通畅G351（夹金山顶至达维桥头）道路通畅G350（小金县城至丹巴界）鸡心雕便道抢通，目前只能小车能通行。S217（小金县城至梦笔山顶）抚边高卡交通管制，两河乡境内无法通行，正在积极抢通工作中，暂无法预计通车时间。S450线小金境内通畅。 ​​​​,否,,2017-06-19 18:18,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/F8z90bX9z
19,【脱贫攻坚防汛救灾我们在一线】6月18日，副县长、公安局长刘茂深入潘安乡检查指导脱贫攻坚和防汛救灾工作。按照县委、县政府工作部署和要求，小金县公安局持续抓好脱贫攻坚工作，组建了16个帮扶小组，有针对性制定帮扶措施，严格落实责任，深入抓好脱贫攻坚工作。6月10日以来，小金县受强降雨影响，多个乡镇受灾，县公安局迅速行动，扎实抓好抢险救灾工作，已出动警力240余人次，处置险情11件。,否,,2017-06-19 12:02,转发,1,2,iPhone 5s,https://weibo.com/5407796334/F8wGIjapb
20,【小金县公安局学习贯彻省第十一次党代会精神】6月16日下午，小金县公安局召开全体民警大会，深入学习贯彻省第十一次党代会精神。大会要求，全体民警要深刻领会，深度发力，全面落实习近平总书记“四句话，十六字”总要求和省党代会精神，要担当奉献，规范执法，全面抓好公安工作。 ​​​​,否,,2017-06-19 11:19,转发,1,1,iPhone 5s,https://weibo.com/5407796334/F8wpa3qBt
21,安全出行，请及时关注道路信息。6月16日11点30分，省道210线K94+400（木坡乡达尔扎）处路基被冲毁35米左右，造成道路交通中断，抢通时间暂时无法预计。 ​​​​,否,,2017-06-16 16:17,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/F864F9IxV
22,省道210线小金县两河乡大板村何家苑K52+100断道处已恢复便道通行。省道303线小金县境内K203+500宅垄乡商砼站断道处，已经恢复通行。请司机朋友们小心驾驶，注意安全! ​​​​,否,,2017-06-16 11:42,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/F84h9cmp2
23,你们都是好样的！降雨持续，天黑水急路滑注意安全！ ​​​​,否,,2017-06-15 22:00,1,1,6,iPhone 5s,https://weibo.com/5407796334/F7YTfiWQl
24,受连续降雨影响，小金县多地发生滑坡、塌方、泥石流灾害，小金公安迅速行动，全力抓好抢险救灾工作，及时发布路况信息，切实保障人民群众生命财产安全。 ​​​​,否,,2017-06-15 12:07,2,8,1,iPhone 5s,https://weibo.com/5407796334/F7V0LF3YM
25,汛期以来，阿坝州出现连续强降雨天气，地质灾害多发，请关注道路信息，谨慎驾驶，安全出行。 ​​​​,否,,2017-06-15 11:45,1,评论,赞,iPhone 5s,https://weibo.com/5407796334/F7URG8SjO
26,@阿坝公安#路况信息# 1、小金境内国道350线205KM+400M处（小地名：宅垄商砼站），因连续降雨道路被河水淹没，已实行交通管制，严禁车辆通行，暂时无法预计通车时间。2、省道210线81KM+300M处（小地名：抚边高卡）由于河水上涨路基悬空，车辆无法通行。请服从指挥，合理安排出行，确保出行安全。 ​​​​,否,,2017-06-15 11:05,转发,评论,赞,iPhone 5s,https://weibo.com/5407796334/F7UBmpwtN
27,省道210线小金两河口段已经抢通。省道350线宅垄段通行缓慢。请按照交警指挥有序通行。,是,【强降雨致泥石流 民警已持续抢险7小时】14日凌晨，阿坝州小金县大板村因持续强降雨致泥石流，省道210线中断，2户农田冲毁，公路堆积泥石流两千余方，百余车辆滞留……@小金公安 派出所民警接到指令后，立即投入抢险救灾，目前已持续工作7小时，转移群众17户100余人，预计下午14时左右抢通道路。 ​​​​,2017-06-14 15:25,转发,评论,1,iPhone 5s,https://weibo.com/5407796334/F7MSCe3pW
