序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,"【新疆大叔为九寨沟灾区送2000个馕：""只是想出份力""】今年42岁的新疆大叔阿巴拜科日在成都开美食店。九寨沟地震发生后，因担心受灾群众饿肚子，他和妻子、侄儿连夜烤馕，从8日晚上忙到9日早上7点，为灾区送去2000个烤馕。近来，不少四川人得知后纷纷来店里照顾生意，""表达我们四川人的谢意""。(魏尧 ​​​​...展开全文c",2017-08-21 11:37,转发,评论,2,小米MIX概念手机,https://weibo.com/5190557419/Fi6rRc6VG
1,【聚力重建‖九寨沟震后首场招聘会，民警守护，秩序井然】还记得8月9日大疏散时那个人山人海的广场吗？10天后，这个广场再次人头攒动。8月19日，九寨沟震后首场招聘会在九寨沟县城新区广场举行。搭建就业平台，聚力灾后重建，九寨公安派出由治安大队，交警大队，城关、永丰等派出所民警组成的强大护航阵容，全力保障招聘会交通、治安秩序。目前，招聘会仍在进行中，如你有应聘意向，赶快去看看吧！,否,,2017-08-19 11:02,3,评论,2,小米MIX概念手机,https://weibo.com/5190557419/FhNmnsfgg
2,"【即将退休民警，震后放弃病假坚守岗位】#四川九寨沟7.0级地震# 九寨公安指挥中心民警祥玛，大家都叫她玛玛姐，明年她就到了退休的年龄。地震前，玛玛姐因脚部受伤，肿的十分厉害，根本无法独立行走，休假在家。可未曾想到地震突然降临。玛玛姐在地震后发生第一时间赶到公安局指挥大厅，一个接一个的急促来电让她和同事们应接不暇。他冷静的安慰慌乱中的求助者，并下达警情指令给参战民警，而这一干就是一个星期。她每天一瘸一拐的走上指挥中心大厅值守，由于一直坐着，双腿始终下垂，导致血液流通不畅，脚愈加肿胀的厉害。 而让她一直揪心的是位于震中附近——上四寨的家。听家里人说房屋受损比较严重，可就是没机会回家看看。玛玛姐说：“我是公安局的老人了，这是我奋战了半辈子的地方。在这样的特殊时期，我能贡献一点绵薄之力，明年退休也没有遗憾了。”",否,,2017-08-16 16:07,1,2,13,小米MIX概念手机,https://weibo.com/5190557419/Fhn4W2OC4
3,祝老人家健康长寿。,是,#传递网络正能量# 【四川鞋垫奶奶史国秀】甘孜州泸定县71岁的史国秀老人，在#四川九寨沟地震# 发生后次日，便背上平时绣制的上百双鞋垫和上百条哈达，冒着余震危险，一路崎岖赶赴九寨沟。8月14日下午，她赶到震中附近漳扎镇，向值守在交通卡点的民警和救援武警亲手献上哈达，送上鞋垫。据了解，老人200 ​​​​...展开全文c,2017-08-16 15:21,转发,评论,3,小米MIX概念手机,https://weibo.com/5190557419/FhmLWqJSt
4,"【父亲刚做开颅手术，他却坚守地震灾区】地震发生后，黑河派出所民警陈亚飞主动请缨要求到乡里最远的绕腊寨去探查灾情，一行人冒着飞石挺进绕蜡寨，立即组织疏散群众并展开自救，直到大家都安全撤离到了临时避难场所，陈亚飞才长舒一口气。地震后，陈亚飞夫妻俩就没碰过面，他的妻子也正奋战在救灾一线。正在若九公路抢通现场的陈亚飞，突然接到了一个电话，硬是让这个从军五年、从警八年的男人流下了眼泪“喂，陈亚飞先生您好，我是绵阳404医院医生，我们一直联系你和你妻子，谢天谢地终于联系到您了。你们的母亲急性阑尾炎发作，现在必须马上做手术，鉴于你们的父亲刚在我院做了开颅手术，目前处于半瘫痪状态，也急需人照顾。希望你和你妻子尽快到404医院照顾病人并及时缴纳医疗费用”。一阵沉默，陈亚飞只回答道“知道了”，就匆匆挂了电话。",否,,2017-08-15 17:25,1,2,4,小米MIX概念手机,https://weibo.com/5190557419/Fhea2gBYD
5,"【震后接打数千通电话，只有一通是家里打来的】#四川九寨沟7.0级地震# 九寨沟县公安局110指挥中心民警方芳，担负着上报情况、下达指令等工作。九寨沟地震发生后，方芳除了每小时向县里报送一次实时信息外，还需要同州县各部门随时联系。一星期来，方芳接打电话数量超过3000余通。而只有一通是家里打来的。方芳的家在灾情较重的漳扎镇永竹村，家里受损较重。方芳的孩子同老公在外地读书，家里只有两位年近70的老人。其母亲因患肾病综合症震前正在医院治疗，而家中就方芳一个孩子。震后，两位老人在村里亲戚邻居的帮助下住进了帐篷。同事问方芳，目前家里情况如何？方芳无奈笑了笑说：这个，我真不知道。",否,,2017-08-15 11:48,2,1,4,小米MIX概念手机,https://weibo.com/5190557419/FhbX7l2CN
6,【我们在•平安在‖八方民警驰援九寨沟】九寨沟地震发生后，周边各县市公安机关立即抽调警力驰援灾区，同九寨公安民警一道开展救援、保畅、排查、巡逻等工作。 ​​​​,否,,2017-08-13 15:23,2,评论,赞,小米MIX概念手机,https://weibo.com/5190557419/FgUvuChHP
7,我们在，平安在。,是,【九寨沟帐篷里的派出所和警务室】国旗、党旗、警徽！四川九寨沟县居民安置点和聚集区里，有我们在！巡逻、值守、处置警情，这简陋的帐篷派出所和警务室会让你安心，因为，有我们在！@平安九寨 ​​​ @治安君 ​​​​,2017-08-13 13:55,1,2,3,小米MIX概念手机,https://weibo.com/5190557419/FgTVSpLvG
8,//@宁POLICE汪:因为，有我们在,是,【九寨沟帐篷里的派出所和警务室】国旗、党旗、警徽！四川九寨沟县居民安置点和聚集区里，有我们在！巡逻、值守、处置警情，这简陋的帐篷派出所和警务室会让你安心，因为，有我们在！#警察蜀黍的朋友圈#@平安九寨 ​​​​,2017-08-13 00:50,2,1,2,小米MIX概念手机,https://weibo.com/5190557419/FgON0vkD0
9,【九寨公安帐篷派出所、警务室投入使用】#四川九寨沟7.0级地震#8月11日，刚刚完成地震救援和交通保障工作的民警，马不停蹄的开始搭建帐篷派出所和警务室。九寨沟县公安局各派出所在辖区内的居民安置点和聚集区，设立帐篷派出所和警务室，以便快速反应、及时处理警情。帐篷派出所刚刚搭建完成，民警便开始张贴和分发预防火灾、盗窃等宣传单，提醒群众注意自身安全和财产安全。 2四川省·阿坝藏族羌族自治州,否,,2017-08-12 18:50,3,4,5,小米MIX概念手机,https://weibo.com/5190557419/FgMqYDk7L
10,一首震前的九寨公安版【成都】，突然爆红网络，张张照片戳人泪点。 #九寨公安版【成都】# 一起来看O网页链接 (来自@腾讯视频) ​​​​,否,,2017-08-12 14:13,1,1,3,腾讯视频安卓客户端,https://weibo.com/5190557419/FgKCvDViW
11,不造谣，不传谣，不信谣。,是,散布地震伤亡谣言 ︳被行政拘留10日   ︳抗震救灾面前 ︳“你”的内心如此的幼稚与苍白   2017年8月11日，上级公安机关网监部门发现有网民在某微信群散布“九寨天堂昨晚九百间住满的，早上天不亮就拉走四车死人”的虚假消息。州公安局、九寨、松潘两县公安局立即展开调查，8月11日晚，松潘县公安局将 ​​​​...展开全文c,2017-08-12 14:07,1,1,2,小米MIX概念手机,https://weibo.com/5190557419/FgKAcAzay
12,,是,#成都身边事#【祈福九寨！成都十所高校学生联合献唱《爱因为在心中》】#四川九寨沟7.0级地震# 已过去三天了，灾区的一个个场景、一串串数字都牵动着全国人民的心。来自@四川大学 等十所高校的11位同学联合献唱歌曲《爱因为在心中》祈福九寨！愿震后九寨 花依然开，我们等你补妆归来～ ​​​​...展开全文c,2017-08-11 22:36,18,1,赞,小米MIX概念手机,https://weibo.com/5190557419/FgEuj464b
13,,是,【心系群众  延迟婚礼】四川九寨沟7.0级大地震后，正在休假筹备婚礼的@阿坝公安交警 刘方平放弃休假，迅速投入到一线参与抗震救灾工作中，和同事们一起不眠不休疏散游客，保障交通。在游客滞留的村寨，村委会准备了饭和热水，但由于滞留游客太多，没有足够的碗筷，刘方平主动将自己准备用于结婚的纸碗 ​​​​...展开全文c,2017-08-11 20:45,转发,评论,3,小米MIX概念手机,https://weibo.com/5190557419/FgDL3Bu5m
14,,是,【心系群众  延迟婚礼】        2017年8月8日21时19分九寨沟县遭遇突如其来的7.0级大地震，造成部分房屋坍塌，全县停电，手机信号中断，滞留九寨沟游客达5万余人。此时，正在休假筹备婚礼的刘方平放弃休假，迅速投入到一线参与抗震救灾工作中，和同事们一起不眠不休疏散游客，交通保畅。刘方平得知村 ​​​​...展开全文c,2017-08-11 20:44,1,评论,赞,小米MIX概念手机,https://weibo.com/5190557419/FgDKY0ky1
15,【一场被推迟的婚礼，筹备物品免费分发游客】#四川九寨沟7.0级地震# 8月8日，突如其来的地震打乱了九寨公安交警刘方平原本定在7天后的婚礼计划。已经发出一大半的请帖，只能托家人逐一电话通知取消。8月8日地震还未发生时，刘方平已经请好婚假，准备回家筹备婚礼。地震发生时，正在回家途中的刘方平，立即赶到最近的黑河交警中队报道，投入到道路疏通工作中。一个通宵执勤过后，刘方平赶回了双河交警中队，继续执勤。双河乡是人员疏散的必经之路，是前往绵阳和甘肃文县的分岔口，车流量可想而知。刘方平一直坚守到最后一辆疏散转运车辆离开才小憩片刻。而此时，他已经两天没合眼了。11日，刘方平哥哥打来电话说:地震当时，村寨里很多游客滞留，村委会给滞留游客准备了食物和热水，我也就把咱家里为你婚礼用的纸碗纸杯、饮料、喜糖等分发给了游客。,否,,2017-08-11 16:57,22,42,48,小米MIX概念手机,https://weibo.com/5190557419/FgCgCzXBs
16,#四川九寨沟7.0级地震#【鲜血染红的警服】地震时，小编恰好在位于景区附近的九寨沟县第二人民医院。震后约5分钟，第一位伤员被警用摩托车送来，该伤员头部受伤，流血不止。运送该伤员的正是九寨沟县公安局沟口交警中队的一名正在路面巡逻的辅警李克佳。在将伤员交到医护人员手中后，李克佳立即转身离开，冒着落石的危险，继续抢救转运其他伤员，当晚李克佳用警用摩托车转移伤员达6人。,否,,2017-08-11 10:48,27,18,49,小米MIX概念手机,https://weibo.com/5190557419/FgzQPwHvo
17,发布了头条文章：《九寨沟震后“天价包车费”案告破，司机被处拘留10日。》 °九寨沟震后“天价包车费”案告破，司机被处拘留... ​​​​,否,,2017-08-10 21:59,10,22,15,微博 weibo.com,https://weibo.com/5190557419/FguODCBxF
18,【辟谣】广大群众：九寨沟“8·8”地震以后，有关方面对九寨沟景区各海子水位情况进行了密切监测。水情变化在水文部门和九管局监管之下。县委、县政府邀请了国家级地震、地质学家对诺日朗瀑布等地段分析研判，结论是无坍塌危险。特此公告。请看到公告的群众相互转告。                   九寨沟县委县政府。 2阿坝藏族羌族自治州·漳扎镇,否,,2017-08-10 21:36,转发,评论,赞,小米MIX概念手机,https://weibo.com/5190557419/FguFtqkcE
19,平安夜,是,【视频：九寨沟，这里的夜晚平安如常】#四川九寨沟7.0地震# 发生后，四川全省公安机关闻警而动、科学救援，保畅交通、维护稳定。截至昨晚，全省公安机关共投入警力5100余人次，疏散转移游客和当地群众6万余人。夜晚降临，坚守在灾区的民警们又开始巡逻守护工作…… L四川公安的秒拍视频 ​​​​,2017-08-10 16:32,2,1,赞,小米MIX概念手机,https://weibo.com/5190557419/FgsG7tXd2
20,【数万九寨沟滞留人员疏散前后对比图】九寨公安安全疏散4万余名游客、2万余名旅游从业者和受灾群众等滞留人员第一组:国大疏散点第二组:漳扎镇疏散点第三组:九寨沟县城转移点 2阿坝藏族羌族自治州·九寨沟 ​​​​,否,,2017-08-10 16:24,9,4,3,小米MIX概念手机,https://weibo.com/5190557419/FgsCKi0d5
21,【清华留学生一家遇地震受伤，九寨民警全程当翻译】清华大学法国留学生携家人在九寨沟旅游遭遇地震，其弟弟受伤。为保障医疗救治顺利进行，九寨公安派出刑大、出入境等部门数名精通外语的民警在医院轮番陪同翻译，并提供生活上的照顾。目前，伤员伤情稳定。 ​​​ ​​​​,否,,2017-08-10 13:27,4,1,24,小米MIX概念手机,https://weibo.com/5190557419/Fgrt3rkzJ
22,【九寨沟县公安局关于严厉打击趁灾违法犯罪活动切实维护地震灾害地区社会秩序的通告】 ​​​​,否,,2017-08-09 14:33,97,17,29,小米MIX概念手机,https://weibo.com/5190557419/FgisZaVM5
23,请扩散！！！ ​​​​,否,,2017-08-09 11:23,6,2,4,小米MIX概念手机,https://weibo.com/5190557419/Fgheb1ObK
24,转发微博,是,"【生命之光!医院停电,警车照亮急救室】8月8日夜，四川九寨沟地震后，第二人民医院停电，羊峒派出所民警调集4辆汽车照明，帮助医院在户外搭建急救室，让医生抢救伤员。L生命之光!医院停电,警车照亮急救室 ​​​​",2017-08-09 05:07,3,评论,1,小米MIX概念手机,https://weibo.com/5190557419/FgeLvcPg3
