序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发布了头条文章：《不忘历史 缅怀先烈》 °不忘历史 缅怀先烈 ​​​​,否,,2017-09-30 15:57,转发,评论,1,微博 weibo.com,https://weibo.com/5192060096/Fodf4CZbM
1,发布了头条文章：《黑水县公安局举行“迎接十九大·忠诚保平安”应急演练》 °黑水县公安局举行“迎接十九大·忠诚保平安”应... ​​​​,否,,2017-09-30 11:32,转发,评论,赞,微博 weibo.com,https://weibo.com/5192060096/Fobvyk9MS
2,发布了头条文章：《黑水县公安局举行“迎接十九大·忠诚保平安”应急演练》 °黑水县公安局举行“迎接十九大·忠诚保平安”应... ​​​​,否,,2017-09-30 11:30,转发,评论,赞,微博 weibo.com,https://weibo.com/5192060096/FobuHbIho
3,转发微博,是,【壮观！2000名学生军训场上演心肺复苏】近日，2000多名厦门医学院学生展示了军训成果。除了常规的格斗术、队列表演，他们还表演了心肺复苏和止血包扎等技术，独具医学院特色。L一手video的秒拍视频 网友：值得分享，感觉人人都应该学！ ​​​ ​​​​,2017-09-28 16:31,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUBYhs3Z
4,转发微博,是,【兄弟，艰难的说一声再见！】 9月22日，宝安沙井一厂房起火，消防员潘汝佳在救火过程中，因公殉职，年值25岁。9月27日，宝安公安分局为潘汝佳举行追悼仪式。青山有幸埋忠骨，鹏城无声祭英魂。兄弟，一路走好！ @深圳公安 O兄弟，艰难的说一声再见！ ​​​ ​​​​,2017-09-28 16:31,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUBOympP
5,转发微博,是,【警察蜀黍遇到危险时反应有多快？】前两天，@虹口公安分局 某路口一位骑车带小孩的妈妈正准备将自行车抬上人行道，突然因为重心不稳小孩从后排座椅上掉了下来 孩子倒地的一瞬间，被站在几米外的交警飞奔而上一把抱住，监控画面显示，从发现孩子有危险到伸手去接，前后只用了1秒钟！  ​​​​...展开全文c,2017-09-28 16:30,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUBHaNzt
6,转发微博,是,【时代楷模特警英雄张劼的《勋章》】整栋楼48户200人多人安危！稍纵即逝43秒！以身扑倒、制服嫌疑人！现场爆炸让@特警张劼 经历14次大手术40次植皮…笑对磨难“我受过的伤都是我的勋章，不管明天的路有多漫长，我再次启航…”转发，祝英雄早日康复，王者归来！（歌曲@M鹿M 勋章 制作@治安君 ） ​​​​...展开全文c,2017-09-28 16:30,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUBvnt7R
7,转发微博,是,#以案析法#【支付宝微信转错账咋追回？律师：协商无果可起诉】使用支付宝、微信转账时，转错人、协商无果，对方不愿退款时，该咋办？近日，洛阳市洛龙区法院就一起支付宝转错账的纠纷做出判决，认为被告没有合法根据而获得钱款，使原告遭受损失，符合不当得利特征，判决被告退还全部错转钱款5500元。  ​​​​...展开全文c,2017-09-28 16:29,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUBhcDq8
8,转发微博,是,【转发传递真相！又一座“慰安妇”纪念物在美国洛杉矶揭幕】无声伫立的石像雕塑，仿佛重现当年的尖叫呐喊。一段尘封的历史真相，不该被岁月湮没。“我们最大的恐惧，是悲惨的经历被世人所遗忘。”历史不留空白，正义不能迟到，人们更不会忘记：侵略者欠她们一个道歉！打破沉默正视历史才是最大慰藉。 ​​​​...展开全文c,2017-09-28 16:29,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUB8hfsG
9,转发微博,是,【“好人法”10月起实施，做好人要有这些“正确姿势”】备受关注的《中华人民共和国民法总则》将于10月1日正式实施，其中被俗称为“好人法”修改为“因自愿实施紧急救助行为造成受助人损害的，救助人不承担民事责任。”“第184条回应了近几年老人倒地不敢扶等社会热点问题。几乎每个人都有可能遇到突发 ​​​​...¡查看图片展开全文c,2017-09-28 16:29,转发,评论,赞,360安全浏览器,https://weibo.com/5192060096/FnUAYwyh1
