序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月27日上午，“2017阿坝州马尔康第六届嘉绒锅庄文化旅游节”在万人广场隆重开幕。来自全州13个县（市）的各族群众身着节日的盛装舞动锅庄的吉祥，用藏民族独特的歌喉唱出华彩的交响，共同汇聚了一场阿坝州锅庄文化的盛宴。九寨沟县参赛队员们在原生态锅庄邀请赛中取得了优异成绩。 ​​​​,否,,2017-09-28 18:34,转发,评论,赞,360安全浏览器,https://weibo.com/5230214761/FnVpP9I0j
1,草原上的帐篷好像羊羔花一样绚丽，这牛羊聚集的地方，是我们牧人欢乐的家园······ ​​​​,否,,2017-09-28 17:03,转发,评论,赞,360安全浏览器,https://weibo.com/5230214761/FnUP0tgXi
2,#阿坝这五年# //@阿坝微博: #阿坝这五年# 激情锅庄，舞动马尔康，喜迎十九大,是,【嘉绒锅庄文化旅游节拉开序幕】#五年发展点滴印记##阿坝这五年#  9月26日晚，作为2017阿坝州马尔康第六届嘉绒锅庄文化旅游节活动之一的“大音希声 嘉绒四季”无伴奏合唱专场音乐会在马尔康金晶隆演艺大厅举行。一曲庆贺吉祥的嘉绒藏族无伴奏女声合唱《咚白让》拉开了晚会的序幕。@四川旅游  @新浪旅游 ​​​​...展开全文c,2017-09-27 16:28,转发,评论,赞,360安全浏览器,https://weibo.com/5230214761/FnLa4gxgj
3,#阿坝这五年# 壮观的锅庄表演~//@阿坝微博: #阿坝这五年# //@光影相随:回复@叫我悅人 的赞:,是,#光影记忆##我带宽窄逍遥游# 欢乐锅庄跳起来！马尔康第六届嘉绒锅庄文化旅游节开幕了！@宽窄有度  @阿坝旅游  @浪迹四川  @叫我悅人  @阿坝微博 L光影相随的微博视频 ​​​​,2017-09-27 16:27,转发,评论,1,360安全浏览器,https://weibo.com/5230214761/FnL9UcYD5
4,迎接十九大，今朝看中国。今日上午，央视全媒体大型特别节目《还看今朝・四川篇》在中央电视台新闻频道播出，节目将五年来四川全面创新改革、脱贫攻坚、民生建设、供给侧结构性改革等方面的巨大成就浓缩进了约一个半小时的电视画面中，节目的播出收到热烈反响。作为7路直播点之一，今日上午，四川卫视记者史晶和她的同事们深入九寨沟，向人们展现了九寨沟震后灾后重建中的新进展新面貌。O央视《还看今朝・四川篇》聚焦九寨沟 震后恢...,否,,2017-09-26 18:41,转发,评论,1,360安全浏览器,https://weibo.com/5230214761/FnCBAzS4a
5,9月25日，九寨沟县勿角乡蒲南村的九绵高速（九寨沟至绵阳）白马隧道施工现场一片繁忙景象，一台台大货车卷着尘土穿梭于隧道内外，隧道里，工人们挖掘隧道，一米一米的向前推进。 据白马隧道项目负责人李关次介绍，全员24小时轮班施工，即使地震后也在努力施工，目前，该隧道推进1200米。 ​​​​,否,,2017-09-26 18:40,转发,评论,赞,360安全浏览器,https://weibo.com/5230214761/FnCBf0xNK
6,四川大片又将刷屏！ 央视大型特别节目《还看今朝·四川篇》26日全国播出O四川大片又将刷屏！ 央视大型特别节目《还看... ​​​​,否,,2017-09-25 11:21,转发,评论,1,360安全浏览器,https://weibo.com/5230214761/FnqixEW1v
7,9月22日，玉瓦乡八郎村通村道路14.6公里路面浇筑全面完成。 ​​​​,否,,2017-09-23 20:30,转发,评论,2,360安全浏览器,https://weibo.com/5230214761/Fnb2l4q8E
8,9月21日，县公安局刑侦、网安民警在县城老区十字街口参加九寨沟县网络安全宣传周集中宣传活动。 ​​​​,否,,2017-09-23 20:29,转发,评论,1,360安全浏览器,https://weibo.com/5230214761/Fnb285jnb
9,“一边住帐篷，一边修新房”——为加快建房进度，双河乡团结村村民不回屋居住，将每天来回路上节约出的3个半小时用于施工。 ​​​​,否,,2017-09-22 18:26,转发,评论,1,360安全浏览器,https://weibo.com/5230214761/Fn0NybgC9
