序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#阿坝生活#  【又是一年中秋，月圆、家国圆！】中秋节，一个团圆的日子。小时候我们觉得，中秋节可以放假，吃甜甜的月饼很幸福；长大了，我们渐渐觉得中秋节可以赶回家和家人团聚吃一顿饭就很幸福。小编也祝所有关心、牵挂茂县的人节日快乐。 L微茂县的秒拍视频 ​​​​,否,,2017-09-30 16:08,4,10,16,360安全浏览器,https://weibo.com/6216013831/FodjL6IgE
1,#马尔康锅庄节# 【茂县萨朗亮相】羌族萨朗（羌文Rrmea Salengw），是中国羌族独有的代表性文化，已列入四川省第二批非物质文化遗产名录。萨朗，原为羌语北方言词汇，意为“唱起来、跳起来”，是当地羌族人民娱己娱神的重要手段。萨朗后引申为所有歌舞，并扩大词义为羌族歌舞的统称。,是,#马尔康锅庄节# 茂县萨朗巍巍九鼎献上赤热的羌红滔滔岷江敬上甘甜的咂酒璀璨的营盘向你诉说千年不朽的文明，神秘的牟托向你吟颂民族英雄的赞歌这是来自“阳光福地  风情茂县”的羌山儿女，向你展示历经数千年沧桑与磨难创造的独具特色的——羌族萨朗。萨朗是典型的集歌舞于一体的少数民族艺术形式 ​​​​...展开全文c,2017-09-27 10:48,1,评论,3,360安全浏览器,https://weibo.com/6216013831/FnIW3nQdh
2,#阿坝喜迎十九大# 【喜迎党的十九大，茂县开展民族团结主题宣传活动】9月25日，茂县开展了“喜迎党的十九大 民族团结一家亲 同心共筑中国梦 创建四川省民族团结进步示范县”主题宣传活动。活动旨在广泛宣传茂县创建四川省民族团结进步示范县的相关政策和法规，进一步深化民族团结进步创建意识，让创建活动深入人心，增强茂县各民族同胞的向心力和凝聚力，夯实各族人民共同团结奋斗、共同繁荣发展的思想基础，推动民族团结进步事业不断向前发展，掀起了茂县民族团结进步宣传的新高潮。,否,,2017-09-26 17:25,16,评论,14,微博 weibo.com,https://weibo.com/6216013831/FnC6DARTL
3,#阿坝生活# 【你有你的freestyle，我有我的羌乡小调！】随着时代的发展，新兴事物的不断涌入，咱们的传统文化越显尴尬。越来越多的年轻人已经忘记自己的本土文化，在小编的街拍中，年轻一代几乎不会唱原生态的羌民族歌曲，这是一种文化的丢失，或许，传统文化略显枯燥，甚至没有新鲜感，可是正因为如此，我们这一代人更应该把它与新兴事物相结合，让传统文化不断地充满新元素，也让更多的人了解属于我们的传统文化。小编相信，咱们的羌族小调也可以时尚、新潮。所以，年轻的你们，让我们一起唱起羌族小调，让它也能在众多的歌曲里掀起一股热潮。 L微茂县的微博视频,否,,2017-09-22 17:11,5,7,9,秒拍网页版,https://weibo.com/6216013831/Fn0j5lh2V
4,#阿坝身边事#  为保障石大关高位垮塌路段早日恢复畅通，石大关抢通工程施工方按照要求有序推进工程建设。截至目前，已安装主动防护网30000平方米，完成总工程量25%，下一步将进行波纹管安装、浇筑混凝土、土石回填等工作。小编也请大家耐心等待，为了以后更安全的出行。 ​​​​,否,,2017-09-20 09:13,1,15,12,专业版微博,https://weibo.com/6216013831/FmEkbhHxy
5,#阿坝生活# 【15年前的你还好吗？】网友@黄不二要活出自己 私信小编：从小一起长大的小伙伴，那时候五个小伙伴一条街上的，每天形影不离，可是在7岁的时候她被爸妈带回老家了，从此以后再无联系，整整15年了，小诗，很想知道你现在过得好不好，是不是变成大美女了，唯一知道的信息是她的老家在四川省阿坝藏族羌族自治州茂县土门镇，她叫牛小诗，有个妹妹牛小童，他们一家都是是回族人，她肯定还不知道中间的唯一的小男孩在08年地震遇难了，我们终究是聚不齐了，但是很希望四个女孩能再次相聚。 小编很乐意帮助她来寻找儿时的伙伴，那些美好的记忆她都记得，也希望牛小诗或者她的朋友能够看到这条消息，和我们联系。让童年的你们能够再拍一张美美的合照。,否,,2017-09-19 11:05,3,23,20,专业版微博,https://weibo.com/6216013831/FmvDdhxik
6,#阿坝生活#  【不得了！永和乡腊普村入选2017年全国改善环境示范村！】近日，国家财政部、住建部等5部门公布了2017年改善农村人居环境示范村名单，在公布的295个三类示范村中，四川省上榜14个。其中，阿坝州茂县永和乡腊普村榜上有名，入选为“保障基本示范村”，这也是阿坝州首个入围改善农村人居环境示范村的村庄。小编相信，咱们茂县会越来越好。,否,,2017-09-18 09:06,2,13,19,专业版微博,https://weibo.com/6216013831/FmlqgcN4o
7,#阿坝生活# 【太牛了，李子的这些问题都被民间高手解决了！】前段时间，受持续强降雨影响，茂县青红脆李大面积裂果，给果农造成了严重的损失。据县农业部门初步估算，今年茂县青红脆李裂果受灾面积达3万亩，经济损失达1.5亿元。为了解决青红脆李裂果给农户带来的损失，南新镇别立村村民大胆试验，采用避雨大棚栽培技术，成功解决了高半山水果裂果的难题。果然，高手都在民间，通过新技术，村民们的果实得到了有效保障。为民间高手的智慧点个赞！,否,,2017-09-12 17:51,2,20,17,专业版微博,https://weibo.com/6216013831/Fluis9Qfe
8,#阿坝生活#  【妈妈给你寄的茂汶苹果你收到了吗？】记忆中的“茂汶苹果”成熟了。茂汶苹果质地优良，颜色鲜艳，被誉为吉祥的象征。主要分布在2000米以下的岷江河谷区域。酸甜可口、芳香味浓、品质上乘，富含多种人体所需的微量元素，具有健牌益胃、养心补气的功效。为了方便大家，小编专门找到白溪乡果农成立的茂县幸福美丽家园果蔬种植专业合作社，想要吃最新鲜的茂汶苹果，就扫码购买最正宗的茂汶苹果吧！,否,,2017-09-08 17:20,1,1,12,专业版微博,https://weibo.com/6216013831/FkSnUFJ9q
9,#阿坝生活# 【厉害了！茂县羌脆李再夺金奖！】2017年8月18日至21日在内蒙古自治区包头市举办的第十八届中国绿色食品博览会上，茂县鑫农产业服务公司旗下的“绿羌园”牌羌脆李获得“第十八届中国绿色食品博览会金奖”。博览会上，阿坝州农产品以优良的品质得到了组委会、参展企业和群众的一致好评，特别是茂县青脆李以其独有青脆爽口的口感深受广大群众的喜爱。,否,,2017-09-04 09:29,17,30,25,专业版微博,https://weibo.com/6216013831/FkdAChtVE
