序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,就是,是,需要南下前往茂县、成都方向的司机朋友们请看看临时管制时间奥。@四川公安  @阿坝公安  @阿坝同城 ​​​​,2017-09-30 13:54,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/5199714761/Focrixrsl
1,松潘公安聆听“砥砺奋进的五年”暨喜迎十九大“政法篇”专题宣讲会。      9月27日上午，松潘公安民警职工约45人在县委党校庄严聆听“砥砺奋进的五年”暨喜迎十九大“政法篇”专题宣讲会。      报告会上，宣讲内容主题鲜明、内涵丰富、深入浅出，有效助力松潘公安决战决胜“党的十九大安保”战时思想动员工作，坚定全局公安民警职工“ 誓已忠诚保平安”的决心。@阿坝公安  @阿坝同城 @阿坝身边事  @阿坝微博,否,,2017-09-27 09:52,1,评论,1,华为P9手机摄影再突破,https://weibo.com/5199714761/FnIzgEw3W
2,汽车要上户的看一下奥。我省德阳、宜宾、雅安、甘孜、阿坝、凉山、巴中七个市（州），将于2017年9月30日切换全国统一互联网选号系统。9月30日18:00时，现互联网选号系统（地址：www.scjj.gov.cn:121）将停止使用。通过现系统预选的号牌请于2017年9月30日前（含30日），前往所在车管所办理业务，过期未办理的，所选的号将作废。全国统一互联网选号系统，将于10月8日9点至12点试运行，10月9日正式启用，地址为：O网页链接。系统切换期间，如给您造成不便，敬请谅解！@阿坝公安 @阿坝同城 @阿坝公安交警 @阿坝微博,否,,2017-09-26 18:14,转发,评论,赞,360安全浏览器,https://weibo.com/5199714761/FnCqBaraa
3,转发微博,是,【实拍警察抓捕杀人逃犯 嫌疑人：别让我爸妈知道】“我杀人了，求你们了，让我去死好不好，我不想让爸妈知道。”9月24日，浙江一涉嫌故意杀人的男子在四川松潘县被警方抓获后，痛哭求饶。26日，@松潘县公安局 告诉北京时间记者，该男子杀人后从浙江逃到四川松潘县，目前两地警方正在办理移交手续。 ​​​​...展开全文c,2017-09-26 18:11,转发,评论,赞,360安全浏览器,https://weibo.com/5199714761/FnCpGqCkD
4,厉害了我的四川,是,#团团告诉你#【《还看今朝·四川篇》丨新二郎山隧道今天爆破贯通】如今建设的新二郎山隧道，它是四川甘孜藏区第一条高速公路——雅康高速的控制性工程之一，全长13.4公里，与老隧道相比，新二郎山隧道海拔下降了700多米，受季节影响更小，车辆有效通行时间更长，过去要走一天的路缩短为15分钟。 ​​​​...展开全文c,2017-09-26 14:24,转发,评论,1,360安全浏览器,https://weibo.com/5199714761/FnAVjuIv7
5,〖松潘公安民警出差途中救助车祸伤者 暖人心〗白羊派出所民警刘礼平、陈浩从辖区开车出差到黑水县办案，途径茂县飞虹乡水草坪村附近路段时，发现前方刚发生一起两台货车相撞的事故，两位民警与附近群众一起把三名伤者转移出车外，进行简单包扎后，迅速拨打“110”和“120”。  两位民警一边安抚伤者的情绪，一边协助当地公安交警部门维持好事故现场秩序；待 120救护车到来后，他们又协助医务人员将这名伤者送上救护车才悄然离开现场。@四川公安 @阿坝公安 @阿坝同城 @阿坝微博,否,,2017-09-26 14:23,3,3,3,360安全浏览器,https://weibo.com/5199714761/FnAV4r5hD
6,转发微博,是,【中国刑警的“5个最”：他们的回答，你能猜到吗？】奋战在打击犯罪第一线的刑警，最危险的经历是什么？什么时刻最骄傲？最对不起的人是谁？什么时候离死亡最近？获奖后最想说的话是什么？听一听2017全国公安#百佳刑警#的代表们怎么说。L时间视频的秒拍视频 ​​​​,2017-09-26 14:21,转发,评论,赞,360安全浏览器,https://weibo.com/5199714761/FnATZBE3n
7,猛戳 视频直击 松潘公安协助浙江警方抓获一名故意杀人案重要嫌疑人@四川公安 @公安部刑侦局 @公安部打四黑除四害 @阿坝公安 @阿坝同城 @阿坝身边事 L松潘县公安局的微博视频 ​​​​,否,,2017-09-25 20:23,5,5,6,360安全浏览器,https://weibo.com/5199714761/FntQIgFqd
8,需要南下前往茂县、成都方向的司机朋友们请看看临时管制时间奥。@四川公安  @阿坝公安  @阿坝同城 ​​​​,否,,2017-09-21 21:25,3,5,2,华为P9手机摄影再突破,https://weibo.com/5199714761/FmSxY1YDh
9,看这一家子，“子不教，岂止是父母之过……”    近日，松潘县公安局快速破获一起盗挖中药材贝母案，挡获新鲜贝母63斤价值6.8余万元。目前，3名盗窃嫌疑人竟然分别是父亲、母亲、儿子。     犯罪嫌疑人王某沉溺于赌博欠了不少外债，被要账的逼的焦头烂额，8月24日晚22时，王某拉上妻子带上儿子趁该贝母基地疏于看管的时候，作案盗挖了贝母。      @四川公安 @四川日报 @阿坝公安 @阿坝同城 @阿坝微博,否,,2017-09-16 14:37,转发,4,2,360安全浏览器,https://weibo.com/5199714761/Fm4JvisHa
