序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发布了头条文章：《大嗓门所长李仕斌 望你常回家看看》 °大嗓门所长李仕斌 望你常回家看看 ​​​​,否,,2017-09-12 11:57,转发,评论,2,微博 weibo.com,https://weibo.com/2929413640/FlrYQDnbC
1,发布了头条文章：《阿坝 成都 雅安三地公安实现跨区域警务大联动》 °阿坝 成都 雅安三地公安实现跨区域警务大联动 ​​​​,否,,2017-09-12 09:32,转发,评论,2,微博 weibo.com,https://weibo.com/2929413640/Flr1PzIrz
2,转发微博,是,【触目惊心看这类车为什么事故死亡率会高达70%?】不用再多一句解说，却震撼了每个人！L平安中原的秒拍视频 ​​​​,2017-09-12 09:29,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/Flr0ynNpf
3,转发微博,是,#防范熊孩子#无论你是谁、在哪里、请尊重孩子 ​ ​​​​（转） ​​​​,2017-09-12 09:28,1,评论,赞,360安全浏览器,https://weibo.com/2929413640/Flr0npQhp
4,转发微博,是,【4分钟速览#巡视利剑#第四集《巡视全覆盖》】党的十八大以来，巡视制度既成为党内监督有效发挥作用的过程，也成为依托广大人民群众、与群众监督相结合的过程。习近平在十八届中央纪委六次会议上强调：“要加强对巡视工作的领导，确保在本届任期内巡视全覆盖，巡视全覆盖本身就是震慑。” ​​​​...展开全文c,2017-09-12 09:28,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/Flr0l4HrX
5,转发微博,是,【在古代，你的年龄怎么说？】①幼年：孩提、总角、垂髫；②少年：豆蔻、及笄、束发；③青年、中年：加冠、而立、不惑、知命；④老年：花甲、耳顺、古稀、喜寿、米寿、白寿。戳图↓↓ 找找自己年龄的准确称谓吧！ ​​​​,2017-09-12 09:26,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FlqZBh3ls
6,转发微博,是,虽然在喧闹拥挤的地铁上，但他们依然挺直身，井然有序，保持着军人特有的一种风度。在他的们眼皮下藏着一双炭火似的光点，在默默地燃烧着。这就是中国军人！ ​ ​​​​,2017-09-12 09:26,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FlqZy1W7Y
7,转发微博,是,【又来了！《民警李建国》之预防校园暴力篇】这一次@民警李建国  为大家科普的是如何预防校园暴力。网友：警界的一股清流…… L民警李建国的微博视频 ​​​​,2017-09-12 09:26,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FlqZlzLz7
8,转发微博,是,【共享单车儿童座椅网上叫卖 危险请勿使用！】#四川服务#共享单车给大家的生活带来了便利，日前“共享单车儿童座椅”在网上叫卖，有用过的家长称座椅安装上后摇晃得厉害。律师表示，用户加装座椅属违约行为，万一出事儿家长该担责。多家共享单车企业在用户协议中都有明确说明，除载物架（框）外， ​​​​...展开全文c,2017-09-11 15:41,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/Flk17pMSZ
9,转发微博,是,#女网警说#近日，重庆的冉小姐网购了一双鞋子，收货过程非常顺利。几天后她收到个电话，自称是网店客服，对方称鞋子被检出化学药品超标，要紧急召回退款给消费者。在遥控指挥下，冉小姐将两万多元转入到了对方账户，所谓的退款却一分钱没收到。冉小姐月薪只有两千，这次全部积蓄被骗，让她生活陷入困境 ​​​​...展开全文c,2017-09-11 15:40,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/Flk0TgUsE
10,@阿坝公安,是,"【警务联动协作座谈会在汶川召开】为深入贯彻落实省厅党委关于跨区域警务协作发展战略，进一步加强汶川与周边区市县公安局的警务协作交流，形成整体合力,全力构建平安边界。2017年9月8日，阿坝、成都、雅安“三区三市七县”区域警务联动协作座谈会在汶川县水磨镇隆重召开。 ​​​​",2017-09-11 15:24,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FljU5zBY1
11,"【警务联动协作座谈会在汶川召开】为深入贯彻落实省厅党委关于跨区域警务协作发展战略，进一步加强汶川与周边区市县公安局的警务协作交流，形成整体合力,全力构建平安边界。2017年9月8日，阿坝、成都、雅安“三区三市七县”区域警务联动协作座谈会在汶川县水磨镇隆重召开。 ​​​​",否,,2017-09-11 15:23,2,评论,赞,360安全浏览器,https://weibo.com/2929413640/FljTXjRXU
12,@阿坝公安,是,近日，汶川县公安局民警到村寨中开展帮扶工作。每到一户村民家中，民警亲切的与他们交谈，认真了解生产生活情况、种植养殖产业和收入情况，并提出帮扶意见建议。 ​ ​​​​,2017-09-11 15:16,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FljQT2MRt
13,近日，汶川县公安局民警到村寨中开展帮扶工作。每到一户村民家中，民警亲切的与他们交谈，认真了解生产生活情况、种植养殖产业和收入情况，并提出帮扶意见建议。 ​ ​​​​,否,,2017-09-11 15:15,1,评论,赞,360安全浏览器,https://weibo.com/2929413640/FljQF7baI
14,转发微博,是,【简历这样写，HR一眼看中你！】秋招进行时，同学们都准备好了吗？标题、经验、技能、兴趣、排版……写简历是个技(tǐ)术(lì)活！如何制作一份优秀简历，让HR一眼就看中你？收好干货经验↓↓ 实用、转需！ ​​​​,2017-09-11 11:52,转发,评论,1,360安全浏览器,https://weibo.com/2929413640/FliwfcOjK
15,转发微博,是,【女子跳江瞬间反悔 顺长江漂流40公里获救】9日，武汉汉阳区，一女子因工作不顺跳江轻生。然而跳江瞬间她后悔了，因不会游泳，她就靠一个仰躺的动作，从长江鹦鹉大道段顺江而下，漂流了40公里后被救。被救后，女子处于半昏迷状态，称：“你们再不来，我就放弃了...”@楚天视频 L楚天视频的微博视频 ​​​​,2017-09-11 11:51,转发,评论,赞,360安全浏览器,https://weibo.com/2929413640/FlivUvBkd
