序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,测试中（来自L一直播:理县公安正在直播）APP下载地址：O网页链接  2四川省·阿坝藏族羌族自治州 ​​​​,否,,2017-09-30 17:36,转发,评论,赞,一直播,https://weibo.com/3002310644/FodTqzfBO
1,测试中（来自L一直播:理县公安正在直播）APP下载地址：O网页链接  2四川省·阿坝藏族羌族自治州 ​​​​,否,,2017-09-30 17:12,转发,评论,赞,一直播,https://weibo.com/3002310644/FodJvFwgR
2,测试中（来自L一直播:理县公安正在直播）APP下载地址：O网页链接  2四川省·阿坝藏族羌族自治州 ​​​​,否,,2017-09-30 16:29,转发,评论,赞,一直播,https://weibo.com/3002310644/FodsaDqdu
3,测试中（来自L一直播:理县公安正在直播）APP下载地址：O网页链接 ​​​​,否,,2017-09-30 16:25,转发,1,赞,一直播,https://weibo.com/3002310644/Fodqk1bH8
4,测试中（来自L一直播:理县公安正在直播）APP下载地址：O网页链接  2四川省·阿坝藏族羌族自治州 ​​​​,否,,2017-09-30 16:25,1,1,赞,一直播,https://weibo.com/3002310644/Fodqj7RcQ
5,【喜迎十九大 忠诚保平安|强化演练 提升水平】为彰显公安机关维护社会治安大局稳定的决心，以决战决胜的姿态迎接党的十九大胜利召开，近日，理县公安局组织消防大队、武警理县中队、森林公安局、县医院等部门开展了“迎接十九大忠诚保平安”处突演练。演练科目主要有盾牌操、排爆、群体性事件现场处置、现场救援等。在十九大期间，县局将进一步加强应急值守，做到随时能够拉得出，打得赢，坚决维护好全县的社会稳定，以优良的作风和优异的成绩向党的十九大献礼。,否,,2017-09-26 17:21,转发,评论,2,微博 weibo.com,https://weibo.com/3002310644/FnC5dw2es
6,【扩散 | 理县公安局公告】近期有部分旅行社为促销营利，向群众散布有关停止办理护照的不实言论。请大家不要轻信谣言!各位群众要以办理护照的权威机构公安机关公布的信息为准。截止目前，公安机关出入境管理部门未接到任何停止办理护照的通知。护照不仅不会停办，公安机关还将为群众推出更多更方便群众出国(境)的工作举措！请大家根据自身实际需要，选择办证时间出国(境)。,否,,2017-09-06 16:42,转发,1,1,360安全浏览器,https://weibo.com/3002310644/FkzhiFegi
7,【关注|摩托车驾驶证业务开办啦】近日，理县交警大队摩托车驾驶证办理业务全面开启。摩托车驾驶证业务主要针对理县户籍并且属于初次申领驾驶证的对象，户籍不属于理县且已有机动车驾驶证的不能办理该项业务。车管所将对符合办理条件的申请人办理、发放摩托车驾驶证。同时交警大队将加大对无证驾驶摩托车、三轮摩托车违规载人、摩托车超员超速、不戴头盔、摩托车未年检及未办理入户手续等违法行为的整治、处罚力度，为辖区群众创造一个平安、畅通的交通环境。温馨提示：摩托车驾驶证办理流程 1、符合申领条件：理县户籍，年龄在18--60岁以内，属于初次申领驾驶证；2、准备个人寸照6张，白底；3、理县人民医院领取体检表，体检合格后才能申领驾驶证；4、本人身份证原件及一张复印件；5、报名，报名必须本人到场办理手续；6、报名注册成功后，参加考试，考试合格后发放驾驶证。 办理地点：理县公安局交警大队车管所咨询电话：0837-6823552,否,,2017-09-02 14:09,1,评论,2,iPhone 6,https://weibo.com/3002310644/FjWzyyaSu
8,【理县公安局召开瓦斯村脱贫攻坚推进会】   8月25日，瓦斯村脱贫攻坚工作会在瓦斯活动室召开。副县长、公安局长雅哈洛措出席会议并讲话。局党委委员、机关党委书记陈世贤、杂谷脑镇政府主要负责人、县烟草公司主要负责人、瓦斯村党员群众等人参加会议。   会议传达了瓦斯村脱贫攻坚验收考核情况及有关问题整改情况。   会上，副县长雅哈洛措指出“经常性走访，物质上帮助，生活上关心，精神上鼓励”是理县公安局在扶贫工作中所坚持的基本思路，也是深化群众路线、推进“两学一做”、“四对照四提升，做忠诚卫士”教育活动的具体实践。全村群众要统一思想，提高认识，充分认识脱贫攻坚工作的艰巨性和紧迫性，要因村施策、因户施策、因人施策，不要争当贫困户，实事求是，村党员要做好表率作用。公安局是瓦斯村的帮扶对象，要因地制宜，因户施策，切实抓好产业扶贫和结对帮扶工作，确保扶贫措施落到实处、扶贫工作取得实效。,否,,2017-08-29 15:29,转发,1,赞,微博 weibo.com,https://weibo.com/3002310644/FjlnPEHnt
9,【理县公安局开展夜间集中清查行动】为确保全县社会治安大局持续稳定，人民群众生命财产安全。8月21日晚，理县公安局结合“三打击一整治”专项行动，在全县范围内开展了夜间集中清查行动。期间，共出动警力180余人次，检查重点单位41家，民爆仓库10家，排查整改安全隐患4处；盘查可疑人员172人，清查各类娱乐场所174家，调处纠纷1起；盘查可疑车辆121辆，查处无证驾驶1人、饮酒驾驶1人。,否,,2017-08-22 21:49,转发,评论,1,360安全浏览器,https://weibo.com/3002310644/FijSqnRwn
10,我发表了头条文章:《《情系九寨｜心系五保户 走访送温暖》》 °《情系九寨｜心系五保户 走访送温暖》 ​​​​,否,,2017-08-19 19:47,转发,评论,赞,iPhone 6 Plus,https://weibo.com/3002310644/FhQNAixby
11,发布了头条文章：《​理县公安受命集结  火速驰援九寨沟》 °​理县公安受命集结  火速驰援九寨沟 ​​​​,否,,2017-08-11 19:13,转发,评论,4,微博 weibo.com,https://weibo.com/3002310644/FgD9Z3kDh
12,我发表了头条文章:《理县公安|用实际行动守好抢险救援生命线的“咽喉”》 °理县公安|用实际行动守好抢险救援生命线的“咽... ​​​​,否,,2017-08-10 00:38,2,2,1,iPhone 7,https://weibo.com/3002310644/FgmqB3Y8s
13,发布了头条文章：《理县公安全力确保抢险救援生命线通畅》 °理县公安全力确保抢险救援生命线通畅 ​​​​,否,,2017-08-09 04:21,转发,评论,赞,微博 weibo.com,https://weibo.com/3002310644/FgesLD7Aa
14,发布了头条文章：《脱贫攻坚｜助力精准扶贫 政协委员在行动》 °脱贫攻坚｜助力精准扶贫 政协委员在行动 ​​​​,否,,2017-08-07 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/3002310644/FfY7BmeWw
15,发布了头条文章：《理县公安局召开“四对照四提升、做忠诚卫士” 专题教育动员部署大会》 °理县公安局召开“四对照四提升、做忠诚卫士” ... ​​​​,否,,2017-08-05 13:56,转发,评论,1,微博 weibo.com,https://weibo.com/3002310644/FfGwgFGEP
16,我发表了头条文章:《趣味运动会｜带您找寻未被发现的运动之美》 °趣味运动会｜带您找寻未被发现的运动之美 ​​​​,否,,2017-08-03 21:37,转发,评论,赞,iPhone 7,https://weibo.com/3002310644/FfqGs8rZu
