序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#迎接十九大 忠诚保平安#携枪逃亡4个月，还是“回家”好！2017年9月25日一大早，犯罪嫌疑人三木州来到红原县公安局刑警大队“4.30”命案专案组——投案自首，并上缴仿制式手枪一支。至此，红原县“4.30”命案成功告破。三木州（男、藏族、红原县瓦切镇人，36岁）。2017年4月30日13时许，因死者泽郎供波与俄洛（死者大哥）驾驶面包车经过罗让（嫌疑人三木州舅舅）的草场时损坏其围栏，双方因陪赏问题不公引发械具冲突。事件造成泽郎兰机（嫌疑人兄弟）头部、俄洛臀部不同程度受伤。冲突升级后，三木州用随身携带仿制式手枪向泽郎供波射击，造成泽郎供波死亡。案发后，犯罪嫌疑人三木州携枪潜逃。红原警方依法对涉嫌故意伤害的泽郎某初、泽郎某机作出行政拘留15日并处罚款的决定。犯罪嫌疑人三木州携枪潜逃后，红原警方庚即成立了“4.30”专案组，将其列为了省厅A级督捕逃犯，以“三项重点工作”为契机，加大了追逃力度。在公安机关的强大压力下，9月25日，犯罪嫌疑人三木州草草结束了逃亡之路，从甘孜州色达县返回红原并投案自首。犯罪嫌疑人三木州感叹：“全国公安是一家，逃到哪里都要抓，还是回家好！”截止目前，在红原警方全力追逃下，追逃数已达10人（含州局督捕1人，省厅督捕1人）。​​​,否,,2017-09-28 21:25,转发,评论,1,HUAWEI P10 Plus,https://weibo.com/5423538228/FnWxmpCgI
1,#迎接十九大 忠诚保平安#高原警察趟零度冰水抓获盗窃羌活嫌犯2人9月25日7时许，邛溪派出所接县局110指挥中心指令称:邛溪镇瑞庆东路28号有一药材收购店内的中药材（羌活）被盗，被盗的羌活共172斤，价值约8000余元。接警后，红原县公安局邛溪派出所立即展开走访调查，通过大量案侦工作，最终锁定犯罪嫌疑人夺某（男，藏族，30岁，红原县人），同某（男，藏族，34岁，红原县人）。因嫌疑人藏身处位于阿木乡一秋季牧场，视线开阔，为避免打草惊蛇，抓捕民警趟过冰冷的河水，带着满身的泥浆，一举将两名犯罪嫌疑人抓获，并现场挡获被盗羌活。至此，药材被盗案在案发后5小时内成功告破，被盗羌活已返还给失主，失主感激万分并送上锦旗一面以示感谢。目前，两名犯罪嫌疑人已被红原警方依法刑事拘留，案件正在进一步办理中。,否,,2017-09-28 18:23,5,4,13,HUAWEI P10 Plus,https://weibo.com/5423538228/FnVll71wl
2,#对党忠诚 服务人民篇#小偷两个月后重游故地被抓！2017年6月21日晚，红原县邛溪镇华某玛只身前往安曲镇哈拉玛村，在闲逛至22组2号门前时，见一辆双剑牌摩托车无人看管，伺机实施盗窃。案发两个月后，华某认为相安无事，再次重游故地。岂料，辖区派出所从未放弃此案件侦破工作，9月6日，群众举报称其形迹可疑，派出所民警遂对其询问，经掌握其相关证据。华某对6月21日盗窃摩托车（案值1300元）一案供认不讳。根据《中华人民共和国治安管理处罚法》相关规定，我公安机关依法给予违法行为人华某10日行政处罚。@阿坝公安  @阿坝那些事儿  @阿坝身边事  @法制晚报  @红原微博,否,,2017-09-08 11:39,2,2,4,HUAWEI P10 Plus,https://weibo.com/5423538228/FkQ9vCoci
3,#四对照四提升 做忠诚卫士#醉酒后殴打他人获5日拘留9月1日下午，两甘孜籍帅锅喝醉酒后因找不到银珠茶楼老板，在询问茶楼旁一川菜馆老板娘过程中，双方发生争吵，甘孜籍肯某伙同卡某布对老板娘实施殴打。邛溪镇派出所接警后将肯某带回派出所，卡某布逃离现场。3日后，9月4日民警将在逃的违法行为人卡某布抓获。根据《中华人民共和国治安管理处罚法》相关规定，我公安机关依法对两名涉嫌殴打他人违法行为人分别处以5日行政拘留。,否,,2017-09-07 12:57,1,5,7,HUAWEI P10 Plus,https://weibo.com/5423538228/FkHeC8L0N
4,扩散丨红原县公安局公告近期有部分旅行社为促销营利，向群众散布有关停止办理护照的不实言论。请大家不要轻信谣言!各位群众要以办理护照的权威机构公安机关公布的信息为准。截止目前，公安机关出入境管理部门未接到任何停止办理护照的通知。护照不仅不会停办，公安机关还将为群众推出更多更方便群众出国(境)的工作举措！请大家根据自身实际需要，选择办证时间出国(境)。,否,,2017-09-06 18:20,转发,评论,1,HUAWEI P10 Plus,https://weibo.com/5423538228/FkzVeyfMv
5,°红原警方“黑白”通吃，挡获黑色路虎发现4&... @阿坝公安  @成都发布  @法制晚报  @凤凰新闻客户端 ​​​​,否,,2017-08-25 10:33,1,评论,2,HUAWEI P10 Plus,https://weibo.com/5423538228/FiHJwxRXp
6,援助日记 L红原警察的秒拍视频 ​​​​,否,,2017-08-20 19:49,转发,评论,4,HUAWEI P10 Plus,https://weibo.com/5423538228/Fi0eJniyK
7,视频丨不能忘却的记忆——红原公安九寨沟抗震救灾纪实O红原公安丨不能忘却的记忆——九寨沟地震救援纪... ​​​​,否,,2017-08-20 16:36,转发,评论,1,HUAWEI P10 Plus,https://weibo.com/5423538228/FhYYw48BW
8,蜀黍带你看首届高原露营COLOR RUN音乐节八月19日、20日，首届高原露营COLOR RUN音乐节在红原俄么塘举行。来自成都等地及中外游客享受了草原摇滚音乐大餐，嗨翻了4KM COLOR RUN。上视频！ ​​​ L红原警察的秒拍视频 ​​​​,否,,2017-08-20 15:21,转发,评论,3,HUAWEI P10 Plus,https://weibo.com/5423538228/FhYu1uRO9
9,蜀黍带你看首届高原露营COLOR RUN音乐节八月19日、20日，首届高原露营COLOR RUN音乐节在红原俄么塘举行。来自成都等地及中外游客享受了草原摇滚音乐大餐，嗨翻了4KM COLOR RUN。上图&视频！ ​​​ ​​​​,否,,2017-08-20 14:25,转发,评论,1,HUAWEI P10 Plus,https://weibo.com/5423538228/FhY7nApha
