序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,看完这段视频的时间 就有约80人摆脱了贫困,是,#青春扶贫#【看完这段视频的时间 就有约80人摆脱了贫困】未来1000余日，每年脱贫约1000万人，意味着每月脱贫要达到近100万人，每分钟脱贫约20人，这是一场进入读秒时间的决战。#我为中国加油# °看完这段视频的时间 就有约80人摆脱了贫困 L四川共青团的秒拍视频 ​​​​,2017-08-15 09:07,转发,评论,1,360安全浏览器,https://weibo.com/2305236323/FhaTQ318C
1,#互联网改变百姓生活#悬崖村上的信息天路,是,#互联网改变生活惠及百姓#【悬崖村的信息天路】过去，这里与外界相连的，仅有垂直于绝壁蜿蜒而上的17条藤梯。今年初，村子与外界相连的“信息天路”开通，幼教点的小孩子第一次欣喜地看到了动画片；陈古吉第一次上网惊奇地发现了自己的悬崖蜂蜜可以卖钱；阿麽第一次通过视频与在广东打工的儿子通话，泪 ​​​​...展开全文c,2017-07-26 10:03,转发,1,3,iPhone 6s,https://weibo.com/2305236323/Fe8IymSsW
2,将改革进行到底 O网页链接 ​​​​,否,,2017-07-26 10:00,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8Hk7Ll4
3,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:59,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8HaoXLC
4,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:59,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8GXFhpy
5,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:58,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8GKFzZ7
6,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:58,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8GvA27A
7,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:57,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8Glzo9F
8,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:57,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8G5yYmQ
9,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:56,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8FV0rEZ
10,将改革进行到底  O网页链接 ​​​​,否,,2017-07-26 09:56,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8FIyI4o
11,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:54,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8F1qLa1
12,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:53,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8EwooN3
13,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:52,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8Ejmayj
14,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:52,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8E7hR9v
15,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:51,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8DV9bQo
16,将改革进行到底O网页链接 ​​​​,否,,2017-07-26 09:50,转发,评论,赞,iPhone 6s,https://weibo.com/2305236323/Fe8Dmh4SY
17,O央视大制作 深改进行时 十集政论专题片《将改... ​​​​,否,,2017-07-26 09:46,转发,评论,1,iPhone 6s,https://weibo.com/2305236323/Fe8BUs2Ak
18,转发微博,是,红原雅克音乐季现场，虽然小雨霏霏，冷成狗，丝毫阻挡不了大家的热情！既能感受煨桑台，赛马术等民族文化，又能被来自藏羌彝等原创乐队的音乐燃爆，这个音乐节，有点好玩！@红原微博 @红原旅游 @阿坝旅游 @四川-海螺沟 @乐游四川 @新浪四川 @迟阿娟 @简途旅行 2阿坝藏族羌族自治州·红原大草原 ​​​​,2017-07-15 07:25,转发,评论,3,HUAWEI P10,https://weibo.com/2305236323/FcrZ2cuhn
19,近期，朋友圈出现此条信息，属于谣言，请勿转载！此消息在微信朋友圈发出后，受到各地网友的广泛关注，经调查核实，信息中反映的内容不实，属于谣言。请网友不要转载！   O纯属谣言！！ ​​​​,否,,2017-06-29 13:56,5,6,4,HUAWEI P10,https://weibo.com/2305236323/Fa3HOxCdT
20,『独家视频·原声|王东明同志27号那天讲了啥 还原现场 走进现场』O网页链接 ​​​​,否,,2017-06-02 20:46,转发,2,1,iPhone 6s,https://weibo.com/2305236323/F5ZQOusho
