序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,​【最美的风景，在路上】#连线四川#摄于唐克到若尔盖段二级公路。最美的风景，在路上。@摄影师阿布 ​​​​,2017-09-19 13:15,转发,评论,1,iPhone 6s,https://weibo.com/5628232454/FmwtJhuqi
1,//@四川旅游:红色旅游到底什么样？来听听四川省旅游发展委员会产业处副处长袁媛、朱德故居管理局副局长邓成功讲解什么才是咱老百姓喜闻乐见的“红色旅游”！,是,你可能对四川“红色旅游”有个小印象，但可能你也并不了解它真正的样子。@四川旅游生活广播  《970爱乐游》栏目今天上午十点开通视频直播，视频链接：O网页链接   今天我们邀请到四川省旅游发展委员会产业处副处长袁媛、朱德故居管理局副局长邓成功，一起来聊一聊“如何打造老百姓喜闻乐见的 ​​​​...展开全文c,2017-08-04 10:29,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/FfvJE79HZ
2,转发微博,是,【中国最美高寒湿地：若尔盖开启“草原盛会”模式！】80名安多汉子骑着骏马飞奔入场，安多妇女则跳起欢乐的锅庄。7月15日，在若尔盖县扎西塘草原上，中国·若尔盖黄河大草原文化旅游节暨盛夏雅敦节由此拉开帷幕。这也是国内首个将黄河文化、安多民俗和湿地风光相结合的大型文化旅游节会。VIA：川报观察 ​​​​...展开全文c,2017-07-17 01:47,转发,1,1,iPhone 6s,https://weibo.com/5628232454/FcICZCN97
3,转发微博,是,【赛马是草原上一年中最为盛大的节日】7月16日，阿坝州若尔盖热尔大草原，湛蓝的天空飘着朵朵白云，青青的牧草点缀着五彩的帐篷，一场安多赛马盛会在此举行。来自川甘青等22个县的700余名骑手携爱马上演“巅峰对决”，带来了一场“速度与激情”的视觉盛宴。VIA：来源：四川在线#阿坝旅游#  ​​​​...展开全文c,2017-07-17 01:47,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/FcICT8ORt
4,转发微博,是,#走在旅游的路上# 7月，若尔盖大草原真的美得过分，不仅想起一首歌，爱上一匹野马，可我的家里没有草。若尔盖热尔大草原仅次于呼伦贝尔草原的中国第二大草原，著名的天然湿地花湖就在热尔大草原上，七月中旬是花开的最盛的时候。如果说草原花海太单调，黄河九十九道弯中最美的一弯便在此从茫茫草海中穿 ​​​​...展开全文c,2017-07-01 10:37,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/FalfToVOy
5,转发微博,是,【关于“6.24”茂县山体高位垮塌解除道路交通管制的公告】                         阿坝州交通局    阿坝州公安局         关于“6.24”茂县山体高位垮塌解除道路交通管制的公告      根据茂县“6.24”特大山体滑坡省应急指挥部的命令，决定解除国道213线汶川至松潘段、省道302线茂县至红原路段禁 ​​​​...展开全文c,2017-06-30 17:34,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/FaeyDrIEk
6,转发微博,是,九曲黄河第一湾位于若尔盖县唐克乡，在中原地区奔腾汹涌的黄河在这里还是一条温婉平静的河流。这里的索克藏寺院修筑于黄河第一湾山上，白塔古寺相伴于黄河。这里会让我们记住中华民族的母亲河发源于这个古老而神秘的藏区。#带着微博去四川# 图文|@陈建Sir ​​​​,2017-06-23 19:02,1,1,1,iPhone 6s,https://weibo.com/5628232454/F9b8XfUJY
7,转发微博,是,#连线四川#若尔盖花湖，遗落天边的至美之境，想在这里当一只猫，每天对着蓝天发呆。 （via@行走的强子 ） ​​​​,2017-06-21 23:01,转发,1,赞,iPhone 6s,https://weibo.com/5628232454/F8TQSof6K
8,多彩若尔盖,是,#光影记忆##首届若尔盖高原湿地观鸟赛#绿色生态天边的若尔盖，美丽的花湖等你来。记录身边的琐事趣事用图片讲述故事【光影瞬间精彩相随】@浪迹四川 @沐家菇娘 @阿坝微博 @阿坝旅游 @新浪四川 @四川旅游 @戴蜜蜡的藏族人 ​​​​,2017-06-01 15:46,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/F5OspxmPx
9,,是,#光影记忆#今天#首届若尔盖高原湿地观鸟赛#探秘若尔盖扎萨格大峡谷，这里以变质火山岩为主形成的高山峡谷奇观及茂密原始森林形成的高原奇景。 记录身边的琐事趣事用图片讲述故事【光影瞬间精彩相随】@四川旅游 @新浪四川 @浪迹四川 @阿坝旅游 @阿坝微博 @戴蜜蜡的藏族人 @托斯卡纳TSKN @沐家菇娘  ​​​​...展开全文c,2017-06-01 15:45,转发,评论,1,iPhone 6s,https://weibo.com/5628232454/F5OrYlCVG
10,走心的攻略,是,|若尔盖自驾游攻略|#若尔盖之美再发现##魅力若尔盖##自驾游，晒春天# 2阿坝藏族羌族自治州·理县 ​​​​,2017-06-01 15:42,转发,评论,赞,iPhone 6s,https://weibo.com/5628232454/F5OqLBiLM
