序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【红星派出所协同县烟草专卖局开展涉烟违法犯罪整治行动，检查售烟商铺13家，查处无证经营商铺7家，盘查车辆83辆。】 ​​​​,否,,2017-09-14 11:51,转发,评论,赞,HUAWEI P10 Plus,https://weibo.com/5190807215/FlKNcnrM5
1,【我们一起守护九寨沟】九寨沟地震发生后，若尔盖县公安局第一时间集结队伍支援灾区，抢救伤员，疏散群众，维护治安秩序。8月10日-11日，按照省州公安机关抗震救灾联合指挥部的安排，负责九寨沟进沟卡点执勤任务，为服务景区内科学救援，执勤民警实行四班轮流制，全天候守护。对进出九寨沟的车辆、人员进行科学管理，疏导交通秩序，保障救援车辆快速抢救。期间还协助诺日朗派出所劝解、安抚受灾群众。,否,,2017-08-11 18:24,1,2,4,HUAWEI P10 Plus,https://weibo.com/5190807215/FgCQ51tHH
2,【远端分流，畅通交通，全力为灾区服务】为确保通往灾区道路安全畅通，若尔盖县公安局交警大队出动警力52人次，在红星卡点和巴西桥头设立货车分流和旅游车辆劝返执勤点，对驶往灾区的大型车辆实施远端分流，游客车辆实行劝返，并做好解释工作及绕行建议。截止目前，若尔盖县红星中队远端分流大型车辆217辆，劝返游客车辆146辆，有效的减轻了通往灾区的交通压力，确保了救灾车辆的正常通行。,否,,2017-08-10 17:42,转发,评论,赞,HUAWEI P10 Plus,https://weibo.com/5190807215/Fgt8ymrz0
3,【迅速集结，星夜兼程，进军震中，抢险救灾】8月10日地震第三天，清晨5时40分，若尔盖县公安局接到前线指挥部任务，迅速集结全体民警，整装待发第一时间赶赴震中九寨沟县漳扎镇，虽然道路情况非常危险，救援民警充分发挥不怕苦、不怕累、不怕危险、连续作战的精神，争分夺秒的行军在救援路上。 L若尔盖警察的秒拍视频 L若尔盖警察的秒拍视频,否,,2017-08-10 09:50,转发,评论,4,HUAWEI P10 Plus,https://weibo.com/5190807215/Fgq2YrUZX
4,【某男子占用应急电话，影响抢险救援，得来十日拘留】2017年8月8日9时许，若尔盖县公安局接州公安局指挥中心通报称，“我县居民加某（男，藏族，身份证号码623024196707020010）不断向州局指挥中心打骚扰电话，占用应急电话，影响地震救援工作。”县局接到通报后，查明电话来源系冻列乡加某，派出所民警了解情况，劝解说导，法律攻心，加某因不合理诉求多次向各级部门拨打骚扰电话，若尔盖县公安局根据《治安管理处罚法》第二十三条第一款扰乱单位秩序行为，给予行政拘留10天处罚。,否,,2017-08-09 15:46,转发,评论,1,HUAWEI P10 Plus,https://weibo.com/5190807215/FgiWIqkou
5,【若尔盖公安星夜驰援九寨，赶赴灾区抢险】北京时间2017年8月8日，据中国地震台测定，21时19分左右在四川阿坝州九寨沟县附近（北纬33.20度，东经103.88度）发生7.0级地震，震源深度20公里。灾情发生后，按照州公安局的要求，若尔盖县公安局积极抽调32名精兵强将，星夜驰援，赶赴灾区开展救援。当晚凌晨1时，民警到达九寨沟境内，因山体滑坡，道路中断，徒步15公里进入九寨天堂，9道拐区抢救伤员，疏散游客，维护交通秩序，通宵作业。,否,,2017-08-09 14:52,2,1,6,HUAWEI P10 Plus,https://weibo.com/5190807215/FgiALCTjA
6,【公安交警重拳出击 集中整治马路杀手“酒驾”】开车不喝酒，喝酒不开车，这是驾驶员的基本准则，但有些总是触碰高压线，总是酒后驾驶机动车。7月21日晚22时，若尔盖县公安局交警大队在达扎寺镇各交通要道开展“酒驾”整治专项行动，全警出动，逢车必查，文明执法，全程录音录像，严格规范整治。截止次日凌晨1时，查处酒后驾驶1起，无证驾驶4起，其余违法7起。,否,,2017-07-22 10:02,转发,评论,3,HUAWEI P10 Plus,https://weibo.com/5190807215/Fdx07eGfH
7,"【进出唐克镇的广大驾驶员们，注意啦…】因唐克镇市政建设提升改造施工需要，为保障施工期间道路交通有序、安全、畅通。根据《中华人民共和国道路交通安全法》第三十九条规定，决定从2017年6月29日起至施工结束（工期约半个月），对派出所路至阳光茶楼口子，实行单项交通管制。1、施工期间进集镇车辆正常放行，出集镇车辆绕行白河桥滨河路至唐克镇自来水厂出城。2、大型车辆及中巴车每一小时从主车道放行。3、管制时间：早上6：30至晚6：30，晚6：30后主车道实行双向通车。　　请广大群众、游客提前安排好出行线路，按照交通指挥人员指挥和交通标志、标线指示有序通行。请大家注意啦，把握好时间进出。",否,,2017-06-28 14:55,转发,评论,赞,HUAWEI P10 Plus,https://weibo.com/5190807215/F9UFdk02H
8,父亲节：献给警察爸爸和警察的爸爸 ​​​​,否,,2017-06-18 10:56,转发,评论,赞,HUAWEI P10 Plus,https://weibo.com/5190807215/F8mPj8J4t
9,【包座派出所组织开展民兵应急处突训练】6月11日，包座派出所协同包座乡人武部对辖区基层民兵进行法律知识和巡逻盘查技巧培训。民警从违法犯罪嫌疑人的行为特点如何辨别、盘查时如何站位等方面讲解了巡逻盘查技巧及防范恐怖袭击知识，并示范了现场盘查与控制的基本技巧。运用《治安管理处罚法》讲解了相关法律知识要点，让他们更好的运用法律保护家园安宁。,否,,2017-06-13 11:31,转发,评论,赞,360安全浏览器,https://weibo.com/5190807215/F7BV8uLD6
10,【高原藏区若尔盖县温情一幕：40台出租车连续6年免费接送高考考生】6月7日上午，40辆出租车在交警指挥下整齐停放在若尔盖县中学大门。他们按照若尔盖县噶玛隆珠出租车公司安排，专门来到高考考场免费接送高考考生。为了确保免费接送活动顺利开展，若尔盖县公安局交警大队与出租车公司一起提前规划停车场地、对出租车实施安全检测、对驾驶员进行安全教育、指挥出租车有序停放，全力为高考考生提供畅通无阻的交通环境。,否,,2017-06-07 12:29,转发,评论,赞,HUAWEI P10 Plus,https://weibo.com/5190807215/F6HJGgMw3
11,【若尔盖公安：我们在牧场的深处 与孩子们一起庆祝“六一”】带着对精准扶贫联系点孩子们的深情关怀与祝福，6月1日，县公安局政委董刚率在家局党委成员一行，走进阿西乡罗叉村看望慰问六一节的孩子们，与他们共度一个愉快的节日。一个个精彩的节目，一个个优秀的奖状，一个个灿烂的笑容，一声声真诚的感谢，让我们与孩子们度过了一个难忘而充满希望的六一。县公安局党委把精心准备的学习用具发放到了孩子们手中，希望他们认真学习科学文化知识，健康成长将来报效祖国。,否,,2017-06-02 10:06,转发,1,1,HUAWEI P10 Plus,https://weibo.com/5190807215/F5VEQzpLj
