序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@四川公安:#警情通报#,是,#情况通报#2017年9月23日6时20分许，广元剑阁“9.19”持刀杀害辅警杨强并砍伤民警的犯罪嫌疑人侯金安，在剑阁县城北镇剑北村被搜捕民警发现，犯罪嫌疑人侯金安持刀拒捕，民警警告无效后，依法开枪将其击毙。目前，案件正在侦办中。 ​​​@四川公安 @平安广元 ​​​​,2017-09-23 09:39,转发,评论,赞,iPhone,https://weibo.com/2750513404/Fn6Mm19aD
1,【警民同心 共建平安茂县】9月20日晚，茂县政法系统“四对照四提升 做忠诚卫士”专题文艺汇演在茂县古羌城演义中心举行。    演出期间，茂县公安局参演民警精神饱满，激情昂扬，节目紧密联系公安工作实际，以一曲公安版《小苹果》，融入交通安全防范，混搭羌族锅庄，用轻松欢快的民族舞蹈诠释警民和谐一家亲； 饱含深情、铿锵有力地合唱《歌唱祖国》、《中国人民警察警歌》，唱出了人民警察的壮志豪情和对伟大祖国的热爱。规范的着装，整齐有序的进、退场，令行禁止，严格的纪律性，体现了人民警察忠诚履职、纪律严明的优良作风，展示出新时期的人民警察良好的精神风貌和全心全意为人民服务的宗旨，精彩的演出博得了现场观众的阵阵掌声。    警歌声声，铮铮誓言，茂县公安局全体民警职工辅警，将在县委、县政府和上级公安机关的正确领导下，不忘初心，砥砺前行，再鼓干劲、顽强拼搏、务实奋进，努力开创茂县公安工作新局面、为全县经济社会发展创造良好的社会治安环境，以优异的成绩迎接党的十九大胜利召开！,否,,2017-09-21 15:39,转发,评论,3,iPhone,https://weibo.com/2750513404/FmQhf4TjW
2,转发微博,是,#阿坝身边事#  为保障石大关高位垮塌路段早日恢复畅通，石大关抢通工程施工方按照要求有序推进工程建设。截至目前，已安装主动防护网30000平方米，完成总工程量25%，下一步将进行波纹管安装、浇筑混凝土、土石回填等工作。小编也请大家耐心等待，为了以后更安全的出行。 ​​​​,2017-09-20 17:42,转发,1,1,iPhone,https://weibo.com/2750513404/FmHEO3dA2
3,转发微博,是,#天天学习#【微视频：习近平厦门三日】时间是金，决心是金，诺言是金，团结是金……金句连接金砖情，金砖铺出金光道。#2017金砖会晤# @新华网 O网页链接 ​​​​,2017-09-07 16:26,转发,评论,赞,iPhone,https://weibo.com/2750513404/FkIBzllfV
4,转发微博,是,#中警资讯# 【@民警李建国 ！你出来！看把我们的警花逼成啥样了】自从民警李建国火了之后，各地宣传民警压力甚大、“忍辱负重”！但是，该来的躲也躲不掉！领导发话：最近猥亵案件多发，你们拍个防猥亵的宣传片吧！严肃！活泼！于是@马鞍山花山公安在线 的内勤+宣传民警球球就.......疯.....  ​​​​...展开全文c,2017-08-30 20:02,转发,评论,赞,iPhone,https://weibo.com/2750513404/FjwB1iYek
5,为阿坝州茂县公安局的钟灶辉,是,【7月#四川好人#榜发布 为阿坝州钟灶辉点赞】钟灶辉是阿坝州茂县公安局叠溪派出所民警。钟灶辉是进入“6.24”山体垮塌灾害现场的第一人，在整个抢险救援过程中，他展现出一名公安民警、一名共产党员视百姓生命安全高于一切的优良品质，以实际行动诠释了“人民警察为人民”的铮铮誓言。点赞地址→ ​​​​...展开全文c,2017-08-29 21:54,转发,1,3,iPhone,https://weibo.com/2750513404/FjnU1gWq4
6,转发微博,是,"【前成员自述：极端组织""传销式""洗脑拉人入伙】在叙利亚库尔德控制区一个营地，一名在押前极端组织成员告诉央视记者，极端组织招募人员的手段极具诱惑力和欺骗性。海量社交媒体账号发布洗脑视频，传递美好生活的假象；一对一接触培养亲近感，甚至用爱情当诱饵诱骗年轻女性加入…L央视新闻的秒拍视频 ​​​​",2017-08-26 22:56,转发,评论,赞,iPhone,https://weibo.com/2750513404/FiW1N7Qdv
7,转发微博,是,【四川公安在柬埔寨挡获电信诈骗犯罪嫌疑人122人】今天下午，柬埔寨暹粒移民局，警方开始移送涉嫌电信网络诈骗的中国籍犯罪嫌疑人，其中，男性犯罪嫌疑人106人、女性犯罪嫌疑人16人。犯罪嫌疑人于今晚将被四川警方“包机”押解回国。 L人民公安报的秒拍视频 ​​​ ​​​​,2017-08-24 22:59,转发,评论,赞,iPhone,https://weibo.com/2750513404/FiDc2xJ9A
8,转发微博,是,四川警方正在押解122名犯罪嫌疑人回国 L中国警察网的秒拍视频 ​​​ ​​​​,2017-08-24 22:59,转发,评论,赞,iPhone,https://weibo.com/2750513404/FiDbZvMdY
9,,是,#蜀黍跟你说晚安# 今夜有166名犯罪嫌疑人被我公安机关从国外押解回国，其中的故事很难通过几篇新闻全部讲述出来。战友们辛苦，我们晚安 L中国警察网的秒拍视频 ​​​​,2017-08-24 22:58,转发,评论,赞,iPhone,https://weibo.com/2750513404/FiDbqEpBp
