序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【这几个按钮能救命！没事别乱摸】你知道你身边有很多紧急按钮吗？当突遇火灾、扶梯夹人、电梯故障…时，这些按钮会分分钟救你于“水深火热”之中。戳↓图，看看关于紧急按钮的知识你都get了吗？你会按？但没事千万别按！不然在不对的时间玩坏了，后果很严重！不信，看图9#蜀黍带你涨姿势# ​​​​,2017-09-29 09:09,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fo18Q5Lex
1,转发微博,是,【坚守保平安 职责铸警魂】在喜迎国庆佳节及十九大之际，壤塘县公安局交警大队黑桥中队民警在国道317线，提前恭祝全国人民国庆节快乐！也提醒广大交通参与者安全驾驶！PS 国庆我们不放假  @四川公安  @阿坝公安  @阿坝公安交警  @阿坝微博 ​​​​,2017-09-29 09:05,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fo17ebpZ7
2,转发微博,是,〖松潘公安民警出差途中救助车祸伤者 暖人心〗白羊派出所民警刘礼平、陈浩从辖区开车出差到黑水县办案，途径茂县飞虹乡水草坪村附近路段时，发现前方刚发生一起两台货车相撞的事故，两位民警与附近群众一起把三名伤者转移出车外，进行简单包扎后，迅速拨打“110”和“120”。  两位民警一边安抚伤者的 ​​​​...展开全文c,2017-09-27 21:30,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FnN8R3Bsb
3,转发微博,是,猛戳 视频直击 松潘公安协助浙江警方抓获一名故意杀人案重要嫌疑人@四川公安 @公安部刑侦局 @公安部打四黑除四害 @阿坝公安 @阿坝同城 @阿坝身边事 L松潘县公安局的微博视频 ​​​​,2017-09-26 10:40,2,1,1,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fnzsi8yaj
4,转发微博,是,需要南下前往茂县、成都方向的司机朋友们请看看临时管制时间奥。@四川公安  @阿坝公安  @阿坝同城 ​​​​,2017-09-22 00:04,转发,1,1,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmTA9svyB
5,转发微博,是,#阿坝身边事# 【好消息！雪山梁子隧道国庆试通行】川(主寺)黄(龙)公路雪山梁隧道项目位于阿坝州松潘县黄龙自然保护区内，隧道长7.966公里，宽10米。隧道通车后，游客从九黄机场出发，将不用再翻越海拔4017米的雪山梁子，到达黄龙景区的时间将从过去的一个多小时缩短到半个小时左右。成都游客自驾前往黄 ​​​​...展开全文c,2017-09-21 21:26,转发,评论,1,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmSygF5rg
6,转发微博,是,#消防知识#【超实在！超实用！高层住宅发生火灾究竟如何逃生？】随着城市的发展，高层建筑越来越多，高层建筑的消防安全也越来越受到关注。高层发生火灾，我究竟要怎样才能安全逃生？针对这个问题，滁州消防小周同志在高层现场为您解答，一起来看看吧！ L安徽消防的秒拍视频 ​​​​,2017-09-21 21:25,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmSxAqYMd
7,转发微博,是,#2017四川公安舟船演练#乘风破浪，奋勇争先，为了肩头的使命与担当，为了警察的职责与荣耀。 L四川公安的微博视频 ​​​​,2017-09-20 09:25,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmEoYxWZc
8,转发微博,是,【此刻，转发铭记！#九一八事变#爆发86周年】1931年的今天，#九一八事变#爆发，这是日军企图武力征服中国的开端。14年艰苦卓绝的抗日战争，中国3500万军民伤亡，老人、妇女、婴儿惨遭屠杀……今天，无论你在哪，让我们用微博转发，铭记历史！ ​ ​​​ ​​​​,2017-09-18 09:10,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmlrNzdTy
9,转发微博,是,【今天，此刻，共同纪念，铭记历史！】1931年9月18日#九一八事变#爆发，这是日军企图武力征服中国的开端。今天，6位日本老人与2500多名中国民众，在中国长春伪满皇宫博物院的东北沦陷史陈列馆广场前，共同纪念“九一八”。看#央视新闻微直播#，传递，铭记历史。（央视记者孙建德） O央视新闻的微博直播 ​​​​,2017-09-18 09:09,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FmlrA2zSw
10,转发微博,是,【暖心视频！  花红树下叙真情  亲戚越走越亲 人心越拉越近 】松潘县古城外县城顺江一村马光秀老人有一子、一女长期在外很少回家，平时老人一人独居，生活清苦。     全省公安机关“一标三实”基础信息采集工作开展时，民警李晓鸣、方世正入户走访时了解到老人的情况后，不约而同的决定与马光秀老人 ​​​​...展开全文c,2017-09-17 00:27,1,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fm8B9xboe
11,转发微博,是,【回家 索朗恩波】每一帧都是对家的思念我叫蔡小刚我还有个藏族名字—索朗恩波我是藏族人我来自理县我是一名警察我来自叙永县公安局水潦派出所...展开全文c,2017-09-14 16:12,2,1,5,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FlMv6vpeG
12,转发微博,是,【4分钟速览#巡视利剑#第四集《巡视全覆盖》】党的十八大以来，巡视制度既成为党内监督有效发挥作用的过程，也成为依托广大人民群众、与群众监督相结合的过程。习近平在十八届中央纪委六次会议上强调：“要加强对巡视工作的领导，确保在本届任期内巡视全覆盖，巡视全覆盖本身就是震慑。” ​​​​...展开全文c,2017-09-12 16:30,转发,评论,1,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FltLBARxt
13,转发微博,是,"【警务联动协作座谈会在汶川召开】为深入贯彻落实省厅党委关于跨区域警务协作发展战略，进一步加强汶川与周边区市县公安局的警务协作交流，形成整体合力,全力构建平安边界。2017年9月8日，阿坝、成都、雅安“三区三市七县”区域警务联动协作座谈会在汶川县水磨镇隆重召开。 ​​​​",2017-09-11 19:33,转发,评论,2,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FllxwfvDw
14,做警察是一份责任 做教官是一份担当。（教官们，感谢你们对教官事业的执着与热爱！） ​​​​,否,,2017-09-10 09:32,1,4,19,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fl8aUDdxe
15,转发微博,是,今天是全国拒绝酒驾日！  “9”与“酒”同音，“99”象征长久，希望每个人都能拒绝酒驾，杜绝悲剧发生，生活幸福长久。#拒绝酒驾##9.9拒绝酒驾日# ​​​​,2017-09-09 09:59,转发,评论,赞,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/FkYVrxis0
16,在广袤的川西高原上，用忠诚捍卫这片热土，用青春履行神圣使命，他们就是“高原猎鹰” ​​​​,否,,2017-09-05 09:53,22,9,33,HUAWEI Mate 9 Pro,https://weibo.com/5111239333/Fknb16gAz
