序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【喜迎十九大】近日，阿坝县消防大队以“十九大”消防保卫为抓手，周密部署，积极开展辖区高层建筑、石化企业等易燃易爆单位、人员密集场所、寺庙等单位的火灾隐患排查整治工作。据了解，9月以来，阿坝县消防大队在全县范围内共检查单位120家，发现火灾隐患或违法行为223处，督促整改火灾隐患或违法行为245处，下发责令改正通知书91份，下发行政处罚决定书4份，下发临时查封决定书1份，责令“三停”1家，罚款2万元，进一步净化了全县消防安全环境。,否,,2017-09-28 18:36,转发,评论,3,360安全浏览器,https://weibo.com/1705592775/FnVqInFms
1,草原上的帐篷好像羊羔花一样绚丽，这牛羊聚集的地方，是我们牧人欢乐的家园…… ​​​​,否,,2017-09-28 16:13,转发,评论,2,专业版微博,https://weibo.com/1705592775/FnUuF00fw
2,他们有初入职场的生疏，他们奔走在为群众解决切身利益的路上，他们也会因为党员干部的失足而惋惜伤感。也许在人群中他们并不起眼，但可能在某一刻，他们曾与你擦肩而过……这就是神秘又平凡的纪检监察人！近日，四川省纪委组织拍摄，成都市廉洁影视创作传播基地承制的纪检监察形象宣传片正式亮相。该片以“老中青”三代纪检人平凡的日常工作为视角，通过刚入职的纪检新人努力适应纪检工作的快节奏；在脱贫攻坚监督检查路上，将工作热情化为对群众真情的纪检人；以及长年奋斗在纪律审查一线的纪检老将三个人物为主线，真实讲述了当代纪检监察干部勇于担当、敢于亮剑、甘于清苦、乐于奉献的情怀。宣传片生动反映了纪检干部“忠诚干净担当”的良好形象，同时又揭开纪委神秘的面纱，直观地展示了纪检人也是有血有肉的平凡人。 L阿坝县微的微博视频,否,,2017-09-28 16:11,1,1,3,360安全浏览器,https://weibo.com/1705592775/FnUtM4DXG
3,#阿坝这五年#祝愿阿坝的明天更美好！,是,#阿坝这五年#嘉绒圣土，高原明珠城，马尔康嘉绒锅庄节，万人齐跳，盛况空前，名族团结，百姓安居，祝愿阿坝的明天更加美好#如你所愿#@阿坝微博  @阿坝旅游 2阿坝藏族羌族自治州·马尔康 L共青团阿坝州委的微博视频 ​​​​,2017-09-27 16:05,转发,评论,2,360安全浏览器,https://weibo.com/1705592775/FnL0RqP8l
4,分享图片 ​​​​,否,,2017-09-26 17:49,转发,评论,2,微博 weibo.com,https://weibo.com/1705592775/FnCgIAbnz
5,《还看今朝·四川篇》⑩丨重回九寨 美丽犹在O网页链接 ​​​​,否,,2017-09-26 17:46,转发,评论,1,微博 weibo.com,https://weibo.com/1705592775/FnCfpjia9
6,四川大片又将刷屏！ 央视大型特别节目《还看今朝·四川篇》26日全国播出O四川大片又将刷屏！ 央视大型特别节目《还看... ​​​​,否,,2017-09-25 11:46,转发,评论,赞,360安全浏览器,https://weibo.com/1705592775/FnqsCCxD5
7,这里就是辉煌中国 L阿坝县微的微博视频 ​​​​,否,,2017-09-22 17:10,转发,评论,赞,360安全浏览器,https://weibo.com/1705592775/Fn0iP68uO
8,2013年5月21日，习近平总书记来到芦山地震灾区调研指导，新华社将于今天上午9时在震中龙门乡进行直播，全面展现芦山灾后重建取得的成果以及探索出的重建新路子。红色追寻•足迹 直播|四川芦山：灾后重建展新颜O红色追寻·足迹 直播 |四川芦山：灾后重建展新...  ​​​​,否,,2017-09-21 09:52,转发,评论,赞,iPhone 7,https://weibo.com/1705592775/FmO0tE23j
9,【河支乡召开“喜迎十九大，做合格党员，当干事先锋”专题讨论座谈会】为深入推进“两学一做”学习教育常态化制度化，持续推动全面从严治党，教育引导党员自觉按照党员标准规范言行，进一步坚定理想信念，结合党的十九大召开，9月13日，河支乡组织召开“喜迎十九大，做合格党员，当干事先锋”专题讨论座谈会，为十九大的胜利召开营造氛围、献言献策。会上，乡党委书记米道宽同志组织学习系列重要讲话精神并宣读河支乡的党委开展“喜迎十九大，做合格党员，当干事先锋”主题活动实施方案和活动相关要求。会上，与会党员干部结合自身工作实际就如何做合格党员、当干事先锋进行了讨论和交流发言。米道宽同志指出：十九大的召开是全党上下政治生活中的大事喜事，全乡干部要从思想上高度重视本次盛会的重大意义，积极工作、甘于奉献、主动作为，以实际行动扎实推进全乡脱贫攻坚各项工作，牢记使命、履职尽责、担当实干，奋力谱写河支新篇章，以优异的成绩迎接党的十九大胜利召开。 @四川文明网,否,,2017-09-18 09:44,转发,评论,赞,360安全浏览器,https://weibo.com/1705592775/FmlFxwQPj
10,转发微博,是,阿坝县开展水生生物增殖放流活动@四川共青团  @共青团阿坝州委  @阿坝县微  阿坝县开展水生生物增殖放流活动 O网页链接 ​​​​,2017-09-18 09:38,转发,评论,1,360安全浏览器,https://weibo.com/1705592775/FmlDsnyVR
11,【茸安乡积极开展贫困群众免费参保登记】为了更好的开展养老保险缴费工作，让16至60岁贫困农牧民群众都能够享受国家的好政策，不用缴费就能参保，茸安乡各包村组干部向各村贫困村民进行了广泛的政策宣传，并为他们详细讲解了有关参保的要求，使贫困群众对参加养老保险有了更进一步的了解和认识，对贫困群众提出的问题进行了一一解答。连日来，经过各包村组大力宣传讲解，干部们积极开展参保人员登记表填写、变更等相关工作。截止目前，茸安乡基本完成参保人员所需资料收集工作，预计到九月中旬全面完成此项工作，并将在九月底之前完成参保人员的所有系统录入工作。,否,,2017-09-12 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/1705592775/Fltg89NL2
12,【完成2017年农户科学储粮小粮仓生产发放工作】为大力推进农户科学储粮工作， 经过各方共同努力，2017年农户科学储粮专项推进有序，截至9月10日，全面实现了全县21个乡（镇、场）16827套小粮仓的生产发放工作。专项的顺畅实施，得到了社会各界的充分肯定，高度赞扬这一惠农民生工程的广泛开展，认为粮食部门办了一件大事实事。,否,,2017-09-12 15:09,转发,评论,1,360安全浏览器,https://weibo.com/1705592775/FltePtiyD
13,【我县农户科学储粮彩钢仓发放接近尾声】我县粮食丰收在望，为最大限度地保证农民血汗颗粒归仓，降低粮食损耗，减少农户损失，粮食局积极为群众发放小粮仓，推广科学储粮，真正让老百姓实现丰产增收，小粮仓选择优质彩钢板制作，有效容量达1000公斤。仓体下层有出粮口，防鼠、防霉性能好。仓体坚固，造型美观，耐腐蚀，使用寿命长，层叠相套，容量大小可调，移动方便，节省空间，受到众多农户的青睐。2017年我县科学储粮彩钢仓项目任务为16155个，为满足广大农户需求，我局在原有的基础上增加了672个，共计16827个。截止今日，已为18个乡（镇、场）的农户发放小粮仓14474个，预计本月15日前全面完成21个乡（镇、场）的小粮仓发放任务。,否,,2017-09-07 09:26,转发,评论,1,专业版微博,https://weibo.com/1705592775/FkFQQd4Gc
14,//@共青团阿坝县委: @阿坝县微  @阿坝县微博,是,盛夏，再次带队重访年保玉则南坡的柯河。这里正处在四川与青海的交界处，大渡河上游，偏僻的地理位置让上千年历史的传统文化保留至今，古碉、伸臂桥、壁画、古佛塔、黑陶，还有遇见率极高的野生动物。更重要的是，一群热心自然保护和传统文化的当地年轻人自发成立了生态保护小组，尝试着用各种本土而 ​​​​...展开全文c,2017-08-28 16:07,转发,评论,2,360安全浏览器,https://weibo.com/1705592775/FjccWe7cg
15,【我县“拥抱阿坝·幸福你我”交友联谊会正在积极开展】为丰富我县青年干部职工业余文化生活，构建文明、健康、和谐的交友平台，着力营造栓心留人、安居乐业的干事创业环境，由县总工会牵头的“拥抱阿坝·幸福你我”交友联谊会于今日下午4:30在阿坝县莲花缘休闲山庄准时开始。县工会、县委团委正在积极筹备当中。,否,,2017-08-28 15:25,1,评论,6,专业版微博,https://weibo.com/1705592775/FjbVV4Dpk
16,新华网VR｜四川45个特色小镇在这里，新华网无人机带你空中尽览°新华网VR｜四川45个特色小镇在这里，新华网无... ​​​​,否,,2017-08-28 09:12,转发,评论,1,iPhone 7,https://weibo.com/1705592775/Fj9unkdCC
17,【亲临自然保护区，加强环保督查工作】 为切实做好环境保护工作，确保环保各项工作落到实处。我县环林局在州环保局纪检组长尚华详的带领下到莲宝叶则自然保护区和莲宝叶则湿地公园对自然保护区及湿地进行了检查。同时还对我县中央迎检资料、省督查反馈整改问题、州督查反馈整改问题的资料进行了检查，提出要求希望对环保资料进行补充完善，按时完成各项工作，加大宣传力度，确保环保大检查各项工作落实到位。,否,,2017-08-24 09:28,转发,评论,1,专业版微博,https://weibo.com/1705592775/FixSMrB39
18,青山绿水助推高原旅游产业发展阿坝县位于阿坝县地处青藏高原东南缘，位于川甘青三省交汇处，森林、雪山、冰川、峡谷、草原多种自然景观并存，旅游资源尤为丰富。近年来，随着高原旅游的发展、绿色产业新起和脱贫攻坚工作的开展。当地县委政府立足实际、主动作为，脚踏实地摸索出一条绿色产业脱贫路，把绿色产业作为产业脱贫的一个重要部分。与时俱进把准绿水青山是什么？金山银山又是什么？时代在发展、社会在进步，高原人在这个信息迅速传播的时代里，就算身处千里之外也能感受到国家的迅速的变化发展。产业转型将内地资金流引入高原，面对发展契机，如何抉择成为决定高原产业发展方向的重中之重。为与全国2020年全面建成小康社会，金山银山我们肯定要，但是更要在发展的基础上留下一片绿水蓝天。面对内地淘汰的一些高耗能、高污染、高回报企业抛来的橄榄枝，我们抵住了诱惑。绿色产业自然成为了阿坝县产业方向的首选，经过多方考察调研，最终一批绿色农牧业入住高原新城。形成了农户+企业的合作模式，不仅给农牧民带来了一系列收入，也解决了部分群众就业问题，提升了生产生活技能。补齐发展短板，大力发展绿色旅游项目。近年来，红原、若尔盖的大草原旅游经济成为高原旅游的模板，旅游业的不断发展带动了周边群众的致富小康。阿坝人看在眼里，记在心上。首先通过在旅游规划上下功夫，在对县内旅游资源的整合、特设亮点上做了规划调整。成立金鼓旅游有限公司，规范化管理开发成型的莲宝叶则景区和世外桃源神座村。提出全域旅游工作方案着力打造中阿坝旅游环线开发，做好曼扎塘湿地景区的前期宣传和基础建设方案。初步形成了两点、一村、一环线的全域旅游格局，旅游业发展初见成效。其次，在旅游基础设施建设上下功夫，为打造好阿坝旅游招牌，阿坝县在做好城市建设的同时着力在旅游交通上下功夫。红原——阿坝的道路按照高标准上进行了铺设，阿坝——莲宝叶则景区进行了重修，阿坝——神座的道路在保持生态的基础上进行了升级，全县主要干线一直保持着良好的交通环境。在旅游接待方面，旅游业的发展也让旅游接待像雨后春笋一般迅速兴起，阿坝县在进一步规范管理宾馆酒店的正规化上下功夫。在要求从业人员进行正规培训的同时，高标准要求业主做好应急通道、消防安全设施设备、电梯设施设备的定期检查等。并提倡农牧民家庭旅游接待，对接待户进行旅游技能的培训，让群众在自己家中就能享受旅游经济发展带来的新福利。并严格按照国家相关法律要求餐馆、农家乐等从事餐饮的业务的个体工商户，做好旅游旺季的食品卫生检查工作、商品定价工作，全面为游客消费保驾护航。最后，对全县旅游资源进行分时段开发利用，逐步形成了春看花开、夏避暑，秋来摄影、冬玩雪，的季节性旅游，还将中阿坝旅游环线打造成为两季油菜花观赏旅游线路，在吸引游客的同时最大限度做好沿线群众的增收致富。通过近年来的不断努力，生态旅游已经成为阿坝旅游的一大特色亮点，为地方经济转型发展和群众增收致富做出了不可忽视的贡献，不仅保住了阿坝的青山绿水也找到了阿坝的金山银山。,否,,2017-08-22 11:50,转发,评论,赞,专业版微博,https://weibo.com/1705592775/FifXolQsH
19,【我县开展2017年特种作业培训】为进一步增强特种作业人员安全意识、提升特种技能、降低安全风险、减少在开展工作时的失误、确保生命财产安全，县安监局于8月16日在神作大酒店会议室组织开展以危险化学品生产单位、交通运输行业、电力企业、工程施工建设单位、其他生产经营单位等安及管全主要负责人理人员进行为期三天的特种作业培训。,否,,2017-08-17 16:45,转发,评论,赞,360安全浏览器,https://weibo.com/1705592775/FhwKy85ls
