序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"阿坝州各县（市）天气预报2017年9月30日16时天气预报马尔康   今晚到明天白天小雨转阵雨,11到24度。阿坝     今晚到明天白天小雨转多云,8到19度。黑水     今晚到明天白天小雨转阵雨,13到23度。红原     今晚到明天白天中雨转阵雨,8到18度。金川     今晚到明天白天小雨转阵雨,15到26度。九寨沟   今晚到明天白天中雨转阵雨,16到27度。理县     今晚到明天白天小雨,15到24度。茂县     今晚到明天白天小雨,15到23度。壤塘     今晚到明天白天小雨转阵雨,8到20度。若尔盖   今晚到明天白天大雨转多云,7到17度。松潘     今晚到明天白天小雨转阵雨,11到22度。汶川     今晚到明天白天小雨,17到26度。小金     今晚到明天白天阴转阵雨,14到24度。",否,,2017-09-30 15:57,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/Fodf7jLHD
1,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-30 15:35,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fod6f77SA
2,"欢迎访问中国天气网四川站中国天气网（www.weather.com.cn）是中国气象局面向社会和公众、以公益性为基础的气象服务门户网站，由中国气象局公共气象服务中心主办。中国天气网凭借优质的服务，深受广大网民喜爱，在国际气象网站中排名前列。    中国天气网四川站（O四川天气预报，四川天气预报还提供四川各区县...）提供四川省各区县的生活指数、健康指数、交通指数、旅游指数,及时发布四川气象预警信号、各类气象资讯。欢迎您访问中国天气网四川站。",否,,2017-09-30 10:33,转发,评论,1,360安全浏览器,https://weibo.com/5617870770/Fob7vh41A
3,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-30 08:51,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Foas9BeNu
4,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-29 16:43,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fo47swhhI
5,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-29 15:25,转发,1,赞,微博 weibo.com,https://weibo.com/5617870770/Fo3Bts2wp
6,发布了头条文章：《阿坝州各县（市）天气预报》 °阿坝州各县（市）天气预报 ​​​​,否,,2017-09-29 08:42,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fo0Y3kib4
7,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-28 16:46,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnUHWxpFw
8,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-28 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnUHuam26
9,发布了头条文章：《欢迎访问中国天气网四川站》 °欢迎访问中国天气网四川站 ​​​​,否,,2017-09-28 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnRRug16r
10,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-28 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnRR1CllY
11,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-27 17:08,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnLqrBuq2
12,发布了头条文章：《2017年9月27日16时天气预报》 °2017年9月27日16时天气预报 ​​​​,否,,2017-09-27 17:05,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnLp2o3lt
13,发布了头条文章：《欢迎访问中国天气网四川站》 °欢迎访问中国天气网四川站 ​​​​,否,,2017-09-27 08:33,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnI3cBu5O
14,发布了头条文章：《2017年9月27日06时天气预报》 °2017年9月27日06时天气预报 ​​​​,否,,2017-09-27 08:31,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnI2nuTNz
15,"2017年9月26日16时天气预报马尔康   今晚到明天白天小雨,12到22度。若尔盖   今晚到明天白天中雨转小雨,5到11度。九寨沟   今晚到明天白天大雨转小雨,15到21度。阿坝     今晚到明天白天中雨转小雨,9到16度。壤塘     今晚到明天白天小雨转中雨,8到19度。红原     今晚到明天白天中雨转小雨,6到12度。松潘     今晚到明天白天小雨,9到16度。黑水     今晚到明天白天小雨,14到20度。金川     今晚到明天白天小雨,15到25度。小金     今晚到明天白天小雨,14到25度。茂县     今晚到明天白天小雨,15到20度。汶川     今晚到明天白天小雨转中雨,17到21度。理县     今晚到明天白天小雨转中雨,16到22度。旅游景点天气预报九寨沟   今晚到明天白天大雨转小雨,11到20度。黄龙     今晚到明天白天小雨,5到12度。四姑娘山 今晚到明天白天小雨,9到16度。达古冰川 今晚到明天白天小雨,12到18度。",否,,2017-09-26 16:53,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/FnBU2ioet
16,"欢迎访问中国天气网四川站中国天气网（www.weather.com.cn）是中国气象局面向社会和公众、以公益性为基础的气象服务门户网站，由中国气象局公共气象服务中心主办。中国天气网凭借优质的服务，深受广大网民喜爱，在国际气象网站中排名前列。    中国天气网四川站（O四川天气预报，四川天气预报还提供四川各区县...）提供四川省各区县的生活指数、健康指数、交通指数、旅游指数,及时发布四川气象预警信号、各类气象资讯。欢迎您访问中国天气网四川站。",否,,2017-09-26 15:23,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/FnBjq2M2U
17,"马尔康环境气象指数预报防晒指数:2级,紫外线弱,紫外线辐射，弱，不需采取防晒措施。啤酒指数:2级,较不适宜,饮(喝)4-5成的啤酒量比较适度，加热的啤酒可以多喝1-2成。晾晒指数:5级,不适宜,有降水，不适宜晾晒。若需要晾晒，请在室内准备出充足的空间。中暑指数:1级,不容易,基本不会中暑舒适度指数:5级,舒适,普遍感觉舒适润肤指数:3级,较干燥,皮肤较干燥，注意润肤，可采用润唇膏、保湿型化妆品等游泳指数:5级,不适宜,水温低，入水后感觉较冷，四肢可能麻痛甚至抽筋。雨具携带指数:4级,null,最好带上雨具穿衣指数:5级,null,建议着夹衣或西服套装加薄羊毛衫等春秋服装。年老体弱者宜着夹衣或风衣加羊毛衫。感冒指数:2级,较易发,较易发，气象条件需要预防感冒。要注意做好清洁卫生工作，注意生活和工作环境空气新鲜，体质较弱的朋友要特别加强自我保护。晨练指数:4级,较不适宜,风力稍大，较不宜晨练，室外锻炼请注意选择避风的地点，避免迎风锻炼。洗车指数:4级,不适宜,不宜洗车，未来24小时内有雨，如果在此期间洗车，雨水和路上的泥水可能会再次弄脏您的爱车。旅游指数:4级,较不适宜,有雨，气象条件较差，不太适宜旅游运动指数:5级,不适宜,呆在家里放松一下",否,,2017-09-26 15:22,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/FnBiLjjfO
18,"2017年9月26日06时天气预报马尔康   今天白天到晚上多云转阴,28到13度。阿坝     今天白天到晚上阵雨转中雨,22到9度。黑水     今天白天到晚上阴,24到14度。红原     今天白天到晚上阵雨转中雨,20到8度。金川     今天白天到晚上多云转阴,31到16度。九寨沟   今天白天到晚上小雨,20到15度。理县     今天白天到晚上小雨转阴,25到16度。茂县     今天白天到晚上小雨,21到16度。壤塘     今天白天到晚上阵雨转小雨,24到10度。若尔盖   今天白天到晚上小雨转大雨,18到6度。松潘     今天白天到晚上小雨,20到11度。汶川     今天白天到晚上小雨,24到18度。小金     今天白天到晚上多云转阴,28到14度。",否,,2017-09-26 08:55,转发,1,赞,360安全浏览器,https://weibo.com/5617870770/FnyLJ6QCH
19,发布了头条文章：《阿坝州各县（市）天气预报》 °阿坝州各县（市）天气预报 ​​​​,否,,2017-09-25 16:17,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnseSxBwL
20,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-25 15:41,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fns06xJz2
21,"欢迎访问中国天气网四川站中国天气网（www.weather.com.cn）是中国气象局面向社会和公众、以公益性为基础的气象服务门户网站，由中国气象局公共气象服务中心主办。中国天气网凭借优质的服务，深受广大网民喜爱，在国际气象网站中排名前列。    中国天气网四川站（O四川天气预报，四川天气预报还提供四川各区县...）提供四川省各区县的生活指数、健康指数、交通指数、旅游指数,及时发布四川气象预警信号、各类气象资讯。欢迎您访问中国天气网四川站。",否,,2017-09-25 09:12,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/FnpskwWbr
22,发布了头条文章：《阿坝州各县（市）天气预报》 °阿坝州各县（市）天气预报 ​​​​,否,,2017-09-25 09:12,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/FnpscyT8F
23,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-24 16:48,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fnj0J2N5s
24,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-24 16:47,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fnj0l4EKs
25,发布了头条文章：《欢迎访问中国天气网四川站》 °欢迎访问中国天气网四川站 ​​​​,否,,2017-09-24 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fng5r6XXL
26,发布了头条文章：《阿坝州各县（市）24小时天气预报》 °阿坝州各县（市）24小时天气预报 ​​​​,否,,2017-09-24 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fng51DnhN
27,发布了头条文章：《阿坝州马尔康市环境气象指数预报》 °阿坝州马尔康市环境气象指数预报 ​​​​,否,,2017-09-23 16:23,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fn9q30DHj
28,发布了头条文章：《2017年9月23日16时天气预报》 °2017年9月23日16时天气预报 ​​​​,否,,2017-09-23 16:21,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fn9pn1EcZ
29,发布了头条文章：《欢迎访问中国天气网四川站》 °欢迎访问中国天气网四川站 ​​​​,否,,2017-09-23 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fn6CkDm06
30,发布了头条文章：《2017年9月23日06时天气预报》 °2017年9月23日06时天气预报 ​​​​,否,,2017-09-23 09:13,转发,评论,赞,微博 weibo.com,https://weibo.com/5617870770/Fn6Bujg3W
31,"2017年9月22日16时天气预报马尔康   今晚到明天白天小雨转多云,10到26度。若尔盖   今晚到明天白天阴转小雨,6到16度。九寨沟   今晚到明天白天阴转小雨,16到25度。阿坝     今晚到明天白天小雨,7到19度。壤塘     今晚到明天白天小雨转多云,7到21度。红原     今晚到明天白天小雨转阵雨,4到15度。松潘     今晚到明天白天小雨转阵雨,8到22度。黑水     今晚到明天白天小雨转阵雨,11到24度。金川     今晚到明天白天小雨转多云,15到28度。小金     今晚到明天白天小雨转多云,13到27度。茂县     今晚到明天白天小雨,14到20度。汶川     今晚到明天白天小雨转阴,16到23度。理县     今晚到明天白天小雨转阴,14到25度。旅游景点天气预报九寨沟   今晚到明天白天阴转小雨,12到24度。黄龙     今晚到明天白天小雨转阵雨,4到18度。四姑娘山 今晚到明天白天小雨转多云,8到22度。达古冰川 今晚到明天白天小雨转阵雨,9到22度。",否,,2017-09-22 16:33,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/Fn03zzCHj
32,"欢迎访问中国天气网四川站中国天气网（www.weather.com.cn）是中国气象局面向社会和公众、以公益性为基础的气象服务门户网站，由中国气象局公共气象服务中心主办。中国天气网凭借优质的服务，深受广大网民喜爱，在国际气象网站中排名前列。    中国天气网四川站（O四川天气预报，四川天气预报还提供四川各区县...）提供四川省各区县的生活指数、健康指数、交通指数、旅游指数,及时发布四川气象预警信号、各类气象资讯。欢迎您访问中国天气网四川站。",否,,2017-09-22 15:12,转发,评论,赞,360安全浏览器,https://weibo.com/5617870770/FmZwMBpAH
