序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【国庆消防安全提醒】国庆中秋双节这么多天假，肯定有很多家庭计划去山野玩，小编今天很应景的为大家，准备了一份森林游玩须知，在游玩的同时也不要忘记消防安全哦！！！ °【国庆消防安全提醒】 ​​​​,2017-09-30 16:01,转发,评论,赞,360安全浏览器,https://weibo.com/3071394690/FodgPEth6
1,转发微博,是,【#向烈士致敬#】他是缉毒警，抓捕嫌犯时中枪牺牲，年仅32岁；他是消防员，救援时踩空坠楼，怀中2岁女孩安然无恙；他们是飞行员，训练时发动机起火，他们让飞机17秒转弯180度，坠机身亡，如飞机不转弯，将冲向人口密集区…今天是烈士纪念日，致敬热血、勇敢、无畏……英雄不朽！（央视新闻） ​​​​,2017-09-30 16:01,1,1,1,360安全浏览器,https://weibo.com/3071394690/FodgI0hGp
2,转发微博,是,【此刻，我们为英雄默哀】 #缅怀！烈士纪念日# 今天，9月30日，国庆前一天，是我国的烈士纪念日。今天，让我们向近代以来2000万名烈士，致以深深的敬意！（军报记者） L走近中国消防的秒拍视频 ​​​​,2017-09-30 16:01,2,1,赞,360安全浏览器,https://weibo.com/3071394690/FodgEr2ga
3,转发微博,是,【你工作的高楼有这一层吗？】朝九晚六、晚七、晚八、甚至晚12...的上下班等电梯已经成为大多数人的日常。你只关心电梯什么时候不打紧？项目什么时候能拿下？工资什么时候才上涨？关于生命在面临威胁时的高楼“避难层”却一无所知？↓↓↓现在知道不算晚！ ​​​​,2017-09-30 16:01,6,2,1,360安全浏览器,https://weibo.com/3071394690/FodgzqI1I
4,转发微博,是,#消防知识#【高层建筑逃生黄金法则】高楼火灾逃生法则，在城市中高层及超高层建筑越来越多，一旦发生火灾，不可盲目逃生。如果你居住或工作在高层建筑中，那么下面这些高层建筑火灾逃生常识将会有用。仔细阅读哦~高层逃生正确步骤↓↓ ​​​​,2017-09-30 16:00,转发,评论,赞,360安全浏览器,https://weibo.com/3071394690/Fodggyti1
5,转发微博,是,高层逃生要则： ​​​​,2017-09-29 16:27,转发,评论,赞,iPhone 6,https://weibo.com/3071394690/Fo40DpZfz
6,转发微博,是,【让孩子远离氢气球！危险】无论开业、结婚典礼还是欢度节庆，各型各状的氢气球用来烘托氛围、增添气氛。但你知道吗？对儿童有着莫大吸引力的氢气球，有可能会造成致命的伤害！不信？空口无凭，实验为证。戳视频↓ L河北消防的微博视频 ​​​​,2017-09-29 16:24,转发,评论,赞,iPhone 6,https://weibo.com/3071394690/Fo3ZI4u4O
7,转发微博,是,【iPhone 8充电时惊现爆裂】iPhone 8 Plus在中国台湾、日本二连爆。台湾媒体称，这部手机电量还剩70%时插线充电，3分钟后手机爆裂，但没听到爆裂声响。手机背板和屏幕明显从内部裂开，边框也脱离外壳，电池不明原因膨胀，裂缝约0.5公分。O媒体：iPhone 8充电时惊现爆裂 电池与Note7同厂  LLBS余健昕_BLBOYS的秒拍视频 ​​​​,2017-09-29 16:24,转发,评论,赞,iPhone 6,https://weibo.com/3071394690/Fo3ZCaCoF
8,转发微博,是,【手机这样充电不正确】台湾省媒体报道有消费者的iPhone8充电时爆裂。时常会听到手机因充电爆炸起火伤人，也有人建议大家不要在充电的时候使用手机，不要整夜给手机充电等等。注意：别再给手机瞎充电了，以下这些手机充电常识要掌握。 ​​​​,2017-09-29 16:24,转发,评论,赞,iPhone 6,https://weibo.com/3071394690/Fo3ZA4mko
9,转发微博,是,【预防火灾，需要从知道到做到】#消防知识# 十一黄金周8天豪华假期即将开启，蜀黍跟大家分享一则消防公益广告，一起看动漫学消防知识。不堵塞消防通道、不在楼梯间为电瓶车充电，不随意穿越火场……一些生活常见的安全隐患，既要看到，也要做到，当火灾真正来临时，这些被忽视的安全隐患都会酿成 ​​​​...展开全文c,2017-09-29 16:20,1,1,1,iPhone 6,https://weibo.com/3071394690/Fo3XYvv6t
