序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@中国地震台网速报:网友反馈，延边、吉林、长白山、长春、沈阳等地有感。,是,#地震快讯#中国地震台网正式测定：09月03日11时30分在朝鲜(疑爆)（北纬41.35度，东经129.11度）发生6.3级地震，震源深度0千米。（ @震长 @人民日报 @央视新闻 ） ​​​​,2017-09-03 12:05,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fk5bxw7zO
1,【阿坝州防震减灾局】：08月19日00时03分在四川阿坝州黑水县红岩乡（北纬31.9度，东经102.9度）发生3.0级地震，震源深度9公里。 ​​​​,否,,2017-08-19 00:30,转发,4,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FhJe3AAL8
2,转发微博,是,【暖！九寨沟人民夹道欢送解放军：谢谢你们咯】#四川九寨沟7.0级地震#8月15日，九寨沟县城，第77集团军“猛虎旅”官兵撤离。人民自发聚集在县城街道两侧目送。有的拉横幅，有的呼喊招手，微笑致意。“谢谢你们咯！”L未来网的秒拍视频 （未来网） ​​​​,2017-08-16 10:57,转发,1,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fhl2UyKxM
3,今日头条出来的东西请负点责吧，图片用的是人家国家地震的图片，对地震情况也是打胡乱说。理县发生过7.5级地震?@四川省地震局  @中国地震台网速报  @四川发布 ​​​​,否,,2017-08-16 09:45,1,评论,1,华为P9手机摄影再突破,https://weibo.com/3624236921/FhkzXuKoV
4,转发微博,是,图解房屋抗震：什么样的建筑抗震能力更强 O网页链接 ​​​​,2017-08-16 08:53,3,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FhkeMkSNM
5,转发微博,是,发布了头条文章：《强化自我管理能力 积极开展生产自救 努力让受灾群众早日过上幸福美好》 °强化自我管理能力 积极开展生产自救 努力让受... ​​​​,2017-08-15 11:16,1,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FhbK9CA6N
6,转发微博,是,【今天，一起为地震中遇难的同胞默哀！】#四川九寨沟7.0级地震#今天上午十点，九寨沟县7.0级地震遇难同胞公祭活动在九寨沟县举行。警报声、汽笛声在九寨沟县城新区文化广场上空响起，现场，近千名群众为在地震中遇难的同胞敬献鲜花，并默哀一分钟。今天，让我们一起祭奠同胞，默哀！（图据四川观 ​​​​...展开全文c,2017-08-15 11:16,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FhbK70aLn
7,转发微博,是,发布了头条文章：《加强过渡安置点安全防范 保障群众生命财产安全》 °加强过渡安置点安全防范 保障群众生命财产安全 ​​​​,2017-08-15 11:15,1,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FhbJW1FRb
8,转发微博,是,#四川九寨沟7.0级地震# ：《组图：九寨沟地震七日祭 这些画面最难忘记》 今天，九寨沟地震发生第七日。我们为逝者默哀，愿生者坚强。@人民日报  @中国国际救援队  @中国阿坝州发布  @九寨沟管理局 °组图：九寨沟地震七日祭 这些画面最难忘记 ​​​​,2017-08-14 11:42,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh2uskCsE
9,转发微博,是,地震后你要了解的 O地震后你要了解的 ​​​​,2017-08-14 09:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh1MQkarC
10,转发微博,是,科普动漫 家庭避震 O网页链接 ​​​​,2017-08-14 09:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh1MOyZFt
11,转发微博,是,科普动漫 公共场所避震 O网页链接 ​​​​,2017-08-14 09:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh1MMtlBr
12,转发微博,是,科普动漫 学校避震 O网页链接 ​​​​,2017-08-14 09:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh1MKqvrT
13,转发微博,是,科普动漫 野外避震 O网页链接 ​​​​,2017-08-14 09:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fh1MFmTMC
14,国家台网自动(AU)初步测定：08月13日22时38分在四川阿坝州九寨沟县附近（北纬33.09度，东经103.90度）发生3.5级左右地震，最终结果以正式速报为准。 ​​​​,否,,2017-08-13 22:43,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgXnVyCu4
15,//@环球时报:据@四川发布，目前， “8.8”九寨沟县地震已造成25人死亡 ，其中21人确定身份，4人未确定身份。 ​​​​,是,【权威发布： “8.8”九寨沟县地震已造成25人死亡】#四川九寨沟7.0级地震# “8.8”九寨沟县地震已造成25人死亡 ，其中21人确定身份，4人未确定身份。 ​​​​,2017-08-13 15:15,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgUs2msPO
16,转发微博,是,不好意思，让那些看笑话的人失望了，地震中我的大九寨还是依然美，九寨沟这次受灾更多的是体会到了什么是人情冷暖，对我们来说我要向帮助我们的解放军和其他热心人士说一声，谢谢你们。感谢在九寨沟最困难的时候伸出援手。感谢有你们@央视新闻  @成都商报  @阿坝防震减灾  @中国阿坝州发布  ​​​​...展开全文c,2017-08-13 14:51,1,评论,赞,微博 HTML5 版,https://weibo.com/3624236921/FgUiv5x58
17,我正在看【中国地震局发布四川九寨沟7.0级地震烈度图】，分享给你，一起看吧！O网页链接 ​​​​,否,,2017-08-12 18:09,转发,评论,赞,EMUI浏览器,https://weibo.com/3624236921/FgManbLaB
18,转发微博,是,#四川九寨沟7.0级地震# 【现场快讯】8月11日晚，九寨沟7.0级地震中国地震局现场指挥部副指挥长、四川省地震局局长吕弋培与省人大副主任、阿坝州委书记刘作明共商抗震救灾工作，就九寨沟7.0级地震烈度调查工作交换了意见。吕弋培介绍了中国地震局现场工作队烈度调查工作情况。刘作明对工作队的工作表示 ​​​​...展开全文c,2017-08-12 08:05,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgId02kqF
19,【阿坝州防震减灾局】正式报：08月12日07时56分在四川阿坝州九寨沟县漳扎镇附近（北纬33.1度，东经103.9度）发生3.7级地震，震源深度12公里。 ​​​​,否,,2017-08-12 08:04,转发,1,1,华为P9手机摄影再突破,https://weibo.com/3624236921/FgIcM9mSO
20,转发微博,是,#九寨沟7.0级地震# 【九寨沟地震遇难人数已达24人】 8月8日21时19分，阿坝州九寨沟县发生7.0级地震，震源深度20公里。灾情发生后，在党中央、国务院的亲切关怀下，按照省委、省政府的统一部署，全州各族各界紧急动员，与时间赛跑，以抢救生命为第一要务，在72小时黄金救援期间，争分夺秒打了一场抢险救 ​​​​...展开全文c,2017-08-11 22:03,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgEh26F2O
21,【阿坝州防震减灾局】正式报：08月11日19时26分在四川阿坝州九寨沟县漳扎镇附近（北纬33.1度，东经103.9度）发生3.4级地震，震源深度26公里。 ​​​​,否,,2017-08-11 19:36,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgDj4w2f5
22,【阿坝州防震减灾局】正式报：08月10日17时48分在四川阿坝州九寨沟县漳扎镇附近（北纬33.2度，东经103.8度）发生4.1级地震，震源深度26公里。 ​​​​,否,,2017-08-10 18:01,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgtfUkaxe
23,【阿坝州防震减灾局】正式报：08月10日17时38分在四川阿坝州九寨沟县漳扎镇附近（北纬33.3度，东经103.8度）发生3.0级地震，震源深度19公里。 ​​​​,否,,2017-08-10 17:45,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgt9w6Pk4
24,接九寨沟县应急办书面报告，经初步核查，截至8月10日12时，“8·8”九寨沟7.0级地震已致20人死亡（其中游客6人，本地群众2人，未查明身份12人，新增1人未查明身份），431人受伤(重伤18人，其中17人重症伤员已转移至成都、绵阳救治，1名重伤员暂在松潘县医院救治。注：431名受伤人员中，369名为九寨沟县境内受伤人员，其中重伤13人（危重2人），较重21人，轻伤33人，已转院53人。另62名伤员为松潘等县出现的伤员，主要在松潘县医院治疗）。相关情况续报。,否,,2017-08-10 13:20,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgrq0CWD9
25,地震台网正式(CD)测定：17年08月10日09时54分在四川阿坝州九寨沟县（北纬33.16度，东经103.85度）发生3.2级地震，震源深度17公里。 ​​​​,否,,2017-08-10 09:59,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgq6ssLkx
26,转发微博,是,#直击九寨沟地震# 中国国际救援队此刻正在集合，将于7点30分左右出发，分四批次十五架次前往震中，每批次都包含搜救队员，武警总医院的医疗专家，以及中国地震局的专家，第一批次为30人，精干力量。飞行时间25分钟80公里，震中机场，徒步行进7，8公里，视道路情况，摩托机动化方式进入受灾严重的地方。 ​​​​...展开全文c,2017-08-10 08:04,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgplAA5CF
27,【四川省地震局】地震台网正式(CD)测定：17年08月09日20时03分在四川阿坝州九寨沟县（北纬33.16度，东经103.87度）发生3.1级地震，震源深度24公里。 ​​​​,否,,2017-08-09 20:17,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgkII3xla
28,转发微博,是,#九寨沟7.0级地震# 【九寨沟火花海震出缺口 海子水量基本排空】记者从四川省政府新闻办了解到，九寨沟景区火花海由于地震产生缺口，原海子水量已下泄排放，已经排空，不存在溃决风险。8日晚地震后，九寨沟景区火花海子坝体产生缺口，缺口宽20米，长约50米。随后，火花海的下泄流量从正常的9.3立方米/秒 ​​​​...展开全文c,2017-08-09 18:00,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjPpdHxW
29,转发微博,是,#九寨沟7.0级地震# 【阿坝州迅速下拨救灾资金 保障抗震救灾顺利推进】为支持灾区做好应急抢险和群众转移安置工作，阿坝州财政局紧急启动了《阿坝州财政应急保障预案》。同时按照州委、州政府决定州级财政紧急调度0.5亿元救灾资金，截至目前共计向九寨沟县调度应急救灾资金2亿元（中央财政紧急拨付四川 ​​​​...展开全文c,2017-08-09 18:00,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjP53RNf
30,分享图片 ​​​​,否,,2017-08-09 17:41,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjHixHms
31,转发微博,是,#新疆精河6.6级地震#【关键时刻能救命！最权威地震逃生手册，速转收藏！】地震来时如何躲避？如何自救？最权威地震逃生手册↓多一次转发，可能就多挽救一条生命！随手扩散！ ​ ​​​​,2017-08-09 17:40,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjGW5TEC
32,转发微博,是,#新疆精河6.6级地震##微科普#学校避险方法，一定要留存！ L新疆地震局的秒拍视频 ​​​​,2017-08-09 17:39,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjGSeVZI
33,转发微博,是,#新疆精河6.6级地震##微科普#教你如何在野外科学避震。 L新疆地震局的秒拍视频 ​​​​,2017-08-09 17:39,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjGP2Fzk
34,阿坝州防震减灾系统应急处置情况『阿坝州防震减灾局』O网页链接 ​​​​,否,,2017-08-09 17:23,转发,评论,1,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjAlqz7b
35,//@四川省地震局:愿伤者早日康复,是,#九寨沟发生7级地震# 今日下午16时许，九寨沟县中学的操场上，西部战区陆军第77集团军某陆航旅派出的直升机降落，在此接上8名重伤员。据悉，伤员主要是因墙倒塌或飞石造成的砸伤，摔伤等，受伤部位多在脊椎、头颅、腿部，他们将被送往绵阳医院进行救治。愿伤者早日康复！ 记者 张立东 ​​​​,2017-08-09 17:18,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgjya5hWr
36,转发微博,是,发布了头条文章：《郑国光召开指挥部会议贯彻落实中央领导关于九寨沟和精河地震重要批示精神》 °郑国光召开指挥部会议贯彻落实关于九寨沟和精... ​​​​,2017-08-09 16:55,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjoMyCdK
37,//@四川省地震局:愿伤者早日康复,是,#九寨沟发生7级地震# 今日下午16时许，九寨沟县中学的操场上，西部战区陆军第77集团军某陆航旅派出的直升机降落，在此接上8名重伤员。据悉，伤员主要是因墙倒塌或飞石造成的砸伤，摔伤等，受伤部位多在脊椎、头颅、腿部，他们将被送往绵阳医院进行救治。愿伤者早日康复！ 记者 张立东 ​​​​,2017-08-09 16:54,转发,评论,1,华为P9手机摄影再突破,https://weibo.com/3624236921/FgjoirJWH
38,转发微博,是,【截至8月9日13时10分 九寨沟地震已致19人死亡，247人受伤】#省政府新闻办权威发布#接九寨沟县应急办书面报告，截至8月9日13时10分，经初步核查，“8·8”九寨沟地震已致19人死亡，247人受伤（40人重伤；其中7人已转院，4人转至绵阳中心医院，3人转至四川大学华西医院，其余已全部转移到九寨沟县 ​​​​...展开全文c,2017-08-09 16:38,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgji6h4L8
39,转发微博,是,#四川阿坝地震# 【彻夜未眠的母女志愿者】9日上午9点半，在九寨沟县人民医院，3名志愿者靠在一起睡着了。她们是母女三人，妈妈叫杨明珍，两个女儿分别是袁菁、袁榕。地震后，她们来到县人民医院当志愿者，帮病人取药、送水……一夜，母女三人都没有合过眼。你愿为他们点赞吗？@四川共青团 ​​​​,2017-08-09 16:37,1,1,2,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgjhzbu7X
40,转发微博,是,#四川九寨沟7.0级地震# 8月8日21时19分，四川省阿坝州九寨沟县（北纬33.2度，东经103.82度）发生7.0级地震，震源深度20公里。截至目前已早晨19人遇难，200多人受伤。地震发生后，中共中央总书记、国家主席、中央军委主席习近平高度重视，立即作出重要指示，要求抓紧了解核实九寨沟7.0级地震灾情，迅 ​​​​...展开全文c,2017-08-09 16:33,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgjg1ai7l
41,地震台网正式(SC)测定：17年08月09日14时41分在四川阿坝州黑水县（北纬32.23度，东经102.63度）发生2.9级地震，震源深度18公里。 ​​​​,否,,2017-08-09 15:57,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgj1hdrFk
42,国家台网自动(AU)初步测定：08月09日14时41分在四川阿坝州红原县附近（北纬32.26度，东经102.60度）发生3.0级左右地震，最终结果以正式速报为准。 ​​​​,否,,2017-08-09 14:43,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgix73GbM
43,【阿坝州防震减灾局】正式报：08月09日10时17分在四川阿坝州九寨沟县（北纬33.2度，东经103.9度）发生4.8级地震，震源深度26公里。 ​​​​,否,,2017-08-09 10:28,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FggRKFs06
44,国家台网自动(AU)初步测定：08月09日10时17分在四川阿坝州九寨沟县附近（北纬33.12度，东经103.85度）发生4.4级左右地震，最终结果以正式速报为准。 ​​​​,否,,2017-08-09 10:21,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FggOIsB9u
45,地震台网正式(CD)测定：17年08月09日09时32分在四川阿坝州九寨沟县（北纬33.28度，东经103.75度）发生3.7级地震，震源深度19公里。 ​​​​,否,,2017-08-09 09:38,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fggxr2Y19
46,地震台网正式(CD)测定：17年08月09日09时22分在四川阿坝州九寨沟县（北纬33.16度，东经103.85度）发生3.8级地震，震源深度19公里。 ​​​​,否,,2017-08-09 09:30,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgguleLEk
47,转发微博,是,#地震快讯#中国地震台网正式测定：08月09日07时39分在新疆博尔塔拉州精河县（北纬44.29度，东经82.75度）发生4.5级地震，震源深度7千米。（ @震长 ） ​​​​,2017-08-09 08:01,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgfU0qCv4
48,转发微博,是,#新疆博尔塔拉州精河县6.6级地震#震中简介精河县隶属新疆维吾尔自治区博尔塔拉蒙古自治州，位于天山支脉婆罗科努山北麓，准噶尔盆地西南缘。地形呈凹字形，地势南高北低，垂直高差大，境内有新疆第二大咸水湖艾比湖。精河县光照充足，冬夏冷热悬殊，昼夜温差大，干燥少雨。该县面积1.1万平方公里，辖2 ​​​​...展开全文c,2017-08-09 08:00,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgfTEdDKp
49,转发微博,是,#九寨沟7.0级地震# 【九寨沟7.0级地震地震已造成9人死亡、164人受伤】记者从四川省政府新闻办获悉，2017年8月8日21时19分，阿坝藏族羌族自治州九寨沟县发生7.0级地震，截至9日凌晨5时00分，地震已造成9人死亡、164人受伤。 ​​​​,2017-08-09 07:51,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgfQ0aO8Z
50,"据阿坝州防震减灾局台网中心记录，截止8月9日00时23分，“四川九寨沟7.0级地震”共记录到余震196次，其中0-0.9级地震3次，1.0-1.9级地震97次，2.0-2.9级地震75次，3.0-3.9级地震21次,未发生4.0级以上余震。最新数据正在统计中。 ​​​​",否,,2017-08-09 01:38,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/Fgdow0jCD
51,【阿坝州防震减灾局】正式报：08月08日23时49分在四川阿坝州九寨沟县漳扎镇附近（北纬33.3度，东经103.8度）发生3.0级地震，震源深度9公里。 ​​​​,否,,2017-08-09 00:07,转发,1,2,华为P9手机摄影再突破,https://weibo.com/3624236921/FgcNOEN7Y
52,转发微博,是,#四川九寨沟7.0级地震#【8日晚11点，四川省地震局召开震后第一次新闻发布会】内容摘要：1，8月8日晚21点19分，四川省九寨沟县境内发生7.0级地震，震源深度20公里。2，九寨沟干海子景区附近有100余游客被困。3，省地震局已派出40人应急队伍赶赴灾区，同时调集绵阳、德阳、成都、自贡等地地震部门 ​​​​...展开全文c,2017-08-08 23:54,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgcIoqQzj
53,针对九寨沟漳扎镇附近发生7.0级地震情况，阿坝州防震减灾局已启动一级应急响应。分派两组应急队伍赶赴震中。 ​​​​,否,,2017-08-08 23:45,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgcEHoDnE
54,转发微博,是,【中国地震局启动I级地震应急响应】#四川九寨沟7.0级地震# 　　2017年8月8日21时19分，四川省九寨沟县发生7.0级地震。截至8日21时50分，四川、甘肃、青海、宁夏、陕西多省震感明显，局部地区震感强烈，可能会造成一定程度人员伤亡。　　根据上述情况，中国地震局决定：　　一、经初步判定，此次地震 ​​​​...展开全文c,2017-08-08 23:34,转发,2,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgcAlkBhf
55,//@环球时报:,是,【九寨沟县城现已恢复供电】#四川九寨沟7.0级地震#记者从国网四川电力公司获悉，地震发生后，国家电网公司高度重视，国网四川电力启动应急响应，调整当地电网运行方式，努力恢复因地震导致中断供电地区的电力供应，立即调集绵阳、德阳、成都的应急发电车，随时准备出发赶往灾区。目前，九寨沟县 ​​​​...展开全文c,2017-08-08 23:34,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FgcAi7hKE
56,转发微博,是,#地震快讯##四川广元市青川县发生4.9级地震#周边村镇本次地震周边5公里内的村庄有明水村、油榨沟、阴坡里、茶林里、岩跟里、红花园、坪上、大宝山、马鞍村、阳坡上，20公里内的乡镇有楼子乡、茶坝乡、白家乡、七佛乡、竹园镇、下寺镇、 ​​​​,2017-07-17 07:42,转发,评论,赞,微博 HTML5 版,https://weibo.com/3624236921/FcKX7gDvN
57,地震台网正式(CC)测定：17年07月02日14时34分在云南楚雄州禄丰县（北纬25.12度，东经101.71度）发生4.1级地震，震源深度5公里。 ​​​​,否,,2017-07-02 15:04,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/3624236921/FawqUinxQ
