序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#FUNLILL 房山送祝福#中秋国庆两节，祝大家节日快乐[噢耶]  ​​​​,否,,2012-09-30 10:13,2,评论,赞,皮皮时光机,https://weibo.com/2590506174/yEeOTffCc
1,#房山新闻#[长沟三年打造花田文化产业名镇]明年，长沟镇将启动国际大型产业文化交流活动—“向日葵”国际花田文化季。未来三年，长沟镇将以花田为产业发展的台阶、经济强镇的载体，打造花田文化产业名镇，吸引花田文化与产业经济学术研讨和国际花类产业高峰论坛等国际顶级会展落地。 ​​​​,否,,2012-09-30 10:11,4,3,赞,皮皮时光机,https://weibo.com/2590506174/yEeO3x8Vz
2,#房山新闻#[长沟三年打造花田文化产业名镇] 近年来，长沟镇试验种植贡菊、油葵等景观作物，取得了良好效益。今年葵花的种植面积达2万亩。来自世界各地的60多个葵花品种在这里都能见到，其间种植的油葵被生产加工成葵花油系列产品，成为旅游特色商品，实现了从农业到工业延伸的一条金色向日葵产业链。 ​​​​,否,,2012-09-30 09:56,3,评论,赞,皮皮时光机,https://weibo.com/2590506174/yEeHXBlOb
3,#给您提个醒#【五种去火食物】海带：味咸，性寒，化痰、消炎、平喘、排毒、通便。海带中的碘能被人体吸收后，促进有害物质、病变物和炎症渗出物的排除。海带含硫酸多糖，能吸收血管中的胆固醇，并排出体外。常食海带对甲状腺肿大和碘缺乏而引起的病症，高血压、动脉硬化、药物中毒、浮肿有功效。 ​​​​,否,,2012-09-30 09:41,3,评论,赞,皮皮时光机,https://weibo.com/2590506174/yEeBShcTm
4,#给您提个醒#【五种去火食物】蜂蜜：味甘，性平，滋补强身、排毒养颜。富含维生素B、维生素D、维生素E、果糖、葡萄糖、麦芽糖、蔗糖、优质蛋白质、钾、钠、铁、天然香料、乳酸、苹果酸、淀粉酶、氧化酶等多种元素，对润肺止咳、润肠通便、排毒养颜有显着功效。 ​​​​,否,,2012-09-30 09:26,1,评论,赞,皮皮时光机,https://weibo.com/2590506174/yEevLaHyS
5,假日出行莫要放松防范意识,是,#警方提示#[放假啦]【“中秋”、“国庆”双节安全贴士】双节假日正式开始喽，网上购物、出行旅游、会友逛街都被列入童鞋们的活动日程，开开心心过节莫要放松防范意识，南通警方为您支招“双节”安全小贴士，大家多多捧场哦！ ​​​​,2012-09-30 09:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2590506174/yEeqW4yzA
6,祝大家假日出行旅游、探亲一路畅通！[放假啦],是,#出行提示#准备探亲或旅游的通心粉要注意了！节假日期间出京方向集中在9月30日至10月2日，进京方向集中在10月6日至7日。放假前三天早8：00-12：00及最后一日14：00-21：00为车流量高峰时段，早高峰东北、西北、西南和正南方向的高速公路上出京车辆较多，正东和东南方向进京车辆较多。 ​​​​,2012-09-30 09:11,转发,1,赞,微博 weibo.com,https://weibo.com/2590506174/yEeq0r0Xm
7,祝大家中秋节快乐[呵呵],是,农历八月十五是三秋之中期，故称为“中秋节”，古代历法把秋季中间的八月称为仲秋，故又名“仲秋节”。这天的月亮在一年中最圆，最明亮，俗语云：月到中秋分外明。此夜，人们仰望天空朗朗明月，自然会从月圆想到家人的团圆。所以，中秋节又被称为“团圆节”。 ​​​​,2012-09-30 09:09,1,评论,赞,微博 weibo.com,https://weibo.com/2590506174/yEeoX9TlY
8,房山新城滨水森林公园路线图，快快行动吧[带感],是,@水润京华 @Funhill房山 #路线#房山新城滨水森林公园路线图 ​​​​,2012-09-30 08:12,9,4,赞,政府版微博,https://weibo.com/2590506174/yEe20FHG5
9,#玩在房山#【首都西南旅游集散中心推出5条一日游线路】专线5：市区至房山长沟水乡一日游；发车时间安排：该线路为首都旅游集散中心所发一日游线路。2012年9月30日——2012年10月31日期间，周六日及节假日8:30发车，发车地点：首都旅游集散中心宣武门发车站。 ​​​​,否,,2012-09-29 09:19,2,1,赞,360安全浏览器,https://weibo.com/2590506174/yE52php1A
