序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,外交部强烈抗议日警非法登上钓鱼岛 ​​​​,否,,2012-09-24 11:09,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yDkCBxTVM
1,中日外长或26日就钓鱼岛举行会谈 ​​​​,否,,2012-09-24 10:53,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yDkw524qQ
2,近日，日方在钓鱼岛问题上不断挑起事端，是对中国领土主权的严重侵犯。中国海监依法在钓鱼岛海域开展例行维权巡航，行使了我对钓鱼岛及其附近海域的行政管辖。 ​​​​,否,,2012-09-24 10:51,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yDkvFjptp
3,全国友协、中日友协负责人昨日表示，鉴于当前形势，中方决定将纪念中日邦交正常化40周年招待会调整到适当时候举行。 ​​​​,否,,2012-09-24 10:45,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yDksV8v99
4,大家关注呀,是,#公交服务#[大巴]【公交加车】两节临近，公交双层分公司调整制定了中秋十一期间运营时刻表，对特2路、特4路、特6路、特7路等32条线路增加配车和车次，共计增加118部运营车辆，日均增加730车次。 ​​​​,2012-09-21 17:00,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCUDPvNHK
5,//@i翠城熙园社区: //@i趣园小站: //@colin-力力: 理性爱国...不要做伤害同胞的事情...,是,【西安日系车车主遇示威人群被重击头部砸穿颅骨】9月15日，西安市民李建利开车(丰田卡罗拉)带家人外出，遇反日抗议人群，十余人将丰田车砸毁，李建利头部遭重击颅脑损伤。在车被砸时，李建利的妻子曾哀求“都是老百姓辛苦攒钱买的车，我们买日本车不对，以后不买了，好不好。”（头条新闻） ​​​​,2012-09-21 16:59,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCUDgDytm
6,20日外交部发言人洪磊在例行记者会上表示，对于一些日本在华企业在近期的反日游行中受损，中国有关部门将根据实际情况妥善处理。 ​​​​,否,,2012-09-21 16:09,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCUj9mzme
7,大家一定要注意呀,是,"#微提示#中秋、国庆假期临近,一些不法分子就又打起购票诈骗的主意:有在网上发布虚假机票打折信息或紧俏火车票信息的,有打着""车站工作人员""等""内部人士""幌子""招揽生意""的。过节回家团聚,放假外出旅游,这都是让人高兴的事儿,但各位也要留个心眼儿,要通过正规渠道购票,别因图方便、贪便宜,上当受骗啊！ ​​​​",2012-09-21 15:11,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCTVo2WgB
8,野田佳彦寻求会晤中方领导人 以缓和中日关系 ​​​​,否,,2012-09-21 15:09,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCTUPaHET
9,据日本共同社9月20日援引多名中日关系人士消息称，中国政府已通知日方，中日邦交正常化40周年纪念仪式将如期于27日在北京举行 ​​​​,否,,2012-09-21 15:08,转发,评论,赞,专业版微博,https://weibo.com/2664207015/yCTUevYRa
