序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【三宝】遇事三宝：面对、处理、放下；处世三宝：谦虚、礼貌、赞叹；教养三宝:安静、慈祥、沉稳；说话三宝：请、谢谢、对不起；家庭三宝:喜欢、幽默、体贴；饮食三宝:均衡、节制、感恩；健康三宝:步行、少欲、气和；学习三宝:谛听、信受、奉行；交友三宝:诚信、正直、谦卑；人心三宝:真实、善良、宽容 ​​​​,2012-09-24 11:24,转发,评论,赞,360安全浏览器,https://weibo.com/2391087925/yDkIImtDr
1,理性爱国，理性保钓！ ​​​​,否,,2012-09-21 11:12,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSmupSWV
2,转发微博,是,对待钓鱼岛事件，广大民众应理性对待和冷静思考！ ​​​​,2012-09-21 11:11,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSm8yJS0
3,转发微博,是,【做理性守法公民 建设法治、文明、民主国家】我们在表达爱国热情的同时要意识到，要理性爱国、文明爱国、守法爱国。爱国不需要民粹和暴力，不需要以牺牲国内正常社会秩序为代价；爱国必须向“打砸抢”说不。我们表达爱国热情时，理性而守法才值得称赞，才能向外界展示国家强大的内在力量。 ​​​​,2012-09-21 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2391087925/yCSlPDPIP
4,支持理性保钓！,是,#惠感言#支持保钓！更提倡理性保钓。因为有充足的法理依据证明钓鱼岛是中国的。反对过激行为，反对打砸抢，因为这样做的后果于保钓无益，却上了坏人的当。 ​​​​,2012-09-21 11:10,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSlI06T5
5,转发微博,是,【日驻华记者:很多日本人希望中国变得更丧失理性】英国金融时报20日发表对日本经济新闻社驻华记者森安健的采访。森安健称中日两国之前存在巨大的误解。一些中国人认为，抗议会威慑到日本人。而很多日本人其实希望中国变得更暴力、更丧失理性，在世界面前越多地伤害中国的形象。O网页链接 ​​​​,2012-09-21 11:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2391087925/yCSlqf2wi
6,爱国的声音应该依法有序的表达,是,依法有序的表达，可以让我们共同的声音更响亮，我们的领土不容侵犯，侵犯者必付出代价，这是“中国好声音”。鲁莽甚至违法的行为，不仅会让别人的合法权益受到侵害，自己也会被依法处理。哪些事可以做，哪些事不可以做，标准很简单，请做爱国守法公民，共同为中国加油。 ​​​​,2012-09-21 11:09,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSlleCWb
7,保钓需要理智 请大家共同维护公共秩序,是,北京市公安局提示：为了您和周边居民的正常生活秩序，亮马桥路已恢复交通。希望大家配合维护，谢谢理解和支持。 ​​​​,2012-09-21 11:09,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSlgcav9
8,转发微博,是,支持中国的方式有很多种，希望大家可以理性，我们每个人努力的去生活，努力的去工作，努力的去超越，努力的让我们更有实力，就是对保钓的的最大支持！中国加油 ​​​​,2012-09-21 11:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2391087925/yCSid6S0T
9,转发微博,是,"抵制暴力,理性爱国,钓鱼岛属于中国！用我们的声音，汇聚爱国的力量！ ​​​​",2012-09-21 11:01,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCShZtW6j
10,转发微博,是,理智爱国，不要打砸抢，不要伤害同胞，不要帮倒忙。理性抵制日货的贴发了无数，可还有人热衷于打砸抢，应怀疑这些人別有用心，应查清身份，追究责任，依法惩处。 ​​​​,2012-09-21 11:01,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCShTiITv
11,转发微博,是,“爱国切莫伤及同胞，微博呼吁理智爱国，抵制打砸抢。” ​​​​,2012-09-21 11:00,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCShNo2rv
12,转发微博,是,理性爱国：我们有权利抵制日货 但没有权利毁坏别人的日货 如果我们买了东西 再砸了不就成了败家子了 保卫钓鱼岛 钓鱼岛是中国的 ~！！！ 请大家一起抵制日货 理性爱国 不要伤害同胞~ ​​​​,2012-09-21 11:00,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCShDlakQ
13,//@i垡头三区社区: 转发微博,是,@平安辽宁：#保钓有我#爱国是一种态度，不是一双拳头；爱国是一种理性，不是一根铁棍；爱国是让自己的国家变得更好，不是去伤害自己的人民。让我们每一个人从自身做起，拒绝暴力，展现理性。理性爱国， 奋力强国，精心治国 ，才能真正捍卫国家和民族的尊严。 ​​​​,2012-09-21 10:58,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSgWbeSj
14,//@i翠城盛园: 转发微博,是,#请理性爱国#对日本侵犯我国主权行为，我们坚决反对；对损害同胞财产与感情行为，我们也绝不容许！今天，我们用理性宣示力量：我们愤怒，但不失去理智；我们呐喊，但不传播谣言；我们热血，但不盲从暴力！今天，从你我开始，用理性宣示力量。点击呼吁：O微博呼吁理性爱国 新浪微博-随时随地分享身边... ​​​​,2012-09-21 10:58,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSgKlS7x
15,转发微博,是,爱国不是“打砸抢烧”，更不是自残自爆。我们践行了理性爱国，文明爱国，我们没有牺牲正常社会秩序为代价来爱国，我们反对暴力，遵纪守法。 ​​​​,2012-09-21 10:58,转发,评论,赞,专业版微博,https://weibo.com/2391087925/yCSgDgl6Y
16,转发微博,是,"坚守岗位,做好自己的本职工作.维护社会稳定,发展经济,强国富民.我们要理性保钓。 ​​​​",2012-09-21 10:56,1,评论,赞,专业版微博,https://weibo.com/2391087925/yCSg8xaoZ
17,转发微博,是,合理利用个人的经济行为回击侵我主权者！同时保持理性勿打砸国人自家财产，爱国但不能互相损害！ ​​​​,2012-09-21 10:56,1,评论,赞,专业版微博,https://weibo.com/2391087925/yCSg24nRe
