序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"挂职干位到社区 2012年9月17日,到西总布社区的挂职干部张娟、罗超群同志,第一天到社区,来到长安街上,开展维稳值班。 ​​​​",否,,2012-09-17 10:07,转发,评论,赞,彩信,https://weibo.com/2554661407/yCgedp5O0
1,飞机下住宿蟹岛  ​​​​,否,,2012-09-05 17:47,转发,评论,赞,彩信,https://weibo.com/2554661407/yAu73BCfE
2,9月1日，参加新开路东总布小学开学典礼。在主席台上我看着新入学的一年级学生，人生开始奋斗了。 O七彩西总布 ​​​​,否,,2012-09-01 16:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yzS4DFdON
3,新开路东总布小学开学典礼  ​​​​,否,,2012-09-01 09:03,转发,评论,赞,彩信,https://weibo.com/2554661407/yzOYixp3h
4,分享图片 ​​​​,否,,2012-08-29 18:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yzqfv4brX
5,分享图片 ​​​​,否,,2012-08-29 18:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yzqezqhX0
6,"迎检期间,我们不辞辛苦,为社区居民更换灭火器. ​​​​",否,,2012-08-29 18:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yzqdlufaP
7,"迎检协调会 现在已是18:45,建国门街道主任召开多部门协调工作会。 ​​​​",否,,2012-08-26 18:53,转发,1,赞,彩信,https://weibo.com/2554661407/yyYgC5KIX
8,"迎复检,会前小憩。  ​​​​",否,,2012-08-26 17:42,转发,评论,赞,彩信,https://weibo.com/2554661407/yyXNN0j9e
9,环卫保洁员帮清理社区死角  ​​​​,否,,2012-08-26 09:24,转发,评论,赞,彩信,https://weibo.com/2554661407/yyUxA67dn
10,分享图片 ​​​​,否,,2012-08-25 19:54,转发,1,赞,微博 weibo.com,https://weibo.com/2554661407/yyPf1rT27
11,分享图片 ​​​​,否,,2012-08-25 19:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yyPeCkS9G
12,分享图片 ​​​​,否,,2012-08-25 19:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yyPecE71t
13,东城区迎接全国文明城区复验，中心工作就是全体出动。 ​​​​,否,,2012-08-25 19:48,转发,评论,赞,新浪邮箱,https://weibo.com/2554661407/yyPcr2ty1
14,转发微博,是,,2012-08-21 15:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2554661407/yybGEfTbm
15,区爱委会领导吴佩中来西总布地区中国农业银行视察工作 ​​​​,否,,2012-08-21 14:37,转发,评论,赞,BlackBerry客户端,https://weibo.com/2554661407/yybsaB8er
16,转发微博,是,"""展东城历史底蕴，让文化融入生活""首届彩虹文化节之社区夏日文化广场活动第五场西总布社区文化广场进行中。正在表演的是合唱""我的北京我的家""。@文明建国门 @西总布社区 ​​​​",2012-07-30 11:26,转发,1,赞,微博 weibo.com,https://weibo.com/2554661407/yuONQiRq4
