序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,教师节到了，祝老师们教师节快乐！老师，您辛苦了！ ​​​​,否,,2012-09-10 15:10,9,4,赞,专业版微博,https://weibo.com/2649579023/yBedKDkHI
1,永定路西里社区利用宣传展板、横幅号召社区居民积极地投身到创建全国文明城区工作中去，为争创全国文明城区、共建美好家园贡献自己的一份力量。 ​​​​,否,,2012-08-31 11:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yzGsokqPu
2,街道各个科室对我社区的“六型社区”档案进行检查，对社区创建“六型社区”的情况提出了宝贵的意见。我们将继续努力，做好“六型社区”的创建工作。 ​​​​,否,,2012-08-31 11:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yzGpkm2a6
3,保护眼健康知识讲座--青少年专场。眼睛是我们的灵魂之窗，要从小开始爱护哦! ​​​​,否,,2012-08-30 17:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yzzg758j9
4,我社区居民参加万寿路地区组织的扑克双升比赛，哈哈，重在参与！ ​​​​,否,,2012-08-30 17:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yzzeQ9UQN
5,为了丰富暑期中小学生的校外文化生活，使社区青少年度过一个欢快、有意义的假期，结合我社区正争创“六型社区”的实际，永定路西里社区于8月17日举办“六型社区”趣味问答及数字电影放映活动。社区内许多小朋友都积极参加了该活动. ​​​​,否,,2012-08-21 11:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yya98Brd7
6,8月17日，永定路西里社区残疾人协会换届选举大会圆满完成。大会听取了上一届残协的工作报告，选举产生了新一届残疾人协会委员会. ​​​​,否,,2012-08-21 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/yya6rmdKq
7,8月11日，万寿路街道“创建全国文明区，建设幸福万寿路”之文明小宣传员活动在小区东门广场举行。社区内的小朋友积极参加了该活动。活动中，小朋友向行人发放了创建全国文明城区的宣传材料，普及了相关知识，同时也锻炼了小朋友与人沟通交流的能力，丰富了小朋友的暑期生活。 ​​​​,否,,2012-08-13 15:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/ywYkXp2j6
8,8月11日，海淀区创建全国文明城区宣传口号、主题标识、吉祥物、歌曲征集活动启动仪式在海淀公园举行。 ​​​​,否,,2012-08-13 15:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/ywYeKoxL0
9,转发微博,是,"#今天是全民健身日#为了满足广大人民群众日益增长的强身健体需求,国务院批准8月8日为“全民健身日”。将健康向上的大众体育精神传达给公众,推广健康生活的理念。今年的主题口号是“每天锻炼一小时，健康生活一辈子 ”。 ​​​​",2012-08-08 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2649579023/ywbnQ7hol
