序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,万树园社区居民京郊一日游 炎炎夏日渐渐褪去，秋高气爽慢慢袭来。此刻是到京郊游玩的好时节。 ​​​​,否,,2012-08-28 09:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yzdkLpRjA
1,中国泳军第1个双金王！ 破纪录叶诗文竟轻摇头  O网页链接  （分享自 @新浪体育） ​​​​,否,,2012-08-01 09:58,转发,评论,赞,分享按钮,https://weibo.com/1984261121/yv74Z0qHH
2,今天凌晨，雷声、叶诗文和林清峰在20分钟内分别在男子花剑、女子200米个人混合泳和男子举重连夺三金。 O网页链接 ​​​​,否,,2012-08-01 09:57,转发,评论,赞,分享按钮,https://weibo.com/1984261121/yv74xwnks
3,八一建军节到了. 一丝浪漫一段青春，一腔热血一腔沸腾，一种理想一世忠诚，一段军旅一颗军魂。 ​​​​,否,,2012-08-01 09:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yv71uE3OV
4,"[伦敦奥火]支援灾区,奉献爱心,万树园小区居民纷纷捐款捐物. ​​​​",否,,2012-08-01 09:42,1,1,赞,微博 weibo.com,https://weibo.com/1984261121/yv6YtkwW2
5,2012年海淀文化演出季上地街道站进行中........ ​​​​,否,,2012-08-01 09:35,1,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yv6VR6AyZ
6,推荐@honeygogo江南烟雨 的帖子《【盘点】奥运开赛以来几大争议判罚：韩国悲剧》，大家也来看看吧～ O网页链接 ​​​​,否,,2012-07-31 17:01,转发,评论,赞,微吧-奥运吧,https://weibo.com/1984261121/yv0qdkIf4
7,推荐@黑夜在思考 的帖子《巴西柔道选手洗澡弄坏铜牌+申请更换奥运会奖牌》，大家也来看看吧～ O网页链接 ​​​​,否,,2012-07-31 17:00,转发,评论,赞,微吧-奥运吧,https://weibo.com/1984261121/yv0q6evwy
8,#应用广场签到# 玩应用，涨粉丝！愣着干嘛？还不快来！O网页链接 ​​​​,否,,2012-07-31 16:59,转发,评论,赞,应用广场,https://weibo.com/1984261121/yv0pp7nud
9,分享图片 ​​​​,否,,2012-07-20 15:39,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/ytkbtpC1p
10,[伦敦奥火]开始征兵了，大家报名啊。 ​​​​,否,,2012-07-20 15:37,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/ytkaTD7xE
11,转发微博,是,因水而生，因水而美，因水而兴，这就是水上都市威尼斯，世界上唯一没有汽车的城市。~ ​​​​,2012-07-09 14:45,转发,3,赞,热门微博,https://weibo.com/1984261121/yrE84eEOF
12,转发微博,是,【iPad Mini或在圣诞上市】自从华尔街日报这些大媒体也报道苹果或将推出iPad Mini之后，这个产品发布的靠谱性已经非常的高。今天，日本网站MacOtakara称，预计首批7英寸iPad将在西方假日购物季节上市。问一句，7英寸200美金左右的iPad Mini和现在9.7英寸400美金左右的iPad，你会选择哪个？   ​​​​,2012-07-09 14:41,转发,评论,赞,热门微博,https://weibo.com/1984261121/yrE6x62wR
13,转发微博,是,【内涵贴】一只非洲未成年狮忧愁郁闷，它妈妈问怎么了。小狮答道：刚吃了个人，可能是中国人。母狮急了：吃人不看护照！早跟你说了，他们化学元素超标，就我们这身子骨，能扛得住吗？狮爸一旁安慰：别怕，能来非洲打猎的中国人，吃饭喝酒都是特供，此人应该是绿色食品。 ​​​​,2012-07-09 14:41,转发,评论,赞,热门微博,https://weibo.com/1984261121/yrE6rcYkF
14,转发微博,是,澳大利亚19名天才数学家组成了一个“高智商”赌博集团，利用数学知识在世界各国疯狂赌博，短短3年内共赢得约合156亿元人民币，全都摇身变成超级富豪。直到不久前，这些数学家的成功引起澳大利亚税务局的注意，才令这个神秘的赌博集团浮出水面。——神马叫科技是第一生产力[g头晕]O网页链接 ​​​​,2012-07-09 14:39,转发,评论,赞,热门微博,https://weibo.com/1984261121/yrE5HEnjY
15,山不在高，有仙则名；话不在多，有理就行。想和名人明星社会贤达一起谈天论地？那赶紧来微访谈中畅所欲言提出你的问题吧！订阅“微访谈”栏目，即可获得【谈天说地】勋章。O网页链接 ​​​​,否,,2012-07-09 14:23,转发,1,赞,勋章馆,https://weibo.com/1984261121/yrDZcAWtN
16,我参加了@现代快报 命题的第五期#微博四级#考试，微博小秘书给我打了80分。兵来将挡，水来土掩，我就是传说中的资深围脖儿，在围脖江湖占一大头领席位！考题：O网页链接，相关讨论：O网页链接 ​​​​,否,,2012-07-09 14:22,转发,评论,赞,微博四级考试,https://weibo.com/1984261121/yrDZ4m0wX
17,分享图片 ​​​​,否,,2012-07-04 09:20,1,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQRHpCpi
18,社科院专家：我国未富先老 不可延至65岁退休 ​​​​,否,,2012-07-04 09:08,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQMVk9Rm
19,中国海监编队抵南沙执法 喊话驱离外国公务船 ​​​​,否,,2012-07-04 09:07,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQMteCdc
20,1983年至1985年任中共忠县县委副书记、县长。1985至1987年任省委农研室副主任，省农经委副主任。 ​​​​,否,,2012-07-04 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQLQvRal
21,郭金龙同志简历 1947年7月生，江苏南京人。1969年9月毕业于南京大学物理系。1979年4月加入中国共产党。 1969年至1973年任四川忠县水电局电力股干部、技术员。1973年至1979年任忠县体委教练。1979年至1980年任忠县县委宣传部理论教员。1980至1981年任忠县文教局副局长。1981年至1983年任忠县文化局局长 ​​​​,否,,2012-07-04 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQLNi9Qo
22,中共北京市第十一届纪委常委名单（11人） 市纪委书记：叶青纯 市纪委副书记：王海平、王荣军、李振奇、杨逸铮 常务委员会委员：王荣军、王贵平、王海平、叶青纯、边学愚、李振奇、杨小兵、杨逸铮、宋兰刚、张才雄、钱华杰 ​​​​,否,,2012-07-04 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/1984261121/yqQKR4dIc
