序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@李子霄: 财富是一种思维方式,是,【财富是一种思维方式】1. 当你再没什么可失去时，就是你开始得到；2. 学习要加，骄傲要减，机会要乘，懒惰要除；3. 1%人是吃小亏而占大便宜，99%人占小便宜吃大亏，大多数成功都源于那1%；4. 一个人成功的前提是他有能力改变自己；5.真正的财富是一种思维方式，而不是月收入的数字。 ​​​​,2012-09-27 10:18,转发,评论,赞,专业版微博,https://weibo.com/2655249627/yDMzFBprK
1,转发微博,是,#微小说#池塘，荷叶田田。“你这么漂亮，一定有很多追求者。”游鱼问荷。“但愿别是那棵丑陋的藕。”荷说。游鱼来到水底，看到藕默默输送营养给荷，不由地笑藕傻。这日，藕被人采走，荷很快凋谢。人们掰开藕，游鱼才明白，原来藕掏空了自己，成全荷的美丽，却给自己留下千疮百孔的身体。@侯相沫 ​​​​,2012-09-27 10:14,转发,评论,赞,专业版微博,https://weibo.com/2655249627/yDMy4kcMK
2,社区30余人参加区民宗侨办举办的民族社区体育运动会，荣获佳绩。 ​​​​,否,,2012-09-25 10:12,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yDtFY7gT9
3,转发微博,是,,2012-09-20 09:46,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yCImXFuZe
4,转发微博,是,【中国最帅男人】周恩来手术前工作日历：有9天每天工作了12--14小时；74天工作14--18小时；38天超过18小时；5天工作24小时；1975年6月他体重只有30.5公斤，却仍坚持超负荷工作。作为一国家领袖掌管世界上五分之一的人口，却无儿无女，在海外没有一分钱的存款，如果你感动，请转发怀念。    ​​​​,2012-09-19 15:12,转发,评论,赞,专业版微博,https://weibo.com/2655249627/yCB4W1Vi9
5,转发微博,是,【战史今日：九一八事变】1931年9月18日，日军在柳条湖制造假现场后，向北大营发起进攻，拉开了“九一八”事变的序幕。我大好东北三省短短数月沦丧敌手。81年后的今天，中国非当年之中国，世界亦非当年之世界。九一八国耻不能忘！“不抵抗”政策之屈辱不能忘！望各位同胞牢记国耻，兴我中华！新浪军事 ​​​​,2012-09-18 09:38,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yCpt1lZIZ
6,//@女人时尚汇: 姐妹们，一个人的时候，记得要保护好自己,是,【女孩记住这14条可以救命】姐妹们，一个人的时候，记得要保护好自己！  ​​​​,2012-09-08 22:37,转发,评论,赞,专业版微博,https://weibo.com/2655249627/yAYif2BII
7,转发微博,是,#健康#【保护膝关节 跟高2公分的鞋比平底鞋好】一19岁女孩穿薄底鞋暴走半个月，结果关节走坏了，需把原有关节换成人工关节，让人叹息。现在软底无跟豆豆鞋流行，走路轻巧，对关节却不好。保护关节，穿跟高2公分的鞋子，比穿平底鞋更好。浙江在线O网页链接 ​​​​,2012-09-08 22:34,转发,评论,赞,专业版微博,https://weibo.com/2655249627/yAYgFdS7b
8,转发微博,是,北京的北海公园很漂亮，有水就有灵气。到北京一定要到北海公园。 ​​​​,2012-09-04 11:22,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yAia4ynsQ
9,小院的葫芦娃，美不美！ ​​​​,否,,2012-09-04 11:21,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yAi9McEW2
10,正值肖家河小学新学期开学之际，上地街道副书记李立宪、街道妇联主席杨桂华与树村社区高书记一行来到树村社区肖家河小学，与肖家河小学举行手牵手赠书活动。本次共向肖家河小学一二三年级赠书300余册及各类文具用品。 ​​​​,否,,2012-09-03 16:30,转发,2,赞,新浪邮箱,https://weibo.com/2655249627/yAaKN9ERt
11,//@李子霄:@上地街道树村社区 //@王紫silnce: 转发微博,是,【你是什么O？】CAO首席行政官；CBO首席品牌官；CCO首席文化官；CEO首席执行官；CFO财务总监；CHO首席人事官；CIO首席信息官；CRO首席研究官；CKO首市知识官；CMO首席市场官；CNO首席谈判官；CTO首席技术官；CLO首席法律官；COO首席运营官；CPO首席公关官；CQO首席质量官；CSO首席问题官。 ​​​​,2012-09-03 16:27,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yAaJyDJfZ
12,//@李子霄:@上地街道树村社区,是,,2012-09-03 16:27,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yAaJrgAY0
13,//@邱崇水://@李子霄: @上地街道树村社区,是,重要的并不是努力，而是方向。压力不是有人比你努力，而是比你牛叉几倍的人依然比你努力。即使看不到未来，即使看不到希望，也依然相信，自己错不了，自己选的人错不了，自己选的人生错不了。第二天叫醒你的不是闹钟，其实，还是梦想！ ​​​​,2012-09-03 16:27,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yAaJiopZp
14,转发微博,是,【领导默默摘下手表，挡住皮带】江苏卫视主持人@金思辰 爆料：刚才某节目录制，请来一领导做嘉宾，刚说321准备，领导突然叫停。然后走到一旁，默默摘下手表，穿上外套，系上扣子，挡住皮带，照照镜子，确认无误，这才放心说可以开始。你说你们这些网友，大热天的看把领导吓得，容易吗……@第一财经日报 ​​​​,2012-09-01 10:06,1,1,赞,微博 weibo.com,https://weibo.com/2655249627/yzPnHeGpU
15,转发微博,是,,2012-09-01 10:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzPmBxYCR
16,没感觉~ O上地街道树村社区 ​​​​,否,,2012-08-30 19:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzA7g968H
17,//@李承鹏: 九表哥！//@杨文轩: 大表哥！,是,,2012-08-30 19:05,1,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzA3tebPz
18,转发微博,是,【据传言，三星赔了苹果30卡车硬币】今天上午，30辆装满5美分硬币的卡车停在了苹果公司总部。最初，苹果公司的安保部门以为是这些卡车停错了地方，但是在数分钟之后，蒂姆·库克收到一个来自三星CEO的电话，电话中解释道这就是他们将要支付给美国苹果公司的10亿美元罚款。这个...求证实！ ​​​​,2012-08-30 12:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzxv3DjI5
19,转发微博,是,#生活资讯#一台全自动餐饮售卖机器人在北海公园北门外亮相，这台“盒饭机器人”卖的盒饭分15元、20元、25元三种价格，饭菜有荤有素，主食、汤品、餐具俱全。 ​​​​,2012-08-30 12:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzxmQdyYQ
20,转发微博,是,【手机挂着QQ出差澳门8小时，欠费一万四】“本机号码实时话费为14259.83元。”收到这条短信时，深圳李先生吓了一跳。他8月22日出差澳门8个小时，期间开通了国际漫游挂着QQ，产生了274M流量，随后因巨额欠费停机。运营商回应，资费核查无误。智能手机，最好把上网给关了！南都O网页链接 ​​​​,2012-08-30 12:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yzxmm4XlP
21,转发微博,是,,2012-08-25 12:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yyMbGdrER
22,转发微博,是,,2012-08-25 12:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yyMbclNQ9
23,//@封新城: 轉發微博,是,去年11月5日网易新闻《哈尔滨阳明滩大桥明日通车》O网页链接 网友留言：“为安全起见，强烈建议此桥禁止车辆行走，如车辆一定要过桥，最好连人带车先买好高额保险！”“桥建的时候就塌过...我在哈尔滨住我很清楚，我还是绕道吧”。——预言帝？未必，有些倒塌和崩溃已不是预言，而是必然。 ​​​​,2012-08-25 12:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yyM9kwBBF
24,转发微博,是,【化妆水的鉴别方法】用力摇，摇完之后看泡泡。1、泡泡少，说明营养成分少。2、泡泡多但大，说明含有水杨酸。洁肤效果较好，但刺激性大易过敏。3、泡泡很多很细，而且很快就消失了，说明含酒精。不要长期的使用，容易伤害皮肤的保护膜。4、泡泡细腻丰富，有厚厚的一层，而且经久不消，那就是好的水。 ​​​​,2012-08-21 21:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yyehNb0oD
25,要像小时候那样，充满幻想和希望~ O上地街道树村社区 ​​​​,否,,2012-08-21 21:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yyehvqThQ
26,记上一笔，hold住我的快乐！ O上地街道树村社区 ​​​​,否,,2012-08-20 15:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yy2cl2XZJ
27,我得儿你的笑~~得儿你的笑~ O上地街道树村社区 ​​​​,否,,2012-08-19 12:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxRWwE4Lt
28,转发微博,是,美国，蒙大拿“冰川国家公园”彩石铺路，与你同行。 ​​​​,2012-08-19 12:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxRVg2ySg
29,//@实用微博小百科: 转发微博,是,『周立波：五小事解决民生问题』1、取消交通管制，让官员感受堵车之苦才能真正治堵；2、取消食品特供，让官员品尝有毒食品才有食品安全；3、取消福利分房，让官员体会买房难，民众才能安居乐业；4、取消公车消费，官员才知油价之高养车之难；5、取消干部病房.官员才知看病难、看病贵。同意就转发。。   ​​​​,2012-08-19 12:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxRTBuvbM
30,今日树村清真寺开斋节！ ​​​​,否,,2012-08-19 12:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxRT1rfK5
31,转发微博,是,【党的执政能力建设十年回眸】为谁执政、靠谁执政、如何执政，“从‘为人民服务’‘三个有利于’‘三个代表’再到‘以人为本’，体现了党始终如一、一心为民的追求，凸显了党的执政水平的日益成熟。”中央党校教授蔡霞说。O网页链接 ​​​​,2012-08-16 16:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxqZMFFeB
32,转发微博,是,今天中午等公交，一个小男孩被蜜蜂蛰到了。孩子大哭不止，妈妈问：“怎么了，怎么了？”他泣不成声的说：“妈妈，一个穿着毛衣的苍蝇咬了我。”我：……这个好萌！[萌][萌][萌]（转） ​​​​,2012-08-16 16:11,1,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxqW1fc0J
33,//@王牧笛: 小么小二郎，背着那书包上学堂。,是,不丹国的未来，@王牧笛 收图 ​​​​,2012-08-16 15:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxqtflNZ1
34,转发微博,是,,2012-08-15 21:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxjpikWYM
35,转发微博,是,【不忍爱狗受病痛 主人日日抱其水疗】这只狗狗和主人已经相伴18年。如今19岁高龄的它饱受病痛折磨。主人每天睡前都会这样抱它到湖里，希望温暖的水帮它减轻关节炎的疼痛这幸福的表情应该是因为听得到主人的心吧~(图片分享自@沪江网 的微相册O网页链接 ) ​​​​,2012-08-15 20:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxjjesjnC
36,//@实用微博小百科: 转发微博,是,【李嘉诚对年轻人10个忠告】眼高手低将一事无成。2、不要像玻璃那样脆弱，要像水晶一样透明。3、好人缘是成功的铺路石。4、不是你选择工作而是工作选择你。5机会不会从天而降。6、走运时做好倒霉准备。7、忍受孤独是必修课。8、时光不会等你。9、管住嘴巴。10、贪睡和不守时是最大绊脚石. ​​​​,2012-08-15 15:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxhhAnzLp
37,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-08-15 15:35,转发,评论,赞,微相册,https://weibo.com/2655249627/yxhgRtICA
38,//@薛蛮子: 转发微博,是,【但是你没有】作者是一位普通的美国妇女，她的丈夫在女儿四岁时应征入伍去了越南战场，从此她便和女儿相依为命。后来她的丈夫、孩子的爸爸不幸阵亡。她终身守寡，直至年老病逝。她的女儿在整理遗物时发现了母亲当年写给父亲的这首诗。（转）@薛蛮子 @杨锦麟 @任志强 @徐小平 @巴曙松 @查立 @王利芬  ​​​​,2012-08-15 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxhgaAIPP
39,龙年戴龙帽，@活动小队长 龙年送勋章。只要参与微活动的任意一个活动就可以领取龙年专属勋章“生龙活虎”。快来领取吧！O网页链接 ​​​​,否,,2012-08-15 15:31,转发,评论,赞,勋章馆,https://weibo.com/2655249627/yxhfgarrZ
40,转个弯，开心就能到来了！ O上地街道树村社区 ​​​​,否,,2012-08-15 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2655249627/yxheXhDH9
41,转发微博,是,黄石公园：寻找2012的痕迹 ​​​​,2012-08-15 11:25,转发,评论,赞,新浪邮箱,https://weibo.com/2655249627/yxfDBbeX8
