序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《夕阳无限好——记上地西里社区金梦艺术团成立》 -  2012年9月15日，上地西里的老年人活动又展开了一个新的篇章——上地西里社区金梦艺术团正式成立~ O网页链接 ​​​​,否,,2012-09-25 14:56,转发,5,赞,新浪博客,https://weibo.com/1395142151/yDvxctvSI
1,发表了博文 《忆青葱岁月 享幸福生活——上地西里社区老照片展活动通知》 - “忆青葱岁月、享幸福生活” 上地西里社区老照片展活动通知 一、作品征集要求： 1.至少20年前老照片(年代越久远越好)； 2 O网页链接 ​​​​,否,,2012-09-19 11:01,转发,1,赞,新浪博客,https://weibo.com/1395142151/yCzr5nDZi
2,发表了博文 《忆青葱岁月 享幸福生活——致我们曾经拥有的青春》 - 致我们曾经拥有的青春 在我们的年轻岁月中 有一首歌轻轻唱过 在我们的心中 有一个梦静静流过 或许时间能带走一切拥有过的季节 无论如何 O网页链接 ​​​​,否,,2012-09-19 10:52,转发,评论,赞,新浪博客,https://weibo.com/1395142151/yCznuhgxN
3,请户籍个人存档独生子女父母关注独生子女费领取的通知！ ​​​​,否,,2012-09-05 15:02,转发,1,赞,微博 weibo.com,https://weibo.com/1395142151/yAt1Xky8y
4,发表了博文 《关于领取独生子女奖励费的通知》 -  一、独生子女奖励: (办理时间：即日起截止10月20日) （一）新办理条件:  1.已领取《独生子女父母光荣证》的独生子女父母，子女年龄在18周岁以 O网页链接 ​​​​,否,,2012-09-05 15:00,转发,评论,赞,新浪博客,https://weibo.com/1395142151/yAt172qWF
5,今天上地实验学校的新初一学生军训回来啦，都晒黑了吧…… ​​​​,否,,2012-08-24 14:54,转发,2,赞,官方博客挂件,https://weibo.com/1395142151/yyDQMgXel
6,社区近几日有多个活动，忘大家踊跃参加哦~~~ ​​​​,否,,2012-08-24 14:54,转发,2,赞,官方博客挂件,https://weibo.com/1395142151/yyDQv8EQN
7,发表了博文 《关于举办“快乐实境英语”主题数字油画比赛的通知》 - 关于举办“快乐实境英语”主题数字油画比赛的通知   西里社区家长朋友们、小朋友们：   为了提高社区孩子综合素质教育，丰富孩子的业余 O网页链接 ​​​​,否,,2012-08-24 14:50,转发,评论,赞,新浪博客,https://weibo.com/1395142151/yyDPa6seY
8,发表了博文 《关于征集2012年海淀区喜迎党的十八大胜利召开书画展的通知》 - 关于征集2012年海淀区 喜迎党的十八大胜利召开书画展的通知   居民朋友们：   为喜迎党的十八大召开，大力弘扬双拥文 O网页链接 ​​​​,否,,2012-08-24 11:22,转发,评论,赞,新浪博客,https://weibo.com/1395142151/yyCsGvFzF
9,发表了博文 《关于举办消夏电影月的通知》 - 关于举办消夏电影月的通知   居民朋友们：   为丰富居民文化生活，即日起，上地华联和上地街道文教科联手，举办消夏电影月。届时每晚七点准时在华联门前放映露 O网页链接 ​​​​,否,,2012-08-24 11:15,1,评论,赞,新浪博客,https://weibo.com/1395142151/yyCpMxS3i
10,最近一段工作较忙，近期会把社区内的活动给大家在这里集中展示：） ——看到上地西里居委会的博文《暑期活动之北京动物园海洋馆一日游》有感而发的评论。O网页链接 ​​​​,否,,2012-08-22 10:56,转发,评论,赞,新浪博客,https://weibo.com/1395142151/yyjr8zVUz
11,发表了博文 《暑期活动之北京动物园海洋馆一日游》 -  2012年8月14日，西里社区居委会组织社区内的孩子们到北京动物园海洋馆参观、游览，让孩子们近距离与海洋生物接触，增长知识、开阔眼界。   北京 O网页链接 ​​​​,否,,2012-08-22 10:51,转发,1,赞,新浪博客,https://weibo.com/1395142151/yyjp2ggkU
12,居民朋友捐书热情很高，在此谢过！一直以来，每逢社区开展募捐活动，居民朋友都很踊跃——予人玫瑰、手有余香！  拜谢！ ​​​​,否,,2012-08-11 17:56,转发,评论,赞,官方博客挂件,https://weibo.com/1395142151/ywGu5cmq9
13,参加2012年度“两癌筛查”的女同胞们，如果没有接到医院的电话就说明筛查结果正常哦~~~祝大家身体健康：） ​​​​,否,,2012-08-09 16:17,转发,评论,赞,官方博客挂件,https://weibo.com/1395142151/ywmYUu8cO
14,立秋贴秋膘了哦~~~~~~ ​​​​,否,,2012-08-07 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1395142151/yw1umEb29
