序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,义工协会送水3200箱 昨日下午2时，北京慈善义工协会将首批募集的3200箱矿泉水和1000件衣物，送到房山重灾区周口店镇8个村4000多名灾民手中。 采写/新京报记者 汤阳 魏铭言 廖爱玲 王卡拉 ​​​​,2012-07-27 15:26,4,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yuo5DheBI
1,//@北京市民政局: 今夏暴雨频发 教你读懂天气预警信号,是,【今夏暴雨频发 教你读懂天气预警信号】气象专家介绍，根据中国气象局定义，暴雨按其降水强度大小分为三个等级：24小时降水量为50—99.9毫米称“暴雨”；100—200毫米为“大暴雨”；200毫米以上称“特大暴雨”。暴雨预警信号分四级，分别以蓝色、黄色、橙色、红色表示其严重程度，由低至高递增。 ​​​​,2012-07-27 15:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yuo5rrWO1
2,转发微博,是,#暴雨中的感动#74岁的付大妈在7月21日暴雨之夜因丹毒复，高烧不退，救护车却被堵在路上过不来。关键时刻，团结湖派出所的一位好民警冒雨将付大妈送到朝阳医院治疗，但是付大妈却不知道这位民警叫什么。经过《北京晚报》记者多方查找，终于找到了这位不留名的好民警，他就是今年28岁的韩鹤飞。 ​​​​,2012-07-27 15:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yuo5jtdSE
3,//@北京发布: 回复@jackin剑:各有关部门都在积极做好灾后服务工作，如有需要，欢迎您拨打电话。,是,【房屋防汛报修值班电话开通】即使大雨已经结束，但经过雨水冲刷的房屋，仍有可能出现漏雨、渗水、需要加固等状况。在此，给大家提供市住建委公布的各区县房屋防汛昼夜值班电话，市民可以通过电话报修求助。 ​​​​,2012-07-27 15:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yuo4uDybO
4,转发微博。,是,2012年7月25日至8月24日，@北京朝阳 发起“公德接力”微活动，广大网友可通过登录页面（O网页链接 公德接力晒感动；O网页链接 【微征集】诚实守信三字经）参与活动，详情请见活动页面的活动介绍。大家一起传播文明、传播感动吧！[爱心传递] ​​​​,2012-07-27 14:49,转发,评论,赞,政府版微博,https://weibo.com/2649709093/yunQDE0B7
5,//@北京朝阳:,是,【已确认身份的遇难者名单】北京市防汛抗旱指挥部刚刚公布了“7•21”特大自然灾害已确认遇难者身份名单。 ​​​​,2012-07-27 14:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yunN2hfHO
6,转发微博,是,【北京各区县捐赠站点全部向社会开放】全市各区县捐赠中心已启动接收捐赠应急机制，辖区各街乡、社区捐赠站点全部向社会开放，随时接受党政机关、企事业单位及市民的捐赠。具体捐赠方式可通过96156首都慈善公益热线及首都慈善公益组织联合会网站（www.shxtx.org.cn）进行查询。 ​​​​,2012-07-26 15:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yueRlcE7g
7,转发微博,是,#魅力朝阳#【奥林匹克森林公园百亩葵花绽放 游客可免费前往观赏】奥林匹克森林公园百亩向日葵进入盛花期。7月3日起，游客可前往免费观赏这片城区最大的向日葵园。向日葵园位于森林公园北园花田野趣景区，目前正处于赏花最佳时节。向日葵的花期为一个月左右，想去的朋友们不要错过啦！（图片来自网友） ​​​​,2012-07-05 15:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yr2A3xL0N
8,转发微博,是,昨天来自北京市教委的消息，暑假期间，西城区将开放辖区内的科技馆、少年宫等场所，向中小学生免费提供30项活动，包括体能训练、红色经典电影等。 另外，西城区的12个街道办事处也将通过开放图书馆、多功能厅等方式为辖区内的中小学生举办活动。 ​​​​,2012-07-05 15:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yr2zOd1va
9,2012年6月21日，朝阳新城社区开展了“端午粽飘香 和谐花开新城”活动，社区居民一起包粽子，并将粽子送到困难家庭、残疾人和‘四就近“离退休老干部家中，恭祝他们节日快乐！ ​​​​,否,,2012-07-05 15:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709093/yr2xw4Xiy
