序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,节能环保，绿色生活从身边做起，从小事做起！//@文明北京: #绿色家园#大家一起来垃圾分类，只有这样，垃圾才能有机会变成宝物，真正为我们所利用，为我们的节能环保、绿色生活“护航”。,是,#美图秀秀Android版#人大附小的学生正在表演自编自导的垃圾减量分类节目：被抛弃的宝物 ​​​​,2012-09-14 15:35,3,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBQ5PjAlF
1,逝者安息//@文明北京: 逝者安息，细看视频中面临危险务必牢记的五个最佳动作，关键时刻能救命@北京发布@平安北京@北京消防,是,【救命常识：电梯下坠时保护自己的最佳动作】今天下午，武汉欢乐大道东湖景园小区工地，一载满粉刷工人的电梯突然从30层坠落，现已造成19人死亡为此，请您细看视频中面临危险务必牢记的五个最佳动作，关键时刻能救命。为了自己、亲人、朋友的安全，请立即转发扩散吧！O网页链接 ​​​​,2012-09-14 15:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBQ5vw3s6
2,乐让座 爱分享 //@文明北京: #爱传递#乐让座 爱分享,是,童鞋们最近发现了没？4号线部分列车上出现了#爱心让座贴#[花心]，依然还是馒头仔代言哦，小编提醒：在您乘车时遇到“老、幼、病、残、孕等有需要的乘客”及时献出您的爱心~“乐让座 爱分享”就从今天开始，从地铁开始吧 ​​​​,2012-09-12 10:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBv8NpHMQ
3,转发微博,是,#文明出行秀达人#[xb小花]低碳出行，绿色出行，文明出行，我们还要安全出行哦，文明北京教您三招安全拼车@北京司法 ​​​​,2012-09-12 10:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBv7S5EOu
4,//@文明北京: #爱故事#@北京道德模范,是,"【微电影<乡村女医生>感动10万网友】一部以2011年度""中国好人""王启蓉为原型微电影《归乡》近日在成都发布。一上线便受到了网友热捧，一周点击量突破10万人次。这是成都首次用""微电影""的形式还原百姓故事，传播道德模范先进事迹。O网页链接 ​​​​",2012-09-12 10:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBv7wdzrv
5,//@文明北京: #爱接力#帮帮这位挺身而出的英雄//@龙行故里: 爱心接力,是,【传递爱传递正能量！】“９０后”打工仔周传金，在上海地铁站为抓小偷身中数刀…被偷的女孩将他送至医院，执意承担一万元医药费；医院得知后免除其一切治疗费用；小伙子单位承诺在他养伤期间工资全额发放；上海文明办表示，将接小伙子的父母来沪团聚……传递爱，传递正能量！O网页链接 ​​​​,2012-09-11 11:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBm6Gigq2
6,从改变自己开始,是,永远都别对生活失去信心，永远都保持一股昂扬的姿态。这个社会有着太多的不公，常常让我们感到不满。仅仅止于不满，那是懦夫；迎难而上，改变自己，改变身边，改变这个社会，那才是真正的勇者。via中国青年报O网页链接 ​​​​,2012-09-11 11:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBm6aEXSo
7,钓鱼岛是中国的！//@文明北京: //@北京发布: 中国政府在维护领土主权问题上立场坚定不移。,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 11:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBm5NlNoI
8,,是,【独臂教师邵军:托起大山孩子的希望】25年前，邵军外出打工，因意外事故失去了右臂。后来，他凭着顽强的毅力自学文化课，在当地政府支持下，他被安排到董山小学当教师，这一干就是14年。为了山里的孩子，十多年来，他已经把学校当成自己的家。O网页链接 ​​​​,2012-09-11 11:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBm5slzOE
9,//@文明北京: 中国健儿辛苦了，等着你们凯旋而归,是,【95金！中国残奥会金牌创纪录】此次伦敦残奥会，中国参赛运动员人数从上届的332减少到282，参加项目也减少了5个，他们却拿到了95枚金牌，创造了一届残奥会夺得金牌的新纪录。金牌还不是全部，中国选手还夺得71银65铜奖牌总数达231块，同样创造了新的纪录。你们都是好样的！ ​​​​,2012-09-11 11:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2940908655/yBm59azrm
