序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,师生同聚 共话汉文化：2012年9月27日下午2时，即使窗外雷雨声阵阵，华清园服务站的图书馆里却是洋溢着温暖的情谊。     多名热心的社区汉语吧志愿者与学习热情高涨的韩国学员共聚一堂，展开了... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-09-28 10:36,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yDW7xl9dA
1,"今天为爱心手工坊的阿姨们请来了@中关村知春东里社区 的刘老师，大家特别高兴，纷纷拿出了自己的作品，请老师指正,老师很专业，解决了许多同学们在制作过程的难题。 ​​​​",否,,2012-09-26 16:44,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDFFIdkac
2,学员相互交流中。 ​​​​,否,,2012-09-25 15:05,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDvB8yyY5
3,学员认真练习中。 ​​​​,否,,2012-09-25 15:04,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDvAHnTwG
4,老师在作示范。 ​​​​,否,,2012-09-25 15:03,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDvAgcNXp
5,谢谢放放老师！//@放放是个微生物: 谢谢，外边下雨了。注意保暖……//@五道口书法小课堂: 嗯，今天上课，大家状态很好。我们中秋十一后见啦，中秋愉快！！！//@中关村华清园社区: 书法讲堂第三次课啦。//@五道口书法小课堂: 是的，艺术是大家给与的。//@王老根王: 盼有更多书画家走出艺术象牙塔到社区,是,收图啦。放放老师@放放是个微生物 在社区讲课。@中关村华清园社区 ​​​​,2012-09-25 12:02,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDuoGo7gv
6,[带感],是,科馨社区综合治理改造开始了，先对清华园活动站至西门的道路进行断路施工。施工期间请勿在该区域停放车辆，给您带来不便，请谅解，感谢您的理解和支持。 ​​​​,2012-09-25 10:30,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDtNvf5ts
7,放放老师的第三次课，老师判作业中。现在，很多初学者已经可以有模有样的提笔写字了。 ​​​​,否,,2012-09-25 10:22,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yDtKioS7y
8,书法讲堂第三次课啦。//@五道口书法小课堂: 是的，艺术是大家给与的。//@王老根王: 盼有更多书画家走出艺术象牙塔到社区讲课,是,收图啦。放放老师@放放是个微生物 在社区讲课。@中关村华清园社区 ​​​​,2012-09-25 09:43,1,评论,赞,专业版微博,https://weibo.com/2626159397/yDtusaT3P
9,服务站的软笔书法课堂。请来了家住唐宁one的放放先生为大家讲课，来自周边不同小区的居民听课中。,是,服务站很安静，老师从魏晋南北朝开始讲各大家的书法，同学们听的很专心。 ​​​​,2012-09-18 09:53,转发,1,赞,微博 weibo.com,https://weibo.com/2626159397/yCpyXyGve
10,各位居民：今天小区周边多家商户暂停营业，请大家注意安全，理性爱国。 ​​​​,否,,2012-09-18 09:08,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yCpgL5fd9
11,//@中关村新科祥园社区: 大家的安全本就在各自的举手之间。 //@文明北京:天干物燥，小心火烛，火灾隐患，及时清除,是,昨夜的雨水过后，今天的北京阳光灿烂，空气格外清新，但刮起了4、5级的北风[bed凌乱]进入秋季，风干物燥，火险等级升高，大家要做好大风天气火灾防范工作，及时清理家中的可燃杂物，消除潜在的火灾隐患。喜欢抽烟的朋友不要乱丢烟头哦。[带感] ​​​​,2012-09-18 08:51,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yCp9GysJM
12,沃尔玛来到我社区服务站就班车问题征询居民意见。 ​​​​,否,,2012-09-13 15:13,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yBGwjoX2o
13,夯实基层综治工作，巩固维稳第一防线---记张书记在华清园社区部署工作： 9月12日下午，中关村街道工委办事处张书记在谢书记、居民建设科孙科长、综治办徐科长、城管科周科长的陪同下，与中关村... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-09-13 09:35,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yBEj02AbB
14,发表了博文 《夯实基层综治工作，巩固维稳第一防线---记张书记在华清园社区部署工作》 - 9月12日下午，中关村街道工委办事处张书记在谢书记、居民建设科孙科长、综治办徐科长、城管科周科长的陪同下，与中 O网页链接 ​​​​,否,,2012-09-13 09:34,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yBEiSA86L
15,花园街道来华清园服务站参观： 今天上午，花园路街道的同仁来到华清园社区服务站参观访问。华清园社区服务站的全体工作人员热情地接待了他们。 花园路街道一行先参观了服务站各项设施，最后，大... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-09-11 16:30,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yBoaBCRFV
16,发表了博文 《花园街道来华清园服务站参观》 -  今天上午，花园路街道的同仁来到华清园社区服务站参观访问。华清园社区服务站的全体工作人员热情地接待了他们。   花园路街道一行先参观了服务站各项设施，最 O网页链接 ​​​​,否,,2012-09-11 16:30,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yBoauvKg9
17,这个老师不一般-----记华清园服务站软笔书法老师： 家住华清嘉园的任阿姨听说华清园服务站的软笔书法班来了一位新老师，一大早就带着老伴赶了过来。一进教室才发现，这个老师跟以前的老师不太一... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-09-11 15:44,转发,3,赞,新浪博客,https://weibo.com/2626159397/yBnRU7JXf
18,发表了博文 《这个老师不一般-----记华清园服务站软笔书法老师》 -  家住华清嘉园的任阿姨听说华清园服务站的软笔书法班来了一位新老师，一大早就带着老伴赶了过来。一进教室才发现，这个老师跟以前的老师 O网页链接 ​​​​,否,,2012-09-11 15:43,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yBnRIhiE5
19,今天上午，服务站的软笔书法班将迎来一位新老师，好期待啊。@放放是个微生物 ​​​​,否,,2012-09-11 08:41,转发,评论,赞,专业版微博,https://weibo.com/2626159397/yBl65Adz0
20,外籍居民服务经验交流大会 ​​​​,否,,2012-09-07 14:46,转发,12,赞,摩托罗拉智能手机,https://weibo.com/2626159397/yALMznqVh
21,#海南省#的朋友来参观服务站建设 ​​​​,否,,2012-09-03 15:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yAapHj23R
22,谢谢关注！,是,#海淀活动# 【洋教头支教社区暑期托管班】[立志青年]这个暑假，每到周四上午，来自美国新泽西州的Nally就会准时来到@中关村华清园社区 服务站的多功能厅，为正在放暑假的中国孩子义务教英语。为了调动孩子们学习的积极性，唱歌、舞蹈、做游戏，这位洋教头可是想了不少办法。O网页链接 ​​​​,2012-08-14 14:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yx7qpEj1s
23,街道领导前来视察工作。 ​​​​,否,,2012-08-13 14:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/ywXRuFeg0
24,//@aska0806: 五道口最近不太平 //@五道口生活指南: 早上路过，没事啦，粉饰下太平先。//@五道口生活指南: 周边尤其是学校的家长们注意啦。@海淀区中关村第二小学 @中关村华清园社区 @五道口书法小课堂,是,大家注意！#五道口紧急#五道口城铁站下，东源大厦前十字路口，疑似煤气管道破裂！气体大量外泄，现东西南北四方向已全面戒严，消防部门已赶到用水枪稀释空气中的气体，请路过的朋友选择绕行，周围的朋友请勿吸烟使用明火！最近宇宙中心真多事之秋。（by@宜宁-奈特莉 ） ​​​​,2012-08-13 14:09,1,评论,赞,微博 weibo.com,https://weibo.com/2626159397/ywXR0fdcx
25,耄耋老人无私捐助  情暖华清： 7月25日下午，中关村街道华清园社区85岁的老人魏金声，来到华清园居委会，向在北京721暴雨中受灾的困难群众捐款。据居委会人员粗略统计，这已经是老人今年第三次... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-08-07 10:15,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yw1LaAe8F
26,发表了博文 《耄耋老人无私捐助  情暖华清》 -  7月25日下午，中关村街道华清园社区85岁的老人魏金声，来到华清园居委会，向在北京721暴雨中受灾的困难群众捐款。据居委会人员粗略统计，这已经是老人 O网页链接 ​​​​,否,,2012-08-07 10:15,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yw1L1p9Tm
27,新制作的展版之三 ​​​​,否,,2012-08-06 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yvURKxzd5
28,新制作的展版之二 ​​​​,否,,2012-08-06 16:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yvUQV8Hnn
29,新制作的展版之一 ​​​​,否,,2012-08-06 16:38,转发,2,赞,微博 weibo.com,https://weibo.com/2626159397/yvUQ2aS1R
30,虽然下着雨，我们还是带着小朋友完成了紫菜包饭的课程。 ​​​​,否,,2012-07-31 14:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yuZxPqCEy
31,汇聚快乐，传递友情： 虽然一大早就下起了小雨，却没能阻挡住华清园社区英语训练营每一位学员的脚步和欢快的笑声。 在华清园服务站二楼的多功能厅，大家在Nally老师的带领一边学英语一边玩。Nal... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-07-26 15:35,1,1,赞,新浪博客,https://weibo.com/2626159397/yueJ9wV8v
32,发表了博文 《汇聚快乐，传递友情》 - 虽然一大早就下起了小雨，却没能阻挡住华清园社区英语训练营每一位学员的脚步和欢快的笑声。   在华清园服务站二楼的多功能厅，大家在Nally老师的带领一边学英语一 O网页链接 ​​​​,否,,2012-07-26 15:35,转发,评论,赞,新浪博客,https://weibo.com/2626159397/yueIQlLiS
33,[雨伞],是,家楼下惊现骑摩托艇 ​​​​,2012-07-26 15:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yueFWmOpx
34,华清园服务站为小朋友举办的英语兴趣班，大家玩得好开心。 ​​​​,否,,2012-07-26 14:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yuertxFiZ
35,//@中关村街道社区服务中心: 转发微博,是,#出行提示#【暴雨蓝色预警】今日11:50，市气象台发布暴雨蓝色预警信号，受降雨云带影响，本市傍晚到夜间东部地区（大兴、通州、平谷、密云）将有暴雨，雨量将达到50毫米，提醒广大市民安排好出行时间，尽量减少出行，做好防雨防雷电的各项准备工作。 ​​​​,2012-07-25 12:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yu4cSdTN1
36,夏天了，大家是否对糖尿病饮食管理有一些疑问呢，针对这一主题，华清园社区卫生服务站将于7月26日（星期四）下午2:30——4:00举办“糖尿病饮食管理”讲座。地点：华清园服务站二楼多功能厅主讲人：卫生站 任亚静大夫注：本次有免费测量血糖 ​​​​,否,,2012-07-24 09:06,2,1,赞,微博 weibo.com,https://weibo.com/2626159397/ytTjW7y54
37,//@中关村街道科馨社区: 好人，一生平安！求转发，希望大叔能早点找到丢失车牌的车主！@中关村黄庄社区 @中关村豪景社区 @中关村东里北社区 @中关村华清园社区 @中关村青云北社区 @中关村知春里西社区@中关村街道白塔庵社区@中国红十字会总会 @北京统计,是,今天很热，四季青桥附近这位环卫大叔一直在认真等待丢车牌的车主前去认领，昨晚他应该也战斗在一线吧。车牌有京NK3W89、京N0A179、京HF3994、京P2CH89、京N6B378、京N79P29，大叔电话13011154052。求扩散，让大叔能早点回去歇歇。@北京人不知道的北京事儿 @北京城你不知道的事儿 @交通北京 @安居北京 ​​​​,2012-07-24 09:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/ytTiAs5PX
38,图书室本来是小朋友们上课、读书、写作业的地方，周未暴雨致使房间大面积漏水，已经彻底不能用了。把小朋友们转移到哪里是一个棘手的问题，看来不仅下水道重要，屋顶防水也很重要。这是图书室东墙被打湿的一幅山水画。 ​​​​,否,,2012-07-24 09:01,转发,2,赞,微博 weibo.com,https://weibo.com/2626159397/ytTi3DXkv
39,东馨园#社区青年汇#参观考察学习 ​​​​,否,,2012-07-20 10:17,转发,评论,赞,摩托罗拉智能手机,https://weibo.com/2626159397/yti4S32U1
40,悲催的会刚刚开始，要十点才结束。 ​​​​,否,,2012-07-19 19:19,转发,评论,赞,摩托罗拉智能手机,https://weibo.com/2626159397/ytccxbQbW
41,#第一期社区青年汇骨干训练营# ​​​​,否,,2012-07-19 09:17,转发,评论,赞,摩托罗拉智能手机,https://weibo.com/2626159397/yt8gewezW
42,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-07-11 11:48,转发,评论,赞,微相册,https://weibo.com/2626159397/yrVPuwY8t
43,请大家注意安全。//@中关村希格玛社区: 转发微博,是,#一周治安播报#7.2-7.8突出警情分布【撬砸汽车类盗窃警情】发案主要分布在：西城区的德胜门外；朝阳区的六里屯；海淀区的海淀；丰台区的岳各庄。案发时间主要集中在清晨和傍晚。【盗窃机动车类警情】发案主要分布在：朝阳区的将台。案发时间主要集中在晚上23时至凌晨5时。 ​​​​,2012-07-11 11:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yrVPfa4Im
44,冬病夏治三伏贴通知：华清园卫生服务站开始贴伏贴了。 第一伏 7月18日---7月20日，连续3天// 第二伏 7月30日---8月01日，连续3天// 第三伏 8月20日----8月22日，连续3天// 备注：本次贴敷要求登记身份证号，请大家互相转告。请您在贴敷时携带身份证。 ​​​​,否,,2012-07-10 09:05,1,评论,赞,微博 weibo.com,https://weibo.com/2626159397/yrLkTtAP3
45,您是否正在为孩子无人看管而烦恼？或者为孩子的功课无人辅导而担忧？ 社区服务站开设的青少年暑假托管班能帮助孩子如期完成暑假作业，注重锻炼孩子的体魄，培养他们的情商及学会如何与人相处，还能帮助孩子培养多方面的兴趣和技能……我们致力于为您的孩子提供安全、高质的托管服务！ ​​​​,否,,2012-07-05 10:11,6,1,赞,微博 weibo.com,https://weibo.com/2626159397/yr0CY24VP
