序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,汉字简化后，親不见，愛无心，產不生，厰空空，麵无麦，運无车，導无道，兒无首，飛单翼，有雲无雨，開関无门，鄉里无郎，買成钩刀下有人头，輪成人下有匕首，進不是越来越佳而往井里走，可魔仍是魔，鬼还是鬼，偷还是偷，骗还是骗，贪还是贪，毒还是毒，黑还是黑，赌还是赌。（中国传统文化艺术网） ​​​​,2012-08-21 14:57,11,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yybAD57Q3
1,//@北京老马2011: 曾经的我们,是,,2012-08-21 13:14,转发,1,赞,微博 weibo.com,https://weibo.com/2652273113/yyaUwEmyk
2,如果大家都能做到......,是,【提醒！注意！感谢！】如果您日常丢的垃圾里面有碎玻璃、大头针、刀片等锋利物件，请用胶纸把它们缠裹一下，并尽量多缠几层。这样可降低保洁人员或者收拾垃圾者被伤害的概率，因为他们大都是没有医保的低收入弱势群体，同意的请转起来，谢谢！ ​​​​,2012-08-21 11:15,1,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yya8m9S9M
3,转发微博。,是,大庭广众话不要多，一人独处手不要贱，交心的挚友绝不能蒙，别人的财物切莫眼红。 ​​​​,2012-08-19 13:52,转发,评论,赞,iPhone客户端,https://weibo.com/2652273113/yxSj5bYAv
4,,是,烦请倍儿宽容，倍儿有同情心的网民们，顺手转发下这些血染的金牌，你就会知道，伦敦奥运会不是我们的全部，但奥运会却是很多人的全部，一帮以奥运为生的人赢了一帮警察邮递员，不是什么是太值得骄傲的事情。谁也不必妖魔化谁，都生在魔界，谁也甭指望成仙。 ​​​​,2012-08-15 09:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeZdr5pJ
5,也许对你有用,是,藏地有种俗话是：“娇弱的人，将遭受无量苦海。”怯懦软弱的人，一点点挫折就足以让他一蹶不振；而意志坚勇的人，纵然泰山崩于前，也能面不改色、如如不动。所以，我们面对痛苦时，外境并不能起决定作用，关键要看自己的心是否坚强。 ​​​​,2012-08-15 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeTg5wSW
6,转发微博,是,一个心理学家做了个实验：让几个人把未来七天的烦恼写下来，投入箱子，三周之后打开，结果发现，九成的烦恼并未真正发生；又让他们把现在的烦恼写下来，投入箱子，三周之后打开，结果发现，绝大多数的烦恼已不再是烦恼。可见，烦恼这东西，是担忧的多，出现的少，大多数的烦恼都是庸人自扰。 ​​​​,2012-08-15 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeP9lkUS
7,转发微博,是,#国内关注#重庆“8.10”银行抢劫案犯罪嫌疑人周克华在重庆被击毙——苏湘渝系列持枪抢劫案嫌犯周克华已今日6时40分许在沙区童家桥一带被击毙，嫌犯曾作案8起致9人死亡。 O网页链接 ​​​​,2012-08-15 09:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeO37toF
8,,是,【中共十八大代表选举完成 共产生2270名代表】今日上午，中组部介绍十八大代表选举情况，目前各地选举完成，共产生2270名代表。选举采取差额办法，差额选举比例多于15%，其中工人占7.4%，领导干部占69.5%，代表平均年龄52岁，93.5%具大专以上学历。O网页链接；名单：O网页链接 ​​​​,2012-08-15 09:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeLAkQkf
9,牢记,是,【新闻史上的今天】1945年8月15日，日本国民首次在广播中听到了他们天皇的声音。电波播放了裕仁宣读停战诏书的录音，称愿接受同盟国的《波茨坦公告》，日本无条件投降。（中国新闻史学会供稿）@北大程曼丽 ​​​​,2012-08-15 08:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yxeD4i7Ta
10,分享随处走走的博文图片：难得一见的长白山天池 O网页链接 ​​​​,否,,2012-08-10 15:10,转发,评论,赞,新浪博客,https://weibo.com/2652273113/ywvYlug0l
11,分享随处走走的博文：赛里木湖边哈萨克牧民的生活 推荐给@头条博客 O网页链接  （分享自 @头条博客） ​​​​,否,,2012-08-10 14:57,转发,评论,赞,新浪博客,https://weibo.com/2652273113/ywvSUCQRX
12,,是,【深圳遭摊贩刺死城管被查系涉黑组织成员】去年9月，深圳城管龚波在与烧烤摊主发生冲突时，被后者刺死，事发后龚波被渲染为英雄，烧烤摊主被判无期徒刑。日前，深圳警方打掉一个黑社会组织，发现龚波系犯罪团伙骨干成员，他们披着城管协管外衣，对辖区商贩大肆敲诈收取保护费。O网页链接 ​​​​,2012-08-10 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/ywvRpyZjm
13,分享随处走走的博文图片：伊犁的向日葵 O网页链接 ​​​​,否,,2012-08-10 14:37,转发,评论,赞,新浪博客,https://weibo.com/2652273113/ywvKJA0JP
14,转发微博,是,压力太大了，往往是由于欲望太大了。即使我们有时候做不到完全放下，至少也要懂得知足少欲，以随缘的心来面对一切，切莫让贪欲过度膨胀。 ​​​​,2012-08-10 11:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/ywurpAMBU
15,好人一路走好,是,#一段往事#：01年某日，一拣破烂老妇，一手抱着女婴，一手拎着奶粉，非常吃力地来到我所：女婴是她三天前拣的，现无力抚养······我连忙接过女婴，说声请坐，她摆了摆手：不用，娃娃荷包里有五百元，记得收好。半年后，我无意得知，该老太太当初把全部积蓄给了这个弃婴，自己却因病无钱医治离世······ ​​​​,2012-08-10 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/ywuoID9bv
16,转发微博,是,【成大事的九种手段】敢于决断：克服犹豫的习性；挑战弱点：彻底改变自己缺陷；突破困境：从失败中撮成功资本；抓住机遇：善于选择创造；发挥强项：做自己擅长事情；调整心态：忌让情绪伤害自己；立即行动：只说不做徒劳无益；善于交往：巧妙利用人力资源；重新规划：站到更高起点。@王力群 @观点精荟 ​​​​,2012-08-06 11:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2652273113/yvSOkwVuu
17,,是,【幽默】比起2008，伦敦奥运会开幕式最大特色也许是幽默感。或谓此乃英人民族性使然，不过，民族性也跟政治制度及历史传统有关。民主体制下，官员受到国民监督，不可能禁止媒体的嘲弄挖苦，于是常有政治幽默。另，儒家把行政与教化合一，正襟危坐，最少幽默。试想我们核心乘伞而降，那…… ​​​​,2012-07-29 17:25,转发,评论,赞,iPhone客户端,https://weibo.com/2652273113/yuHJepFuk
18,希望只是个笑话 //@北京老马2011: //@天涯乔木:好段子！,是,,2012-07-19 14:39,转发,评论,赞,iPhone客户端,https://weibo.com/2652273113/ytamVdNBE
19,太阳园社区正在进行六型社区创建工作 ​​​​,否,,2012-07-18 16:31,1,1,赞,微博 weibo.com,https://weibo.com/2652273113/yt1FBBx9n
