序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,希格玛社区参选平安社区启动活动照片 ​​​​,否,,2012-09-17 10:36,转发,评论,赞,专业版微博,https://weibo.com/2649423103/yCgpKso5T
1,希格玛社区参选平安社区启动活动 ​​​​,否,,2012-09-17 10:35,转发,评论,赞,专业版微博,https://weibo.com/2649423103/yCgptjhg9
2,希格玛社区参选“百姓心中的平安社区”启动活动 ​​​​,否,,2012-09-17 10:33,转发,评论,赞,专业版微博,https://weibo.com/2649423103/yCgoH9k0k
3,希格玛社区入选2012年第三届“百姓心目中的平安社区”评选，请大家为我们自己的社区投票！O网页链接 ​​​​,否,,2012-09-14 09:56,转发,评论,赞,专业版微博,https://weibo.com/2649423103/yBNSfCQTP
4,今天小到中雨，雨天湿滑请大家注意安全哦 ​​​​,否,,2012-09-11 08:44,转发,评论,赞,专业版微博,https://weibo.com/2649423103/yBl7wgD8y
5,回春操来社区，欢迎社区居民朋友踊跃报名！健康生活从今天开始 ​​​​,否,,2012-08-31 08:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yzFnLEBpD
6,社区消夏晚会，我的舞台我做主---彩带舞动 ​​​​,否,,2012-08-17 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxxDxqcuh
7,社区消夏晚会，我的舞台我做主----手语传真情 ​​​​,否,,2012-08-17 09:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxxDcaQrS
8,社区消夏晚会，我的舞台我做主--阿姨唱歌，我伴舞 ​​​​,否,,2012-08-17 09:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxxCS5e8B
9,社区消夏晚会，我的舞台我做主--舞蹈风采 ​​​​,否,,2012-08-17 09:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxxCow0Er
10,社区消夏晚会，我的舞台我做主 ​​​​,否,,2012-08-17 09:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxxBznMwt
11,明晚7点，社区消夏晚会在紫金数码广场隆重开幕！！！一场由社区居民自编自导自演的大型文艺表演，期待您踊跃参加！！用我们自己的方式祛暑纳凉！！！ ​​​​,否,,2012-08-15 15:14,1,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yxh8lqQJe
12,社区暑期活动----8月14日上午9:30参观中科院软件园，让小朋友近距离感受高科技的神奇力量，欢迎社区小朋友踊跃报名 ​​​​,否,,2012-08-09 15:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/ywmz6DgJ7
13,北京遭遇61年不遇的暴雨，房山、门头沟等地受灾严重，希望大家伸出援助之手，积极捐款，向190万灾区人民奉献爱心！ PS：最近阴雨连连，请社区广大居民注意防汛，小心着凉，平安过夏 ​​​​,否,,2012-07-26 15:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yueOl3KQk
14,开始兵役登记了，适龄青年即日起到8月20号可以登陆海淀征兵网进行登记，8月20日-8月24日到街道818楼值班室领取《兵役登记证》。兵役登记关系到日后上学或入职报到，请需要登记的同学和家长详细看通知内容！！ ​​​​,否,,2012-07-24 10:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/ytU3vi9gj
15,办公室全体老美女在喝薄荷叶加荷叶茶，祛暑、减肥！！！！！！！！！试试吧 ​​​​,否,,2012-07-18 09:47,转发,1,赞,微博 weibo.com,https://weibo.com/2649423103/ysZ1Pkr46
16,转发微博,是,#一周治安播报#7.2-7.8突出警情分布【拎包盗窃警情】发案主要分布在：丰台区的新发地。案发时间主要集中在上、下班高峰期。【入室盗窃类警情】发案主要分布在：东城区的永外；西城区广内；朝阳区的王四营；海淀区的田村；丰台区的石榴园；石景山的苹果园。案发时间主要集中在凌晨和深夜。 ​​​​,2012-07-10 15:04,1,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yrNGxpghQ
17,转发微博,是,#一周治安播报#7.2-7.8突出警情分布【撬砸汽车类盗窃警情】发案主要分布在：西城区的德胜门外；朝阳区的六里屯；海淀区的海淀；丰台区的岳各庄。案发时间主要集中在清晨和傍晚。【盗窃机动车类警情】发案主要分布在：朝阳区的将台。案发时间主要集中在晚上23时至凌晨5时。 ​​​​,2012-07-10 15:04,2,1,赞,微博 weibo.com,https://weibo.com/2649423103/yrNGqjMv9
18,社区居民注意啦！！速来社区居委会领取垃圾袋，美好希格玛有你有我有大家 ​​​​,否,,2012-07-10 15:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yrNFtdODn
19,魅力社区之绽放的雪莲花 ​​​​,否,,2012-07-05 11:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yr1c65bEc
20,魅力社区之希格玛社区第一男主播 ​​​​,否,,2012-07-05 11:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yr1b4y2ug
21,烈日炎炎，广大居民注意放热避暑哦有什么好的避暑方法欢迎分享 ​​​​,否,,2012-07-05 11:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2649423103/yr0ZKssIW
