序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,通知：科春社区定于9月26日（本周三）上午九点三十分，在社区活动站前广场举办“中秋灯谜会”。请广大居民踊跃参加！ ​​​​,否,,2012-09-24 14:54,1,评论,赞,专业版微博,https://weibo.com/2649614923/yDm67AQTw
1,2012年度海淀区个人存档人员领取独生子女父母奖励费申请工作现已开始，请申请人携带以下材料于2102年11月7日前到科春社区居委会办理：1、户口本原件及户口本首页本人页的复印件；2、身份证原件及复印件；3、《独生子女父母光荣证》原件及复印件；4、结婚证原件及复印件；5、个人存档卡原件及复印件。 ​​​​,否,,2012-09-24 14:46,转发,评论,赞,专业版微博,https://weibo.com/2649614923/yDm2Q12Xq
2,转发微博,是,8月29日上午9:30，科春科育社区“聚能教育平台作文比赛”颁奖会活动，在96楼健身场举行。此次作文比赛小朋友们都踊跃报名。经过激烈的角逐，评委老师选出了一、二、三等奖，会中还有知识竞答和疯狂英语的活动，此次活动不仅有小朋友们的参与，更有老年人朋友们的参与，此次活动得到了全体居民积极响应 ​​​​,2012-08-29 15:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/yzpgV2Txp
3,发表了博文 《理财要理财 有理才有财》 - 2012年8月24日上午九点，中关村街道各社区主管文艺的社区工作者及建设银行领导，来到了金融街的易方达有限责任公司做客，倾听他们讲解理财知识。 建行的客服部 O网页链接 ​​​​,否,,2012-08-28 10:22,转发,评论,赞,新浪博客,https://weibo.com/2649614923/yzdM6kHJo
4,发表了博文 《舞蹈展演会 居民乐翻天》 - 2012年8月23日上午九点，社区活动站前的小广场是人声鼎沸、热火朝天的海洋，看看标语，噢，原来这是科春社区夏日舞蹈展演的现场。 此次展演，是由社区上至70 O网页链接 ​​​​,否,,2012-08-28 10:12,转发,评论,赞,新浪博客,https://weibo.com/2649614923/yzdI6r9oi
5,科春社区定于2012年9月3日（下周一）14时至16时入户灭蚁，请家中有蚂蚁的居民到居委会报名。 ​​​​,否,,2012-08-27 16:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/yz6C9fEvo
6,发表了博文 《社区管理实践活动新体验》 - 我叫何**，我叫杨**，我们都来自科春社区东大院。昨日上午九点，我们开始了社区管理实践活动的新体验。 在新科祥园社区居委会的会议室，由街道副书记张同山和街道 O网页链接 ​​​​,否,,2012-08-22 14:45,转发,评论,赞,新浪博客,https://weibo.com/2649614923/yykVVeXRA
7,8月23日（明日）上午九点，在社区活动站前小广场举行夏日舞蹈展演，欢迎广大居民前来观看！ ​​​​,否,,2012-08-22 14:37,转发,1,赞,微博 weibo.com,https://weibo.com/2649614923/yykSQlaW4
8,转发微博,是,【今年国庆小客车免通行费】重大节假日免收小型客车通行费方案将从今年国庆节假日开始实施。届时，国庆节假日第一天零时至节假日最后一天24时，7座及以下小型客车可免费通行全国收费公路。各地机场高速公路由地方人民政府决定是否收费。首都机场高速届时是否收费，目前未有消息。O网页链接 ​​​​,2012-08-10 14:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/ywvzxa7UW
9,科春社区通知：2012年8月14日上午9:30 参观软件博物馆，10岁以上儿童，可选择当日9:20在海中市场门口集体乘车，建议居住在软件社区附近的居民朋友陪同孩子亲自前往，报名电话：62562698，报名截止于明日下午三点。名额有限，想参与此活动的居民尽快报名！ ​​​​,否,,2012-08-09 15:33,转发,2,赞,微博 weibo.com,https://weibo.com/2649614923/ywmGUE7sG
10,今日上午，骨知识讲座受到广大居民的欢迎！ ​​​​,否,,2012-08-09 14:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/ywmiTpqva
11,由于灭蚁药数量不足，故原定于今日下午的入户灭蚁活动取消，具体日期将在宣传栏内及微博中另行通知。请广大居民关注此信息！ ​​​​,否,,2012-08-08 09:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/ywaQV7pML
12,中关村科春社区居委会定于2012年8月8日（下周三）15时至20时，由社区居干带领灭蚁工作人员，入户进行免费灭蚁，发放蚁药，希望各位居民朋友配合，家中留人。谢谢！ ​​​​,否,,2012-08-02 16:05,转发,2,赞,微博 weibo.com,https://weibo.com/2649614923/yviUKCEsb
13,你是不倒的胡杨，你是无畏的格桑，默默无闻不言悔，军人是首奉献的歌。军事变革挺潮头，科技强军筑长城，军事过硬打的赢，军人是首胜利的歌。政治合格不变质，无怨军旅写春秋，军旗招展迎白鸽，军人是首和平的歌。 祝八一建军节快乐！ ​​​​,否,,2012-08-01 15:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/yv9ocej51
14,"举办海淀区建区60周年征文比赛，文体不限、拥有著作权的原创作品、征文作品结尾注明作者姓名、单位、通讯地址、邮编和联系电话，，征文以电子版形式发送至zgckechunsq@sohu.com,截止日期为2012年8月2日。请科春社区的居民和社会单位员工积极参加！ ​​​​",否,,2012-07-31 10:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2649614923/yuXNxyD4n
