序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,分享图片 ​​​​,否,,2012-09-28 21:09,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yE0gpqbHD
1,精彩的表演 ​​​​,否,,2012-09-28 21:04,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yE0etrGOL
2,风很大摩托艇掀起巨浪 ​​​​,否,,2012-09-28 20:59,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yE0cgmidq
3,欢乐的我们 ​​​​,否,,2012-09-28 20:54,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yE0abvsVh
4,9月28日下午3点，皇家园林颐和园，第十四届北京国际旅游节胜利开幕。 ​​​​,否,,2012-09-28 20:51,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yE091pkKc
5,【景区降价，假“惠民”实“促销”】发改委公布国庆首批降价的80个景点名单，在“涨声”一片之际，降价本是好事，但名单无一著名景点，甚至有早已免费景区“搭车充数”，让所谓“惠民”更像是“降价促销”。如此流于形式掺杂水分... O网页链接  @mark ​​​​,否,,2012-09-28 08:54,转发,1,赞,新浪新闻中心,https://weibo.com/2659407541/yDVs0plix
6,分享图片 ​​​​,否,,2012-09-27 10:04,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yDMtSiUyA
7,分享图片 ​​​​,否,,2012-09-27 09:58,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yDMruxybw
8,科源社区消防知识培训课 ​​​​,否,,2012-09-27 09:55,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yDMqi71bB
9,分享图片 ​​​​,否,,2012-09-19 22:21,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yCDT9afsX
10,分享图片 ​​​​,否,,2012-09-19 20:32,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yCDaFB0Qd
11,分享图片 ​​​​,否,,2012-09-12 22:06,转发,评论,1,专业版微博,https://weibo.com/2659407541/yBzNCf8WP
12,分享图片 ​​​​,否,,2012-09-12 22:03,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yBzMiFkuI
13,[呵呵] ​​​​,否,,2012-09-12 21:59,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yBzKDxsGy
14,@中关村街道白塔庵社区 的照片很棒(来自专辑 台湾考察)，推荐给大家！ O网页链接 ​​​​,否,,2012-09-03 15:01,转发,评论,赞,微相册,https://weibo.com/2659407541/yAaanloNs
15,赞,是,为创建美好的社区环境，响应同创全国文明城区，共建海淀美好家园的号召，近日，软件社区悬挂起了“齐心共建文明海淀，合力营造和谐家园”等宣传横幅，并向社区居民进行了广泛的宣传。 ​​​​,2012-09-03 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yAa7d700I
16,分享图片 ​​​​,否,,2012-08-31 13:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yzH91w7tH
17,暑假小学生快乐活动现场 ​​​​,否,,2012-08-28 12:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yzeKarnwk
18,街道书记莅临科源社区 ​​​​,否,,2012-08-28 12:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yzeIK6aws
19,#阿姆斯特朗~登月~去世# ​​​​,否,,2012-08-26 21:29,转发,评论,赞,微博话题墙,https://weibo.com/2659407541/yyZi08a0s
20,//@杨澜: 转发微博。,是,我感到幸福不是因为我手中有什么，而是因为我心中有什么。@天下女人 ​​​​,2012-08-25 06:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyKa5Cupm
21,回春操队伍 ​​​​,否,,2012-08-23 18:54,1,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyvZDqh11
22,欢迎社区小学生报名参加8月27日社区花园的小学生亲子活动啦! ​​​​,否,,2012-08-23 18:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyvYDEwjT
23,"小志愿者清理社区花坛杂草,劳动热情高 ​​​​",否,,2012-08-23 18:50,转发,1,赞,微博 weibo.com,https://weibo.com/2659407541/yyvXV5KRt
24,小学生暑假社会实践，内容为清洁宣传栏上顽固小广告，还居委会一块宣传阵地。 ​​​​,否,,2012-08-23 18:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyvWk65Xq
25,原定社区花园播放电影《魔幻厨房》，因为停电现只能取消，又一次活跃居民文化生活的活动泡汤，真对不起居民啊！ ​​​​,否,,2012-08-23 18:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyvUp0OXt
26,赞,是,#公益海淀#中关村地区社会组织公益行活动在中关村街道社区服务中心门前广场上举行，每月一次的志愿活动已经开展了一年多，在义务理发现场，4把理发椅明显不能满足需求，等待理发的人群自发排起长队等候。 ​​​​,2012-08-22 08:24,转发,1,赞,微博 weibo.com,https://weibo.com/2659407541/yyirs2BOj
27,北大，百年北大，五四运动先锋地，怎么了？ ​​​​,否,,2012-08-21 23:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yyeLQvf7E
28,转发微博,是,在Forevermark专业设计团队的指导下，汤唯首次参与创作「Rainbow of Promise」钻饰。问及设计灵感，汤唯表示早前到山西援旱之旅，往机场途中看见远处的田野像一道彩虹，从而获得启发。她认为人生是一个「圆」，起起落落都在这个「圆」中，永无止境，有着不同色彩。 ​​​​,2012-08-21 22:18,转发,评论,赞,专业版微博,https://weibo.com/2659407541/yyett6GgR
29,转发微博,是,,2012-08-20 22:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yy557wgbh
30,//@杭锦后旗公安局: //@鄂尔多斯交管支队达旗大队: 请按交通信号灯指示通行！,是,抢黄灯非常危险！公交车抢灯过路口撞飞违规行驶电瓶车，致骑车人死亡！ O网页链接 ​​​​,2012-08-20 21:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yy4UJCB9R
31,明天要组织社区学生搞暑假社会实践了，主要是清洁宣传栏及中心小花园拔杂草！ ​​​​,否,,2012-08-20 21:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yy4DbDiiw
32,转发微博,是,,2012-08-20 21:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yy4CbikqC
33,“从接到裁员通知到签字，公司并无与员工有任何沟通与协商，单方面态度十分强硬，并且裁员标准并不透明”，一位摩托罗拉移动公司北京员工告诉赛迪网。 ​​​​,否,,2012-08-17 18:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yxBr68ONr
34,凤凰科技讯 8月17日消息，今日上午，摩托罗拉北京总部员工在工业园区内举行罢工，拉出“反对暴力裁员，要求对等协商”的横幅，抗议谷歌之前决定的强硬裁员要求。 ​​​​,否,,2012-08-17 18:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2659407541/yxBqH0Gb4
