序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,出行请看看,是,#出行提示# 国庆长假，很多市民选择到市区的景点游玩，很容易出现交通流量大的状况。@交通北京 总结了景山公园、香山等5大热门景点的交通状况及绕行路线，在此建议各位通心粉提前选择好出行路线，尽量乘坐公共交通前往。[呵呵] ​​​​,2012-09-28 14:17,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yDXz7oirU
1,为庆祝建国63周年，中关村地区社会组织公益行项目组于9月28日在双榆树公园举行了“迎十一 魅力金秋”大型文艺汇演活动。中关村街道社区服务中心直属队伍以及科源、航天、知春东里、科育、科春等社区的近20余支社区社会组织295名演员参加了本次演出活动，精彩的文艺表演吸引了地区数百位居民到场观看。 ​​​​,否,,2012-09-28 14:15,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yDXycEMFG
2,在国庆、中秋即将到来之际，中关村义工分会在街道社区服务中心的指导下开展了“情暧两节 践行北京精神—中关村义工在行动”的大型便民公益活动，免费为300多名地区居民理发、量血压、修理自行车等。活动的开展受到了广大居民的好评。 ​​​​,否,,2012-09-25 13:25,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yDuWtbZyU
3,"为丰富地区老年人精神文化生活,强化地区老年人积极锻炼身体的意识,9月20日，中关村街道社区服务中心分别在中关村广场、双榆龙树公园举办了“中关村地区第三届老年人趣味运动会”。 ​​​​",否,,2012-09-21 13:24,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yCTdZkv88
4,转发微博,是,发表了博文 《愉园社区系列宣传活动》 - 和兴花园站   2012年3月19日，和兴花园4期的广场上热闹非凡，这里正在开展由愉园社区服务中心举办“爱心满溢寄居民，社工服务进小区”活动。活动现场提供免费 O网页链接 ​​​​,2012-09-12 11:59,1,评论,赞,专业版微博,https://weibo.com/2641468795/yBvOYfTWq
5,转发微博,是,"#地铁服务#[din说话]【在地铁列车救援事故中，漏风处理非常棘手】近日,地铁昌平线乘务中心利用脱产培训、班组夜间培训时间,组织乘务员开展列车风管路的专项培训.培训讲解了列车风管路原理图与实际对照、各类塞门的作用及关闭后造成的影响,并进行了列车漏风事故应急处理演练,确保能安全快速地处理事故. ​​​​",2012-09-10 12:10,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yBd2yeKT3
6,转发微博,是,【遂宁射洪县特大暴雨全城瘫痪】9月10日，四川遂宁射洪县现特大暴雨，尤其8-9时1小时雨量达110.9mm，这样的降雨强度十分罕见。强降雨倾泻而下，全城积水严重，街道无法通行，大量车被泡在水里，部分地区积水齐腰深。详细：O网页链接 高清图：O网页链接 来自@西部射洪网 ​​​​,2012-09-10 12:08,转发,评论,赞,专业版微博,https://weibo.com/2641468795/yBd1MneS8
7,转发微博,是,【媒体猜测中国航母即将服役 或被命名“湖北”号】台湾“中央社”4日称，大陆首艘航母已经漆上舷号“16”。有专家据此推测，航母会命名为“湖北”，因为湖北是大陆第16大省份，并且是“中国航母之父”刘华清的故乡。一些媒体猜测，“瓦良格”号可能即将服役。（环球时报）O网页链接 ​​​​,2012-09-05 12:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yArZsaU9q
8,2012年8月23日，中关村街道社区服务中心多功能厅人头攒动，欢声笑语，载歌载舞，成为一片快乐的海洋。由中关村街道社区服务中心主办的“情浓七夕，缘来是你”——银龄婚姻家庭建设俱乐部交友联谊会在这里隆重举行。O网页链接 ​​​​,否,,2012-08-24 16:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yyEiVudsD
9,群众的眼睛是雪亮的,是,#羽毛球让球风波# 据美联社报道，本届伦敦奥运爆出的羽毛球让球事件周日又有了最新进展，世界羽联在舆论压力下承诺：将在十一月召开会议讨论规则问题，羽联对各种批评意见持欢迎态度。此前，由于本届奥运会上新规则不够严密，导致小组赛阶段曝出韩国、印尼、中国球员的让球事件。 ​​​​,2012-08-06 15:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yvUyyjTYR
10,转发微博,是,#羽毛球让球风波# 据美联社报道，本届伦敦奥运爆出的羽毛球让球事件周日又有了最新进展，世界羽联在舆论压力下承诺：将在十一月召开会议讨论规则问题，羽联对各种批评意见持欢迎态度。此前，由于本届奥运会上新规则不够严密，导致小组赛阶段曝出韩国、印尼、中国球员的让球事件。 ​​​​,2012-08-06 15:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yvUya76r3
11,可以学习学习,是,【#生活提示#】教你车辆陷入积水中如何逃生：车内要常备破窗锤、羊角锤等救生工具，且要放在手抠里，以备使用时方便取拿；若车内没有急救工具时，可将车内头枕的一条腿插入侧窗玻璃窗角使劲砸，然后用力撬就能将玻璃撬碎。O网页链接 ​​​​,2012-08-06 15:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yvUcZvxq8
12,转发微博,是,#北京事儿#【中关村北二街塌陷】中关村北二街由南向北处又一塌陷处，看这架势坑还挺大的。出行的亲们注意躲避，注意安全。 ​​​​,2012-08-06 14:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2641468795/yvTXibtuo
