序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今天是我国传统佳节——中秋，祝大家在这个阖家欢乐团圆的日子里心情愉快！ ​​​​,否,,2012-09-30 07:54,转发,评论,赞,小米手机,https://weibo.com/2634734475/yEdUyceEf
1,#温馨提示#真是一场秋雨一场凉，希望大家注意保暖防雨哟！刚才的那阵狂风暴雨，你有没有被淋到呢？同时，也希望驾车的朋友安全驾驶、文明开车。 ​​​​,否,,2012-09-27 14:57,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yDOoTkujj
2,发表了博文 《转载：《论“讲重作”的“精于心、简于形”》》 - 转载：《论“讲重作”的“精于心、简于形”》 历时五年时间的全国组织系统“讲党性、重品行、作表率”活动于近日划上了圆满句号。回首这五年来的 O网页链接 ​​​​,否,,2012-09-27 14:46,转发,评论,赞,新浪博客,https://weibo.com/2634734475/yDOkfdAhl
3,发表了博文 《“讲重作”要做到思想和行动的高度统一》 -  O网页链接 ​​​​,否,,2012-09-27 14:44,转发,评论,赞,新浪博客,https://weibo.com/2634734475/yDOjt4U3K
4,#好戏连连看# 为期两天的“动漫文化艺术节”今日更是高潮迭起精彩不断，歌曲、舞蹈、相声等一系列丰富多彩的节目吸引了大批居民前来观看，丰富了居民的文娱生活。 ​​​​,否,,2012-09-26 17:24,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yDFW5dmlA
5,发表了博文 《今天，你“讲重作”了吗？》 - 今天，你“讲重作”了吗？ “讲重作”活动是全国组织系统和组工干部的一次大学习、大讨论、大洗礼，它进一步增强了组工干部的政治意识、大局意识、群众意识，组工干 O网页链接 ​​​​,否,,2012-09-26 16:57,转发,评论,赞,新浪博客,https://weibo.com/2634734475/yDFKWmjl5
6,9月26日上午，全国文化厅局长约120余人到位于三间房乡的万豪卡通进行参观，我乡主要领导陪同。代表们兴致勃勃地观看了万豪卡通手绘动画、定格动画、3D动画等制作流程，加深了对动画产业的了解。 ​​​​,否,,2012-09-26 16:55,8,评论,赞,专业版微博,https://weibo.com/2634734475/yDFKe3W6I
7,大家都来晒一下吧 O网页链接,是,#晒家乡明月##送美好祝福#又到了一年人月两团圆的美好日子，您的家乡在中秋有什么特别的、有趣的习俗来跟我们分享，您又有什么祝福的话要送给特别的人呢？中秋将至，大家一起来晒一晒家乡的明月，给最重要的人送上最美好的祝福吧！参与话题（O网页链接）进入专题（O网页链接） ​​​​,2012-09-26 16:17,转发,评论,赞,微话题-晒一晒家...,https://weibo.com/2634734475/yDFuQx44F
8,发表了博文 《三间房道德模范（二）双柳社区毛师傅的事迹》 - 双柳社区毛师傅的事迹 我叫毛景鸾，今年71岁了，是双柳社区的居民代表，自2000年以来，一直担任20号楼楼长。作为一名共产党员，退休十多年 O网页链接 ​​​​,否,,2012-09-26 16:07,转发,评论,赞,新浪博客,https://weibo.com/2634734475/yDFqM90On
9,9月25号下午三点整，我乡动漫文化艺术节准时开幕，三间房乡主要领导出席活动，丰富多彩的节目吸引了大批居民前来捧场，现场气氛热烈。 ​​​​,否,,2012-09-25 17:24,转发,1,赞,专业版微博,https://weibo.com/2634734475/yDwvyjh8r
10,//@中国文明网: 回复@道德90后: //@道德90后:@中国文明网,是,#喜迎十八大网络传播活动#【O网页链接】#时代先锋#【他的最后48小时——专家林俊德曾经历全部核试验 逝世当天仍工作】这是令人动容的一幕：一位脸上戴着氧气罩身上插各种医疗管线的垂危老人，在人们搀扶下迈向病房中的办公桌…这是一位中国工程院院士最后的冲锋姿态。O网页链接 ​​​​,2012-09-25 16:36,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yDwbW3Hzo
11,平凡人 不平凡的事 这才是真正的伟大,是,#喜迎十八大##最美人物#O网页链接【观公益广告《邓前堆》:28年滑行是最美】观看了公益广告《邓前堆》，他靠滑轮和绳子在滑索上滑行的镜头始终在我脑海里浮现。他的动作不矫健甚至有些狼狈，但我想，他28年滑行的身影无疑是世界上最美的！O网页链接 ：分享者O网页链接 ​​​​,2012-09-25 16:32,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yDwasb8a6
12,#好消息#我乡通惠河北侧道路现已基本完工，作为三间房乡的一条重要道路，在缓解双桥路和京通快速路交通拥堵状况方面将发挥重要作用。施工者们辛苦了，并且为了保持道路畅通也号召大家不要在路边乱停车。 ​​​​,否,,2012-09-18 13:58,转发,1,赞,专业版微博,https://weibo.com/2634734475/yCrap13rD
13,勿忘国耻！理性爱国！//@朝阳人才党委: 转发微博。,是,#热点追踪#1931年9月18日晚10时，日本关东军炸毁沈阳柳条湖附近南满铁路路轨，反诬中国军队破坏，并以此为借口向驻守在沈阳北大营的中国军队发动进攻，并于次日占领整个沈阳。此后日军继续向辽、吉和黑进攻，短短4个多月，东北全部沦陷，3000多万东北父老成了亡国奴。这就是震惊中外的“九一八”事变。 ​​​​,2012-09-18 10:24,3,评论,赞,专业版微博,https://weibo.com/2634734475/yCpLDgEIA
14,9月15日下午三点，我乡与国声京剧团在中国传媒大学大礼堂举办了《国声京剧团走进中国动漫乡文艺晚会》，党委书记冯永忠、乡长张小锋观看了此次演出。演出除了《贵妃醉酒》《智斗》等京剧名选段，艺术家们还带来了评剧、歌曲、相声等等，国声京剧团的此次演出受到大家的喜爱和欢迎。 ​​​​,否,,2012-09-17 16:44,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yCiPiFCdO
15,国粹传承！,是,2012年9月15日14时30分，继承传统国粹之精华，由地区工委组织在中国传媒大学举办的“国声京剧团，走进中国动漫乡文艺晚会”。我村广大党员、村民及流动人口积极响应参与弘扬民族文化精髓之活动。践行我们的北京精神“爱国、创新、包容、厚德”，做诚信西柳人。 ​​​​,2012-09-17 12:43,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yChfrE8Br
16,9月15日我乡举办“我心中的动漫乡”动漫绘画大赛暨计生《公开信》发表32周年纪念活动，小朋友们的画作为此次活动增添了绚丽的色彩。 ​​​​,否,,2012-09-15 11:41,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yBXZsnBF1
17,9月11日，深圳市罗湖区文创企业家代表一行30余人到三间房调研，期间参观了动漫社区、万豪卡通、北京传媒总部基地以及懋隆工艺博物馆等地，对我乡文创产业的发展表现出了浓厚的兴趣！ ​​​​,否,,2012-09-12 21:08,转发,评论,赞,小米手机,https://weibo.com/2634734475/yBzq0DcMg
18,涂鸦也是一种创意！,是,北京果实涂鸦聚会——创作进行时◑▂◑ ​​​​,2012-09-10 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yBbPcrvfG
19,今天是教师节，祝天下为人师者节日快乐！工作顺利！ ​​​​,否,,2012-09-10 09:02,转发,评论,赞,专业版微博,https://weibo.com/2634734475/yBbO53bI5
20,@动漫中的西柳 @三间房动漫社区 请大家多多支持我乡大学生村官公益活动，赴松堂医院看望老人O网页链接 ​​​​,否,,2012-09-06 15:31,1,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yACEad4Yj
21,@中国-三间房 #公德接力晒感动#三间房的村官们最棒！！！！！ O网页链接 ​​​​,否,,2012-09-06 15:25,转发,评论,赞,微活动-公德接力...,https://weibo.com/2634734475/yACBN50z9
22,传播文明，传播感动！//@文明北京: 快来“公德接力”,是,#共同关注#@北京朝阳 发起的“公德接力”微活动将于明天下午16:00结束！有兴趣参加的朋友们不要错过了哦。去活动页面瞧瞧吧：O网页链接 公德接力晒感动；O网页链接 【微征集】诚实守信三字经。大家一起传播文明、传播感动！  ​​​​,2012-09-06 14:31,转发,1,赞,微博 weibo.com,https://weibo.com/2634734475/yACfSnyrt
23,"9月4日，区政协一行领导来到三间房地区，就地区文化创意产业进行调研。调研中,实地参观了位于三间房动漫产业园内的动漫企业、北京卡通艺术博物馆及北京传媒总部基地和位于三间房地区的北京工艺懋隆艺术博物馆等地。 ​​​​",否,,2012-09-06 09:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yAAbNC4RS
24,【三间房地区道德讲堂开课啦！】一首歌、一部短片、一个故事、一段经典、一份祝福。8月31日，三间房地区的干部、群众汇聚一堂，用催人奋进的歌声、感人肺腑的故事、发自内心的祝福，体会道德、诠释道德、颂扬道德。 ​​​​,否,,2012-08-31 17:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzIMcwO7k
25,【三间房地区开展志愿无偿献血活动】为满足社会急救与临床用血需要，缓解血库危机，弘扬奉献精神，促进地区精神文明建设，8月6日上午，地区办事处组织开展志愿无偿献血活动。 ​​​​,否,,2012-08-30 17:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzzuG5j0G
26,【修路惠民保民心】通惠河北路是一条巡河路，作为三间房乡的一条重要道路，在缓解双桥路和京通快速路交通拥堵状况方面发挥着重要的作用。由于道路年久失修，下雨后坑洼不堪。8月起，三间房乡政府经多次协调，顺利办下残次林改造的工程手续。8月中旬道路正式修建，预计一个月后完工。 ​​​​,否,,2012-08-30 17:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzzt9dPIy
27,【“双护”整治校园周边环境】8月28日是传媒大学新生入学第一天，从7点钟开始，三间房城管分队的队员们就开始了一天的忙碌。这是三间房“双护”整治校园周边环境的一项服务，每年这个时候，总能看见队员们的身影 ​​​​,否,,2012-08-30 17:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzzlj9WNr
28,【凝聚力量 传递爱心】8月23日，三间房地区成立了一支由大学生“村官”组成的志愿者队伍。该队伍将秉承“奉献、友爱、互助、进步”的志愿者精神，开展名为“凝聚大学生村官，做百姓贴心人”的项目，即通过开展一系列的志愿服务来传递爱心，为更多需要帮助的人带去温暖与关怀。 ​​​​,否,,2012-08-30 17:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzzjqpaHy
29,朝阳区第一期残疾人电脑动漫定向培训班开课啦！7月30日，朝阳区第一期残疾人电脑动漫定向培训班开课，培训时间为每周一到周四，至今已举办培训课20余节。此次培训是继“三间房动漫社区4050动画制作培训班”之后的又一次培训，即朝阳区第一期残疾人电脑动漫定向培训班，主要针对朝阳区残疾人士。 ​​​​,否,,2012-08-30 17:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzzin6VLk
30,转发微博,是,#朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（2/2）6000万元文化创意产业发展引导资金，重点支持文化传媒、广告会展、旅游休闲、设计创意、艺术品交易等领域；6000万元高新技术产业发展引导资金，重点支持新一代信息技术、新生物医药、新能源、信息服务等战略性新兴产业发展。 ​​​​,2012-08-29 11:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yznDZnFo2
31,转发微博,是,#朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（1/2）从今年起，朝阳区每年将安排6亿元成立多项产业发展引导资金，主要包括：每年安排1.2亿元总部经济和现代服务业发展引导资金，重点支持总部经济、要素市场、高端商务服务业、会展产业发展；1.3亿元金融产业发展引导资金，重点吸引金融机构入驻。 ​​​​,2012-08-29 11:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yznDXBbxR
32,转发微博,是,#气象信息#：今天（8月29日）白天，晴，北转南风2、3级，最高气温34℃，最小相对湿度25%。（朝阳区气象局提供） ​​​​,2012-08-29 10:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzn9HfKkw
33,唱一首歌曲，看一部短片，诵一段经典，讲一个故事，作一番评议,是,"【各地广泛开展道德讲堂活动】公民道德建设，是社会主义核心价值体系的基础工程和文明城市创建的重要内容。""道德讲堂""宣传思想道德，利用""身边人讲身边事、身边人讲自己事、身边事教身边人""。如今，""道德讲堂""在各地蓬勃开展，成为群众易于参与、乐于参与道德建设平台和载体。O网页链接 ​​​​",2012-08-29 10:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yzn90Fdyh
34,在三间房，肯定还有很多这样的社区和村也都抗洪防汛奋斗在一线，希望大家的努力能换来三间房的美好明天。,是,2012年8月27日03时三十分。雷阵雨降雨量加大，西柳维修队依据防汛预案开始进行应急排污、安全提示提醒村民、流动人口没有特殊情况尽量不要外出注意安全。维修队长刘德龙带领队员王震、刘德鑫、热心村民刘德顺与村党支部副书记何平在一线工作维护群众安全出行。村民刘德成贾庆莲也一同参加践行雷锋精神 ​​​​,2012-08-27 09:14,1,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yz3U8z2AV
35,//@文明北京: 家是放“心”的地方。面对现实，当更多的我们在理想的路途中离家、离父母渐行渐远时，看到赵萌萌与父亲30张每年一张的照片时，每颗压抑、沉闷、疲乏的心灵开始哭泣，开始思恋，开始回味家的味道……,是,#大家怎么看#从1岁的“小米豆”到30岁的“大萌子”，北京女孩赵萌萌身边总有父亲的陪伴，她的母亲用相机记录父女俩的30年。赵萌萌将她和父亲每一年的合照上传网络，时光变迁下的父女情感动上万网友。30张普普通通的父女间的照片，为何让上万网友为之落泪呢？无论每个人身处何方，家永远牵着他们的心。 ​​​​,2012-08-24 16:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yyEnsbqGV
36,//@文明北京: 转发微博,是,#续写雷锋日记# 事实上，雷锋自己并没有做过什么惊天动地的大事，所做的不过都是一些身边的小事，像我们在公共汽车上给人让座，热心为外地人指路领路等等，都是雷锋精神的影子。学习雷锋精神重在行动，从小事做起，从我做起，这恰恰就是雷锋精神的精髓体现。@文明北京 ​​​​,2012-08-24 16:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2634734475/yyEnpdeEt
37,#诚实守信三字经#讲文明，懂礼貌；交朋友，讲诚信；言必信，行必果；不说谎，不骗人；许诺言，尽力做；不欺骗，不隐瞒；一句实，顶百谎；知之者，为知之；不知者，为不知；言行一，心无愧；言九鼎，诺千金；心灵诚，品行美。——美然动力社区 孙晨 地址：O网页链接 ​​​​,否,,2012-08-21 10:13,1,评论,赞,微活动-【微征集...,https://weibo.com/2634734475/yy9J1AeXi
