序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【晴空助力中秋赏月 夜凉如水多添衣】今天是传统佳节——中秋节，也是中秋国庆长假的第一天。中央气象台预计，今天白天到夜间，全国大部地区云量较少，晴空当照，十分适宜阖家赏月。O网页链接 ​​​​,否,,2012-09-30 15:12,6,1,赞,专业版微博,https://weibo.com/2117508734/yEgMqiCbt
1,#中国好天气 随手拍#【西藏正是采风好时节】每到10月，西藏所有地区的雨季都已经基本结束，随着气温的逐渐降低，各类草木开始变黄，于是黄色、绿色、红色等多种色彩交替呈现，加上这时候大气透明度比较高，蓝天白云，成为了西藏旅游、摄影的最好时节。 O网页链接 ​​​​,否,,2012-09-29 11:31,2,评论,赞,专业版微博,https://weibo.com/2117508734/yE5U58xQZ
2,【#中国好天气·随手拍#征稿启事】中国气象网中秋国庆假日期间将在首页要闻区开设#中国好天气·随手拍#栏目，要求好天气、好风光、美景、美图（附带图注），多多益善，欢迎大家踊跃投稿！投稿方式：@中国气象网 你的作品将有机会登上中国气象局官方网站（O网页链接）首页[放假啦] ​​​​,否,,2012-09-29 10:45,8,3,赞,专业版微博,https://weibo.com/2117508734/yE5BrteTb
3,【今年中秋：十五的月亮十五圆】俗话说“十五的月亮十六圆”，但事实上根据粗略统计，满月出现在十五的概率是５０％，出现在十六的概率是４０％，剩下１０％左右的概率会出现在十四和十七。今年是“十五的月亮十五圆”，月亮最圆的具体时刻为３０日１１时１９分，可惜是白天，无法观赏。 ​​​​,否,,2012-09-29 09:06,35,12,1,专业版微博,https://weibo.com/2117508734/yE4Xvfabv
4,【国庆出行天气提示】国庆节期间，我国大部天气晴好，适宜出行。10月1~3日，受冷空气影响，华北东部、东北地区有4~8℃降温；6~7日，西北地区气温将下降6~8℃。外出度假旅游注意添加衣物。另外，西南地区、西北地区东南部阴雨天气较多，外出注意携带雨具。O网页链接 ​​​​,否,,2012-09-29 08:51,40,5,赞,专业版微博,https://weibo.com/2117508734/yE4RmD4tD
5,【清风朗月过中秋】9月30日中秋节当天，我国大部地区天气晴好，适宜赏月。中央气象台预计，中秋节（9月30日）当晚，除新疆西部、西南地区阴有小雨外，我国其余大部分地区天气晴好，适宜中秋赏月活动。O网页链接 ​​​​,否,,2012-09-29 08:48,转发,评论,赞,专业版微博,https://weibo.com/2117508734/yE4Q2tP9n
6,中秋国庆好天气，赏月出行两相宜//@COLDFRONT-KILLER: 天公作美，大家都好好享受一下这个有史以来最长假期吧。,是,【中秋国庆期间我国大部地区天气晴好适宜赏月外出】来自中国气象局新闻发布会的最新消息，中秋国庆节假日期间，我国大部地区气温适宜，除西南地区、西北地区东南部等地多阴雨天气外，全国其他大部分地区以晴间多云天气为主，总体气象条件较好，适宜人们外出活动。O网页链接 ​​​​,2012-09-28 16:55,转发,评论,赞,专业版微博,https://weibo.com/2117508734/yDYBadKYY
7,【中秋国庆期间我国大部地区天气晴好适宜赏月外出】来自中国气象局新闻发布会的最新消息，中秋国庆节假日期间，我国大部地区气温适宜，除西南地区、西北地区东南部等地多阴雨天气外，全国其他大部分地区以晴间多云天气为主，总体气象条件较好，适宜人们外出活动。O网页链接 ​​​​,否,,2012-09-28 16:28,10,4,赞,专业版微博,https://weibo.com/2117508734/yDYqdcoYY
8,【吐司机打印天气预报】一天之计在于晨，这款概念吐司机会在每天清晨的第一片烤面包片上“印出”当天的阴晴雨雪等天气情况，让您提早做出合理的日程安排。 ​​​​,否,,2012-09-28 09:05,3,1,赞,专业版微博,https://weibo.com/2117508734/yDVwlAqnx
9,【冷空气给我国中东部带来大风降温】昨天，冷空气再度把大风降温的消息吹至北方，气温降幅达到8～11℃，北方的朋友可以果断穿上厚外套了。随着冷空气东移南下，预计，双节前，华北大部、东北、黄淮、江淮、江南东部等地先后将有4～6℃降温，局地可达8℃，并伴有4～6级北风。O网页链接 ​​​​,否,,2012-09-28 08:19,7,3,赞,专业版微博,https://weibo.com/2117508734/yDVdGsJYE
10,【超强台风“杰拉华”直奔日本 今日我国台湾省和钓鱼岛有暴雨】今年第17号超强台风“杰拉华”的中心28日05时位于我国台湾省花莲市东南方大约310公里的西北太平洋洋面上，中心附近最大风力16级。预计，“杰拉华”将向东北方向移动，逐渐向日本南部一带沿海靠近，强度缓慢减弱。O网页链接 ​​​​,否,,2012-09-28 08:03,18,4,赞,专业版微博,https://weibo.com/2117508734/yDV7g8LgR
11,【中秋赏月提示：北方大部和江南地区有明月相伴】 中秋前夜，明月将十分眷顾中国大地，北方大部地区和江南地区等地都将有明月相伴，北京、天津、济南、南京、上海、杭州、广州、西安、哈尔滨、兰州等城市适宜赏月及户外活动。 ​​​​,否,,2012-09-27 15:44,10,1,赞,专业版微博,https://weibo.com/2117508734/yDOHVh6Ag
