序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【高井白家楼发放高井成才助学金】在双节即将到来之际，高井村、社区对15名符合条件的在校大学生发放了高井成才助学金，共计11500元。 ​​​​,否,,2012-09-29 11:16,7,评论,赞,专业版微博,https://weibo.com/2649709003/yE5O5mCUi
1,【创先争优 责任高井 高悬明月 井满家福】龙年金秋风送爽，创先争优结硕果。值此中秋佳节和国庆到来之际，高井大地银光洒满，一片欢歌笑语。2012年9月26日晚7：00，高井村、社区在白家楼公园文化广场举办“创先争优 责任高井 高悬明月 井满家福”高井党总支创先争优表彰大会暨庆祝中秋节文艺晚会。 ​​​​,否,,2012-09-27 15:35,2,评论,赞,专业版微博,https://weibo.com/2649709003/yDOEjfCiU
2,【中秋来临将温暖送进每一户残疾人家庭】残疾人是社会的弱势群体，需要全社会的关心和关爱。在中秋、国庆双节到来之际，高井村、社区对辖区的残疾人进行了走访慰问，给他们送去了节日的礼物。2012年9月27日，高井残联办的同志将米、油、鸡蛋等中秋节的慰问品发放到残疾人手中，同时送上节日的祝福。 ​​​​,否,,2012-09-27 15:35,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDOE3jgJX
3,【倡导绿色生活 享受健康人生】为提升社区居民健康素养，掌握更多的健康保健知识。2012年9月26日上午，高井村委会在白家楼活动中心举办中医养生健康讲座，共有224位居民参加了此次讲座。讲座邀请了北京医药大学教授张朝清教授，讲解秋季中医养生知识。 ​​​​,否,,2012-09-27 15:33,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDODmr2Y6
4,【高井村召开辖区报表企业联席会】9月25日，高井村、社区召开“情满中秋 和谐高井”暨2012年高井辖区报表企业联席会。会议邀请为高井地区经济发展作出突出贡献的重点单位进行座谈，希望通过这种形式，搭建政企之间相互交流沟通的平台，从而推动地区各项事业的发展。 ​​​​,否,,2012-09-25 17:54,2,评论,赞,专业版微博,https://weibo.com/2649709003/yDwHL3FJz
5,【普及知识力度大 和谐计生在高井】纪念《中共中央关于控制人口增长问题致全体共产党员的公开信》发表32周年，宣传我国的计划生育基本国策，提供更加优质的计划生育管理服务，高井村、社区组织全村50岁以下已婚育龄妇女开展计生知识答题活动。 ​​​​,否,,2012-09-25 17:53,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDwHhcR2a
6,【倡导婚育新风 构建和谐计生】 为迎接“9·25”计生纪念日，宣传婚育新观念，倡导婚育新风，促进生育文明，高井白家楼开展了一系列计生宣传活动，有效提升了村（居）民对计生工作的知晓率，为辖区计生工作的开展奠定了坚实的群众基础。 ​​​​,否,,2012-09-25 17:52,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDwGVmneu
7,【关爱残疾人 免费享健康】随着人们生活品质的不断提高，残疾人的健康也越来越受到社会各界的重视与关注。为了让残疾人家属及时掌握残疾人的健康状况，高井村、社区于2012年9月20日，组织辖区精神及智力残疾人参加了高碑店医院的免费体检。 ​​​​,否,,2012-09-25 17:52,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDwGLzyzf
8,【“普及食品科学知识 提高安全防范能力”】您知道那些食材可以一起搭配，那些食材不能搭配在一起吗？您知道我们每天的所需的营养物质金字塔吗？为进一步普及食品安全知识，加强食品安全教育，高井村、社区于2012年9月20日上午邀请了营养师李艳明老师，为辖区的居民做了食品安全知识讲座 ​​​​,否,,2012-09-25 17:50,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDwFTwzxl
9,【做好就业稳定工作 喜迎十八大】稳定就业是千家万户幸福生活的重要前提，高井村、社区采取四项措施帮助引导社区居民合理选择职业，拓宽就业途径，稳固现有岗位，为辖区企业和群众建立对接平台，服务常态化为居民解答疑惑，并做好居民参保续保工作。 ​​​​,否,,2012-09-25 17:46,转发,评论,赞,专业版微博,https://weibo.com/2649709003/yDwEkjr6P
