序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转,是,,2012-09-30 07:27,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yEdJK34du
1,祝所有社区居民朋友们中秋节、国庆节快乐！ ​​​​,否,,2012-09-29 15:12,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yE7lWizkd
2,转,是,出血性脑卒中是如何发生的？高血压史引起出血性脑卒中的重要原因。长期高血压易导致血管变硬、变窄、变脆，当遇到情绪激动、过分劳累、过度憋气等致血压急速升高因素时，会引起脑血管破裂而发生脑出血。牢记ASA，自我保护脑守健康 A：阿司匹林抗血栓 B：他汀抗动脉粥样硬化 A:降压药降压 ​​​​,2012-09-17 12:08,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yCh19b2Jx
3,健康养生四六分：健康养生四六分，保健生活有奥秘；四分饥饿六分饱，四分细粮六分粗；四分生食六分熟，四分荤食六分素；四分宣泄六分忍，四分养生六分心。养生歌谣要记牢，健康秘诀转给你！ ​​​​,否,,2012-09-17 10:29,1,评论,赞,专业版微博,https://weibo.com/2769603037/yCgmZ50Ql
4,感冒了该做的五件事：1、多喝温开水；2、治疗咽喉疼--一勺蜂蜜+一捏盐+柠檬汁；3、排除寒气--生姜5大片+红糖煮水；4、热水泡脚，浑身出汗；5、盖上厚被子睡觉休息。 ​​​​,否,,2012-09-14 09:09,1,评论,赞,专业版微博,https://weibo.com/2769603037/yBNzaddp5
5,宝宝需求,是,【宝宝最需要的东西】1.临睡前的一个吻；2.尊重我的个人形象；3.爸爸妈妈平等待我；4.爸爸妈妈给我当榜样；5.告诉我做人的道理；6.让我和爸爸妈妈一起玩；7.给我一个小伙伴；8.和我一起养成好习惯；9.给我一个可达到的目标；10.让我们一起笑起来~~~亲，你有木有牢记呢？ ​​​​,2012-09-14 09:04,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yBNwU9813
6,父母必读,是,【父母的语气影响宝宝一生】1、信任的语气：给孩子自信，并让他明白，只有坚持才能成功。2、尊敬的语气：让孩子有主见。3、商量的语气：培养自尊心。4、赞赏的语气：让孩子乐于表现。5、鼓励的语气：培养总结经验教训的习惯，又给孩子再次尝试的信心。 ​​​​,2012-09-14 09:03,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yBNwF4V3p
7,家长都来看啊,是,,2012-09-14 09:02,转发,评论,赞,政府版微博,https://weibo.com/2769603037/yBNw54cvA
8,学习学习,是,,2012-09-14 09:01,转发,评论,赞,政府版微博,https://weibo.com/2769603037/yBNvWsV1d
9,收藏,是,百合有润肺止咳，清心安神等功效，成为秋季食用之上品。百合味甘微苦，性平。其营养成分丰富，有蛋白质、维生素、胡萝卜素及一些特殊的有效成分，如淀粉、多糖、果胶以及多种生物碱，对抑制癌细胞增生有一定的疗效。 ​​​​,2012-09-13 09:57,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yBErUfnoo
10,转发,是,预防接种原则：1、2种灭活疫苗或1种减毒活疫苗和1种灭活疫苗可在同一天不同部位接种；2、1种注射减毒活疫苗与1种口服减毒活疫苗可以在同一天接种；3、2种疫苗在同侧同部位接种，须间隔28天以上；4、2种注射用减毒活疫苗要么同天接种，要么间隔28天。 ​​​​,2012-09-13 09:55,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yBErmxZt6
11,秋季养生：秋日天气很凉爽，锻炼身体很适当；切记不要想偷懒，热身运动不能忘；运动过后莫冲凉，感冒着凉不胜防；项目选择要适当，激烈过度心脾伤；轻松平缓舒筋骨，秋天保健身体养。 ​​​​,否,,2012-09-13 09:55,转发,评论,赞,专业版微博,https://weibo.com/2769603037/yBErhwAr5
12,转发,是,【入秋宜饮二子茶】夏季大量出汗消耗阴液，秋季易出现气阴不足的问题。可有乏力气短、口干燥热、胸闷心慌、食欲不振等症状。五味子益气生津、补肾宁心；枸杞子填精养血、滋补肝肾。两味相配可以养五脏之阴、益心肺之气，取枸杞子15克、五味子6克，沸水冲泡代茶饮用。 ​​​​,2012-09-03 16:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2769603037/yAaMo9hDA
13,转,是,【多事之“秋”，必备五大养生食物】夏秋之交，人们还未能适应天气冷热的变化，一不小心就容易生病，故有“多事之秋”的说法。以下五种食物最适秋季食用，赶快收藏吧：1、红糖姜茶-防感冒；2、百合粥-清心安神；3、盐水花生-养肺益气；4、莲藕炖排骨-润燥止渴；5、蜂蜜雪梨-润肺清痰。 ​​​​,2012-09-03 16:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2769603037/yAaM4CS00
14,医改新政策出台，加快缓解因病致贫。由国家发改委、卫生部等六部委联合制定的《关于开展城乡居民大病保险工作的指导意见》刚刚正式公布。今后，我国凡是参加基本医保的城乡居民，一旦患大病，除原有报销外，还将享个人自付部分报销至少一半以上的大病医保政策。[鼓,是,重大好消息!中国医改大动作!每人一份大病医疗保险，从此大病不恐惧。 ​​​​,2012-08-31 12:29,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yzGTdDxm9
15,莲子,是,【夏天吃莲子心的作用】1、健脑提神：提神醒脑，唤醒沉睡的精神，提高工作效率。2、强心降压：莲子心中的非结晶形生物碱N-9可以扩张周围血管，起到降低血压的作用。3、去心火：以苦莲心来去心火，正是最好不过的方法，莲子心对于治疗口舌生疮尤其有疗效。 ​​​​,2012-08-31 12:27,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yzGSlA2md
16,健康早餐^O^,是,【错误早餐吃法】1.“营养”早餐：水果、蔬菜、牛奶等，缺少主食易导致身体各种功能的削弱。2.速食早餐：汉堡包、炸鸡等，缺乏维生素、矿物质、纤维素等。3.传统风味早餐：油条、豆浆，油脂量超标，不宜长期食用。4.零食早餐：雪饼、饼干、巧克力等。容易导致营养不足，导致体质下降。 ​​​​,2012-08-31 12:26,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yzGScqtlD
17,转发,是,脑血管病是导致人类死亡的三大疾病之一，全球每年因脑血管病死亡人数达440万，其中2／3发生在发展中国家。我国居民第三次死因抽样调查结果显示，脑血管病已成为第一位杀手，平均每13秒致一人死亡。 ​​​​,2012-08-31 12:07,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yzGKemF3S
18,在今天上午刚结束的北京市健康生活方式演讲比赛决赛中，铁营社区卫生服务中心选派的社区居民刘松山同志以慷慨激昂的发言和生动详实的演讲内容获得了比赛第一名的好成绩！刘松山同志是我中心高血压自我管理小组第二批组员，来自东铁营街道横七条第一社区居委会。 我在:O网页链接 ​​​​,否,,2012-08-31 12:01,转发,评论,赞,Android客户端,https://weibo.com/2769603037/yzGHLjukR
