序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【国庆期间全国大部天气晴好】预计今年中秋、国庆期间，我国大部气温适宜，除西南地区、西北地区东南部多阴雨，其他地区以晴间多云天气为主，总体天气条件较好，适宜外出活动。4日前后，海南受热带气旋影响或出现较强风雨天气。中秋夜全国大部无云，明月高悬，北方需防寒。O网页链接 ​​​​,2012-09-28 12:58,1,1,赞,android_迷你微博,https://weibo.com/2712457585/yDX2VlQSY
1,转发微博,是,【艺博会展览全部免费】举世瞩目的2012#中国艺术品产业博览会#昨晚举办了盛大的开幕仪式，自此，为期7天的艺博会正式开展，而期间所有展馆、画室、参展作品都是免费参观的，让参观者真正享受一次“免费的午餐”。@文化北京 ​​​​,2012-09-28 12:57,转发,评论,赞,android_迷你微博,https://weibo.com/2712457585/yDX2HtAW6
2,转发微博,是,【“双节”期间故宫提前一小时迎客】#聚焦北京#为了应对节日旅游高峰，故宫从30日起将提前开门。9月30日至10月4日，提前1小时开馆，即由8:30调整为7:30；10月5日至7日，根据实际情况决定具体开馆时间，闭馆时间不变。与此同时，还将增开售票窗口、增设临时厕所等措施以应对客流高峰。 ​​​​,2012-09-28 12:57,转发,评论,赞,android_迷你微博,https://weibo.com/2712457585/yDX2Dkcue
3,转发微博,是,#出行提示# “十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。@交通北京 为您准备了市域内8条主要高速公路拥堵绕行路线图，请您参考：[推荐] ​​​​,2012-09-28 12:56,转发,评论,赞,android_迷你微博,https://weibo.com/2712457585/yDX2nmE5g
4,//@民警刘安:转发微博。,是,专家提醒，预计“十一”前后，食品(月饼)、礼品、旅游、票务、支付类钓鱼网站将会集中爆发，消费者应提高警惕，避免快乐假日增添烦恼。随着中秋及国庆两节临近，各大网站纷纷掀起打折促销热潮。一批不法分子也大肆制作钓鱼网站进行欺诈，网民稍有不慎就会上当，导致个人信息外泄或遭受经济损失。 ​​​​,2012-09-26 07:52,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yDCbSiii2
5,//@民警刘安:转发微博。,是,"#""十一""游密云安全提示#【外出游玩安全】游玩时要注意注意文明礼让,不要抢行,以免因人员拥挤造成秩序混乱引发踩踏事故。驾车出行的人们要注意保管好自己的车辆,把车停放在有专人看管的停车场,切勿随意停放在山涧路侧,手机、钱包、相机、摄像机等贵重物品要随身携带,不要放在车内和后备箱中,以免被盗。 ​​​​",2012-09-26 07:52,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yDCbMnDQ3
6,2012年芳群路已发生两次行道树倾倒堵路事件。经方庄地区办事处上报，区园林绿化局上报市园林绿化局批准，更换芳群路行道树的树种。目前施工单位为丰台区园林局南苑绿化队，依据北京市园林局树木砍伐许可证的相关规定，对芳群路北段、群星路西段的141棵泡桐树进行砍伐。再次感谢您的关注！ ​​​​,否,,2012-09-25 15:07,转发,1,赞,专业版微博,https://weibo.com/2712457585/yDvBLxPEN
7,近日来，不少居民反映方庄地区砍伐树木的情况，此次砍伐的树种为泡桐，于1990年种植，现已长成大树，由于泡桐树根较浅，造成路面凹凸不平，给行人带来不便和安全隐患，且此树根基浅，遇到 大风、大雨天气容易倾倒，造成危险。 ​​​​,否,,2012-09-25 15:05,转发,评论,赞,专业版微博,https://weibo.com/2712457585/yDvATumd4
8,转发微博,是,【千辆自行车奖励出行达人】“争当文明出行达人网上承诺签名活动”正如火如荼的进行中。只要你愿意遵守交规、文明驾驶，提倡绿色出行，那就快来加入我们的队伍吧！首都文明办将从参与者中选出1000名文明出行达人，每人奖励绿色时尚自行车1辆，详情可登录zt.bjwmb.gov.cn/lscx/，按提示承诺签名即可。 ​​​​,2012-09-22 13:25,转发,评论,赞,专业版微博,https://weibo.com/2712457585/yD2EVDhLl
9,@superfair,是,,2012-09-22 10:36,转发,评论,赞,专业版微博,https://weibo.com/2712457585/yD1ynyLPd
10,@superfair，您好，关于芳群路砍伐泡桐树的情况，请您关注我们的微博，对于这段路的树木砍伐和补种新树种的工作进展，我们会随时发布新的消息的。,是,,2012-09-22 10:36,转发,评论,赞,专业版微博,https://weibo.com/2712457585/yD1yk1Eo0
11,转发微博,是,#左看右看# 9月22日为“世界无车日”(World Car Free Day)。在中国，这一天被定为“中国城市无车日”，今年的主题是“关爱城市•绿色出行”。促进城市可持续发展，既是城市政府的职责，也是城市居民的义务，需要城市政府和居民共同提高认识、采取行动，进一步改善绿色出行条件，更多地选择绿色出行方式 ​​​​,2012-09-22 10:28,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yD1v4vA2u
12,转发微博,是,"#微提示#中秋、国庆假期临近,一些不法分子就又打起购票诈骗的主意:有在网上发布虚假机票打折信息或紧俏火车票信息的,有打着""车站工作人员""等""内部人士""幌子""招揽生意""的。过节回家团聚,放假外出旅游,这都是让人高兴的事儿,但各位也要留个心眼儿,要通过正规渠道购票,别因图方便、贪便宜,上当受骗啊！ ​​​​",2012-09-21 15:03,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yCTSikcbq
13,转发微博,是,#交通资讯#【缓解拥堵措施】“十一”黄金周小客车免费通行期间，当收费公路辅路出现严重拥堵，造成辅路车流辆倒灌收费站区时，[同意]请广大驾车者服从公安交管部门人员的指挥，保障主路车辆快速驶出，避免出现主、辅路大面积拥堵。 ​​​​,2012-09-21 15:03,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yCTSflta9
14,,是,便民菜站进社区 ​​​​,2012-09-19 12:00,转发,1,赞,微博桌面,https://weibo.com/2712457585/yCzOOnjtQ
15,转发微博,是,8月31日起，古一二社区老旧小区改造正式全面动工，此次改造工程是市政府的惠民工程之一。“以居民满意为标准，以安全改造为准则，以质量施工为保障，尽量减少扰民，与小区居民相互理解，包容，体谅，和谐相处”是古一二社区领导对老旧小区改造提出的工作宗旨。@北京市丰台区方庄地区办事处@北京丰台 ​​​​,2012-09-19 11:59,转发,1,赞,微博桌面,https://weibo.com/2712457585/yCzOIrmih
16,留住方庄路上泡桐花开时的景色，告别曾经陪伴过我们的泡桐树。 ​​​​,否,,2012-09-19 09:44,4,1,赞,专业版微博,https://weibo.com/2712457585/yCyVJkyeH
17,泡桐是一种喜光的速生树种，原产于中国，春季先叶开花，略有香味，花落后长出大叶，叶密而大，树荫非常隔光。但泡桐不太耐寒。由于生长非常迅速，十几年树龄的泡桐要比同龄杨树直径大一倍，但生长时间长了，树干会出现中空。由于生长迅速，所以木材材质轻软，容易加工，但也耐酸耐腐，防湿隔热。 ​​​​,否,,2012-09-19 09:26,转发,评论,赞,微博桌面,https://weibo.com/2712457585/yCyOqFoRd
