序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【解除气象灾害预警信号】丰台区气象局2日10时00分发布解除暴雨蓝色预警信号：目前本区降水强度已经减弱，但仍有小到中雨，暴雨蓝色预警信号解除。预计降水将于中午前后逐渐结束。 ​​​​,否,,2012-09-02 10:23,1,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yzYUYh72r
1,【气象灾害预警信息】丰台区气象局1日13点00分发布暴雨蓝色预警信号：今天下午到夜间本区将有大雨到暴雨，大部分地区的降雨量可达30-60毫米，局地小时雨强可达到20-30毫米，并伴有雷电，请注意防范。 ​​​​,否,,2012-09-01 13:20,1,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yzQEujnC9
2,今日“处暑”，现在早晚都比较凉了，早出晚归的朋友们最好带件薄外套噢~另外空气干燥，大家要注意补水保湿哦[玫瑰],是,#丰台发布#明日是“处暑”，太阳到达黄经150度，预示夏天的暑气即将消退，虽天气未出现真正意义上的秋凉，但这时冷空气南下次数增多，气温下降趋势明显，往往是中午热，早晚凉，昼夜温差较大。养生方面宜早睡早起，保证睡眠充足，少吃辛辣油腻、多吃滋阴润燥的食物，适当锻炼增强体质。 ​​​​,2012-08-23 09:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yysn1fmrx
3,获取气象信息的途径哦~,是,了解一下北京气象信息获取途径吧. ​​​​,2012-08-23 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yysm2mth1
4,今日午后暴雨，请大家尽量减少外出，驾车的朋友一定注意避开易积水的路段！,是,【午后到夜间暴雨 伴有雷电】21日7时北京气象信息：今天白天阴天间多云，午后到夜间有暴雨，西南部东北部有大暴雨，并伴有雷电，气温30到21℃。降雨开始时可能伴有雷雨大风。强降水会导致低洼地区及路段出现积水，还可能诱发山区出现山洪泥石流及崩塌灾害，注意防范。今天能宅您就宅吧！ ​​​​,2012-07-21 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/ytr8gEJZW
5,【气象灾害预警信息解除】丰台区气象局7月10日21时40分发布：目前造成本区出现短时强降水的对流云团已经减弱，解除雷电黄色预警信号。 ​​​​,否,,2012-07-10 22:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yrQqgv4xW
6,【气象灾害预警信息】丰台区气象局7月10日19时10分发布：预计未来6小时我区将出现雷暴大风天气，局地短时雨强较大，请注意防护。 ​​​​,否,,2012-07-10 19:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yrPnGjtlq
7,闷热天儿易诱发心脑血管疾病，要注意防范哦~,是,【桑拿天来袭！巧妙应对不生病】“桑拿天”指又闷又热，令人汗水外浸的天气，人体感觉就像蒸桑拿一样。这种天气极易引发热感冒和胃肠道疾病，生活起居应注意：1、尽量减少高温时段外出和大运动量活动， 2、不要长时间吹空调；3、晚上睡觉尽量开窗通风；4、进冷气房间前要把汗擦干；5、注意饮食卫生。 ​​​​,2012-07-10 11:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yrMeX73Jb
8,【气象灾害预警信息】丰台区气象局7月9日04时30分发布：目前本区大部雨量超过20毫米，预计未来3小时本区仍将出现20毫米左右的强降水，请注意防范。 ​​​​,否,,2012-07-09 04:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yrA7hfDFF
9,转发微博,是,#丰台天气#今天是24节气中的第11个节气——小暑。每年太阳到达黄经105度时即为小暑，它是直接反映气温变化的节气，标志着天气开始炎热，雷雨逐渐增多。大家可多关注气象部门发布的高温与雷电预警，加强防范。值此时节，养生方面宜遵循起居定时，劳逸结合，饮食清淡的原则。 ​​​​,2012-07-07 22:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yrooRfKWq
10,【气象灾害预警信息】丰台区气象局7月5日20时30分发布：受对流云团影响，预计未来6小时本区将有雷阵雨天气，局地短时雨强较大，并伴有雷暴大风，请注意防护。 ​​​​,否,,2012-07-05 20:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2598778565/yr4PfaEyV
11,转发微博。,是,#丰台天气#【气象灾害预警信息】丰台区气象局7月2日11时10分发布高温蓝色预警信号：预计今明两天本区最高气温将达到35℃-36℃，请注意防暑降温。 ​​​​,2012-07-02 12:15,转发,评论,赞,政府版微博,https://weibo.com/2598778565/yqz9Gvgk2
