序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#出行提示#京承高速进京方向穆家峪发生交通事故，占用外侧两条车道。请途经车辆注意避让，安全驾驶。 ​​​​,否,,2012-09-30 23:02,1,3,赞,微博 weibo.com,https://weibo.com/2417139911/yEjRd7u8c
1,#非常观察#花好月圆夜，把酒问青天，庆贺着美好的生活，祝福着远方的亲人健康快乐，一首《但愿人长久》送给您。小编有个请求，今晚一定一定有很多人去赏月了，小编值班不能出去……那通心粉们给拍几张照片回来，让小编解解馋，中不？王菲-但愿人长久-K但愿人长久 ​​​​,否,,2012-09-30 22:30,15,4,赞,微博 weibo.com,https://weibo.com/2417139911/yEjElio0T
2,#交通资讯#9月29日的客运量，假期仍然坚守在工作岗位的交通人，大家辛苦啦！ ​​​​,否,,2012-09-30 22:16,10,9,赞,微博 weibo.com,https://weibo.com/2417139911/yEjyqgJQn
3,#交通天气#月圆之夜，也许是思念者的千里共婵娟，或者是远行者的低头思故乡，但是小编希望是有情人的春江花月夜。中秋夜，皓月当空，对月当歌，小编祈愿通心粉们，幸福、健康、美满、团圆，必须的哦！ ​​​​,否,,2012-09-30 21:51,11,6,赞,微博 weibo.com,https://weibo.com/2417139911/yEjo9cBw7
4,#出行提示#预计明日主要拥堵点段将出现在8时至12时各主要高速公路的出京方向，具体路段小编在图中标出来喽，出行的通心粉们关注哦。预计机场高速的拥堵点段与平日类似，8时至9时和14时至18时进京方向苇沟至五元桥路段会出现拥堵，8时至12时出京方向五元桥至苇沟路段、机场高速与城区路网交汇出口处拥堵 ​​​​,否,,2012-09-30 21:23,197,32,3,微博 weibo.com,https://weibo.com/2417139911/yEjd7rc18
5,#出行提示#预计10月1日京藏高速和京承高速的交通压力将有所增大，机场高速的交通压力与平日基本持平。预计高速公路总交通量将比去年同期增长34.6%，达170万辆。针对今天全市高速公路在早晨7点至10点出现较为拥堵现象，市交通委提醒广大行走高速的市民，明日最好错峰出行，尽量避开早7点至10点。 ​​​​,否,,2012-09-30 21:00,10,5,赞,微博 weibo.com,https://weibo.com/2417139911/yEj3EhqGd
6,#交通资讯#9月29日，全市客运量2467.37万人次，比去年同期增长1.4％。轨道交通客运量835.97万人次，比去年同期增长11.51％。9月29日高速公路总交通量为162.7万辆，9月30日截止18时总交通量为126.2万辆。去年10月1日总交通量为126.3万辆。 ​​​​,否,,2012-09-30 20:34,6,5,赞,微博 weibo.com,https://weibo.com/2417139911/yEiT8rbIF
7,#漫步京华#【中秋赏月•颐和园】[放假啦]颐和园是清代的皇家花园和行宫，前身清漪园，主要建筑有：景福阁，苏州街，谐趣园等。景福阁曾是慈禧赏月的地方。乘车路线：新建宫门：公交374、437、74路；颐和园北宫门：公交303、330、375、563、608、718路；地铁4号线均可到达。 ​​​​,否,,2012-09-30 20:07,12,7,赞,微博 weibo.com,https://weibo.com/2417139911/yEiIj5R5L
8,#出行提示#东六环内环由北向南方向土桥发生交通事故，后方车辆行驶缓慢。请途经车辆注意安全驾驶。 ​​​​,否,,2012-09-30 19:52,2,评论,赞,微博 weibo.com,https://weibo.com/2417139911/yEiBUduqD
9,#漫步京华#[放假啦]【中秋赏月•月坛公园】[瞧瞧]月坛公园地处北京市西城区，是北京著名的五坛八庙之一，为明清两代帝王祭祀月神的地方。[大巴]乘车路线：月坛公园北门，公交15、19、42、56、743、13路等均可到达哦。 ​​​​,否,,2012-09-30 19:35,4,3,赞,微博 weibo.com,https://weibo.com/2417139911/yEivimuPn
10,#出行提示#京藏高速出京方向回龙观北发生交通事故，后方车辆行驶缓慢。请途经车辆注意小心驾驶。 ​​​​,否,,2012-09-30 19:12,9,7,赞,微博 weibo.com,https://weibo.com/2417139911/yEilJlu2Q
11,#出行提示#目前本市高速公路网总体运行平稳，所有高速公路畅通。 ​​​​,否,,2012-09-30 18:58,1,3,赞,微博 weibo.com,https://weibo.com/2417139911/yEigcxSQB
12,#漫步京华#【长陵中秋桂花香】中秋节两大乐事，一赏秋月明，二赏桂花香。眼下，明十三陵长陵景区多年悉心照料的30盆盆栽桂花树花开正旺，今年由于气候的原因，花期比去年早了一个月。此时天气尚暖，终于可以摆在室外与游人见面，也为中秋佳节增添了情趣。您可在德胜门乘坐公交345路东关换314路长陵下。 ​​​​,否,,2012-09-30 18:34,2,2,1,微博 weibo.com,https://weibo.com/2417139911/yEi6x0yfz
13,#路况播报#  现在播报17:55至18:00的路况：全路网畅通，交通指数1.6，平均速度：35.4公里/小时。其中：二环内基本畅通，二环至五环间畅通。  查询实时路况、驾车路线规划、公交地铁换乘，免费下载路况交通眼软件，请点击：O网页链接。 ​​​​,否,,2012-09-30 18:06,65,20,赞,微博 weibo.com,https://weibo.com/2417139911/yEhV4D5iQ
