序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,“暮云收尽溢清寒，银汉无声转玉盘”。中秋，是一年365天中最有意境也最有意义的一天。中秋之夜，玉轮当空，或阖家欢聚，或三五好友，赏秋月、品香茗、听小曲、吃月饼，听老人讲讲天宫、嫦娥、玉兔的故事……望明月，起相思。无论你身在何方，今天都记得爸爸妈妈打个电话报个平安。  ​​​​,否,,2012-09-30 20:06,5,3,赞,皮皮时光机,https://weibo.com/2590508284/yEiHy8top
1,大家中秋快乐,是,大家中秋快乐，独自遛弯中。@京西门头沟   #Camera360照片分享# ​​​​,2012-09-30 19:56,2,4,赞,iPad客户端,https://weibo.com/2590508284/yEiDxyTov
2,今天是中秋佳节，“游子当归、合家团聚”，在同一轮明月下，远在他乡的游子纷纷在这一天奔赴家乡与家人团聚，口嚼月饼，沏一壶茶或酒，伴着皎洁明亮的月光，细细品味着家的温馨。亲，中秋节，你的家乡有什么特有的习俗吗？ ​​​​,否,,2012-09-30 16:02,转发,评论,赞,皮皮时光机,https://weibo.com/2590508284/yEh6xgWRE
3,"【百花人家】来清水镇，百花人家乡土菜馆是很多游客的必选之地。它隐于高山流水之间，上接灵山之灵气,旁倚百花山之秀色，斜探龙门涧之幽深，下品爨底下之民风，是一家远近闻名、有20多年历史的市级“三星级”民俗旅游特色乡村餐饮名店。真所谓：茅草屋下品山茶，百花深处有人家。 ​​​​",否,,2012-09-30 14:05,8,3,赞,皮皮时光机,https://weibo.com/2590508284/yEgl3AG1x
4,【30秒人格魅力养成术】1、微笑；2、不谈论沉重话题；3、倾听时有所回应；4、做几个让人印象深刻的表情；5、不要后背靠在椅子上；6、目光在对方的“三角区”游荡；7、让对方多说话；8、不要透露过多个人细节；9、减少说话时的手势；10、不掩饰自己的缺陷或错误；11. 说话时减少口头语。 ​​​​,否,,2012-09-30 12:35,4,1,赞,皮皮时光机,https://weibo.com/2590508284/yEfKwCJCP
5,【每日一游——妙峰山】说起赏红叶，大部分市民都会想到香山，其实妙峰山的金秋十月更美。此刻景区内枫林、松林、杏林等，满眼红叶如火，万叶斑斓。妙峰山的红果、盖柿、核桃等到了成熟期，您可在山间果园惬意采摘。还可到金顶娘娘庙祈福纳祥，再带一些妙峰山的玫瑰酱等土特产回去，保证您满载而归。 ​​​​,否,,2012-09-30 10:00,9,3,赞,皮皮时光机,https://weibo.com/2590508284/yEeJHtz2p
6,忘掉昨天的忧愁，用笑容开启新的一天 应该是一周哦~十一黄金周，快乐！ ​​​​,否,,2012-09-30 09:00,1,评论,赞,皮皮时光机,https://weibo.com/2590508284/yEelm74Ll
7,【大风天气如何保护呼吸道】1、避免受凉。2、可以通过开窗通风和食醋蒸熏等方式净化室内空气。3、多吃富含维生素c的蔬菜水果。4、多喝水。保持鼻粘膜湿润。5、规律生活，保证睡眠。6、多锻炼，但雾天不要晨练。7、勤洗手。外出可佩带口罩。 ​​​​,否,,2012-09-29 17:30,1,1,赞,皮皮时光机,https://weibo.com/2590508284/yE8fWnuhF
8,大家帮忙扩散，丢失了证件，失主一定很着急感谢好心人,是,,2012-09-29 16:22,18,4,赞,微博 weibo.com,https://weibo.com/2590508284/yE7Okh1MM
9,【让蝴蝶死而永生】邓秀梅，门头沟龙泉务村人，一名普通的农家女，然而她却能选择已经死亡的蝴蝶翅膀，制作出各种精美的蝴蝶画。蝴蝶不但改变她的人生，还让逝去的蝴蝶重新焕发光彩。O网页链接 ​​​​,否,,2012-09-29 16:21,3,3,赞,皮皮时光机,https://weibo.com/2590508284/yE7NJEvTp
