序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#早安小贴士#朋友们早上好！今天北京晴，25-10°C，机动车尾号不限行。天气晴朗，适宜运动和洗车，但室外温度可不高哦，大家注意加衣保暖，防止着凉~明天就要开始假期了，有人想宅在家里休息，有人要远行与亲友团聚，有人打算在市内或市郊游玩……你的长假怎么安排呢？晒一晒与大家共同分享吧~[放假啦] ​​​​,2012-09-29 09:18,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yE52e561x
1,街道文化中心双节前慰问非遗大师 北京扎燕风筝的传承人费保龄先生及北京面人传承人张俊显先生，感谢他们多年来支持地区文化工作，热心公益活动，为地区文化事业的传承和发展做出了突出贡献。 ​​​​,否,,2012-09-28 16:32,转发,1,赞,微博桌面,https://weibo.com/2911941843/yDYs0yUtN
2,“微网球”体验，丰富居民健身方式微网球是由北京市体育局推广的一项运动趣味十足、快慢相宜、亦张亦驰的运动，它一改网球这项“贵族”运动的多种限制，居民可以在草地、土地、水泥地、步道砖或是柏油路面上轻易搭建一个小型网球场，随时享受快乐网球。 ​​​​,否,,2012-09-27 18:00,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDPBf2mLl
3,“贺中秋、迎国庆”体育馆路街道慰问地区保洁员专场电影放映。 电影放映现场，中心工作人员准备了水果、干果等小吃，服务中心还特意购置理发工具，由服务中心工作人员免费为他们理发，受到了保洁员们的欢迎。 ​​​​,否,,2012-09-27 11:30,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDN2YlIS8
4,体育馆路街道文化惠特教专场文艺演出 9月24日，带着对智障儿童的无限关爱，体育馆路街道工委、办事处的领导带领街道文化中心的工作人员和志愿者们来到北京市东城区培智学校慰问演出，在中秋佳节和国庆节即将来临之际，为他们送去党和政府以及社会各界的温暖和关爱。整个活动充满温情、爱心涌动。 ​​​​,否,,2012-09-27 11:26,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDN1il6Ca
5,街道总工会为商务楼宇职工书屋再添新书，其中包括文学、艺术、体育、心理等多个类型的图书，共计200余册。 ​​​​,否,,2012-09-27 11:11,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDMUVgvtC
6,转发微博,是,#早安小贴士#早上好！今天北京23-12°C，有阵雨，机动车限行尾号是5和0~今天是世界旅游日，因为1970年的今天“国际官方旅游联盟”通过了世界旅游组织的章程；此外，这一天又恰好是北半球旅游高峰刚过，南半球旅游旺季到来的交接时间。祝旅游工作者和旅游者们节日快乐哦！ ​​​​,2012-09-27 10:06,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDMuwwxzz
7,体育馆路街道办事处于9月25日上午邀请了地区居家养老服务商，举办了题为“养老（助残）餐桌和托老（残）所规范化建设”的座谈会，并对优秀服务商进行了表彰。 ​​​​,否,,2012-09-26 17:38,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDG1GswEE
8,国庆前夕，体育馆路街道办事处副主任、计生办及社区工作人员一行到西唐、西利社区慰问特服家庭，为他们送去节日问候及慰问品，了解家庭近况，叮嘱他们多注意身体，并鼓励他们多参加街道各项活动。 ​​​​,否,,2012-09-26 17:38,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDG1sgHgR
9,@北京市东城,是,#东城新闻#【东城区政务微博群上线运行】今天，北京市东城区的政务微博群——“北京东城发布”正式上线啦！全区33家单位作为第一批成员单位集体亮相，点击链接 O我的首页 微博-随时随地发现新鲜事就可以看哦！通过微博这一网络平台，我区在推进政务公开、为民服务方面将发挥更加积极的作用！ ​​​​,2012-09-26 12:36,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDE339Z2a
10,@北京市东城,是,#早安小贴士#早上好！今天北京晴转阴，26-15°C，机动车限行尾号是4和9。今天天气晴朗又凉爽，经过雨水洗刷的空气也很清新~在如此拥堵的路况下，不妨骑骑自行车锻炼身体吧~既环保又健身~一周过半，大家加油！ ​​​​,2012-09-26 09:39,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDCT9DZDg
11,转发微博,是,#早安小贴士#早上好！今天北京22-14°C，有小雨，大家出门时请带好雨具哦。小雨还会带来降温，请朋友们注意添加衣服，预防感冒。今日机动车限行尾号为3和8~节假日将至，交通拥堵情况将趋于严重，大家行车请尽量绕过商圈、交通场站等地点，并尽量选择地铁等公共交通出行~ ​​​​,2012-09-25 10:06,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDtDS79UR
12,9月21日一大早，西利社区组织题为“中秋月圆人团圆 欢声笑语一家亲”和“爱心筑空巢·亲情聚西利”的中秋主题活动。这是爱心驿站的又一次亲情活动和空巢老人欢聚一堂共度中秋。 ​​​​,否,,2012-09-24 15:31,1,评论,赞,微博桌面,https://weibo.com/2911941843/yDmlj5ALM
13,2012年9月20日，体育馆路街道红十字会初级急救员培训，参加培训的有年轻的社区工作者、群众积极分子、普通居民共计80人，培训内容主要是外伤救护。通过实际操作，学习创伤救护、包扎的具体急救方法，掌握了基本的急救措施，更有了应对突发事件的基本能力。 ​​​​,否,,2012-09-24 15:31,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yDml0sjbo
14,北京南国苑餐饮管理有限公司将九成新工作服捐赠给体育馆路街道慈善分会，用于地区困难家庭学生及在京外地务工人员救助帮扶，基本实现了社会救助由政府单一型向社会力量多元参与的形式转变。 ​​​​,否,,2012-09-21 17:31,1,1,赞,微博桌面,https://weibo.com/2911941843/yCUQpE0TA
15,体育馆路街道计生办于9月19日举办了流动人口“一封家书”演讲比赛。家书中有对父母养育之恩的感谢，有对北京邻里亲善、政府优惠政策的歌颂，语言真挚感人，抒发了情怀，反映了守孝道、重亲情、爱生活的真挚情感。 ​​​​,否,,2012-09-21 17:27,1,1,赞,微博桌面,https://weibo.com/2911941843/yCUOHgf2K
16,街道计生办成立了东城区第一家“心灵家园”，揭牌仪式上为5位特别扶助家庭代表颁发了“暖心卡”，赠送了慰问品。 ​​​​,否,,2012-09-21 17:27,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yCUOBDaeP
17,转发微博,是,#早安小贴士#早上好！今天北京25-15°C，有阵雨，紫外线强度较弱。有雨的天气，大家出门记得带好雨具哦！假日降至，各种交通工具的票都很不好买，朋友们一定要计划好时间，以免买不到票。周末又将来临了，预祝大家开心哦！ ​​​​,2012-09-21 09:27,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yCRFMvUyv
18,转发微博,是,#早安小贴士#大家早上好！今天北京晴，29°C，气温有所回升，紫外线指数强，适合晾晒衣物被褥，为寒冷季节做点小准备，而我们自己就不太适合长期晾晒在外哦！受秋天气候影响，人们容易感冒，容易脱水，还容易情绪压抑，建议大家多喝水，多注意身体，多培养乐观情绪，别辜负了即将到来的长假哦！ ​​​​,2012-09-20 09:50,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yCIoG5Obz
19,转发微博,是,#早安小贴士#大家早上好！今天北京多云，28°C，紫外线指数中等，总体感觉上会比较舒适！朋友们不妨多到室外透透气，抬头看看天——天空是不是湛蓝湛蓝的，清澈而空旷，十分有意境呢？如果拍了美图，别忘了放微博上晒晒哦！今日机动车限行尾号是4和9~ ​​​​,2012-09-19 09:49,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yCyXRsnUF
20,体育馆路街道家和社区早教指导中心揭牌 9月13日，体育馆路街道家和社区早教指导中心正式挂牌。街道计生办将继续探索0至3岁婴幼儿早期教育模式，搭建普及育儿知识平台，开展各种形式的早期教育活动，服务辖区居民。 ​​​​,否,,2012-09-17 14:19,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yChSz6xDr
21,转发微博,是,#早安小贴士#早上好！新的一周又开始了！最近几天北京气温有回升的趋势，今天最高温28度，最低温15°C，温差较大，请大家注意增减衣物哦~今日机动车限行尾号是2和7，蓝天白云、风和日丽将伴随大家度过美好的一天！ ​​​​,2012-09-17 09:08,1,评论,赞,微博桌面,https://weibo.com/2911941843/yCfQnleAZ
22,"""慧聚体街大讲堂""举行税法、金融知识讲座 9月13日，体育馆路街道""慧聚体街""干部大讲堂举行了税法、金融知识讲座。对印花税、房产税的概念、产生和征收途径进行了讲解。建设银行前门支行理财专家讲解了个人理财规划和家庭金融管理知识，丰富了大家金融理财知识、提高了家庭理财和风险防范意识。 ​​​​",否,,2012-09-14 15:19,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBPZienNB
23,转发微博,是,#早安小贴士#早上好！今天北京晴，25-12°C，空气质量较好，紫外线强，想要户外运动的朋友们注意防晒哦！今日机动车限行尾号1和6。明天就是周末了，王府井品牌节将于周六拉开帷幕，这个周末去王府井逛逛是个不错的选择哦~祝大家开心！ ​​​​,2012-09-14 09:29,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBNH4rYK6
24,体育馆路社保所采取四项措施展开2013年城镇居民基本医疗保险参保工作。一是工作大厅LED电子滚动显示屏循环播办理须知；二是发放温馨提示单;三是积极引导辖区居民参保。重点加强残疾、低保人员的参保意识，讲清、讲透享受政策的优势；四是主动上门为年老体弱、交通不便的居民办理参保业务。 ​​​​,否,,2012-09-13 17:33,1,评论,赞,微博桌面,https://weibo.com/2911941843/yBHrbwpoT
25,“2012年东城区群众文化展演季--2012年‘百城’健身气功交流展示活动暨东城区健身气功展示比赛”在地坛体育馆成功举办。进行了“马王堆导引术”、“五禽戏”、“六字诀”、“易筋经”、“八段锦”五套健身气功功法的表演。体育馆路街道三个团队技压群雄，取得了两个一等奖，一个二等奖的优异成绩。 ​​​​,否,,2012-09-13 17:33,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBHqYwc3g
26,转发微博,是,#早安小贴士#早上好！今天北京晴转阴，24-12°C，晴朗凉爽的天气，很适合享受自然风光呦~户外运动也是不错的选择！今日机动车限行尾号是5和0，未来两天预报无雨，适宜洗车哦！祝大家心情愉快！ ​​​​,2012-09-13 09:43,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBEmxy0g2
27,“生殖健康进非公企业”健康知识讲座 9月10日，体育馆路街道计生办在辖区全鑫园烤鸭店举办“生殖健康进非公企业”健康知识讲座。街道邀请了同仁医院保健医师为全鑫园烤鸭店的职工讲授生殖健康知识，介绍了秋季养生、生殖健康常见疾病防治、心理保健等知识，强调了养生从预防抓起、保健从小事做起。 ​​​​,否,,2012-09-11 17:50,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBoH85DLy
28,9月7日，四名国家级社会体育指导员来到龙潭西湖，为长青园新组建的气功团队教授太极拳。共有80多名居民前来参加，整个教授过程气氛热烈，四名教练员专业而认真的态度赢得了居民的认可和支持。 ​​​​,否,,2012-09-11 10:12,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBlHj7bue
29,转发微博,是,#早安小贴士#大家早上好！又是周一啦！今天北京多云转阴，27-20°C，空气质量良，紫外线强度较弱，机动车限行尾号是2和7。今天是教师节，别忘了拿起手机，给自己的恩师致以节日的问候哦！祝广大教师朋友们节日快乐！ ​​​​,2012-09-10 11:08,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yBcDsrzJB
30,转发微博,是,#早安小贴士#早上好！昨天，连续多日的好风好日被打破，下午还淅淅沥沥的飘起雨点。今天北京阴转多云，25-17°C，紫外线较弱，机动车限行尾号1和6。终于迎来周五了！大家周末都有什么好计划呢？ ​​​​,2012-09-07 09:39,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yAJLXbjfb
31,体育馆路街道家和社区早教指导中心开展了第四期早教亲子体验活动。此次活动中通过《捉尾巴游戏》、《配对游戏》、《彩虹伞游戏》等游戏互动环节，达到亲子同乐、互动，有助于增进父母与子女的亲情关系。 ​​​​,否,,2012-09-06 17:11,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yADiVxqD9
32,"9月4日,体育馆路街道总工会举办了一场职工“花式8球”台球比赛。比赛经过一天的激烈角逐圆满结束，不但使职工朋友们一展风采，同时为爱好台球运动的职工们搭建了互相交流的平台，参赛的选手们既赛出了风格、又赛出了友谊，做到了精神文明和比赛成绩双丰收。 ​​​​",否,,2012-09-05 16:27,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yAtABiRNa
33,转发微博,是,#早安小贴士#早上好！今天北京晴，17-27度，空气质量良，紫外线较强。今天机动车限行尾号是4和9～未来24小时预报可能有雨，想要洗车的朋友请三思哦～周三了，不忙的时候运动一下吧！ ​​​​,2012-09-05 10:05,转发,评论,赞,微博桌面,https://weibo.com/2911941843/yAr5e02rD
34,“2012年东城区第九套广播体操比赛”在地坛体育馆举行。东城区自各级机关、企、事业单位和部队的46支代表队1000余名健身爱好者参加，体育馆路街道代表队稳定发挥，以舒展到位的动作、饱满热情的精神风貌赢得了裁判和观众的肯定，在46支代表队伍中名利第十，获得三等奖。 ​​​​,否,,2012-09-04 11:30,2,1,赞,微博桌面,https://weibo.com/2911941843/yAiddhL0A
