序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,换季时节，注意防病。,是,【对付咳嗽的食疗妙招】1.伤风咳嗽：红塘姜枣汤；2.风寒咳嗽：萝卜葱白、白萝卜蜂蜜；3.肺热咳嗽：无花果冰糖水；4. 止咳消肿：奶汤锅子鱼；5.久咳咽干：蜂蜜蒸白梨；6.止咳祛痰：萝卜胡椒；7.化痰平喘：豆腐糖、糖淹橘皮；8.咳嗽肺痈：鲜梨贝母；9.夜咳：芝麻冰糖水；10.补虚止咳：糖水冲鸡蛋。 ​​​​,2012-09-25 14:02,18,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yDvbktIWX
1,戒烟小贴士：1.戒烟从现在开始，完全戒烟或逐渐减少吸烟次数的方法，通常3～4个月就可以成功。2.丢掉所有的香烟、烟具。3.避免参与往常习惯吸烟的场所或活动。4.餐后吃少许水果或散步，摆脱饭后一支烟的想法。5.烟瘾来时，做深呼吸活动，或咀嚼无糖分的口香糖，避免用零食代替香烟。 ​​​​,否,,2012-08-29 13:55,5,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yzoB38I2w
2,资料表明，目前全球每年死于与吸烟有关的各种疾病达300万人， 估计到2025年将升高到1000万，我国将占200万。它对人体的危害是一个缓慢的过程，需经较长时间才能显示出来，尼古丁又有成瘾作用，使吸烟者难以察觉。可诱发多种癌症、心脑血管疾病、呼吸道和消化道疾病，是造成早亡、病残的最大病因之一。 ​​​​,否,,2012-08-29 13:51,1,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yzozDEksF
3,@首都健康 市卫生局雷海潮副局长带队视察我区灾后防疫监督工作！ ​​​​,否,,2012-07-31 12:16,转发,评论,赞,政府版微博,https://weibo.com/2680614475/yuYyExdUJ
4,确保居民饮用水卫生安全，丰台区卫生监督所监督员在受灾地区监测生活饮用水情况！ ​​​​,否,,2012-07-30 15:22,1,1,赞,政府版微博,https://weibo.com/2680614475/yuQly3V3J
5,,是,长辛店医务人员在受灾群众安置点巡诊！ ​​​​,2012-07-30 12:32,转发,评论,赞,政府版微博,https://weibo.com/2680614475/yuPeM7j5E
6,长辛店医务人员在受灾群众安置点巡诊！ ​​​​,否,,2012-07-30 12:31,1,评论,赞,政府版微博,https://weibo.com/2680614475/yuPeldDu7
7,向参与医疗救治工作的白衣天使致敬！这是长辛店医院医疗应急小分队在灾区转运孕妇和老年病人的场景！ ​​​​,否,,2012-07-30 12:26,2,1,赞,政府版微博,https://weibo.com/2680614475/yuPcfejvP
8,这个叫张雪的卫生防疫队员正在给受灾群众宣传灾后防病知识！两周前她刚刚胃出血，在酷暑下忍着胃痛连续工作了14个小时！ ​​​​,否,,2012-07-30 12:24,5,2,赞,政府版微博,https://weibo.com/2680614475/yuPblmh9J
9,卫生防疫人员在受灾居民家中消毒！ ​​​​,否,,2012-07-30 12:19,转发,评论,赞,政府版微博,https://weibo.com/2680614475/yuP9m9MP6
10,向卫生防疫战士致敬，无愧健康卫士称号！这是他们在闷热的三伏天戴着严实的帽子口罩、穿着厚厚的防护服和及膝的雨靴，背着几十斤重的消毒器械在灾区的公厕、垃圾堆、街道、居民家喷洒消毒剂，挨家挨户的发宣传材料！ ​​​​,否,,2012-07-30 12:16,2,1,赞,政府版微博,https://weibo.com/2680614475/yuP8fhAf7
11,转发微博,是,北京暴雨，在此提醒农村地区采用自备水源井作为水源的大家提高警惕，做好防护工作，防止雨水冲击使异色物质进入水井或通过破损管道渗入村中供水管线而使水染异色。如您发现水质异样，请立即拨打12320向我们反映情况！@首都健康 @北京12320在聆听 ​​​​,2012-07-28 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yuvG81xfY
12,加强灾后防护，意义重大！,是,今天，我们一起来学习#水灾后消毒原则、方法和注意事项#灾后最重要的就是消毒防疫和饮水安全。北京市疾病预防控制中心提醒大家，特大自然灾害后特别要注重消毒及杀虫、灭鼠，注意环境卫生的清理，以免引起污染和传染病的发生。@首都健康 @北京发布 @微博小秘书 @政府微博助理 @新浪健康 ​​​​,2012-07-28 10:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yuvEm6rBt
13,截至目前，全区各医疗卫生机构还没有收到因雨灾导致的伤病员。 ​​​​,否,,2012-07-28 10:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2680614475/yuvDq9UWv
14,7月26日，卫生局疫情小分队对长辛店镇3个村共计875户居民家中进行消毒，消毒面积约为6万平米。 ​​​​,否,,2012-07-28 10:36,转发,1,赞,微博 weibo.com,https://weibo.com/2680614475/yuvCGFdJ9
15,有卫生防疫战士在，一定实现灾后无大疫。,是,"我上传了照片""在长辛店地区对受灾户进行消毒健康教育""，丰台健康教育所还紧急印制了2000张洪灾宣传画和10玩卫生防病知识宣传单下发到全区21个街道乡镇。 O网页链接 ​​​​",2012-07-28 10:22,转发,1,赞,微博搜索,https://weibo.com/2680614475/yuvwUvU2S
16,转发微博。,是,7月26日，区卫生局、区疾控中心、区卫生监督所组成联合调查组前往王佐镇，对供水管网的7个监测点进行水质监测，采集水源水1件，末梢水6件。初步结果显示存在部分水质监测指标超标现象。建议王佐镇立即对供水设施进行清洗消毒，待监测合格后恢复供水。目前，我局未接到因水质问题导致相关疾病病例报告。 ​​​​,2012-07-27 17:24,转发,评论,赞,政府版微博,https://weibo.com/2680614475/yuoROr9oJ
