序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"""说事""技巧",是,"【""说事""技巧】1）别人的事，小心说，2）长辈的事，少说，3）孩子的事，开导地说，4）小事，幽默地说，5）做不到的事，别说，6）伤心的事，只找知心朋友说，7）自己的事，先听听别人怎么说，8）夫妻间事，商量着说，9）急事，慢慢说，10）未必会发生的事，别胡说，11）伤人的事，绝不说。 ​​​​",2012-09-29 15:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7DWFAdK
1,新妈多食三种食物奶水足，仅供参考,是,新妈多食三种食物奶水足3.当归四宝汤：豆腐有催乳的功效，除此还有助于减肥。将小花菇泡水至软，去蒂头，豆腐切小块。将豆腐、小花菇、鸡肉丸、腰果、老姜片及中药材放入容器中，倒入高汤。炖品入锅，外锅加2杯水，按下开关。以中火炖煮约30分钟，加入调味料拌匀即可。 ​​​​,2012-09-29 15:55,1,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7Dh1aUn
2,转发微博,是,［国际日］9月29日是世界心脏日。 心血管疾病是世界最大杀手，每年夺走1730万人生命。心脏病发作和中风的危险因素包括血压、血脂和血糖升高，吸烟，蔬菜水果摄入不足，超重，肥胖以及缺乏身体活动。确立世界心脏日是为了建立公众对心脏病和中风风险因素的认识并促进预防工作。O网页链接 ​​​​,2012-09-29 15:53,2,评论,赞,微话题-世界心脏...,https://weibo.com/2686145343/yE7CFeRRX
3,转发微博,是,近日，世界卫生组织通报英国和沙特阿拉伯分别发现1例新型冠状病毒感染病例，两名病例均出现急性重症呼吸道症状，并伴有肾功能衰竭。其中英国报告的病例在发病前有赴沙特阿拉伯旅行史。目前，世界卫生组织已证实该新型冠状病毒不同于SARS病毒，暂不建议采取任何旅行限制措施。详见O网页链接 ​​​​,2012-09-29 15:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7Bnp8wk
4,打造健康假期游,是,#健康知识#【打造健康假期游】另外朋友们还要加强自我健康监护。旅行前夕或旅行期间如果发现自己出现健康异常，应及早就医、及时诊治，特别是出现发热、呼吸道症状或怀疑患传染性疾病时，应推迟、取消或及时中止旅行，防止和减少疾病传播，保护自身和他人健康。祝大家在长假中拥有一个美好的旅行！ ​​​​,2012-09-29 15:50,1,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7Bd4Jr7
5,新妈多食三种食物奶水足,是,新妈多食三种食物奶水足2.枸杞黑芝麻燕麦糊：黑芝麻可以黑发，也有催乳功能。黑芝麻含有大量的脂肪和蛋白质 ，还有糖类、 维生素 A、 维生素E、卵磷脂 、钙、铁、铬等营养成分。將黑芝麻捻碎，大米洗淨，加水适量煮成粥即可。 ​​​​,2012-09-29 15:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7AJdV1L
6,节日暴饮暴食、通宵打麻将，小心诱发多种眼病。。。。。。,是,[节日暴饮暴食、通宵打麻将，小心诱发多种眼病] 1、急性青光眼发作；2、视网膜中央动脉栓塞；3、视网膜中央静脉栓塞；3、干眼症；4、急性酒精中毒对视力的损伤；5、眼底出血等。其中1、2两项不及时治疗可能导致失明。请保持情绪稳定，避免过度兴奋、操劳；节制饮食，不酗酒，保持良好生活规律。 ​​​​,2012-09-29 15:43,2,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE7yw8gv9
7,国孩子必须学习的22条礼貌礼节,是,#分享#【美国孩子必须学习的22条礼貌礼节】美国的父母会要求孩子在七、八岁时就必须学到做到喔！给各位粑粑麻麻们参考参考~ ​​​​,2012-09-29 06:39,4,评论,赞,专业版微博,https://weibo.com/2686145343/yE3ZGtZbY
8,为什么要和孩子一起阅读,是,#分享#【为什么要和孩子一起阅读】妈妈或爸爸带孩子一起看书，这种一对一的模式，最能培养孩子的注意力。孩子喜欢模仿父母行为，父母参与的活动会让孩子兴趣大增。而且父母和孩子在阅读中建立的情感交流，是孩子成长中最需要的营养成分。这种爱让孩子感受到阅读的幸福，并让他一生爱书。 ​​​​,2012-09-29 06:33,1,评论,赞,专业版微博,https://weibo.com/2686145343/yE3XmhDuB
9,常见疾病及意外护理——预防新生儿感染病菌,是,,2012-09-29 06:32,1,评论,赞,政府版微博,https://weibo.com/2686145343/yE3WWBzch
10,就医和用药全程指导——1、宝宝手脚泛黄怎么处理：,是,,2012-09-29 06:32,转发,评论,赞,政府版微博,https://weibo.com/2686145343/yE3WQoG8T
11,常见疾病及意外护理——扁桃体炎：,是,#婴幼儿护理必备#常见疾病及意外护理——扁桃体炎：急性扁桃体炎是指扁桃体黏膜红肿发炎，和感冒一样，是由各种细菌引起的，如果是溶链菌，会引起肾炎或风湿热，而且可能会造成猩红热。 ​​​​,2012-09-29 06:31,转发,评论,赞,政府版微博,https://weibo.com/2686145343/yE3Wg41dk
12,心电图各节段含义,是,,2012-09-29 06:29,1,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE3VDjsub
13,转发微博,是,谷歌刚刚在官方博客中宣布，谷歌地图将全面升级，提供更多的高分辨率照片，包括大量的45度角航拍照片(如图)。有分析认为，谷歌希望利用苹果地图引起用户普遍不满的机会进一步推广自己的地图服务。O网页链接 ​​​​,2012-09-29 06:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE3UVi4HC
14,母乳妈妈注意不要走入误区哟,是,母乳妈妈三大常见“无谓牺牲”1.忌口，这也不敢吃那也不敢吃；2.猛吃，特意多吃多喝保证乳汁营养；3.病了硬抗，不敢用药。实际上，除非宝宝有过敏妈妈的食物需要避免过敏源，否则没必要忌口。饮食方面只要营养均衡即可，多吃多喝对营养无贡献。哺乳期安全用药很多，咨询好医生再用药 ​​​​,2012-09-29 06:25,1,评论,赞,专业版微博,https://weibo.com/2686145343/yE3U4FG5B
15,偏头痛,是,,2012-09-29 06:23,2,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE3Tc1YJE
16,长假倒计时,是,【长假倒计时】#北京你好#今天会是个大晴天儿，最高气温25℃，北转南风2、3级。长假就要开始了。大家是不是也跃跃欲试了呢？今天可要再仔细检查一遍哦，工作完成了吗？出游计划安排好了吗？家里的水电煤气安全不？该带的物品带全了吗？最好能把家钥匙放在不出行的亲戚家一把，有紧急情况也好能关照下。 ​​​​,2012-09-29 06:23,1,评论,赞,微博 weibo.com,https://weibo.com/2686145343/yE3T3amo9
