序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#健康知识#中秋节如何防腹泻 为预防腹泻，养成良好的个人卫生习惯。勿食生、冷的食物，吃熟食，喝开水，勤洗手，尤其要做到饭前便后洗净手。多数秋季腹泻病例都是病毒引起的，细菌感染的比率较低。适当给予止泻药。应注意多锻炼身体，增强体质；保持充足的睡眠和丰富的营养，有助于预防肠道传染病。    ​​​​,否,,2012-09-30 18:06,转发,评论,赞,皮皮时光机,https://weibo.com/2683881851/yEhUQc5J4
1,#健康知识#中秋节如何润燥养肺防感冒 秋季气候干燥，可适当服用白木耳，芝麻、蜂蜜、冰糖、梨等食品，以滋阴润燥。老年人脾胃虚弱者，宜食温热熟软的食物。推荐一个老年人、婴幼儿都适宜的可防可治的小偏方：一把糯米煮成汤，七个葱根七片姜，熬熟对入半瓶醋，预防伤风感冒保平康。  ​​​​,否,,2012-09-30 14:56,3,1,赞,皮皮时光机,https://weibo.com/2683881851/yEgFJ9Zzu
2,#健康知识#中秋节如何润燥养肺防感冒 秋初暑气由盛而降，朝凉夜热，日夜温差变化大，这种凉热不定的天候，最容易感冒。每日晨、晚养成用冷水浴面、热水泡足的习惯，这有助于提高身体抗病能力，适度散步、打球、做操、练拳、习剑，这样可提高身体御寒能力，防止感冒的发生。 ​​​​,否,,2012-09-30 11:46,转发,评论,赞,皮皮时光机,https://weibo.com/2683881851/yEfqBtvuB
3,中秋节，农历八月十五，我国的传统节日之一。关于节日起源有很多种说法，也有很多关于这天的传说和传统。中秋节与春节、清明节、端午节并称为中国汉族的四大传统节日。自2008年起中秋节被列为国家法定节假日。2006年5月20日，该节日经国务院批准列入第一批国家级非物质文化遗产名录。 ​​​​,否,,2012-09-30 09:16,转发,评论,赞,皮皮时光机,https://weibo.com/2683881851/yEerK42dz
4,今天是农历八月十五，一年一度的中秋节，祝全体卫生系统职工中秋国庆双节快乐！阖家团员！ ​​​​,否,,2012-09-30 07:53,22,2,赞,皮皮时光机,https://weibo.com/2683881851/yEdU19H5T
5,转播//@首都健康:转给自驾出行的亲们参考~,是,#自驾出行请注意#加油要特别注意，尽量在大地方的正规加油站。如果是车队行驶，车与车要保持安全距离，车队所有的车切忌急刹车，以防追尾。在车队超越慢车时，已通过的车辆负责为自己的后车报告前方路况并引导后车超越，在未明确前方路况时，切勿强行超车。一定不要疲劳驾驶，每3小时要休息一会。 ​​​​,2012-09-29 14:34,1,1,赞,微博桌面,https://weibo.com/2683881851/yE76vvWQX
6,检查并控制你的心血管疾病风险：了解你的血压：高血压通常没有症状，但可导致突然的中风或心脏病发作。检查你的血压。 了解你的血糖：血糖升高（糖尿病）会增加心脏病发作和中风的风险。如果患(详见长微博) ...  O网页链接  （分享自 @长微博工具） ​​​​,否,,2012-09-29 10:31,转发,评论,赞,分享按钮,https://weibo.com/2683881851/yE5vN2hPW
7,#世界心脏日#做些什么来避免心脏病发作或中风？避免使用烟草：无论是纸烟、雪茄、烟斗或是咀嚼烟草，烟草都对健康有害。接触二手烟草烟雾也是危险的。好消息是在人们停止使用烟草制品后心脏病发作和中风的危险立即开始下降，并且在一年后可下降达一半。 ​​​​,否,,2012-09-29 10:24,1,1,赞,微博桌面,https://weibo.com/2683881851/yE5sQERFk
8,#世界心脏日#做些什么来避免心脏病发作或中风？ 健康饮食：平衡的饮食对于健康的心脏和血管系统至关重要：包括大量水果和蔬菜、未加工的谷物、瘦肉、鱼和豆类以及限制盐、糖和脂肪的摄入。经常锻练身体：每天至少30分钟经常锻练身体有助于保持心血管健康；在大多数日子至少60分钟有助于保持健康体重。 ​​​​,否,,2012-09-29 10:09,转发,评论,赞,微博桌面,https://weibo.com/2683881851/yE5n56o5k
9,#世界心脏日#怎样避免心脏病发作或中风？ 80%的过早心脏病发作和中风是可以预防的。健康饮食、经常锻练身体和不使用烟草制品是成功的关键。这三项简单措施将不仅显著减少心脏病发作或中风的机会，而且将有助于预防大多数2型糖尿病和慢性呼吸道疾病以及某些类型的癌症。 ​​​​,否,,2012-09-29 10:03,转发,评论,赞,微博桌面,https://weibo.com/2683881851/yE5kiwQ0D
