序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,同乐永乐！//@天山雪莲me: 祝节日快乐！[月儿圆]//@八里庄朝阳无限社区: 有道理！//@天山雪莲me: 感谢！//@潍坊新新娘婚纱0066: //@曙娟居士://@雪不平://@万里游侠客:,是,在现实生活中，我们应该试着去学会低头。学会低头并不是妄自菲薄与自卑，它意味的是谦虚、谨慎。学会低头，就是在陷入泥潭时，知道及时爬起来，远远地离开那个泥潭。学会低头，就是上错了公交汽车时，及时下车，另外坐一辆车子。 ​​​​,2012-09-29 10:08,2,4,赞,专业版微博,https://weibo.com/2649761901/yE5musMn9
1,//@文明北京: #便民消息#北京地铁6号线1期工程今年底即将建成通车。,是,#行业动态#北京地铁6号线1期工程今年底即将建成通车。届时，6号线将与11条已经运营和规划建设的地铁线相交换乘，成为北京地铁线网中最重要的线路之一，同时也成为横贯京城东西的第2条交通大动脉和新的交通走廊，可大大缓解1号线的交通压力。O网页链接 ​​​​,2012-09-29 09:51,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE5fydGFZ
2,//@老中医健康减肥养生堂: 【沟通有道】,是,,2012-09-29 09:50,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE5f5yNWW
3,,是,,2012-09-29 09:48,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE5eb9Mqb
4,有道理！//@天山雪莲me: 感谢！//@潍坊新新娘婚纱0066: //@曙娟居士://@雪不平://@万里游侠客:,是,在现实生活中，我们应该试着去学会低头。学会低头并不是妄自菲薄与自卑，它意味的是谦虚、谨慎。学会低头，就是在陷入泥潭时，知道及时爬起来，远远地离开那个泥潭。学会低头，就是上错了公交汽车时，及时下车，另外坐一辆车子。 ​​​​,2012-09-29 09:44,1,1,赞,专业版微博,https://weibo.com/2649761901/yE5cKbIjF
5,//@创意家居风: 朋友不一定门当户对，但一定要同舟共济；,是,,2012-09-29 09:35,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE5916M4u
6,很好听！//@文博521188: 转发微博,是,黄叶青苔归路，屧粉衣香何处。消息竟沉沉，今夜相思几许。秋雨，秋雨，一半因风吹去。——纳兰性德《曲 寂寞沙洲冷》 O网页链接 ​​​​,2012-09-29 09:31,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE57r0oZU
7,请大家帮帮他！,是,【北京说事】不离不弃，我要找到你！！！老人是山西人，来京给老婆治病(智障)吃的是自己带的干粮和路人接济。用雨水在煮面，住自己改的农用车内。问他晚上住哪他说只要没人哄停哪住哪。人在中关村附近走失已经2个月。看到的给请他个电话，不麻烦。请大家帮帮他13403639356！@大广是好人  ​​​​,2012-09-29 09:27,1,评论,赞,专业版微博,https://weibo.com/2649761901/yE5632dZy
8,原定九月二十七日下午的朝阳无限社区金秋文化艺术节改为10月7日下午四点举行，届时将有星光大道周冠军刘超为大家演唱震撼歌曲，节目精彩，不容错过，希望大家踊跃参加哦。 ​​​​,否,,2012-09-29 09:15,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE50PsED9
9,早晨好！秋高气爽，马上就是小长假，希望大家吃好、喝好、玩好！[呵呵][月饼] ​​​​,否,,2012-09-29 09:06,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yE4Xj63fY
10,,是,#北京突发提醒#【大风蓝色预警！再次提醒亲们走路避开户外广告牌！！】北京市气象台27日发布大风蓝色预警信号：午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风。预计午后到傍晚城区有小阵雨天气，雨量较小，但傍晚前后到夜间的风有五六级，出行请注意防范。 ​​​​,2012-09-27 14:52,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDOmFktUa
11,很实用哦。,是,【14条美容小妙计】1. 草莓亮白牙齿；2. 牙膏治疗疱疹；3. 菠萝汁洁面；4. 冰牛奶舒缓灼伤；5. 消毒药片洁甲；6. 柠檬汁恢复肤色；7. 橄榄油婴儿油卸唇妆；8. 阿司匹林去痘；9. 柠檬汁护发；10. 粗盐去黑头；11. 眼霜消丘疹；12. 阿司匹林去头屑；13. 花草茶增亮发色；14. 苹果酒护色。 ​​​​,2012-09-27 14:47,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDOkR382L
12,很遗憾！今日下午四点的朝阳无限社区金秋文化艺术节因天气原因改日举办。 ​​​​,否,,2012-09-27 14:42,转发,2,赞,专业版微博,https://weibo.com/2649761901/yDOiJwXVd
13,注意啦！好消息！“欢欣庆两节，喜迎十八大”——2012年朝阳无限社区金秋文化艺术节文艺明日下午两点开始。届时将有丰富多彩的文艺节目奉献给社区居民，地区书法爱好者进行书画笔会，活动最后组织居民在小区中心湖放河灯，祈福祖国繁荣富强。请大家参加呦。 ​​​​,否,,2012-09-26 20:07,转发,2,赞,专业版微博,https://weibo.com/2649761901/yDGZW2DWw
14,早晨好！天气也好，空气也好，希望心情也好。[呵呵][阳光] ​​​​,否,,2012-09-26 08:59,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDCD43fDU
15,,是,#人文朝阳#【朝阳试点手机发送“育儿经”】近日，由市教委设立的“北京市0-6岁儿童社区早期教育服务和指导项目”率先在朝阳区启动。所有0-6岁儿童的家长只需要用手机编写“孩子姓名+孩子生日”（如“妞妞2012-7-14”）发送到13611076390，从下周一开始，即可免费接收到“伴随成长每周一信”指导信息。 ​​​​,2012-09-25 15:29,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDvKLrdZI
16,早晨好！[呵呵] ​​​​,否,,2012-09-25 09:27,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDtnX86U3
17,落霞与孤骛齐飞，秋水共长天一色 唐·王勃《秋日登洪府膝王阁饯别序》 早晨好！ ​​​​,否,,2012-09-24 09:38,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yDk1Ypao6
18,早晨好！ ​​​​,否,,2012-09-22 08:50,转发,4,赞,专业版微博,https://weibo.com/2649761901/yD0RtxPdb
19,转发微博,是,#历史上的今天# 1980年9月22日，伊朗和伊拉克因边界争端和宗教矛盾爆发战争，史称“两伊战争”。“两伊战争”历时近9年，共造成100多万人死亡，150多万人受伤，经济损失达万亿美元。 ​​​​,2012-09-22 08:49,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yD0R7o981
20,"朝阳无限社区将于2012年9月27日举办朝阳无限社区金秋文化艺术节,现招募群众演员展示才艺，时间5分钟左右，自带伴奏，形式不限，内容要求健康向上，快来吧，秀一秀你的才艺！报名电话85739508. ​​​​",否,,2012-09-21 18:53,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yCVnwF3UV
21,心情不好的时候，看看大海。 ​​​​,否,,2012-09-21 10:41,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yCSa1oaam
22,早晨好![呵呵] ​​​​,否,,2012-09-21 08:59,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yCRuwwrqd
23,早晨好！[呵呵] ​​​​,否,,2012-09-20 09:31,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yCIh8201f
24,,是,#征集启事#【“美言•美文•美图”征集启事】由朝阳区委宣传部主办的《美言美文》杂志从2012年1月创刊至今已半载有余。杂志发行期间，大量热心读者来信，字里行间充满了对《美言美文》的关注、喜爱及期待。现向广大读者征集“美言•美文•美图”，希望更多的朋友同《美言美文》一道远足！ 详情如下： ​​​​,2012-09-20 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yCIgH6qiD
25,早上好[呵呵] ​​​​,否,,2012-09-13 10:57,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBEQfCTJI
26,,是,【人生哲理：锅底法则】人生就像一口大锅，当你走到锅底时，无论朝哪个方向走，都是向上的。最困难的时刻也许就是拐点的开始，改变一下思维方式就可能迎来转机。乐观豁达的人，能把平凡的生活变得富有情趣，能把苦难的日子变得甜美珍贵，能把繁琐的事情变得简单可行。平常心看世界，花谢皆风景。 ​​​​,2012-09-12 21:02,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBzno8PFh
27,"北京朝阳区慈云寺的由来_保险界王海_新浪博客,保险界王海,  O网页链接 ​​​​",否,,2012-09-12 10:07,转发,评论,赞,新浪博客,https://weibo.com/2649761901/yBv5JaTdC
28,秋高气爽！早晨好！[阳光] ​​​​,否,,2012-09-12 09:18,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBuLTxSd2
29,办法总是有的，人的自身潜力是很大的。//@阅读社会: 转发微博,是,当你遇到一件事情，已无法解决，甚至是已经影响到你的生活、心情时，何不停下脚步，给心灵一个修禅打坐的时间。或许换种方法，或许换种角度，或许换条路来走事情便会简单了许多，“如果我们走的太快，要停一停等候灵魂跟上来”。  ​​​​,2012-09-11 20:18,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBpF76kGS
30,//@政府微博助理: 钓鱼岛是中国的！一起发微博#钓鱼岛是中国的#，转起来，发出我们的最强音！,是,日本政府决定最快明天就与所谓钓鱼岛“岛主”签署“买卖合同”！我国政府今天发声明宣布中华人民共和国钓鱼岛及其附属岛屿的领海基线，意味着不再承认钓鱼岛存在主权争议。总理讲话说：中国政府和人民绝不会退让半步！发微博#钓鱼岛是中国的#，一起转起来，发出我们的最强音！O网页链接 ​​​​,2012-09-11 09:50,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBly51m8L
31,空山新雨后，天气晚来秋。明月松间照，清泉石上流。【唐】王维《山居秋暝》 ​​​​,否,,2012-09-11 09:42,转发,1,赞,专业版微博,https://weibo.com/2649761901/yBluWAZUS
32,早晨好！下雨了，好凉 ！童鞋们注意保暖哦！[呵呵] ​​​​,否,,2012-09-11 09:20,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBlm7DtKw
33,看一看哦，很实用的。,是,,2012-09-10 13:01,1,评论,赞,专业版微博,https://weibo.com/2649761901/yBdnm1Gqd
34,//@北京市市政市容委: 分清楚每个的区别！[右边亮了],是,有机产品、绿色产品、无公害产品有何区别？主要区别在于认证依据的标准不同。这些标准的主要区别在农药化肥使用量不同，简单说就是有机产品中禁止使用人工合成的化肥和农药，绿色食品要减少使用农药和化肥，获得无公害认证的产品不使用国家禁止使用的农药和化肥。详文请点击：O网页链接 ​​​​,2012-09-10 12:07,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBd1rDGIV
35,//@全球都震精了: 中国古代十六圣,是,【中国古代十六圣】1、酒圣杜康 2、文圣孔子 3、史圣司马迁 4、诗圣杜甫 5、医圣张仲景 6、武圣关羽（也有一说岳飞） 7、书圣王羲之 8、草圣张旭 9、画圣吴道子 10、茶圣陆羽 11、兵圣孙武 12、谋圣张良 13、科圣 张衡 14、药圣李时珍（也有一说孙思邈） 15、商圣范蠡 16、厨圣伊尹。你知道几个 ​​​​,2012-09-10 12:05,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBd0A9GzS
36,梦魂牵绕的玉龙雪山、雪山下的牦牛，非常震撼人心的大型歌舞《印象丽江》。 ​​​​,否,,2012-09-10 11:49,转发,评论,赞,专业版微博,https://weibo.com/2649761901/yBcTX99Kg
37,秋天到了，请童鞋们早晚注意保暖，早晨好！[呵呵] ​​​​,否,,2012-09-05 08:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yAqApgCok
38,//@北京朝阳: 明天，朝阳区档案馆将举办主题为“探求朝阳发展真迹，体验档案文化氛围”的第四届“档案馆日”活动，将在档案馆主会场及太阳宫乡分会场开展馆舍开放、查阅体验、档案法规有奖问答、展览参观、交流会、档案文化体验与社区历史追踪等活动。,是,【北京市第四届“档案馆日”活动欢迎你】9月5日，全市18个国家档案馆将联合推出第四届“档案馆日”活动。当天市档案馆、市城建档案馆和各区县档案馆将推出参观档案展览、体验档案查阅、观摩档案修裱、聆听档案文化讲座、参与捐赠档案一系列丰富多彩活动，详情登录“北京档案信息网”（www.da.bj.cn）。 ​​​​,2012-09-04 16:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yAk6FFpHQ
39,三寸之舌，强于百万粉丝。昔日帝王一言九鼎，如今同学我才气逼人一言众人顶，并获得微博特发【一言九“顶”】勋章。O网页链接 ​​​​,否,,2012-09-04 11:51,转发,评论,赞,勋章馆,https://weibo.com/2649761901/yAilSaOSy
40,生日快乐！//@江苏道法自然: 转发微博,是,美好清晨，微友早安！ ​​​​,2012-09-04 11:47,1,1,赞,微博 weibo.com,https://weibo.com/2649761901/yAikkrsHB
41,补服叶酸是预防出生缺陷的一种重要措施，可以有效降低新生儿神经管畸形的发生率。育龄妇女孕前三个月和怀孕后三个月都需要补服叶酸，每天服用0.4毫克的叶酸补充剂可以预防胎儿大部分神经管畸形的发生。八里庄街道叶酸增补工作已经开始，辖区内育龄妇女可到所在社区居委会免费领取叶酸补充剂。 ​​​​,否,,2012-09-03 18:38,14,15,赞,微博 weibo.com,https://weibo.com/2649761901/yAbAxj0bI
42,9月1日起，非北京市户籍的居民可以在北京申请办理护照等出入境证件了。北京市出入境管理部门发布“异地办理“实施细则。根据规定，现场办证前，非京籍居民需到北京市公安局网站进行预申请，警方将对申请人的户籍、社保等信息进行初步审核。 ​​​​,否,,2012-09-03 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yA8w6l7QO
43,早晨好！[呵呵] ​​​​,否,,2012-09-03 09:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yA86J7Mvz
44,//@李俊坤Tim: ^O^,是,【如何打好人生八张牌？】1.忠厚。踏实和忠诚是人生的信用卡。2.靠谱。被人信任是一种美德和幸福。3.勤奋。登攀之歌往往以汗水作音符谱就。4.贤达。心胸开阔才能让天地了然于胸。5.果断。成败往往在瞬间决定。6.自信。成功的力量源于自身。7.善缘。没有朋友就没有世界。8.高瞻。登高才能望远。   ​​​​,2012-08-31 08:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yzFrQArgu
45,秋高气爽的天气让我们感到舒适，但空气也逐渐干燥起来，希望童鞋们多喝小米南瓜粥润燥暖胃，多喝普洱菊花茶温和明目。[茶] ​​​​,否,,2012-08-31 08:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yzFjGq0da
46,早晨好！[呵呵] ​​​​,否,,2012-08-31 08:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yzFfou2Zs
47,,是,人最大的对手从来不是别人，而是自己。无论是在运动场上，还是人生的漫漫长路，每个人终归是要跟自己比赛、挑战自己、战胜自己，然后超越自己，把沿途所有的失意和挫败当作是激励与磨练。擦干眼泪，我唯一要赢的是我自己，于这一生，苦苦淬炼，但求一胜，尽己则无愧。——张小娴 ​​​​,2012-08-29 07:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yzmfO1Tv8
48,不要把目标定的太高，不要有太多欲望，把该放下的放下，把现实中的一切看作是生命中的必然，发挥一切能量，好好把控自己的生活，这样你就不会有那么多的烦恼了！太阳每天都是新的哦。[彩虹] ​​​​,否,,2012-08-29 07:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761901/yzmel05Lf
