序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,迎接党的十八大的召开，我社区于2012年9月25日下午2点召开支部“创优争先”党员会，强调安全度十一国庆、十八大期间，配合现阶段“保钓”阶段维稳工作党员模范带头作用，定岗定责坚定党性起到全面先锋作用。并宣传了“创优争先”工作重要性，强调基层党员“勤奋刻苦、扎实进取、加强自律”的日常作风。 ​​​​,否,,2012-09-25 16:35,4,评论,赞,专业版微博,https://weibo.com/2652137907/yDwbt9FJG
1,国庆与十八大即将开始前夕，我社区民调委员会2012年9月25日上午召开“社区矛盾纠纷排查会”与会人员主要有社区居委会人员、党员代表、社区楼门长、社区妇联代表、残疾人代表等成员，强调社区双节期间加强社区矛盾纠纷工作重点人、区域等的排查工作，预防社区矛盾纠纷升级，加强调解力度等工作。 ​​​​,否,,2012-09-25 16:33,转发,评论,赞,专业版微博,https://weibo.com/2652137907/yDwaB4bpH
2,2012年9月20日上午9点，“博爱在社区”检查眼底活动开始，我居请到了博爱医院的专家为社区居民检查眼睛，检查项目有青光眼、眼底血管等，整个过程景然有序，专家检查认真专业，为社区中老年朋友提供了很好的医疗检查前期服务。 ​​​​,否,,2012-09-21 15:09,2,评论,赞,专业版微博,https://weibo.com/2652137907/yCTUN9jja
3,为了提高社区居委会服务质量，2012年9月21日上午十点我社区居委会全体工作人员响应“以人为本、为民服务”的宗旨，认真学习了“对外公开服务电话接听规范”，会上大家总结出了符合社区服务规范的接听电话用语。通过学习进一步端正了为居民服务的工作态度。 ​​​​,否,,2012-09-21 15:06,转发,评论,赞,专业版微博,https://weibo.com/2652137907/yCTTAoo5Z
4,2012年9月20日上午八点半定慧北里第一社区、八宝庄社区、亮甲店社区迎十八大庆十一三社区联合演出活动隆重召开。整个活动时长近两个小时，节目丰富多彩有合唱、武术、摔跤、模特表演、广场舞等，体现了新时期文明光彩，为迎接十八大、国庆六十三周年献礼。 ​​​​,否,,2012-09-21 11:07,1,评论,赞,专业版微博,https://weibo.com/2652137907/yCSkAeb1Q
5,2012年9月14日上午九点残疾人协会工作大会如期召开，会上残疾人协会工作人员对近三年的工作向大家进行了详细的总结和汇报。对几年来残疾人及其家属的大力协助与支持表示感谢。收集了对我社区残协工作的积极建议。从而更好地实现为社区的残疾人弱势群体不但从生活上、精神上给予更好地关怀和服务。 ​​​​,否,,2012-09-19 09:23,4,评论,赞,专业版微博,https://weibo.com/2652137907/yCyN3y6IZ
6,2012年9月6日早上6：30伴着旭日，我社区组织的“喜迎十一、乐在金秋”社区居民延庆踏秋活动开始，与我们居民同行的还有永安东里和定慧北里二居的居民们。整个活动气氛热烈、严谨、集体意识很强，薰衣草花海中有年轻人给年长者拍照，在农作物种植区长者给年轻人介绍着各种作物，到处是和乐融融的身影。 ​​​​,否,,2012-09-10 14:40,转发,评论,赞,专业版微博,https://weibo.com/2652137907/yBe1m8wPN
7,2012年8月22日下午我社区选送家庭代表参加了街道组织的“安正杯”消防知识竞赛预赛，为了支持社区工作，参赛家庭特意请假参加了比赛，赛前针对比赛的知识点选手家庭认真准备，比赛当天选手家庭小朋友更是表现积极。通过比赛切实做到了社区居民对于家庭消防知识的普及，是很有意义的一次活动。 ​​​​,否,,2012-08-27 11:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yz4Kg8O7y
8,2012年8月13日上午9点我社区组织适龄青少年进行了社区清洁活动，社区青少年积极分子踊跃参加，活动目的主要是针对现在孩子物质生活极大丰富，除了学习任务其他社会角色缺失，缺乏社会责任感。活动结束后同学们都觉得天气很热，体会到了劳动过程的不易和劳动成果的喜悦。学生家长也很满意。 ​​​​,否,,2012-08-13 10:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/ywWyI7OwN
9,2012年8月6日开始我居组织社区党员、积极分子观看《为你而歌》节目，节目播出几天来，我社区党员、积极分子反响热烈。节目中的优秀党员忠实的践行“北京精神”，保持了一贯过得硬的党员先锋作风，结合自身特点在所处行业中大有作为的事迹鼓舞着大家，在迎接党的十八大胜利召开之际得到了有意义的教育。 ​​​​,否,,2012-08-09 15:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/ywmOjkLC9
10,2012年7月23日起至8月9日海淀统计局安排我居配合进行的一体化问卷。整个摸底工作接近尾声，此次摸底工作要求户对人逐一排查，我居抽样区域为1996年建的老楼，住户转租转卖情况严重，排查难度很大。居干战高温白天晚上放弃周末休息多次上门、电话、贴通知、找熟人联系租房中介，尽最大可能联系房主。 ​​​​,否,,2012-08-09 15:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/ywmNhuttP
11,2012年8月7日我社区肢体残疾人51岁李建生，由于身体的原因已多年下岗在家。平时居委会相关居干经常跟踪他的健康情况，定期上门拜访，了解他家情况。近期又被诊断出来癌症晚期，我居得知情况第一时间给他提供轮椅服务，并看望本人及其家属，带去了我们对他家的殷切关心，望他放松心情坚强与病魔作斗争。 ​​​​,否,,2012-08-09 15:43,转发,1,赞,微博 weibo.com,https://weibo.com/2652137907/ywmLe8Mdh
12,2012年8月1日开始，城乡一体化住户收支与生活状况调查摸底正式开始，居委会全体成员在完成日常各自负责的各口工作的同时，白天抽空入户登记，每天晚上加班至9点钟。为了精益求精的完成答卷，对拒绝的住户不厌其烦的宣传此次调查的目的意义。得到了居民的肯定和支持。 ​​​​,否,,2012-08-03 14:23,转发,1,赞,微博 weibo.com,https://weibo.com/2652137907/yvrFyy4QG
13,统计局城乡一体化开始，居干们加班加点入户宣传调查。晚上加班到9点多。爬楼锻炼身体！ ​​​​,否,,2012-08-03 13:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yvruX6pi9
14,7月30日为认真贯彻我市8月1日即将开始施行国务院颁布的《无障碍环境建设条例》，我社区利用宣传栏、橱窗在社区内进行了大量的宣传。此次《条例》充分体现了我国针对残疾人这支特殊弱势群体的人文关怀。是我国首次立法保障残疾人平等参与社会生活的权利，保障残疾人等社会成员平等参与社会生活。 ​​​​,否,,2012-07-31 14:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yuZumljNR
15,"大雨再临,为""7.21""大雨灾害捐款的热情也继续高涨 ​​​​",否,,2012-07-31 14:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yuZmspSK8
16,2012年7月31日上午9点我社区居委会全体成员就全面配合统计局进行一体化入户筛查工作召开准备会议大家学习了第一阶段入户摸底的资料，会后在抽样居民楼张贴了宣传画，悬挂了宣传横幅。为了宣传此次入户摸底的意义作用，我们准备了详细的说明资料和折页。并和物业公司领导预先巡视了解各单元的基本情况。 ​​​​,否,,2012-07-31 14:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yuZlIjIsd
17,2012年7月27日上午8点半八里庄“玲珑杯”体育文化节开幕式，在海淀区领导及社区居干、居民喜迎十八大的热情中盛大召开。我社区选送的双刀、九节鞭两个节目荣幸的获选。居干及演员提前一个小时到场参加了预演。当日天气闷热，演出过程非常顺利，展现了我社区居民的风采。 ​​​​,否,,2012-07-30 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yuObtik9K
18,7月27日准备给社区青少年举办沙画水彩画比赛，让小朋友们在团队中学习建立团队责任感，和用最短的时间里找到自己在团队中的定位。 ​​​​,否,,2012-07-12 15:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/ys6R71HmE
19,暑期开始社区内充满了小朋友们的欢声笑语 ​​​​,否,,2012-07-12 08:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/ys40sCr0O
20,2012年7月11日上午9点我社区为了纪念第二十三个世界人口日，今年主题“让家庭健康、和谐”，结合本辖区实际情况，采取在辖区人群密集的地方发放宣传资料和避孕药具，为了更好的宣传计划生育法律法规政策、辅助奖励政策社区居干还准备了计生谜语题，现场气氛热烈，社区居民更多的了解了计生方面的知识。 ​​​​,否,,2012-07-11 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yrXKKleyj
21,711世界人口日来临之际，准备社区宣传活动资料，宣传国家人口政策，向所有社区居民进行计生科普 ​​​​,否,,2012-07-10 14:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yrNxSy5gj
22,2012年6月29日到7月3日我社区为了迎接党的生日确保十一届党代会顺利召开，组织党员代表、居民代表、社区积极分子、妇女代表等在社区周围值勤，盛夏时节，大家战酷暑几天来一直坚守岗位，我社区值勤人员普遍年龄较大，但大家都积极克服困难协助居委会完成了此次维稳工作。 ​​​​,否,,2012-07-04 09:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2652137907/yqQUzjaQN
