序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,寻抑郁出走的新任妈妈，请扩散！,是,#微爱心#天天新有网友发帖寻人，转起来！齐齐寻找抑郁出走的新任妈妈：30岁，有忧郁症，生下小孩7天后于9月24晚1、2点离家出走，在南海广场走失。出走时穿白色长袖睡衣、拖鞋，高1.5米左右，身形稍胖，怀集口音。知情者请电：13425821702王先生；13553321360王生；13690617938王生。 ​​​​,2012-09-30 23:27,57,11,赞,Android客户端,https://weibo.com/2328516855/yEk1dDM9o
1,[萌]狠萌狠贴心的一只猫,是,#汤姆猫说防范——国庆反扒#双节假期长达八天哦，这八天大家准备怎么过呢？吃好喝好玩好的同时也要注意防范哦！下面汤姆猫就跟大家八一下国庆反扒。 ​​​​,2012-09-30 21:37,30,8,赞,Android客户端,https://weibo.com/2328516855/yEjiEu8ue
2,【黄金周旅游信息通报第1号】,是,【2012年中秋节、国庆节假日旅游信息通报（第1号）】 ​​​​,2012-09-30 21:27,12,5,赞,Android客户端,https://weibo.com/2328516855/yEjeN9xK7
3,【月到中秋分外明】赏月风俗约始于魏晋，宋时形成了以赏月活动为中心的中秋民俗节日。仲秋时节，北方干冷气流迫使夏季一直回旋在我国大部分地区上空的暖湿空气向南退去，空气中水汽降低，天空中的云雾减少，秋高气爽、夜空如洗，也就自然“月到中秋分外明”了。 ​​​​,否,,2012-09-30 20:29,27,13,赞,iPhone客户端,https://weibo.com/2328516855/yEiQY37bJ
4,【北京警方首次使用直升机拍摄交通违法行为】今天上午7时，警用直升机在发动机轰鸣声中在北京升空，开始执行中秋国庆期间的空中安保任务。此次直升机将首次尝试利用机载视频系统拍摄道路交通违法行为，诸如违法停车、占用应急车道等。 O网页链接 ​​​​,否,,2012-09-30 20:24,30,18,赞,iPhone客户端,https://weibo.com/2328516855/yEiOYbUKz
5,【今日月圆 全国大部地区云量较少 适宜阖家赏月】据中科院紫金山天文台通报，今日将是一个真正的月圆之夜。据中央气象台预计，今天白天到夜间，全国大部地区云量较少，晴空当照，十分适宜阖家赏月。在此，谨向所有无法归家团圆，向所有在岗值班民警致以节日问候！中秋快乐！O网页链接 ​​​​,否,,2012-09-30 14:26,38,4,赞,iPhone客户端,https://weibo.com/2328516855/yEgtM0CIF
6,【环保驾驶绿色出行】根据网友意见，对长假期间自驾出行提几点倡议：1.自带食品、饮料尽量使用无公害包装；2.自备垃圾袋、纸尿裤，根据新形势，最好还要自备帐篷、睡袋；3.堵车两分钟以上请熄火等待；4.开窗透气请尽量开天窗，勿开侧窗；5.看报、遛狗、俯卧撑不如刷微博。请继续。。。#堵车那些事儿# ​​​​,否,,2012-09-30 14:06,51,7,赞,Android客户端,https://weibo.com/2328516855/yEglMsKJW
7,【惠盐高速上的“高压哥”】深圳某男，在深圳往河源方向的高速上堵了一夜后，精神崩溃，路堵心更堵，下车就地连做俯卧撑上百个排解心理压力。#堵车那些事儿# via@深圳花狐 ​​​​,否,,2012-09-30 12:08,64,27,赞,Android客户端,https://weibo.com/2328516855/yEfzI7YHJ
8,祝贺此案成功告破，孩子与家人团圆！//@连江县公安局: 连江警方经过四昼夜连续作战，先后在连江城关、闽侯城关抓获3名犯罪嫌疑人，破获“9·23”敖江镇歹徒当街抢女童案件。,是,【母亲就在身边 歹徒飞车当街抢女童】9月23日下午，两名男子同乘一辆摩托车，在连江县敖江镇掳走了一个坐在小推车里、年仅1岁的女童。女童的母亲就在身边，眼睁睁地看着摩托车扬长而去。据了解，连江县此前从未发生过当街掳走幼童的案件。目前，连江警方正全力侦破此案。O网页链接 @海都网 ​​​​,2012-09-30 11:25,43,25,赞,专业版微博,https://weibo.com/2328516855/yEfin9yed
9,【好极了！北京打的疑遭艾滋针扎伤男子未感染艾滋】“阴性，基本排除了感染艾滋病的可能性。”前天，徐天拿着HIV病毒检测报告说。8月21日晚10时许，徐天乘出租车时被车上书报架内针头扎伤，据检测，针内残留液体HIV—1抗体呈阳性。两个月后，徐天还需进行一次检测，如仍为阴性则可完全排除感染可能性。 ​​​​,否,,2012-09-30 11:16,16,10,赞,微博 weibo.com,https://weibo.com/2328516855/yEfeLa3oG
10,【广深高速火村收费站附近堵车近40公里】央视记者报道，广深高速火村收费站持续拥堵，整个广深高速、东、北二环堵车已达到近40公里。广东警方已经派出两架直升机，启动空地联勤。还有民警骑着摩托车上高速解决事故。再堵也不要占用应急车道，保障急救车和应急疏导车辆通行。O网页链接 ​​​​,否,,2012-09-30 10:20,102,24,赞,Android客户端,https://weibo.com/2328516855/yEeRGEcF1
11,【沪昆高速上开始遛狗了】堵车不堵心。现在大量上海市民被堵沪昆高速进退不得自得其乐。这位据说堵了两个钟头的爷叔已经开始在高速遛狗了，堪称淡定帝。还有这位瞭望帝，保持这个姿势据说已有刻把钟辰光。更多的市民开始下车活动腰肢，在免费的高速公路上演全民健身运动。via@松江台宋苏伟 ​​​​,否,,2012-09-30 10:06,407,55,2,Android客户端,https://weibo.com/2328516855/yEeMfdE37
12,北京免费通行首日多条高速公路拥堵，童鞋们注意错峰出行！,是,【北京免费通行首日多条高速公路拥堵】北京多条高速公路因车流量增大和部分路段发生事故，出现不同程度的拥堵。特别是京港澳高速窦店路段发生多起事故，造成出京方向拥堵，一些车辆驶入路中心的草坪，个别车辆甚至在高速路上掉头。仅杜家坎收费站，30日交通流量是去年同期的4倍。O网页链接 ​​​​,2012-09-30 09:46,19,7,赞,Android客户端,https://weibo.com/2328516855/yEeDVApb5
