序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《【西潞要闻】街道评选表彰百名厚德模范》 - 街道评选表彰百名厚德模范： 9月19日，街道在南尚岗村多功能厅开展了评选表彰百名厚德模范活动，区委宣传部副部长、文明办主任康宝和、街道工委书记 O网页链接 ​​​​,否,,2012-09-26 09:45,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yDCVM9TuD
1,发表了博文 《【科室之窗】街道加强个人出租房屋税款委托代征工作》 -  街道加强个人出租房屋税款委托代征工作：一是将个人出租房屋税收代征工作与出租房屋日常管理相结合，将税收工作融入出租房屋日常管理工作 O网页链接 ​​​​,否,,2012-09-26 09:39,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yDCTdsivE
2,发表了博文 《【弘扬北京精神 争做厚德模范】如何培育创新精神》 - 如何培育创新精神：创新是一个从创意、实验、转化、实践再到理论提升的体系。培育创新精神需要完善的制度保障，只有在一个保护和激励创新精神 O网页链接 ​​​​,否,,2012-09-26 09:38,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yDCSHxLtV
3,发表了博文 《【基层动态】街道基层单位开展计生、禁毒等宣传》 - 街道基层单位开展计生、禁毒等宣传：夏庄社区开展“以人为本 为民服务 实行诚信计生 构建和谐家园”计生宣传，共发放宣传材料75份，计生用 O网页链接 ​​​​,否,,2012-09-26 09:37,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yDCSe0CTD
4,【简讯】 ★近日，区卫生局领导到海逸半岛社区指导工作，并实地查看了居民健康档案、健康步道、健康宣传栏、健康小屋等地。 （社区办 杨超） ​​​​,否,,2012-09-26 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCQ00DPm
5,【简讯】 ★9月18日街道到夏庄社区、苏庄一里、苏庄三里、安庄村四户学习型家庭进行了评估检查。 （妇联 陈旭） ​​​​,否,,2012-09-26 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCPX3jSu
6,【简讯】★近日，河南省固始县流动人口饶渠龙将一面上书“公正为民 执政无私”的锦旗送到南尚岗村书记龚长有手中，对7.21期间村委会对外来人口的关爱表示感谢。 （南尚岗 井志梅） ​​​​,否,,2012-09-26 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCPTedcw
7,【科室之窗】 街道举办食品安全宣传：9月19日，街道有关部门在辖区开展了“食品安全牢记心，两节健康伴你行”主题宣传活动，共发放各类宣传品2000份。 （商业市场服务中心 齐丹） ​​​​,否,,2012-09-26 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCPob6on
8,【科室之窗】街道兑现苏庄村征地超转人员待安置期间生活费：9月18日，街道在苏庄村委会一楼大厅发放苏庄村老户村民转户安置超转人员存折，共计208个，现场接待政策咨询56人，收回超转人员中享受无保障养老金退费128人35520元。 （社保所 葛秀杰） ​​​​,否,,2012-09-26 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCNRl6iI
9,【科室之窗】街道检查食品安全：9月18日，街道联合工商、卫生等对太平庄小学周边餐饮店进行执法检查，对存在无证无照经营情况的商户，工作人员现场令限期办理相关证照。 （商业市场服务中心 齐丹） ​​​​,否,,2012-09-26 09:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCNBmcMt
10,【科室之窗】街道开展非法经营专项整治行动：对西潞园小区东门两侧非法经营小摊贩进行清理整治，暂扣非法经营车辆3台，劝阻非法经营行为6起，通过联合执法，规范了经营秩序，消除了道路安全隐患。 （综治办 郭蕊 安全科 石明杰） ​​​​,否,,2012-09-26 09:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCNuyjYP
11,【科室之窗】市经信委到街道考察信息化工作：听取了街道社区信息化管理创新汇报，详细询问了时间银行管理系统、一刻钟服务圈便民服务工作进展情况，在对街道工作表示肯定的同时，希望街道加大信息化工作宣传力度，让更多居民享受到方便、快捷的信息化服务。 （社区办 杨超） ​​​​,否,,2012-09-26 09:24,转发,1,赞,微博 weibo.com,https://weibo.com/2137809005/yDCNjChaB
12,【西潞要闻】河北固安县教育系统来街道中心园参观：区教委主任赵瑞兰、街道相关领导陪同参观。听取了生活化课程理念及早期阅读的特色介绍，参观了亲子活动室、班级的活动室、睡眠室、盥洗室等。考察团对我街道中心园的楼道文化环境和班级硬件设施及办园理念给予高度赞扬。 （西潞中心园 隗利苹） ​​​​,否,,2012-09-26 09:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yDCNb4lRa
13,"我上传了1张照片到专辑""领导慰问""，快来看看吧！ O网页链接 ​​​​",否,,2012-09-17 15:10,转发,评论,赞,微相册,https://weibo.com/2137809005/yCid9kXSK
14,发表了博文 《【西潞要闻】街道及辖区各单位纷纷开展庆祝教师节活动》 - 街道及辖区各单位纷纷开展庆祝教师节活动：街道在良乡四中开展庆祝教师节活动，区教育督导室主任徐维珍、办事处主任刘永玘出席活动。领导 O网页链接 ​​​​,否,,2012-09-17 15:08,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yCicuvAnD
15,发表了博文 《【科室之窗】街道召开食品安全工作会》 - 街道召开食品安全工作会： 9月11日，街道召开“十八大”期间食品安全工作会，区卫生局、卫生监督所相关领导参加会议。会上街道对“十八大”期间食品安 O网页链接 ​​​​,否,,2012-09-17 15:07,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yCibVlLEC
16,发表了博文 《【基层动态】基层各社区开展各类宣传活动》 - 基层各社区开展各类宣传活动：苏庄一里、北潞园社区举办计生宣传，共发放《诚信计生知识讲解》百余份。西潞东里社区以电话走访的形式就流动人口服务管 O网页链接 ​​​​,否,,2012-09-17 15:06,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yCiburmju
17,发表了博文 《【弘扬北京精神 争做厚德模范】》 - 如何理解“文化创新驱动”：“文化创新驱动”指的是文化创新对精神文化建设、经济发展、社会进步的驱动作用。文化创新是要不断深化体制机制改革，激发文化生产 O网页链接 ​​​​,否,,2012-09-17 15:05,转发,评论,赞,新浪博客,https://weibo.com/2137809005/yCiaYxnNV
18,【简讯】 ★9月12日，街道为南尚岗村和固村患有大病的3名困难村民申请到红十字救助款3000元。 （社区办 杨超） ​​​​,否,,2012-09-17 15:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2137809005/yCias2nw5
